"","asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_ACC_0_ruta1","b_ACC_0_ruta2","b_ACC_0_ruta3","b_ACC_0_rutaEC","b_ACC_1_ruta1","b_ACC_1_ruta2","b_ACC_1_ruta3","b_ACC_1_rutaEC","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP"
"b_CongCD_ruta3",0.00107153724922032,NA,NA,0.0414461891755593,-0.0694509917255297,0.0943845412724577,0.0994106010855026,0.0465456043116401,0.0795226632422823,5.46044717999576e-05,1,0.0723433220697145,0.0610371278217201,-0.023583046133521,-0.00024740367337154,-0.104248321559883,-0.0102444968945251,-0.0161324064422075,-0.000211568746447938,-0.0621079942053182,-0.00450258854985539,-0.0271923867256256,-0.000244018723295579,0.0269818929135768,-0.0165908838705188,-0.0200434675616468,-0.000230267136920907,-0.0403441177146673,-0.0150799482131766,NA,-0.000220570160699248,NA,-0.0679991523524993,NA,-0.000126535871958631,NA,-0.0589293428631253,-0.0026011670436426,-0.00547994926794651,0.000730426345617633,0.0525901824394788
"b_CongAB_rutaEC",-0.000297954975370928,NA,NA,0.399349018657453,-0.0713214859681476,0.0947130650444228,0.0568380980590121,0.0365610351514497,0.0431396946200049,9.39611174627399e-06,0.0723433220697145,1,0.752108438466517,0.048537985147448,0.000160111245277361,-0.00155722458397588,0.0112861661249058,0.0470573531876685,0.000140897238031319,0.00430028679863754,0.0217218142799163,0.0238670054688238,8.64380441063507e-05,-0.00491591434219156,0.0202186729023248,0.079308891398877,7.76578312581008e-05,-0.0284828663054543,0.111972451003559,NA,0.000144562626736249,NA,-0.21829655378295,NA,-0.000183125225474857,NA,-0.200482846362041,-0.0115586682218112,0.0652644283173441,-0.0498239671426237,-0.0340211581241228
"b_CongCD_rutaEC",-0.00024112257383909,NA,NA,0.26955090290942,-0.0614094494005299,0.0522924191325434,0.0786784798616628,0.0487919930750012,0.0638063717971494,5.31068622396039e-06,0.0610371278217201,0.752108438466517,1,0.0240184466566686,-1.05399881097139e-05,-0.00707497160011861,0.0212729661848086,0.0366831965068811,9.50343581841348e-05,0.00624122185908849,0.0487716869738536,0.0370284820308515,0.000109003070061839,0.0011103602972961,0.0597655430658398,0.10702716930314,0.000131043664213264,-0.0154369031181121,0.167986182729262,NA,0.000145888517225338,NA,-0.207002989203146,NA,2.44849964064175e-05,NA,-0.176022020806863,0.0500710045356652,0.0272741659638145,0.0103579645630737,-0.0879245941818176
"b_Sem_0_ruta1",0.00233567558403741,NA,NA,0.104409935185385,0.110809968650234,-0.0940411160071056,-0.045344867713355,-7.54354233852355e-05,-0.0414740601559868,4.84923019140746e-06,-0.023583046133521,0.048537985147448,0.0240184466566686,1,-0.000299154551419244,0.199226607893038,0.447770482101256,0.872444571560336,-0.000706670745479759,0.203327546707041,0.382918118035769,0.845396996396979,-0.00103938445553271,0.174974755616493,0.33019258855304,0.758816152268043,-0.00134345561045917,0.146919781021052,0.190386160992381,NA,-0.000837864589410521,NA,0.0173018806614617,NA,-0.000876123417146293,NA,-0.0476928611437529,0.0735134069613147,0.049177081462798,-0.00730454320007754,0.0737154748060503
"b_Sem_0_ruta2",-1.45813112766871,NA,NA,-3.12234486911618e-05,0.000129211008902851,0.000341486956800798,-0.000177761992352322,-0.00128382991187412,9.33381089534113e-05,-6.84311040782585e-06,-0.00024740367337154,0.000160111245277361,-1.05399881097139e-05,-0.000299154551419244,1,-0.000488878986162693,0.000942506423788778,-0.000814869690838438,0.999978756243307,-0.00100747733165796,0.000489171205664364,-0.000991501833371627,0.999977964845334,-0.00111752985644798,0.000394778038423156,-0.000831204495718971,0.999973819342802,-0.0010268491827066,0.000492544357926471,NA,3.11933907446816,NA,0.000891852599610026,NA,3.11929389434215,NA,0.000970268600706941,5.56356154786451e-05,-0.000127552170999924,-4.11942177641549e-05,0.000250301371457978
"b_Sem_0_ruta3",0.0027404678240191,NA,NA,0.0558629346471279,-0.0257174801849359,0.00526811988059119,0.00231804120859705,0.0199121508764078,-0.0122351899612166,-3.3074303798291e-05,-0.104248321559883,-0.00155722458397588,-0.00707497160011861,0.199226607893038,-0.000488878986162693,1,0.196174089050617,0.165579470633081,-0.000751508325836597,0.667130539257181,0.140056930144418,0.1330941396533,-0.000930421826508331,0.664536297078023,0.109766418054242,0.0847674685205777,-0.00111492795079733,0.638802457884051,0.018247284996908,NA,-0.000872198157045288,NA,0.0159860638905164,NA,-0.000898481472186899,NA,-0.000846053593917831,-0.00130539238206432,0.00528562346252441,0.0546158193028755,0.0382328535726058
"b_Sem_0_rutaEC",-0.00185398060233447,NA,NA,0.0861771056935676,0.0835560132580947,0.0554889245048276,0.0185292758839125,0.0344374313825267,-0.0442542748654729,1.16203850314468e-05,-0.0102444968945251,0.0112861661249058,0.0212729661848086,0.447770482101256,0.000942506423788778,0.196174089050617,1,0.355128428559181,0.000386070142674409,0.164091028900362,0.800079150820748,0.306568432054763,9.25419779931682e-05,0.139906342043617,0.757194411903526,0.225916072243858,-0.000159279828517808,0.118386956035304,0.641883348634459,NA,0.000306483226263521,NA,0.00747323939422588,NA,0.000321681657138399,NA,0.052180141115843,0.0369132760209064,-0.0106891125540539,0.0110394497312856,0.0350914606355517
"b_Sem_1_ruta1",0.00255363733639748,NA,NA,0.0593245996505668,0.158830808704538,-0.0682718769063214,-0.0144045808855744,-0.00863500050530199,-0.026664724463677,1.44628883579331e-06,-0.0161324064422075,0.0470573531876685,0.0366831965068811,0.872444571560336,-0.000814869690838438,0.165579470633081,0.355128428559181,1,-0.000831458243065902,0.206345068827491,0.40582525370148,0.913115025907322,-0.00109171381776856,0.189273730143475,0.364683334586111,0.821471408257293,-0.00141115981771287,0.161163064637996,0.216682334203918,NA,-0.000899557664657281,NA,0.0246110232306189,NA,-0.000902232494692182,NA,-0.0313268850998588,0.0142505593790447,0.0294565595898949,0.0178669472619222,0.0110482707781842
"b_Sem_1_ruta2",-1.45816029113249,NA,NA,-7.19803278120319e-05,8.09383639651355e-05,6.64708436618217e-05,-0.000198834183954831,-7.25083751644554e-05,7.75944957364312e-05,-6.88330884816738e-06,-0.000211568746447938,0.000140897238031319,9.50343581841348e-05,-0.000706670745479759,0.999978756243307,-0.000751508325836597,0.000386070142674409,-0.000831458243065902,1,-0.00100127055027242,0.000472800670644102,-0.000990837511901143,0.999996361531345,-0.00110521414932667,0.000392350545947402,-0.000837380752941832,0.999992293398101,-0.00102500867421707,0.000498865994804108,NA,3.11940358291265,NA,0.000891738770716392,NA,3.11935809910969,NA,0.000983695888328244,6.00840427051995e-05,-0.000115383760465537,7.86420090100505e-05,4.67214116729377e-06
"b_Sem_1_ruta3",0.00354036982549795,NA,NA,0.062518410738796,0.000467736928367497,-0.0185572429488149,0.00214292541062655,-0.00448169696402201,-0.0079258318987605,-2.12383528679609e-05,-0.0621079942053182,0.00430028679863754,0.00624122185908849,0.203327546707041,-0.00100747733165796,0.667130539257181,0.164091028900362,0.206345068827491,-0.00100127055027242,1,0.181262969206007,0.180175367500678,-0.00117595931043867,0.854535643945909,0.14839259158967,0.115760241890204,-0.00140346706031018,0.818618329303165,0.0283322101014581,NA,-0.00112598092036305,NA,0.0163615468612033,NA,-0.00116632892844341,NA,-0.0050742394516056,0.033412488563229,-0.00223710042785692,0.0395611865798457,-0.00562508686051498
