"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_1","b_HTRB_2","b_HTRB_3","b_EduSuperior","b_Exper_2","b_Exper_3","b_Exper_4","b_Exper_5","b_Info_traf"
"b_ACC_1",0.209748437242919,0.236091433408257,0.184910637926573,0.127655022467422,-0.0780488631464722,0.0417797550298352,-0.000312158761605552,-0.073680794889568,-0.114213033612992,-0.013753845420622,1,0.0878201220617194,-0.180023796845841,-0.18227417706991,-0.103977462212996,0.00927551721601389,0.0896420304221615,0.0913355790707151,0.22422241992785,0.174550632140975,0.0855156286893153,-0.00443105164377181,0.0214722804737238,0.0150964335927477,0.00374525666017442,-0.0480648522477752,-0.00768172945882119,0.00464651598625911,-0.0532482284664885,0.114189641480716,0.193481108198051
"b_ACC_2",0.0754303496518135,0.0338363809682941,-0.0278861409317997,0.266254541731983,0.38476409321269,0.0708565075444815,0.119278628197523,0.00672240755343605,0.0212744278308295,-0.24167308080523,0.0878201220617194,1,-0.10174530725338,-0.0474720729808872,-0.0817476162316501,-0.065970561292477,-0.00246813153681176,0.0950095511676172,0.178961722821393,0.150085626551013,0.0185625097791269,0.00941553349206478,0.0315020299120955,-0.0432025890570489,0.0096822595789276,-0.0588353197389834,-0.00110455742275425,-0.000257844623812108,0.0252399288833115,0.0470390532617957,0.0224419774711598
"b_SI_CAMFD",-0.121136571018171,-0.0758225427241711,-0.0469243383892951,-0.212736287731728,0.0154792227023358,-0.0410936712913858,-0.0141381590841144,-0.0223606958797979,-0.034718297253896,0.0363552232047206,-0.18002379684584,-0.10174530725338,1,0.0569404329847725,0.0509655777195859,-0.0817473112033992,-0.0293543898886739,0.113666078451426,-0.05385662574146,-0.0165696632517867,-0.0843237713181745,0.013399053600558,-0.254050567572695,0.039368102205101,0.00967646673111589,0.0239531216265302,-0.0387906460842574,0.0442603955710038,0.117972591483187,0.0432748087473503,-0.0515830393329365
"b_SI_PANEL",-0.151652618817173,-0.156535186347628,-0.140771180297824,-0.0410559810869304,0.153536147896235,-0.110315919815908,0.0936512291618676,0.151888001347511,0.0997396491007393,0.0375404116958235,-0.18227417706991,-0.0474720729808871,0.0569404329847725,1,-0.0977182509496936,0.015379738066817,-0.0106484509539617,0.10790853562156,-0.0459438726137878,-0.0782726101984587,-0.0507189523030875,-0.0243629718044449,-0.0618591507477481,-0.14228667198011,-0.0813437132008648,-0.0464233660206574,-0.11287553716405,-0.0170152767900395,0.011924105033847,-0.044236639024176,-0.129822382901444
"b_SI_ZER",0.011821399265993,0.00713613281988791,0.00591613526236091,-0.108761708330831,-0.0176455739446294,0.182669942604869,-0.0186792799984948,-0.00627813188712239,0.00182717978121785,-0.0919981154869852,-0.103977462212996,-0.08174761623165,0.0509655777195859,-0.0977182509496936,1,0.00212489667283067,-0.0610649047090552,0.0334410285899896,-0.0712294861598146,0.0543776203382725,0.0581826193047889,0.00174133916103658,-0.0615788987507942,-0.00689914748319517,0.0527626312877006,0.0577783013648436,0.0642122684817683,-0.0296678276756659,-0.00930537029371005,-0.0280426022402902,-0.0330530959898271
"b_CSECO",0.422469899668539,0.429134095343699,0.411865705111145,0.0611256439879735,-0.14909293412132,-0.0828581376021048,0.0311605160427528,0.0737863138119433,0.197951130893174,0.114478920863255,0.00927551721601444,-0.0659705612924771,-0.0817473112033993,0.015379738066817,0.00212489667283096,1,0.0848292184410906,-0.00392556374378527,0.06020056594738,-0.0292058276261375,-0.198763504975616,0.0309827331393273,-0.00442386351282454,-0.0481840662948169,0.0564024812170875,0.0984688688241926,0.054051144267224,0.00097727454368973,0.123993246860803,0.0888324239992978,-0.0634980051526292
"b_Hvalle",0.169530345612883,0.158661163674462,0.166298915024555,0.0512944720522771,-0.068894809374508,-0.13754402930659,0.0550137425282114,0.0140558981634048,0.00780904616431421,-0.0425928698041206,0.0896420304221617,-0.00246813153681192,-0.0293543898886739,-0.0106484509539616,-0.0610649047090552,0.0848292184410909,1,-0.00375779326459544,0.0738225181722881,0.0386082643881803,-0.0705791367267048,-0.0189515546814992,0.0852431840930669,0.102545870694953,0.0551454449363434,0.0104301371791579,-0.100832758318942,-0.18186047329631,-0.0637743922368882,0.00372948978583098,0.0547658135477389
"b_Joven30",0.35634267084018,0.369335184110433,0.325455022700413,0.0280291081365539,0.00231142156325507,0.128382927713571,-0.018573101919183,-0.0302856475334198,-0.0146048660709018,-0.0323956185659862,0.0913355790707149,0.095009551167617,0.113666078451426,0.10790853562156,0.0334410285899895,-0.00392556374378519,-0.00375779326459523,1,0.550095365463507,0.549877784234107,0.0143726192972739,-0.0761483808584574,-0.367580102176051,-0.0535607108449465,-0.0694083474179826,-0.120351962017941,-0.333214381464711,0.0865412688199779,0.120155934421717,0.204630596770966,0.112287038375643
"b_Adulto40",0.527010270150123,0.499560184651238,0.474693398526275,0.125421934046221,0.0143954270997541,0.105106819599766,0.035958170949573,-0.0666007256399442,-0.0810820879669724,-0.0653747190292147,0.224222419927849,0.178961722821392,-0.0538566257414601,-0.0459438726137876,-0.0712294861598146,0.0602005659473798,0.0738225181722876,0.550095365463507,1,0.754808941027917,-0.0401323975564589,-0.178389989379838,-0.0450662336676197,-0.0119117550580063,0.0162200761944029,-0.0209883125297637,-0.117510988419648,0.0189882170584549,-0.0036533994403523,0.170613794788064,0.2351442429424
"b_Adulto60",0.541473587969641,0.51318223276258,0.490731672937582,0.0568204245472454,0.0137798137288271,0.148165419972743,-0.0136584093768654,-0.0834098023114914,-0.14826028142979,-0.099166240377574,0.174550632140974,0.150085626551014,-0.0165696632517866,-0.0782726101984584,0.0543776203382725,-0.0292058276261394,0.0386082643881794,0.549877784234108,0.754808941027918,1,-0.0562588031920119,-0.0769236327815578,-0.013498876052557,0.0346776617885261,0.027688408135411,-0.0663823099927395,0.00202829438485318,0.0794999469958118,0.0998435558391332,0.166513433064603,0.198613856162729
"b_USOCINTURON",0.225284425196205,0.251968794437628,0.23638725118219,-0.134961568995594,0.00985851195363251,0.25211756026104,0.0559948894734107,0.05606754282584,-0.0230458109672708,-0.0288254813145825,0.0855156286893153,0.0185625097791269,-0.0843237713181746,-0.0507189523030876,0.0581826193047889,-0.198763504975617,-0.0705791367267044,0.0143726192972745,-0.0401323975564593,-0.0562588031920108,1,0.025767719356455,-0.0426172566827242,0.016789744455711,0.0609728590951505,-0.138580763799941,-0.079096472708977,-0.0313796230226332,-0.0453822997905153,-0.0204805624092089,-0.0128467540624581
"b_USODISPMOB",0.0828283839761053,0.0836989482696892,0.0845378457523916,0.101407037385556,0.0442245690566564,-0.113388063990187,-0.0345762995052106,-0.0329983341492012,0.0303606835178609,-0.0070879162220144,-0.00443105164377196,0.0094155334920648,0.013399053600558,-0.0243629718044449,0.00174133916103661,0.0309827331393263,-0.0189515546814991,-0.0761483808584577,-0.178389989379838,-0.0769236327815568,0.0257677193564544,1,-0.121872091068061,-0.0176335948799889,-0.0651913605609543,0.0558946939120936,0.00257505731535716,-0.021912366954341,0.0496856093862842,0.0351861669443438,-0.10891698381386
"b_HTRB_1",0.0453976471239676,0.0432391297034495,0.0554081385285408,0.0633382924952441,0.0241832708896845,-0.0978375423932515,0.0164028213294994,0.00185072291810926,-0.0206292837496651,-0.0199975337433517,0.0214722804737238,0.0315020299120954,-0.254050567572695,-0.061859150747748,-0.0615788987507942,-0.00442386351282461,0.0852431840930669,-0.367580102176052,-0.0450662336676196,-0.0134988760525572,-0.0426172566827241,-0.121872091068061,1,0.11215731934052,0.177057392762431,-0.13217051408077,0.30299344097609,0.0646547591279952,0.0926981826717214,0.108099801157499,-0.191313697797909
"b_HTRB_2",0.141657625417554,0.152905354813356,0.15629043028757,0.0919742088815806,-0.125448533988414,-0.0335417268665627,-0.00132538978520347,0.0316309497054406,-0.0268025890230162,0.0130274560435766,0.0150964335927475,-0.043202589057049,0.039368102205101,-0.142286671980109,-0.00689914748319527,-0.0481840662948166,0.102545870694953,-0.053560710844947,-0.0119117550580068,0.0346776617885258,0.0167897444557101,-0.0176335948799889,0.11215731934052,1,0.316718442983303,0.0591727243563215,0.0126509653997454,-0.0286040141247905,0.0552795139612493,0.0345903719352011,-0.083830963649134
"b_HTRB_3",0.350691775031521,0.331726906269405,0.313426222393231,0.122741508194958,-0.164159938146427,0.0882483822454224,0.117690563456339,-0.00756814294094562,0.0597530037259132,0.0946670875947737,0.00374525666017446,0.00968225957892732,0.00967646673111596,-0.0813437132008648,0.0527626312877006,0.0564024812170865,0.0551454449363437,-0.0694083474179824,0.0162200761944034,0.0276884081354129,0.060972859095151,-0.0651913605609538,0.177057392762432,0.316718442983303,1,0.0833279453387385,0.122170048641917,0.0537304684137193,0.111845851714276,0.0988030654207053,-0.0516127738012544
"b_EduSuperior",0.142130780923168,0.113755863827702,0.145936726946032,-0.0527937151326399,0.0221588024351013,0.0564381786568007,0.00662137703587997,0.0300054606163912,0.133528053423055,0.104665101589751,-0.0480648522477747,-0.0588353197389834,0.0239531216265302,-0.0464233660206575,0.0577783013648437,0.0984688688241945,0.0104301371791582,-0.120351962017941,-0.0209883125297625,-0.0663823099927389,-0.13858076379994,0.0558946939120938,-0.13217051408077,0.0591727243563219,0.0833279453387387,1,0.176552977633337,0.150640481972764,0.133040091418161,0.175217870096251,-0.109308025697559
