"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_1","b_HTRB_2","b_HTRB_3","b_EduSuperior","b_Exper_2","b_Exper_3","b_Exper_4","b_Exper_5","b_Info_traf"
"b_ACC_1",0.0221550520726777,0.0264056921976348,0.0271559268314021,-0.00081200021048705,0.00143751322775332,0.00143349882068036,-0.00777385709689111,-0.0018821043535813,-0.00616157589165863,-0.00745313038575441,0.100800605038734,0.0340313046338419,-0.00487847353795454,-0.00525309180614814,-0.000807496345126684,0.00366937893414658,0.00242885327577856,0.0146897410691185,0.0145096387932188,0.007696653253554,0.00797626174532452,0.00626672297669083,-0.00740029679165685,0.00780518718956189,0.000250462739389633,-0.00221165916617858,-0.00570361195808362,-0.00611546883134511,-0.00844335170504019,0.0061435860826656,0.00363811458184792
"b_ACC_2",-0.00426502522368435,-0.0147440758089451,-0.035610752961588,0.00367872096354316,0.036457732906117,-0.0012679013452583,0.035739970562376,0.010273374513344,-0.0103602921838569,-0.0282127408696906,0.0340313046338419,1.40921593594184,-0.0125146425298894,0.00568639794666605,-0.0195067251489964,-0.00755483703858251,-0.0258250034435592,0.0317033258002454,0.0400125260624047,0.0101233266519571,-0.00137296986705829,0.00964594272459888,-0.0113378549973414,-0.0112537739555278,-0.0167319885971048,-0.0103723106429697,-0.00136647622807307,0.00746229580051666,0.0149008124204055,0.00260205116126471,0.00324234281043275
"b_SI_CAMFD",-0.00191583475656944,0.00344734904517712,0.00297263525224024,-0.000623604082808703,-0.00178285884250883,0.000200684396879379,0.00411380118952125,-7.14954476375531e-05,-0.00638073733687127,-0.0034369052512851,-0.00487847353795454,-0.0125146425298894,0.0849550331012118,-0.00334452862053715,0.00673168657175011,-0.0034945875478745,-0.000934951740241656,0.0199498145071363,-0.0010890692701626,0.00323457728351969,-0.0044516894023326,-0.000349038574889066,-0.0516571059895859,0.0108520936914138,0.0021393678294764,0.00496016046494682,-0.00688451936772888,0.0118272002803612,0.0129837780441112,0.00965679577576676,-0.00261791838212794
"b_SI_PANEL",-0.0121824344688445,-0.0119923093758811,-0.012521922578852,0.00031625288124791,0.000308280479814505,-0.00132259885819908,0.0101245750887551,0.00623677812883839,0.00288250837525997,0.00218973639762469,-0.00525309180614814,0.00568639794666605,-0.00334452862053715,0.0482400503202416,0.000567750257010997,0.000129069593478763,-0.000355752158302883,0.0012553891430299,-0.00318047975866203,-0.00360589001774875,-0.00136324491361493,-0.00288567460170085,0.00492467588859519,-0.00939218999510481,-0.00161873307611878,-0.00498168645265795,-0.000366396958613098,-0.00467111564008732,0.0025825221685987,0.00098112277554861,-0.00660901888160388
"b_SI_ZER",0.00244512744187982,0.00440591089559925,0.00315707920426745,-0.00058697644811004,-0.000111396138676388,0.00192588822044943,-0.00384621739346651,-0.00196071309135884,-0.00223533549882013,-0.00811472052163032,-0.000807496345126684,-0.0195067251489964,0.00673168657175011,0.000567750257010997,0.0684500554318449,0.000331082277622695,-0.00560826571031873,0.00187410513655514,-0.00599304056921585,-0.0014722168498264,0.00404150212935217,0.00497026108029956,-0.0177011574979146,-0.00246242760887172,-0.00192448239334563,0.00354931800556059,0.00722569592048486,0.00353593665325694,0.00557645068150775,0.00704963330669343,0.00164545636823918
"b_CSECO",0.0986362026337833,0.0952588804178121,0.0944198792433127,0.00095883103121091,-0.00396755540841277,-0.00358236554742052,0.00494386994949956,0.00942567993355611,0.0135436423854934,0.0110046863855352,0.00366937893414658,-0.00755483703858251,-0.0034945875478745,0.000129069593478763,0.000331082277622695,0.127748037373516,0.00275397870962042,-0.00683661326750371,0.0119553350677958,-0.0027825189040982,-0.0240576056398987,0.00491177710452999,-0.00844791042199638,-0.0151326955742673,-0.00437126985360786,0.00333821722374299,0.00359098188840031,-0.00362701341041866,0.0102952327467846,0.00804280296116057,0.00194485329803913
"b_Hvalle",0.0275372318448234,0.0296995602866201,0.0301704868464176,-0.000607560583376687,-0.00168675997019272,-0.00194621864474581,0.0034544812471831,0.00387246809282092,0.0038317618854087,0.00497329537902563,0.00242885327577856,-0.0258250034435592,-0.000934951740241656,-0.000355752158302883,-0.00560826571031873,0.00275397870962042,0.0775517521066321,-0.00726318932204794,0.00523512987383725,0.00364702808142107,-0.00657603216967499,0.00127268164833623,0.0307372797959547,0.00537388149199913,0.00448100709434257,0.0064610041273352,-0.00106344286438016,-0.017816848153585,-0.00497846022227262,-0.00184328393674935,0.00310255292966275
"b_Joven30",0.160561138408188,0.158864289673012,0.152209969096174,-0.000186248469644981,0.00439208605120963,0.0111256490777293,-0.00158987196069233,0.00287227498031138,0.00582923700942588,0.00439321700395199,0.0146897410691185,0.0317033258002454,0.0199498145071363,0.0012553891430299,0.00187410513655514,-0.00683661326750371,-0.00726318932204794,0.556864291067363,0.180932106738276,0.141843258810889,0.00176023300989426,-0.0321611546816431,-0.390067433144842,-0.0130767780435521,-0.0065378335481026,-0.00991457013840103,-0.13196051743163,0.0404025420701812,0.0384827410361707,0.0550452567632899,0.022073686234623
"b_Adulto40",0.158833225561355,0.157796113026663,0.154015288352706,0.000869853023037502,0.00290329347441467,0.00379203182739596,0.0157732283560049,-0.00220161207851549,-0.00334388324220401,-0.00347853228517828,0.0145096387932188,0.0400125260624047,-0.0010890692701626,-0.00318047975866203,-0.00599304056921585,0.0119553350677958,0.00523512987383725,0.180932106738276,0.226970605153041,0.140028039213627,-0.0124276491507402,-0.0337715047306947,-0.00981010877974931,-0.00658427013000684,-0.000537924640792325,-0.00156475927112591,-0.0158096123726737,0.0120479330598089,0.0104280398583048,0.0326247897882585,0.0200672717258459
"b_Adulto60",0.137054355964358,0.137867007157738,0.136094758529703,2.82445831918042e-05,0.00186487382213881,0.00388901083341696,0.00519919492242737,-0.00196390631362643,-0.00647744655247546,-0.0071372137248339,0.007696653253554,0.0101233266519571,0.00323457728351969,-0.00360589001774875,-0.0014722168498264,-0.0027825189040982,0.00364702808142107,0.141843258810889,0.140028039213627,0.164728554192182,-0.0122204629189671,-0.0125696168027832,0.0137726544441004,0.00357327611651126,0.00498372109207697,-0.00510775729158378,0.0103886408593219,0.00707903462167535,0.012642574538939,0.0190617236565311,0.0100611861975315
