"asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","logLike"
-0.50384709279812,-1.53349368727467,-2.11166634511407,0.0738162206503003,-0.306749409442801,0.0250311943944616,0.0457665556560631,0.20971727387466,0.363828971831081,0.667114546517562,-0.394325457080042,-2.68093980173102,-0.771067455280525,-0.432361742989251,-0.0114066171418716,0.391107174006387,-0.0709150187643475,-1.0103158900703,-0.486371717494481,-0.501711342021002,-0.179100863754305,-0.162526916983093,-294.684449517318
-0.493197417446744,-1.4712021524567,-2.24555275007848,0.071731201693181,-0.292973897238086,0.0241143691662775,0.262270176947278,0.400973650662713,0.580912869622322,1.01139116798719,-0.431263994778496,-2.83972418343571,-0.569771645854337,-0.186476959371402,-0.0607462973703205,0.353185721242022,0.0243174382031359,-0.933274936727799,-0.365816361020146,-0.518456135027801,-0.107264794659608,-0.316969318843243,-294.481455890329
-0.505120267367852,-1.49999653599214,-2.19934201554624,0.0652126879838534,-0.281444593272822,0.0278672978039369,0.284508120426521,0.467867581009117,0.729143616418348,1.16690862814094,-0.43089008139433,-2.95317362253664,-0.547165305573446,-0.312411198031055,-0.121735364591371,0.145534968172062,0.00676272797593439,-0.941817472826004,-0.343747499103956,-0.522787220793749,0.0219524029260934,-0.15456153560752,-294.223408336755
-0.489934737767072,-1.4976214258317,-2.18580505846439,0.0631768921489832,-0.268822787989735,0.0304470944906158,0.201047922995723,0.454295898910094,0.722528644713777,1.08730945718478,-0.377673587455846,-2.97208077207287,-0.601899200160531,-0.311836144710135,-0.00413667655326685,0.141507018128579,0.0441885791601833,-0.975543724603999,-0.398364646545242,-0.550370608123427,0.0419688546235013,-0.116642421995919,-294.022043213905
-0.477465195643732,-1.49351163086109,-2.14279920231846,0.0633456901374281,-0.275372409034968,0.0237576960300969,0.0834040132445583,0.329757173292347,0.599106097707457,0.921083731812698,-0.355185915212064,-2.98063929594097,-0.600556396748122,-0.367676147878621,-0.0394571276377035,0.243619735558938,0.0254897815423153,-1.03690487625624,-0.468513109559238,-0.638922084921739,0.0377332361449802,-0.145573421554415,-293.728087704572
-0.480734743001878,-1.49808360284567,-2.13966085718724,0.0646679466406403,-0.276121260093146,0.0228744265429495,0.0797685485671296,0.292639215626995,0.552337817375183,0.857838897187146,-0.441224526894531,-2.96866617139253,-0.591820828688557,-0.370958193597548,-0.0160133010718795,0.233210945194595,0.0248510051217039,-1.07096887169844,-0.436817805746894,-0.591824598895344,0.0120479440634343,-0.155035763101588,-293.69155149859
-0.490437442414812,-1.50437858484567,-2.14228916436929,0.0647549787942793,-0.276664085699276,0.0244727330013519,0.0915241406204839,0.288664846336179,0.540676929649303,0.845168791148791,-0.41214724933349,-2.95985351655934,-0.600445082973753,-0.372807704920282,-0.0189306434397798,0.224318884952273,0.0183700279566315,-1.05825620061227,-0.412749555439727,-0.572221130306871,0.00167564584901899,-0.17238859392708,-293.674369020218
-0.491735390981178,-1.50592158687055,-2.14185120263251,0.0653122002245923,-0.276965395778273,0.025684194822352,0.0930835474579855,0.293258282656702,0.543854216251266,0.849547152428087,-0.412317929901616,-2.94789678089589,-0.608864017688232,-0.371498319157273,-0.0227579508159865,0.229941250551073,0.0166980965582638,-1.01956044646791,-0.422979958397431,-0.573589486401008,-0.00146359417177951,-0.177073799982982,-293.662696280652
-0.48881419888087,-1.5027055636214,-2.13849032182326,0.0655250116934701,-0.276983749213418,0.0261880821393795,0.0958163256378872,0.297681446250323,0.54741434061772,0.853591894478594,-0.408226030576706,-2.94832585578694,-0.607971916921131,-0.371439687512755,-0.0203698657739531,0.238069097765616,0.00744133091040968,-1.02163118015306,-0.425378753035568,-0.575642071819702,0.000644569062457596,-0.177886586270603,-293.660466721448
-0.48307756776816,-1.49589273602989,-2.1299277878048,0.0658207424299307,-0.277161002347728,0.0257203074733542,0.105519764794554,0.30380778789556,0.550628165213965,0.858778370331287,-0.399791238052583,-2.95349442790199,-0.615197092819289,-0.369516979055419,-0.0285315606398939,0.247859193600559,0.0157397683240249,-1.028154273241,-0.431579209431634,-0.58070492979342,-0.00128453797197355,-0.177090720496827,-293.657541010527
