"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_1","b_HTRB_2","b_HTRB_3"
"b_ACC_1",0.017493892149609,0.0221088910749847,0.0225113677341851,-0.000865112655207463,0.00120997709085211,0.00179910876257128,-0.00788685175693383,-0.00134877636389605,-0.005294433176923,-0.00768331363774931,0.0953465772432892,0.0333553329578509,-0.00492573028722042,-0.00538326044034191,-0.00115502059120588,0.00221575355254931,0.00210851268935222,0.00586130631902288,0.00773440943339421,0.00479420841384977,0.00923561932465177,0.00604924547808922,-0.00191283338909277,0.00877756794408098,0.00092015547950948
"b_ACC_2",-0.0130230417281565,-0.0203844387128586,-0.0380474301408783,0.00313208261597465,0.0302351544440178,-0.000963899660129246,0.0350814185910565,0.0103488653627902,-0.0103693035599289,-0.0247170565515823,0.0333553329578509,1.37867746275402,-0.0125412460706499,0.00507571462317167,-0.0179353031879128,-0.00895542906918479,-0.0229019839826923,0.0172549999251729,0.0327616441134888,0.00594405679854115,-0.00108549576939746,0.00916916792038703,-0.0137792027388413,-0.0126279645474267,-0.0173613027161244
"b_SI_CAMFD",-0.0115016924961854,-0.00645504913645397,-0.00564537041897178,-0.000629069725485332,-0.00157458775787616,4.31375736639713e-05,0.00380664884025925,-0.000395952852482705,-0.00654602507236394,-0.00423311122820602,-0.00492573028722042,-0.0125412460706499,0.080631876407361,-0.00369536179433335,0.00700841825057987,-0.0032616783443647,-0.00143656899361854,0.00634063686130766,-0.00353376322852893,0.00282961954890526,-0.00409406489024175,-0.000581576756640173,-0.0417282747433148,0.00802198898213905,0.000931647643709617
"b_SI_PANEL",-0.0100669798693091,-0.0101646149941822,-0.010522363246872,0.000277191381841291,-2.25003484926931e-05,-0.00106558979006545,0.0108537106033564,0.0066547168926662,0.00308518886851536,0.0026273751928158,-0.00538326044034191,0.00507571462317167,-0.00369536179433335,0.0461186187082508,0.000457789731546907,0.00020415373471357,0.000102940510998683,-3.97093221045626e-05,-0.00197554277830225,-0.00245462777816316,-0.00187060782533949,-0.00340955353966637,-0.00275562881205735,-0.0106466140594473,-0.00239129045294839
"b_SI_ZER",-0.00448839533032189,-0.00260451052712642,-0.00369435034709037,-0.000591294810806755,0.000362435573707368,0.0018136653018216,-0.00396524525470221,-0.00247051172451212,-0.00244878903278223,-0.00858936713113491,-0.00115502059120588,-0.0179353031879128,0.00700841825057987,0.000457789731546907,0.0665127637639628,-0.000151935940696401,-0.00552020776636545,0.002549727774319,-0.00646442970419244,-0.00120089481268289,0.00391910021850285,0.00412840639090781,-0.0182058732096968,-0.0027419065363463,-0.00197790754732766
"b_CSECO",0.0870950372127758,0.0838641392713043,0.0826674764605006,0.00090253652879593,-0.00358220427052084,-0.00351311180144284,0.00692357950517609,0.00983466446801937,0.0140322466378169,0.01178433968125,0.00221575355254931,-0.00895542906918479,-0.0032616783443647,0.00020415373471357,-0.000151935940696401,0.124842998396873,0.00183262515265517,-0.0125205223088104,0.00957771038019808,-0.00421503397782518,-0.0236985095215633,0.00312243769190886,-0.00455272836887183,-0.0163367756963131,-0.00482418240415275
"b_Hvalle",0.0272287806448944,0.0291796516527233,0.0291934655099753,-0.000620381939638805,-0.00121851848106662,-0.00135504783185206,0.00195421774772318,0.00303376020118528,0.00351078871363947,0.0044512683371732,0.00210851268935222,-0.0229019839826923,-0.00143656899361854,0.000102940510998683,-0.00552020776636545,0.00183262515265517,0.0732349309508922,-0.00355848972835358,0.00370043598192967,0.0029509244300256,-0.00548933250580385,0.000776916524379754,0.0363623976440144,0.00433319530261628,0.00483196071564677
"b_Joven30",0.10907552393762,0.106781743826626,0.102995970236111,0.000163291324526669,0.00163679719011469,0.00877566167269665,0.00940049561093117,0.00841785549417099,0.00967769161340341,0.00776239658287679,0.00586130631902288,0.0172549999251729,0.00634063686130766,-3.97093221045626e-05,0.002549727774319,-0.0125205223088104,-0.00355848972835358,0.395054396050247,0.135534405343248,0.126781548255195,0.00375105294568953,-0.029319757996302,-0.260073593314575,-0.0164864958371213,-0.00461622657342682
"b_Adulto40",0.125310047114346,0.124029309074048,0.121117318563229,0.00106330196945009,0.00177006211190869,0.00326322025916112,0.0183317368121875,-0.000505696083101187,-0.00124217057175161,-0.00201451838999006,0.00773440943339421,0.0327616441134888,-0.00353376322852893,-0.00197554277830225,-0.00646442970419244,0.00957771038019808,0.00370043598192967,0.135534405343248,0.199885157934448,0.127968082265507,-0.0109779305335387,-0.0304439142779101,0.0187686605776939,-0.0048813117350436,0.0033053926148691
"b_Adulto60",0.114393990510609,0.115150602489602,0.113518587494538,6.68931416343214e-05,0.00153212605198709,0.00374363941891391,0.00612366301353316,-0.00179578379792441,-0.00535502969836683,-0.00565184150298001,0.00479420841384977,0.00594405679854115,0.00282961954890526,-0.00245462777816316,-0.00120089481268289,-0.00421503397782518,0.0029509244300256,0.126781548255195,0.127968082265507,0.155367943711067,-0.0113626677188829,-0.0110854754882563,0.0102803426034322,0.00263305051863077,0.00731366271661074
"b_USOCINTURON",0.0565066526089585,0.0600024096205485,0.0617644831480001,-0.00104963371086449,0.0009173723252174,0.00431114645067204,0.00323084722206899,0.00249075596347494,-0.00394882981839955,-0.00725775259689573,0.00923561932465177,-0.00108549576939746,-0.00409406489024175,-0.00187060782533949,0.00391910021850285,-0.0236985095215633,-0.00548933250580385,0.00375105294568953,-0.0109779305335387,-0.0113626677188829,0.104350030850481,0.00693366823486086,-0.03392331002907,0.00710424862065089,0.0100672638635569
"b_USODISPMOB",0.0188972453632305,0.0170759515412667,0.0170106420411904,0.000274638660891958,0.0021461105593701,-0.00211372343356924,-0.0109803195319383,-0.00454698962499394,-0.00175140612951136,-0.00168624452975386,0.00604924547808922,0.00916916792038703,-0.000581576756640173,-0.00340955353966637,0.00412840639090781,0.00312243769190886,0.000776916524379754,-0.029319757996302,-0.0304439142779101,-0.0110854754882563,0.00693366823486086,0.0805912289922482,-0.0397899062882958,-0.0107895881677387,-0.0017924791311211
"b_HTRB_1",0.0153445179267191,0.0157576917306774,0.0182382939713149,0.00147639659398324,-0.00183110723356534,-0.0102120770851471,0.00590924348910804,-0.00433290711066197,-0.00813058820429767,-0.00540868964039254,-0.00191283338909277,-0.0137792027388413,-0.0417282747433148,-0.00275562881205735,-0.0182058732096968,-0.00455272836887183,0.0363623976440144,-0.260073593314575,0.0187686605776939,0.0102803426034322,-0.03392331002907,-0.0397899062882958,326468.155617972,0.0685185019108838,0.052067791648784
"b_HTRB_2",0.0385454751575857,0.040606891661698,0.0395552602170147,0.00116233907681313,-0.00599498682855699,-0.00115101931359496,0.00774650796890051,0.0111422588806399,-0.00421752547975671,0.00385898213899439,0.00877756794408098,-0.0126279645474267,0.00802198898213905,-0.0106466140594473,-0.0027419065363463,-0.0163367756963131,0.00433319530261628,-0.0164864958371213,-0.0048813117350436,0.00263305051863077,0.00710424862065089,-0.0107895881677387,0.0685185019108838,0.297864858327452,0.046045365542144
