"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_1","b_HTRB_2","b_HTRB_3"
"b_ACC_1",0.0363683672047918,0.0440955590761134,0.0308475642012928,0.00113891930874844,-0.00325925202070945,0.00175313054111013,0.00082407968522746,-0.00319708704854552,-0.00545818329802216,0.000315341141084024,0.101692444887465,0.023605554704055,-0.0159702564943888,-0.00962775877894906,-0.00913068550264862,0.00344205102957066,0.00541687934806723,0.00796693216351761,0.016461705211563,0.0146886580095719,0.0133328517280888,0.00290367218104599,0.0155421225513045,0.00301966720311473,0.00190259656864359
"b_ACC_2",0.0349243559689735,0.009919537777681,-0.0265639715872512,0.00822783921679833,0.0326280997603324,0.00698835230676651,0.0490855491305411,0.00514773533596229,0.00470366210650811,-0.065441204654673,0.023605554704055,0.853611524920767,-0.0256357542099691,-0.0107120548668328,-0.0189590736542321,-0.0198732261659643,-0.00225831486678104,0.032058338991264,0.0628317926141497,0.0475144904749584,0.00695901138285573,0.0022941008799492,0.0308396547550345,-0.0176254519421416,0.00321958138728582
"b_SI_CAMFD",-0.0303080407036508,-0.0235323172525105,-0.0156141842448749,-0.00205449983660587,0.00124388816373789,-0.000863851046334981,-0.00374774718842767,-0.0043576770173695,-0.00394501072524671,0.00172087134897194,-0.0159702564943888,-0.0256357542099691,0.0676573659204696,0.00171618775686473,0.00596266143341569,-0.00725999473524454,-0.00381763710886493,0.0141259679137192,-0.0043791773971892,-0.0014134660191482,-0.0105490426456715,0.00239214658553718,-0.0820087967040933,0.000977047856298661,-0.000590755020256577
"b_SI_PANEL",-0.0105739766008736,-0.0128659009727019,-0.00791843275489273,-0.000271168926921618,0.00261381478715777,-0.00130230765578326,0.00728463145879298,0.00871477468316596,0.0061141629105943,0.0035223051715948,-0.00962775877894905,-0.0107120548668328,0.00171618775686473,0.0328739156242117,-0.00433046903566077,0.00138994427956967,-0.000400837993394988,0.00627072267042525,-0.00157169089957825,-0.00259458410736091,-0.00195397109691511,-0.00107397580583191,-0.0111827137548097,-0.0144917327172979,-0.00322707984120428
"b_SI_ZER",0.00516778456561526,0.00478606513328066,0.00541757597384322,-0.00114461128227978,0.00103836318985983,0.00414332093544723,-0.00314965646195007,-0.00106407566435396,-0.000994151309301566,-0.00879504332129744,-0.00913068550264862,-0.0189590736542322,0.00596266143341569,-0.00433046903566077,0.0661998370339025,0.00124600359264485,-0.00351700422213364,0.0184101750242137,-0.00427252218654054,0.00790506211556494,0.00557487995339884,-0.000620662386208795,-0.0267014522164888,-0.00185339599370326,0.00282535514445448
"b_CSECO",0.0924725859484129,0.0962624270975883,0.090519111913543,0.000753275855842868,-0.00555933075395006,-0.00362649621696432,0.0101337522063711,0.0103404865244136,0.0202098690797924,0.0137531414165423,0.00344205102957062,-0.0198732261659644,-0.00725999473524452,0.0013899442795697,0.00124600359264484,0.126240208162165,0.00626615609408962,-0.00293609204408021,0.013069743232,-0.00605360958750079,-0.0223916376376768,-0.00116231275046127,-0.00612731361128892,-0.0172531815868557,0.00362982887376203
"b_Hvalle",0.0319509366541229,0.0303442247719713,0.0314086385462239,0.000303215846194954,-0.00197942763875053,-0.00236250358875384,0.00532291226016473,0.00202105591844018,0.00289105942316887,-0.00221716955121491,0.00541687934806723,-0.00225831486678103,-0.00381763710886493,-0.000400837993394983,-0.00351700422213365,0.00626615609408959,0.0737416277719644,-0.0138336763987513,0.00227889248679281,0.000721994622221316,-0.00532648768085881,-0.00114871272243602,0.0482468745303201,0.0106632419483846,0.00535639308773902
"b_Joven30",0.12636512055134,0.124864775099625,0.110211818264198,0.000867824810661359,-0.00484754028808301,0.00916004734373288,0.016823826422261,0.00279627530964979,-0.000810421431387872,-0.00527324237149537,0.0079669321635176,0.032058338991264,0.0141259679137192,0.00627072267042521,0.0184101750242137,-0.00293609204407979,-0.0138336763987513,0.370865398030209,0.139361618388755,0.1375665280284,0.00027433368095551,-0.015492636634836,-0.251793495994298,-0.0231561030578913,-0.00488650409054547
"b_Adulto40",0.153129016772809,0.146095262227009,0.135742550744328,0.00177636929781535,-0.000561625032184133,0.00550825982773038,0.0149971666813476,-0.00356061610931644,-0.00751445765353234,-0.00965509089494425,0.0164617052115629,0.0628317926141498,-0.00437917739718925,-0.00157169089957827,-0.00427252218654055,0.0130697432320004,0.00227889248679277,0.139361618388755,0.203775427700861,0.138647369390305,-0.00376863837135518,-0.0210234062001383,0.0169133606514965,0.00497301269901896,0.00820036965942604
"b_Adulto60",0.135355355586653,0.129114534527016,0.120330867673075,0.000686983576256832,0.000616827264994737,0.00585604720401342,0.00208311234685445,-0.00800768860709442,-0.0143510709063519,-0.0113232019463039,0.0146886580095719,0.0475144904749584,-0.00141346601914824,-0.00259458410736095,0.00790506211556492,-0.00605360958750039,0.000721994622221371,0.1375665280284,0.138647369390305,0.168827016642761,-0.00506638995288919,-0.00571093154690459,0.0046560145964844,0.00828177396712987,0.00845913092654228
"b_USOCINTURON",0.0650721449788799,0.069955223265691,0.0653831278355613,-0.00124856243090472,-0.000234282370464559,0.00774967453123646,0.00769121574517376,0.00758875493346466,0.00117103887455664,-0.00234875096651475,0.0133328517280887,0.00695901138285576,-0.0105490426456715,-0.0019539710969151,0.00557487995339884,-0.0223916376376767,-0.00532648768085882,0.000274333680955237,-0.00376863837135558,-0.00506638995288951,0.109746562683495,-0.000993050577800316,-0.0190349271633306,0.00467659102340182,0.00599170052904522
"b_USODISPMOB",0.00916153322522302,0.00864938646356373,0.0117863878191823,0.000938690820683136,0.00168379636231572,-0.00356525045767115,-0.00423955604334714,-0.00281798199195819,-1.77090635132277e-05,-0.000729206774097527,0.00290367218104599,0.00229410087994918,0.00239214658553719,-0.00107397580583191,-0.000620662386208794,-0.0011623127504613,-0.00114871272243602,-0.0154926366348359,-0.0210234062001383,-0.00571093154690461,-0.000993050577800324,0.0764545287679668,-0.0457833374182319,-0.00750963868935391,-0.00736215680891302
"b_HTRB_1",0.0282794234109648,0.0287665521979632,0.0355850065649296,0.0024332865475362,0.00489150088590157,-0.00892504744100149,-0.00385427422249394,-0.00467408314973999,-0.00769516098038757,-0.00948399910943536,0.0155421225513045,0.0308396547550346,-0.0820087967040933,-0.0111827137548097,-0.0267014522164889,-0.00612731361128888,0.0482468745303201,-0.251793495994298,0.0169133606514967,0.00465601459648444,-0.0190349271633306,-0.0457833374182319,1.41396572782139,0.0809231030187344,0.0569942521326262
"b_HTRB_2",0.047275532191402,0.0520964181384915,0.0508712842346437,0.00212596330720526,-0.00784931838612853,-0.00176780859751083,-0.00032580454280248,0.00336729925322977,-0.00623590013896876,0.00179685999851423,0.00301966720311473,-0.0176254519421416,0.000977047856298642,-0.0144917327172979,-0.00185339599370326,-0.0172531815868555,0.0106632419483846,-0.0231561030578913,0.00497301269901912,0.00828177396712985,0.00467659102340194,-0.00750963868935392,0.0809231030187344,0.289453963717326,0.0471899616217134
"b_HTRB_3",0.0645341886028933,0.0622274436435614,0.0563789920336651,0.00137554358012152,-0.00511753023441439,0.00172943999346985,0.0112987402015261,-0.00338019660270544,0.00223742524755049,0.00457810515661514,0.00190259656864361,0.00321958138728583,-0.000590755020256593,-0.00322707984120429,0.00282535514445447,0.0036298288737622,0.00535639308773902,-0.0048865040905455,0.00820036965942624,0.00845913092654224,0.00599170052904533,-0.00736215680891301,0.0569942521326262,0.0471899616217134,0.0777370104359253
