"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_CSECO","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_1","b_HTRB_2","b_HTRB_3"
"b_ACC_1",0.192624473313343,0.227719853032942,0.162261259178271,0.101728065399731,-0.0944970665144704,0.0595701755394539,0.00612819881199492,-0.0321758176724439,-0.0591707499542478,0.00320846654221721,1,0.0801197768324997,-0.192535139576099,-0.166515681116649,-0.111283449616534,0.0303790444424838,0.0625530453903119,0.0410240579756298,0.114354844909614,0.112102888248024,0.126206941350443,0.0329307507261183,0.0409870388315638,0.0176004992553172,0.0213987520915827
"b_ACC_2",0.0638454976357733,0.0176811979641948,-0.0482282142432834,0.253657574488169,0.326517433549977,0.081960316111522,0.125988672892493,0.0178815660254281,0.0175998628309357,-0.229817118313761,0.0801197768324996,1,-0.106673960921662,-0.0639465230076046,-0.0797551100429798,-0.0605395779586597,-0.0090011499890401,0.0569774126842986,0.150651482168357,0.125162713038949,0.0227364129462044,0.00898009163950855,0.0280711322992432,-0.0354585013464877,0.0124984269331372
"b_SI_CAMFD",-0.19680327638229,-0.148990143312861,-0.100693182269974,-0.224978357730311,0.0442148870884321,-0.0359865563203194,-0.0341680919107793,-0.0537671443086635,-0.0524317010029439,0.0214660474810645,-0.192535139576099,-0.106673960921663,1,0.0363899566796772,0.0890951672396219,-0.0785560995805496,-0.0540481384950969,0.0891769295389652,-0.037295728016447,-0.0132253403215036,-0.122422161119388,0.0332604896177323,-0.265145008291886,0.00698181831069555,-0.00814584160091573
"b_SI_PANEL",-0.0985019055603741,-0.116859728302539,-0.0732574545542516,-0.0425996840823927,0.133288849798271,-0.07782996661992,0.0952773894815858,0.154258790024242,0.116577460396455,0.0630322030880879,-0.166515681116648,-0.0639465230076045,0.0363899566796773,1,-0.0928283774259879,0.0215760937965938,-0.0081411695828375,0.0567915495278325,-0.0192028422299062,-0.0348274006859397,-0.0325309655603449,-0.0214223530221499,-0.0518683041434344,-0.148561011187292,-0.0638366480587986
"b_SI_ZER",0.0339240696025064,0.0306337758592579,0.0353195254420732,-0.126713164257755,0.0373134625257022,0.174493431309984,-0.029029710806891,-0.013272829825681,-0.0133575660582237,-0.110910010708668,-0.111283449616534,-0.0797551100429799,0.0890951672396219,-0.0928283774259879,1,0.013629878466618,-0.0503370858580032,0.11749551780029,-0.0367857792036307,0.0747749021918853,0.0654050973455609,-0.00872419488926201,-0.0872744218254858,-0.0133890575786747,0.0393849835524306
"b_CSECO",0.439588332446709,0.446178195225881,0.427346098026537,0.0603875444990867,-0.144666638441879,-0.110598018571059,0.0676362330661586,0.09340316602849,0.19663822763055,0.125592666750416,0.0303790444424834,-0.0605395779586601,-0.0785560995805494,0.0215760937965942,0.013629878466618,1,0.0649450414405189,-0.0135694628886635,0.08148774463586,-0.0414662331023581,-0.190235490691762,-0.0118310296587707,-0.0145027986235134,-0.0902569371381465,0.0366415116778649
"b_Hvalle",0.198728081274008,0.18402213823604,0.194013102740238,0.0318044366934276,-0.0673950496832095,-0.0942703426272545,0.0464837257243683,0.0238858909498243,0.0368047574724888,-0.026491330456636,0.0625530453903119,-0.00900114998904008,-0.0540481384950969,-0.00814116958283742,-0.0503370858580033,0.0649450414405185,1,-0.0836513770646521,0.0185905213794785,0.00647077992855917,-0.0592091877750259,-0.0152986624746311,0.149414719265001,0.0729866033464389,0.0707460446006707
"b_Joven30",0.350470173533239,0.337661983737785,0.303569628553577,0.0405897221601381,-0.0735966416850185,0.162985334946333,0.0655125650124035,0.0147363947239292,-0.00460051087473006,-0.0280951140762886,0.0410240579756298,0.0569774126842986,0.089176929538965,0.0567915495278321,0.117495517800289,-0.0135694628886616,-0.0836513770646519,1,0.506942983900437,0.549773301896671,0.00135980148076597,-0.0920058770180205,-0.34770978193853,-0.0706752845301817,-0.0287790326323261
"b_Adulto40",0.572945869084324,0.532979630683174,0.504403868338606,0.112085523784866,-0.0115031101267019,0.132220099591386,0.0787845926854422,-0.0253144631258029,-0.0575473111884798,-0.0693971578578529,0.114354844909613,0.150651482168357,-0.0372957280164474,-0.0192028422299064,-0.0367857792036308,0.0814877446358628,0.0185905213794782,0.506942983900435,1,0.747506122696302,-0.0252007285064778,-0.168432372837861,0.0315089957374865,0.0204764144400642,0.0651543784403784
"b_Adulto60",0.556399173641106,0.517493080112999,0.491240748831635,0.0476230882947193,0.0138799313109038,0.154433873450535,0.0120226361078413,-0.0625468840500925,-0.120744300294094,-0.0894148195190881,0.112102888248024,0.125162713038949,-0.013225340321504,-0.0348274006859403,0.0747749021918851,-0.0414662331023553,0.00647077992855966,0.549773301896672,0.747506122696305,1,-0.0372204978076215,-0.0502671628395991,0.00952958347414571,0.0374638710234161,0.0738398586050162
