ViajeId;DISTAlt1;TIEMPOAlt1;CONG_A1;CFM A1;DISTAlt2;TIEMPOAlt2;CONG_A2;CFM A2;DISTAlt3;TIEMPOAlt3;CONG_A3;CFM A3;DISTEC;TIEMPOEC;CONGESTION;CFM EC;CHOICE
{04857B76-DDC0-E811-914C-74867AD5B714};7.8;17;0;;6.7;18;0;;7.1;19;0;;55.117.573.711.736;149.695.000.012.716;1;;2
{EE2FD15A-E1C0-E811-914C-74867AD5B714};6.3;20;0;;8.2;23;0;;0;0;0;;609.240.035.980.642;197.797.666.668.892;1;;1
{95351185-E5C0-E811-914C-74867AD5B714};6.5;17;0;;6.1;18;0;;6.3;22;0;;642.238.236.534.916;161.440.000.017.484;2;;1
{77DCBC62-E8C0-E811-914C-74867AD5B714};3.9;16;3;;7.3;16;3;;0;0;0;;358.393.955.660.375;143.624.499.996.503;3;;1
{66494761-EBC0-E811-914C-74867AD5B714};7.4;20;1;;8;24;3;;7.6;24;3;;72.025.288.904.649;237.803.333.322.207;2;;4
{278C5F4E-0EC1-E811-914C-74867AD5B714};4.2;16;2;;6;17;2;;5.1;18;2;;416.604.526.925.258;176.693.333.347.638;3;;1
{F911EA1B-13C1-E811-914C-74867AD5B714};5.3;17;2;;7.4;19;3;;6.9;21;3;;435.983.905.216.001;16.182.116.663.456;3;;4
{36D03F80-18C1-E811-914C-74867AD5B714};3.9;11;3;;4.2;11;3;;4.2;14;3;;390.248.803.604.043;96.653.333.346.049;2;;2
{B0201823-7FC1-E811-914C-74867AD5B714};9.8;24;0;;10.8;28;0;;11.4;42;0;;119.266.631.685.472;445.809.999.982.516;6;;4
{0E557454-B5C1-E811-914C-74867AD5B714};11.2;25;2;;11.3;26;2;;10.9;27;3;;101.168.377.793.121;215.533.333.341.281;2;;1
{8A829696-5DC2-E811-914C-74867AD5B714};9.4;20;0;;9.7;21;0;;8.2;22;0;;945.729.067.027.372;237.859.500.010.808;4;;1
{A5C8A79C-89C2-E811-914C-74867AD5B714};4.8;15;3;;9.5;18;2;;7.2;18;2;;874.976.371.847.086;222.066.666.642.825;1;;2
{F5FF8EAB-8DC2-E811-914C-74867AD5B714};4.1;11;2;;0;0;0;;0;0;0;;420.167.366.031.133;104.497.166.673.342;1;;4
{EF25C87F-90C2-E811-914C-74867AD5B714};5.4;11;2;;5.3;13;2;;6.2;14;3;;476.178.389.739.502;109.874.333.341.916;2;;1
{ABCFA180-95C2-E811-914C-74867AD5B714};6.7;14;2;;6.5;15;2;;7.4;17;3;;402.393.944.832.838;141.235.000.014.305;2;;4
{1B8E1A94-98C2-E811-914C-74867AD5B714};4.8;14;3;;4.7;17;3;;5.3;18;3;;46.130.956.407.692;146.347.333.351.771;2;;1
{20BDF31E-4DC3-E811-914C-74867AD5B714};5.8;18;3;;0;0;0;;0;0;0;;479.854.997.903.428;178.704.333.345.095;3;;4
