"asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","gamma_USOCINTURON","gamma_USODISPMOB","gamma_ADULTO40","gamma_EXP_1","gamma_HPICO","gamma_LV1","gamma_EDUBASICA","gamma_JOVEN30","gamma_EXP_2","gamma_HTRB_2","gamma_HTRB_3","gamma_HTRB_4","gamma_LV2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","sigma_FRbr","sigma_EnfCond","sigma_AFrSem","sigma_CulFr","sigma_OmLmVel","sigma_IgPare","sigma_UsoCel","sigma_PasoPeaton","sigma_UsoDirec","sigma_UsoPito","logLike"
0.52496359207735,0.0146187204346943,-0.405361683419223,-0.0151674561839352,-0.134224423641272,-0.156811159482928,-0.056000043705558,0.0302847419574853,-0.0481618033384187,0.059702660987701,-0.0164919628413028,-0.0806707463568819,-0.0946029794810925,0.0130196570084359,0.0385099486713341,0.200907745807482,0.28903847379431,0.208480783130898,0.90013085916274,0.545325312367778,0.0790003612333833,0.106063500184385,0.214206469114895,1.39066596595276,0.277151754598481,-0.0821163345348788,0.138424753523262,0.0953962711273761,0.379344604122919,0.39585331548075,0.613178728905977,1.57599425968862,1.50270113253917,1.44253018444996,1.97492621168645,0.708121197694644,0.693016207213074,0.913305047887248,1.28029436867126,1.23034074565167,1.64398838341733,0.531959829805011,0.516169153403271,0.479681664913483,0.937164384311871,0.379506768391803,0.3496101114704,1.05872340859018,1.04796881865035,1.1629551395246,0.853684328704048,-4225.74515663168
0.550803673899576,0.00915535551701552,-0.409338678951349,-0.0162497334513535,-0.157886012430959,-0.152830002022856,-0.0649560645403598,0.0321874293739198,-0.0507127182218017,0.0637608562783273,-0.0173450387919454,-0.0890342129329535,-0.104000391858304,0.0133629417513677,0.0422703946506826,0.176923348099779,0.276851957923382,0.211437311367258,0.905929619289066,0.537468577209023,0.0660885411805783,0.106505371617633,0.214043826878817,1.42842009493155,0.27671981563354,-0.0892913343800167,0.14648147131423,0.0992137205136876,0.390682866096078,0.415994672703282,0.595914344093041,1.59227415108821,1.51731383553031,1.45906076890051,2.00189074558095,0.683763961231213,0.670813814291129,0.910057074282978,1.26036941242012,1.21722850730425,1.66306274394666,0.533950527168049,0.535326010983011,0.494337995311996,0.9336976334591,0.413035427533454,0.326105096953846,1.04904703972216,1.04362499483098,1.15019309063543,0.845491176421716,-4217.67160288471
0.640636140697295,-0.0121291086348891,-0.411389223543996,-0.0146287145600616,-0.238055656047208,-0.129148134350593,-0.102888937211962,0.0400881554601542,-0.0610021545513187,0.0809341774865916,-0.0208895968275906,-0.122834575283598,-0.140821582189436,0.0135275768294646,0.057420774080886,0.0959334817550669,0.279522929984136,0.271106417160229,0.97270315107927,0.457030585629922,0.0283807988221607,0.0948029837694194,0.2216699622191,1.50711799308496,0.271830242860996,-0.113854758841728,0.185015848945392,0.108456928376063,0.44069952632678,0.510010284954548,0.529767593208587,1.63691392184152,1.55943255304992,1.49697911494354,2.07323756280471,0.701142238555264,0.6828883963031,0.90027207967642,1.20548666321332,1.17326351871752,1.7109488046157,0.551925691467203,0.596778734394858,0.533840812175323,0.931959191576684,0.377967692195491,0.319983748312292,1.00187084552936,1.02065416684856,1.10423904562284,0.819673543629227,-4211.5602759609
0.692623181075852,-0.0233674023133221,-0.413424574316455,-0.00663101497451714,-0.278152040386283,-0.115793657345548,-0.125114237863453,0.0448941351845401,-0.067207677738449,0.0915361518086223,-0.023032603437407,-0.142568787650078,-0.162063618897015,0.0133299428732663,0.0663012369208531,0.0462781254619165,0.28209597675179,0.306567051878,1.00474334984063,0.398116033723923,0.00725420361399139,0.0846450783976396,0.21485810896841,1.51938369563321,0.272115707672758,-0.127338648852993,0.209605608756353,0.113510196551718,0.475993410822842,0.569893676827144,0.508152667040943,1.66199834884308,1.58317040570057,1.51713285183525,2.11114581129785,0.683617080526177,0.661424442027764,0.886210572658741,1.18286225816456,1.16411958707768,1.73632361330781,0.559569080743906,0.614737854033708,0.538579282118641,0.932205503285908,0.359546093642134,0.339478496717037,0.976605652446926,1.00735775396563,1.08309092738055,0.806323731426603,-4199.55297229458
0.741303219394936,-0.0336745391482164,-0.414059610145638,-0.00126061922460407,-0.313364770651917,-0.102188540133238,-0.146570772813812,0.0495430951755737,-0.0729997853792426,0.101987103243666,-0.0250892100496321,-0.161596824511169,-0.182253909154675,0.0129307081994409,0.0749548791648539,0.00165562327978375,0.280379285778816,0.339901367740114,1.02843431601952,0.322033224547472,-0.00983962138557346,0.0803697995375768,0.209232855276463,1.53931162664741,0.270441299381094,-0.141217288885788,0.232102501262671,0.11946089176163,0.511352181545399,0.623877713299373,0.499520693693598,1.67661886023579,1.5982161690144,1.52963384557559,2.12848559307721,0.680681399846431,0.659524877853954,0.863215055081693,1.1667163629354,1.15259290564371,1.75043837657576,0.557970192340565,0.609728046189635,0.526851882796463,0.930032387131538,0.365284216068452,0.339427787617217,0.964420535801325,0.994914533378741,1.0752054303335,0.808391787462054,-4189.74064916039
0.865382018542469,-0.0563683464936135,-0.413982921757676,0.015500048190391,-0.38093954073806,-0.065447109207296,-0.203484195727732,0.0621482806187233,-0.0877233647346949,0.131776240106546,-0.0306482483518417,-0.212255848180495,-0.233829647562936,0.0101631625592549,0.0987272882513333,-0.107204631445998,0.256305613667893,0.418903021250223,1.03844115232047,0.222292337840316,-0.0581754216111275,0.0908005997556504,0.197641056149136,1.54711624200855,0.26207419313544,-0.170135306297297,0.280308589081379,0.146074644756212,0.61773618650419,0.74046205796408,0.550196086024602,1.72282815796298,1.63357441027501,1.59934418861648,2.12225394201295,0.686999042068032,0.665758097045757,0.910817270222327,1.06562876200656,1.10846274164108,1.76581025215971,0.528553500030584,0.615881607052505,0.50676493652396,0.925655691351431,0.369100288594332,0.350340245816227,0.974236657949674,0.965679529804025,1.07210095506682,0.848571263960083,-4189.19843042745
1.01113561837262,-0.0795348864318838,-0.412715950545529,0.0280320990906292,-0.44246641076557,-0.0207362014172807,-0.272059777263435,0.0775531908924716,-0.105281324572145,0.169415553325394,-0.0375467065789988,-0.273686941521341,-0.29421799111099,0.00565750435782934,0.128339395946906,-0.231193452218568,0.21553237221873,0.507659294643532,1.01624178432604,0.205467198936346,-0.11202421471873,0.11748102850582,0.189300930095034,1.51514883615315,0.243617981236166,-0.198430688732592,0.328517897143991,0.186991562547112,0.747207367379927,0.86264304988629,0.596837754150514,1.77791051717918,1.67606465383504,1.66492218312317,2.10925885789309,0.712238897670715,0.689431605477715,0.833853402132175,1.00919462673315,1.06891384005032,1.78522996439928,0.519719897103539,0.654393350281711,0.511279739535951,0.928943105735295,0.370330795066182,0.352219271718588,1.03048039054457,0.930562670863219,1.07319118131315,0.902400001658785,-4176.37786747361
1.15828294554942,-0.0961758273965761,-0.412422339707568,0.0452902353344554,-0.477578756514764,0.0232226223389563,-0.341873833703954,0.0933998897565939,-0.123340707216862,0.211074712963026,-0.0447938716218475,-0.338034232249492,-0.354138189978597,-7.00255028428789e-05,0.160831689691058,-0.350447575413351,0.149999705461365,0.571617228145244,0.993982222155165,0.216267924501626,-0.135898344072002,0.159126117957472,0.186569348994956,1.47140046477696,0.218355295531316,-0.224642851398522,0.376114803128004,0.2419126234858,0.885910960691775,0.982597844345291,0.637349292253181,1.77081387808086,1.69811105039475,1.61538512614056,2.12775366818223,0.731868731444548,0.709116918257403,0.788013464388049,0.929475151010189,0.999230186860744,1.8133013805818,0.559077502733772,0.650825647457035,0.516401623544483,0.948138708270991,0.371910165711096,0.347015068493049,1.05247690065759,0.938454694547787,1.07445748498465,0.930917779796615,-4164.97145982366
1.29212490076902,-0.107245387815218,-0.405013069516423,0.057725766427835,-0.503653407107987,0.0663577154493223,-0.407892261780778,0.107381090928807,-0.140337020971179,0.252424517705401,-0.0515169772021033,-0.401579982994289,-0.40966579161504,-0.00571840458039544,0.19458844618065,-0.444080773162999,0.0854518877977374,0.613752598963865,0.981072886404644,0.2331874609351,-0.131959328568317,0.203508925014953,0.186929103512963,1.44374761906406,0.184026920728202,-0.250622032534921,0.420873603183108,0.308267275581796,1.00688520931354,1.09230505080283,0.664836681235431,1.71802195302906,1.6471414816581,1.63014327138389,2.11910653766953,0.738570234354563,0.714847367465624,0.737017896797517,0.885650328232621,0.936203292106515,1.79871981723108,0.539076797098915,0.651298540603163,0.542857541825893,0.948143370715923,0.363719428886776,0.346164400359637,1.02739126302017,0.980635561292653,1.07843181644643,0.90515207687677,-4155.29706869791
1.40791251530042,-0.113752561448765,-0.388986995091706,0.0625200350271111,-0.538171620721636,0.107047554937612,-0.467126194100468,0.118237114687587,-0.156048475103921,0.290660113656511,-0.0571552904365571,-0.462646918871796,-0.459304273345876,-0.0101164943679683,0.228646006202377,-0.51115165812272,0.0417579910923454,0.641106896466313,0.971243333011041,0.268221662454122,-0.113131830527107,0.234727309900283,0.183300026925402,1.43139782910456,0.139357131557168,-0.279256099063962,0.460260137595758,0.382414254019016,1.09051748704286,1.19015134666885,0.66827602426627,1.74373253642004,1.63504586861607,1.59397199171307,2.06493063837244,0.740909654086106,0.717261562762793,0.710476828676001,0.860885016949991,0.914840133680457,1.74319673418394,0.519521268137911,0.649114380320097,0.54864366697284,0.919406539965258,0.361440755265311,0.341032681435305,0.981341999240496,1.00093832151691,1.09606463927047,0.853061794771516,-4148.28413670905
