"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","gamma_USOCINTURON","gamma_USODISPMOB","gamma_ADULTO40","gamma_EXP_1","gamma_HPICO","gamma_LV1","gamma_EDUBASICA","gamma_JOVEN30","gamma_EXP_2","gamma_HTRB_2","gamma_HTRB_3","gamma_HTRB_4","gamma_LV2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","sigma_FRbr","sigma_EnfCond","sigma_AFrSem","sigma_CulFr","sigma_OmLmVel","sigma_IgPare","sigma_UsoCel","sigma_PasoPeaton","sigma_UsoDirec","sigma_UsoPito"
"b_ACC_1",-0.0580749848326779,-0.0308792663696369,-0.327264702974333,-0.00746422268429719,-0.0362639440741983,-0.00697876369069271,0.0249840266994957,-0.0712760645538962,-0.0581777398946689,0.768197687505939,0.821955545347698,0.00410388992974819,-0.00338200726215283,-0.0218537001613499,0.0524427866954304,0.528905208178333,-0.178664518221345,0.0754513231534496,-0.0367173496829804,-0.011360197888668,0.0643960968363788,-0.421240040214838,-0.482001992837419,-2.56650210865391,0.0165224175658171,0.0125983209416766,-0.00363410087821509,0.0787695315254134,0.0794537879229493,0.0605864362838659,0.0486720293400255,0.0253767070988738,0.0259202132760984,0.0245191694877265,0.0269814669218239,0.0568108796704936,0.0550460150736978,-0.00848123244962868,-0.0111971112095034,-0.0128634570692584,0.0266552665199999,-0.00388560682340431,0.000670714797621987,-0.00540981280485856,0.00550667426631753,-0.00938910965812309,-0.00457680280421495,-0.00010874239341223,0.00430646837243827,0.00765271412744959,0.00219406119145864
"b_SI_CAMFD",-0.0231731609591636,-0.0128574925947032,0.0620302238960758,-0.00326650473081046,0.00658456278019092,2.76968862728861e-05,0.00824528003311496,-0.0095338224241536,-0.00309068692477983,0.0170982113695173,0.0041038899297483,0.0770461194769423,0.00267449288031185,0.00875376229842511,-0.00639666463683646,-0.0156239949614232,0.0113041476893678,-0.0112955165041629,0.0058751696600858,0.000295990653019697,-0.00504464630591108,0.0289229303326866,0.0405977855170787,0.212886201471178,0.00147116671906115,0.0175245488170888,-0.00218717253511749,-0.0326071463680126,-0.0280531597193568,-0.031953670390378,-0.00324414419823453,-0.00254940009872688,-0.00275559765580268,-0.00245529969194596,-0.00291147549294385,-0.00476803932644971,-0.00450122821493559,0.00135850627865254,0.00172300524211165,0.00207446470601881,-0.000939009377030844,9.08552287928942e-05,-0.00100298458612809,0.000202106492221987,-0.000527376319058616,0.00192699032460244,0.00181447466020017,0.00095930259495411,0.000210707357184571,-0.00161306095168087,0.00112655194232186
"b_SI_PANEL",-0.00197962967775702,-0.00441828992186079,0.00955840149754147,2.82337800065819e-05,0.00162160966101952,0.00526469799409491,0.00650984922376205,0.00558935483094027,0.00360847966237635,0.00697065819622996,-0.00338200726215284,0.00267449288031185,0.0343012153041178,-0.00534553064796861,-0.00264663967416965,0.00507632939580304,0.00150341751247867,-0.00196652022767739,0.00162498697445502,0.00139314268272366,0.00155961402413747,0.00205714308505979,0.00939608077140916,0.0587738995921741,-0.00268707240774614,0.0055546041182989,-0.00245724110929758,0.00596332565722839,0.00300542902608108,0.00422231513691175,-0.00077825399938717,-0.000938615450625519,-0.000798869775560755,-0.00121497879536085,-0.00107248691338909,-0.00135314567524912,-0.00132858200226236,-0.000507141017135607,-0.000500684766489312,-0.000633469109049456,-0.000915572342216416,-0.000664385554453718,0.000903793827890347,-7.34791826657715e-05,0.000426056888424332,0.000124059251796016,-0.000305183604299252,2.72593700915255e-06,0.000207259654173031,-2.55148215333452e-05,1.33807163548036e-05
"b_SI_ZER",0.00251318822849605,0.000491758750269138,0.142056895932578,-0.00139324356863169,0.00978062082512456,-0.0211224216335284,-0.0177489500738763,0.0100468957874925,0.0122547913935989,-0.0209585864646237,-0.0218537001613484,0.00875376229842501,-0.0053455306479686,0.0882412448933169,-0.0305629018288041,-0.276038507544351,0.0901377056991209,-0.0342062935541697,0.0182376040318892,0.00312487665873313,-0.0269445765277567,0.201524791446864,0.245767238872613,1.29121839022064,-0.0088664508201194,-0.0145165725185741,0.00684742633529381,-0.0399749067637794,-0.0443453022394724,-0.0388656499919234,-0.0233262615749423,-0.0120874830118414,-0.0117803486161346,-0.0116439978559141,-0.0128957437235161,-0.0285791997212655,-0.0275929371070001,0.00372927985966255,0.00469578760684208,0.00584671791574115,-0.0109915861187459,0.0034841333828294,0.0013008224833506,0.00300334819680965,-0.00202457704958476,0.00433406187822684,0.00240599877563839,0.00123069752477577,-0.000998061471741216,-0.00476361556216869,-0.000142122301314033
"b_Si_MTRP",0.00844764253579293,0.0170713932943506,-0.13200411512522,0.000259308920723953,-0.00906561817042266,0.00824694030917891,0.00489602870322676,0.014201137914489,0.000796627323213511,0.0470746579447006,0.0524427866954279,-0.0063966646368363,-0.00264663967416964,-0.0305629018288033,0.104039229205923,0.185277861547592,-0.0634933250127036,0.0308314519499314,-0.0150410321165991,-0.0043781931628342,0.0122428742358204,-0.151606456904051,-0.169585737609302,-0.902163618236938,0.00379334438479838,-0.0255027035560394,-0.00147728226237923,0.0689365546271233,0.0708797129707848,0.0641274290175921,0.0159062040582048,0.00972910263506186,0.0103829337367811,0.0101133006550262,0.0120332107186283,0.0203300125192525,0.01953492519877,-0.00385960577592554,-0.00505471495254754,-0.006307172837841,0.00991984831536742,-0.00408382426208947,-0.000936754225584654,-0.00264728162683384,0.00223484666514813,-0.00353408363423385,-0.00132214027385466,-0.000415417082786604,0.000574955599408605,0.00372984931743307,-0.000368575778213085
"lambda1",-0.0625021832383685,-0.0438141310807213,-2.16023040633256,-0.00139486099810288,-0.107950593176546,0.0143639052890646,0.166223114601746,-0.0700496696390217,-0.0446287268313634,0.642857783419422,0.528905208178339,-0.0156239949614231,0.00507632939580265,-0.276038507544367,0.185277861547611,5.70791788901883,-1.58535381487883,0.643152574034204,-0.237991823694708,-0.0626017170423993,0.46681039672555,-3.38189034095953,-3.93068601558119,-19.3031168616849,0.0818055770970823,0.209094240396737,-0.159422772880988,0.347915503954379,0.444563714402029,0.230386653584625,0.358203837581511,0.17364624938942,0.173416068859584,0.171869734330459,0.19870384755095,0.428157026259623,0.414653387307866,-0.0453977853434497,-0.0574803453604709,-0.0697482237863989,0.171137526556004,-0.0328075502271974,-0.0152805122837625,-0.0470007280949884,0.0373028812679066,-0.0806005559437482,-0.0377440306106595,-0.0176223504745429,0.0161532891937818,0.0487023064995054,0.00923158084267518
"lambda2",0.0179009762904672,0.0189478951695049,0.746773987804779,-0.000228415603541656,0.0367531985969549,-0.00373314961205819,-0.0519418841591564,0.0207486249953753,0.0159894041313813,-0.2268327496376,-0.178664518221332,0.0113041476893669,0.0015034175124787,0.0901377056991193,-0.063493325012707,-1.5853538148787,0.541025710644937,-0.215252800054901,0.110157548191699,0.0250529801526503,-0.187191676451324,1.22717616931515,1.51098670287634,7.90595129055845,-0.0300465053173982,-0.0869945505425069,0.0692329030150712,-0.130331406370937,-0.164475991964524,-0.0947735348951233,-0.147222026089725,-0.075797751266359,-0.0736845759399294,-0.0723424460789589,-0.0867196434455249,-0.17450375422225,-0.168835346991971,0.0177179074635975,0.0224997499008587,0.0272570025619613,-0.0731775522776562,0.0131667996755499,0.00574857991787,0.016745815935152,-0.0141103561691403,0.0331744128448173,0.0176149956677152,0.00663673616838891,-0.00723407754831744,-0.0184849071738681,-0.00474687900931694
"lambda3",-0.00398850522427618,-0.00483286597721598,-0.436686324892945,0.000294555866087922,-0.0187646405524288,-0.00141214600949865,0.0143024544512178,0.000108576447899281,-0.00256321822065301,0.0982936056004103,0.0754513231534462,-0.0112955165041626,-0.00196652022767741,-0.0342062935541698,0.0308314519499335,0.643152574034165,-0.215252800054906,0.115325469555808,-0.042984180115779,-0.0112215031040636,0.0732946426368369,-0.468894400147851,-0.583857546303586,-3.02873685650436,0.0199044639756439,0.0301556292469735,-0.0240281708200314,0.0254889370792457,0.0307883016110025,-0.00404750087558694,0.0558603236757271,0.0308410746853883,0.0296890571239091,0.0292016592744408,0.0347465648170206,0.0671082365670422,0.0648700181960762,-0.00447819110021364,-0.00569438586312304,-0.00692501485400779,0.0295212576065008,-0.00346281065700403,-0.00141663284846484,-0.00599144068288884,0.00630461789809751,-0.0126176604058642,-0.0067560183751857,-0.00234440259922003,0.0019046619232763,0.00666598960634423,0.00136839599407159
"gamma_USOCINTURON",0.00431465490947562,0.00814232488033152,0.151588956255813,-0.000256995487122965,0.00803318785583062,0.000312903629873099,-0.00975202253665993,3.75957969373581e-05,0.00186530777225857,-0.0471723544906425,-0.0367173496829806,0.00587516966008574,0.00162498697445507,0.0182376040318906,-0.0150410321166012,-0.237991823694705,0.110157548191709,-0.0429841801157818,0.0357819223358983,0.00681342639917798,-0.0480061191585872,0.260424886329419,0.353881133462292,1.93338790103711,-0.00734550257581092,-0.0242347546326129,0.020665176450412,-0.0112308994924177,-0.0193480723083245,-0.00732798105484631,-0.0357003371796409,-0.0212324369715484,-0.0201694935418946,-0.0198104411109771,-0.0242295591338648,-0.0427291896618693,-0.0413091621726251,0.00255181538887211,0.00312528772769889,0.00388908089593036,-0.0198427542771637,0.00298528107320287,0.00126570833485469,0.00391325145561485,-0.00351419499868327,0.00895705975100979,0.00549574618705518,0.00163453360935325,-0.000693807759950909,-0.00399078774388498,-0.001710786218246
"gamma_USODISPMOB",0.00240597219664778,0.00251586992065393,0.0306774239063796,0.000367009834586171,0.000821991398818676,0.00142403887342086,-0.00069688489148624,-0.00202060665195321,-0.00143437178885793,-0.0148603414089452,-0.0113601978886681,0.000295990653019683,0.00139314268272366,0.00312487665873314,-0.00437819316283419,-0.0626017170423993,0.0250529801526502,-0.0112215031040635,0.00681342639917793,0.00907380104463796,-0.0128843079628344,0.0669665434338486,0.0707138236576174,0.392397904255556,-0.00366179552403048,-0.0117230081062747,0.00946642719762495,0.0107518975977692,0.00872935826427221,0.0137508681115322,-0.0074731235252652,-0.0070408033373626,-0.00667822035820745,-0.00632557983624473,-0.00799838890773653,-0.0089279107764336,-0.00863764892508787,-0.000389361590123602,-0.000446144686549209,-0.00069087016955584,-0.00689337491175619,0.000116695404280119,0.000573771008958904,0.00145858373632161,-0.00148786267175803,0.00133573924924698,0.000871429882123169,0.000220073577351094,0.000451383379823907,0.000805533358783753,-0.000140041770925741
