"asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","logLike"
-0.836898727818052,-1.83646345367969,0.0634978811980227,0.039955156392167,-0.558165985152674,0.0174115001964273,0.433207507232833,0.0318549108220027,0.175753444516951,-0.114285103174413,0.00837861565829046,0.062262802493068,-0.18685217955175,0.133269563642038,-0.0879135317765856,0.0902295926207842,-0.193901770464166,0.725549065365554,0.0809704656108542,-0.204827549321592,0.304182025374161,-0.550220663453339,2.41867082151041,2.42309903372094,2.71230628601321,1.29829949160736,-3.72362441182938,0.623435635833611,0.800661279432479,3.03168449409359,-3.71732702000981,0.386743102300796,2.03826742128998,2.69676830703739,-3.94619967775331,1.2925142295664,1.30400574367885,2.98300074415461,-3.30058556206232,-0.946838316786654,-0.214944040264307,3.10566720281562,-2048.54821835337
-0.995707792375389,-2.14305820189759,0.0756579783781571,0.0461768347563509,-0.424380793025148,0.0131740612212341,0.251076098210471,0.0272617106088323,0.174857767264057,-0.119603969096064,0.0215137603051053,0.0866574131391975,-0.231211990561232,0.159102866536951,-0.106561160201608,0.108038831834207,-0.241195657707466,0.666846940089907,0.108800819065675,-0.149636418018461,0.303402411574626,-0.488806141752083,2.60196841395087,2.60633846761694,2.9011083399832,1.38106169039565,-3.89007549062716,0.315360796886455,1.03154171093251,3.22130759931099,-3.84012505671972,0.230103124976872,2.10541559147789,3.01292141464104,-4.13000327401562,1.31333426852477,1.32753599807775,3.21513028468671,-3.3834900113564,-0.830270055133679,-0.567876980051756,3.14559026299773,-2044.2241920549
-1.16797292369451,-2.46140851269385,0.0897008507622002,0.0603466212004341,-0.203147469753711,0.00230307872128973,-0.028124114147159,0.0189610109999069,0.171222034343865,-0.111851323671771,0.0413853418534723,0.121536520141031,-0.290003995436943,0.187772934173954,-0.128881553294107,0.125808114927377,-0.297159900951223,0.608898228099943,0.0655964724622278,-0.153698182746052,0.267659007433024,-0.481963082161893,2.77117156454426,2.766146024376,3.04887242385623,1.32115779953318,-4.00776018406565,0.198663030677749,0.881953243612012,3.45113057617303,-3.88501140463207,-0.0311333436238864,2.0139171103738,3.46007004625063,-4.24471588874268,1.22003219058482,1.23534488754579,3.51631203219056,-3.43139983834271,-1.04732116593488,-0.65196667532057,3.09724233867311,-2003.96406596435
-1.69059150981431,-3.50067423086242,0.133028828949747,0.159158803040615,-0.8341282827367,-0.109120270087164,0.796016858316826,0.0458913419083853,0.123826072362786,-0.117537661767064,0.0829219482468765,0.246705109976929,-0.585973793186167,0.252599875204559,-0.21178577699356,0.104229493492888,-0.409382466050741,0.699790887536932,-0.141360636705906,-0.354962087344292,0.0918165062944633,-0.614516567510513,2.89888486577455,2.82750609498394,3.14889328966814,1.70938205953235,-4.45624938922348,-0.641677485619292,0.113700461774775,4.31127579147158,-4.09893243435812,-0.843155075090742,1.41663044200661,4.86071698955109,-4.5282194158989,0.469288900414518,0.487474047190753,4.71810145155305,-3.2243322100641,-1.41851535968782,-0.939747389894953,2.52194964781194,-1981.4516919472
-1.54293442527611,-3.46773421857036,0.15826146681529,0.232613775182733,-1.19684331747498,-0.189358262146131,0.610704201965311,0.0334742532890897,0.102597887705631,-0.079403166702617,0.115632809556093,0.329326775065072,-0.753118613556275,0.22415985398391,-0.198213634443978,0.0741970325528937,-0.435593162847312,0.743004416366785,-0.0990945523564732,-0.53051959464367,0.12676948683861,-0.783121003242495,3.08243873925739,2.81175316034337,3.03031808278074,1.45922163771077,-4.62476955031347,-1.08967250805906,-0.168661503475251,4.56768346564687,-4.42278111952532,-0.995009934740662,1.75202423439381,4.84521407312199,-4.64037425793462,0.00940243595736262,0.030597215868624,5.15386760427612,-3.73236467342202,-1.2117954311078,-0.69305445564929,2.11077589449231,-1963.41171927674
-1.48278886709808,-3.39360714769786,0.166642241720974,0.233669010364542,-1.13003182514997,-0.217744032846787,0.552209312576983,0.0297888386362289,0.102247883262352,-0.0702738845248821,0.119071130296153,0.349744761360923,-0.799306671431471,0.209474761259541,-0.193526533596427,0.0646020078209774,-0.432171590824883,0.725646727195378,-0.114118573638383,-0.534629370916174,0.153076501075422,-0.803454743289021,3.058205564826,2.85065784819783,3.00390176929509,1.54504517228837,-4.73453217488443,-1.16929220616181,-0.247681772756627,4.61712445789141,-4.51148289426335,-0.918664780152816,1.79515880516715,4.77831876321479,-4.66593269362617,-0.103749516581455,-0.0824520538666648,5.25002254908313,-3.75522699133488,-1.17059761824042,-0.64676289509628,2.01130505288559,-1954.18355617544
-1.22518068838602,-2.79880030610749,0.229588448981517,0.109383607099183,-0.541416964449425,-0.360520532718005,0.864925288037864,0.0285280666576827,0.0714846882567901,0.0429212574250436,0.104109765882839,0.4315254409971,-1.03602156053925,0.111386266515265,-0.191682317043823,-0.00747427790306873,-0.320295105180005,0.662377201252272,-0.313638981823979,-0.495426728045564,0.262124591775805,-0.842996283874483,3.35806760657992,3.06195209138076,3.20863043678531,1.34492330556572,-5.13112667799007,-1.48938739571092,-0.442478824657107,4.77432548644125,-4.81933994261961,-0.795350028553516,2.15955171003938,4.20461071837458,-4.60349581267244,-0.557167077993103,-0.533870132966617,5.65506006182167,-3.64575358905953,-1.37142554910136,-0.842467522496211,1.71027225823504,-1947.77607068453
-1.13468898655456,-2.26902532317645,0.293417582194855,0.151303138305534,-0.601655424955206,-0.397787291128046,0.6394905895937,0.0142518642150506,0.056413618627937,0.0757726317289141,0.0960242472468177,0.487178275381353,-1.18757946912583,0.0133480906469935,-0.219135773513136,-0.0492403919191082,-0.247712410282321,0.747111552704224,-0.230918698994468,-0.48451126142402,0.185234068634083,-0.776716331658341,3.91395797102001,3.09813913678818,3.29892455635027,1.46538529810788,-5.27030726139822,-1.53057501449057,-0.491565188250451,4.82578120413654,-4.86756312243875,-0.742650426922616,2.06235947469283,3.76506528519018,-4.65542841075225,-0.695815637191535,-0.672676746170245,5.90432613701426,-3.36423784099857,-1.565014487507,-1.03544777438168,1.71012253170319,-1933.86553279198
-1.17567054953688,-1.74902825228496,0.405372733147385,0.165950041715034,-0.615527293223208,-0.379286847558259,0.496829925791413,0.00707398650946769,0.0283411714808146,0.120078745041045,0.0628468588714024,0.528550349334394,-1.34682486823712,-0.127700721263191,-0.314619022546217,-0.0797466980076284,-0.141099367353652,0.934016679254755,-0.158898470286531,-0.443802372877637,0.0553037519523301,-0.648257294842568,4.12870631571998,3.36211448625684,3.65150372869035,1.56390467023813,-5.7108817186516,-1.54014697618815,-0.518166723122234,4.86158718252488,-4.46945105208835,-0.923615793813441,1.76737398877347,3.28240316064927,-4.61821039120056,-0.630543504304475,-0.607473801779487,6.1692995316215,-3.45052408348154,-1.47731606516492,-0.920816625957978,1.84687079595682,-1915.7079194267
-1.23788348899505,-1.56022099865931,0.570701880628266,0.103499600419643,-0.232365521818507,-0.300215174644212,0.493058350631301,0.0151165261387916,0.0109544467676909,0.136267559088151,-0.00310835579956001,0.529766786301983,-1.4975933248848,-0.307634069130405,-0.479180029432471,-0.0643050252901569,-0.0444106045730218,0.83609846283431,-0.221328579976598,-0.39809902793089,0.0467054912209049,-0.583640424213159,4.53288491391466,2.93875293100678,3.68338309630305,1.7354252709271,-5.96651365383159,-1.48776402072665,-0.50550068608561,4.83843012477462,-4.30165752970417,-1.15671574239574,1.34890503429357,2.85670949042143,-4.81956714391147,-0.384867807532562,-0.362190834306827,6.40374637867291,-3.67899502695893,-1.20652264363214,-0.621015286265298,2.0748513752239,-1898.28259774156
