"asc_ruta1","asc_ruta4","b_tt","b_dt","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_No_Info","b_UsoCel_F","lambda1","lambda2","lambda3","gamma_EDUBASICA_LV1","gamma_EDUSUP_LV1","gamma_HPICO_LV1","gamma_CSECO_LV1","gamma_SININFOTRF_LV1","gamma_LV2_LV1","gamma_ADULTO40_LV2","gamma_EXP_3_LV2","gamma_EXP_4_LV2","gamma_EXP_5_LV2","gamma_HPICO_LV2","gamma_USODISPMOB_LV2","gamma_EDUBASICA_LV3","gamma_JOVEN30_LV3","gamma_ADULTO40_LV3","gamma_EXP_2_LV3","gamma_USODISPMOB_LV3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","logLike"
0.320769300692808,-0.267629595450313,0.29172463255625,-0.197222580772035,-0.0117900800801075,-0.189349247537313,-0.187557807034977,-0.496136176732607,-0.460142847781307,0.232337398170011,-0.0305225911847145,-0.419049229031358,-0.715304963083919,-0.818757834647166,0.787607702169265,1.14136673186439,-0.155423907203497,-0.675685329935145,0.0847306600407432,0.287771841308591,-0.290801978117898,0.856082816778098,0.190699568582734,-0.906709675799154,-0.653601515329698,-0.711741358373931,-0.551083241548057,-0.686945454610499,-0.0144419604470204,-0.617879529353814,-0.202285324058957,0.752052200896649,0.0753573019372856,2.46495966944393,2.37418335762009,2.50255769256182,2.5887862789948,2.58243740733402,2.85428630085906,1.30345725202604,1.47678729340112,2.17718948382762,-3.85178831814537,0.620106960127152,0.697452178657521,2.96188642606426,-3.85465004515215,0.978570737683041,1.13612666301378,2.80308362323436,-3.97667007053947,0.913361499995705,1.4379077548552,2.96387789691167,-3.34760175411708,-1.06111860744698,-0.0188900421156649,3.04684868782287,-3.57467202722685,1.44281451658034,1.6893104711031,2.20870634938386,-3.59021493996793,1.19600130190674,2.04366156761345,2.46216584403772,-1.99111289776984,-0.525559379854894,0.368508809276108,2.75382645976071,-2.64386735092562,-1.5887159566469,-0.976633429262015,1.43514749947333,-3.7717205293253,0.751415443660712,1.15052063424316,2.43973303290955,-3014.76573884155
0.303584678361552,-0.280852211672284,0.332348693828955,-0.253230864068929,-0.0216292642630406,-0.227895247996636,-0.227473494681489,-0.552862801919693,-0.478211682642518,0.257645740110032,-0.03009122793899,-0.477167959979847,-0.770664404196487,-0.704205067612519,0.84980148200974,1.06157895406757,-0.239016569816004,-0.646361629611525,0.073677200646017,0.236608436688021,-0.201333139738391,0.896988718897219,0.0823578440436885,-0.945348993622208,-0.762929682762115,-0.629329674746831,-0.527259414063795,-0.633806588187324,-0.0581471937793805,-0.648615753492385,-0.229536259103318,0.762491190835813,0.0466560485241051,2.56455531926732,2.47685000597945,2.61680012613138,2.54380411526967,2.70806499625625,2.95921852882189,1.38652052621691,1.42707638814581,2.23358250259713,-3.91123035467464,0.594320021684899,0.673380662903882,3.08660228272578,-3.86193389917814,0.972776809642664,1.1225462544097,2.93844609881927,-4.00071333830732,0.893303582253864,1.47307813773531,3.13523469948568,-3.57684251214717,-1.2653075218216,-0.00297002713559856,3.08342178454699,-3.61792584970924,1.3805117372995,1.71219713020526,2.32696251827309,-3.67940230144813,1.26675882290334,2.08847680255457,2.54691619350765,-1.97978638350555,-0.527805545814127,0.461634913479395,2.67208238318916,-2.80610570780477,-1.62722217477158,-1.00141925711412,1.28813979317241,-3.75938921767758,0.769444235595648,1.03110964476387,2.53805868012605,-2988.61344206982
0.201329860369025,-0.195994568109514,0.487188478893545,-0.348656654834706,0.0509731742792928,-0.284605158426064,-0.294349969624459,-0.641453420290904,-0.500751681526828,0.292359100072302,-0.023841053970056,-0.481376781020943,-0.769050155542417,-0.618889890508776,0.88905307122463,0.934471100700716,-0.25261498357205,-0.649987773192044,0.113684812577759,0.235987352922394,-0.0214725270805041,0.82385898136241,-0.0808190167656847,-0.968023559322813,-0.855433074029237,-0.667857901961881,-0.541227046235482,-0.579959945519174,-0.0880901512550974,-0.694668829463509,-0.252117144049637,0.769448231528384,0.0188812665461411,2.65255869398854,2.5340730660153,2.69393755543789,2.7335478942845,2.87869935455374,3.11785046196435,1.48387404557958,1.30160143311843,2.26187016665206,-3.98162014350899,0.524720599331321,0.603921473625271,3.26685931208698,-3.85764914264729,0.91316100212332,1.07353059784227,3.14167432405754,-4.02111671391514,0.847224017410437,1.46638775723954,3.39238435149943,-3.84480965325633,-1.52220781479844,-0.00306219557234477,3.09501330370381,-3.63961296006336,1.37279936231429,1.59405218719834,2.4862518344014,-3.75134865496708,1.37006691688487,2.16459751478119,2.59313412277938,-1.9996146255705,-0.506752525712159,0.541375008478076,2.55763450960939,-3.04043114223162,-1.65472688891455,-1.05574980488567,1.09737930073688,-3.69576387706389,0.537073014275512,1.03372587692039,2.66414518641154,-2965.52386396766
0.0251954525426225,-0.0571553355965444,0.583933437179492,-0.461901049821142,0.0859562135306576,-0.341598343263683,-0.367188043051675,-0.732444198577974,-0.514767856901517,0.325949423077769,-0.0179566016104786,-0.443864510456109,-0.731977706012158,-0.525164993496489,0.851110302724129,0.753836974855237,-0.245206685159893,-0.750733642334129,0.09586249750962,0.163967657849855,0.0505853567639626,0.931286668834251,-0.0879383787009768,-0.953532109961145,-0.84604208621189,-0.673341057755322,-0.383607277465779,-0.451991451832195,-0.0952323297451923,-0.736793312619685,-0.260342163153108,0.774446327166826,0.0094768967390945,2.68500760839437,2.52117383043868,2.70723279327641,2.97356357815404,3.00134797421137,3.28329220834695,1.53194196240032,1.16056619858643,2.20457964689777,-4.04457920170699,0.43874622688184,0.523012562096637,3.44435035244161,-3.84994770942959,0.841990539112965,1.00628968070402,3.3427053137587,-4.03923259523293,0.776636366864476,1.46047747319482,3.64640969661719,-4.11997055286169,-1.66399715976176,-0.117509861304083,3.09218197043583,-3.67136182714843,1.2979911432405,1.55922455010777,2.59420796606018,-3.79963695404539,1.42314266131703,2.29972899670335,2.60038345441577,-2.07090977093766,-0.440752075221973,0.464827770350654,2.50444705931428,-3.24189088911374,-1.68384008897988,-1.17491307150296,0.945588326625249,-3.62421883563378,0.418892024994865,0.91274372716851,2.76773187821642,-2944.09160695027
-0.112429586828014,0.0711487022411879,0.562795668729994,-0.547147633459326,0.119138969463129,-0.390861506505011,-0.445662422074398,-0.811757191346361,-0.510896899993951,0.357920732921591,-0.0152298631132465,-0.414435132412408,-0.705756520761922,-0.414126917089061,0.801622320797088,0.495700682697605,-0.246436299786409,-0.86304472832486,0.029195563402532,0.0996778540552115,0.0384815545568518,0.810140246153859,-0.0478956057787326,-0.948487321202867,-0.759548054006844,-0.787854570194113,-0.333038721158679,-0.435767653705734,-0.152624757224657,-0.777172359847829,-0.29273743024917,0.764276298055888,-0.0195682348310673,2.71730705835459,2.50567451856242,2.71777492843012,3.0847225567534,3.10013246896994,3.46114035286959,1.5222902854494,1.04071279726565,2.12101420301215,-4.08162814529553,0.354743230417539,0.441776111947602,3.61560239973095,-3.81312011924273,0.772493109918424,0.939944181388173,3.53400323461066,-4.03407029954006,0.708383582305004,1.45935156798862,3.89199401621775,-4.45635876387259,-1.75606224332102,-0.308507341696703,3.09495596398833,-3.70136258975156,1.24909049703365,1.52610771137083,2.67032088822384,-3.82624118940147,1.44025336889406,2.3100419949169,2.75876985285568,-2.17127836653248,-0.461179979902474,0.340426516430969,2.49822058149899,-3.39031105503261,-1.84670415510366,-1.20089053703798,0.829788676500173,-3.5317965369265,0.344739772123388,0.784757659561387,2.83510932098288,-2924.17709640093
-0.117245588736904,0.16133636683329,0.506304227820409,-0.547352686635217,0.216562963558129,-0.413486012605181,-0.518945947591561,-0.849078773418565,-0.488698081064822,0.382897141152066,-0.0148110561548783,-0.403886929972341,-0.694708044836167,-0.329135172750187,0.738796406431423,0.230067675970365,-0.200057332201574,-0.914326964994595,0.0125959030429099,0.157666550334024,0.0147283984829096,0.888430035747482,-0.0436542198452046,-0.949150608641296,-0.690565113242199,-0.789321874857312,-0.368627061918905,-0.452666639933803,-0.245994710175278,-0.805123992353768,-0.339876103375614,0.749892340973494,-0.0488707133937637,2.76915936665885,2.50971787641797,2.74933019956252,3.14584114946777,3.14767716057314,3.57674610108615,1.46648946111383,1.01153172017865,2.0822163346397,-4.08434404101645,0.283331331984078,0.373627183338612,3.73956254751326,-3.75081006825942,0.71024372988067,0.883763649814105,3.6703658671008,-4.00608635138383,0.67519728464442,1.43369645380251,4.07329650235219,-4.73633295832475,-1.83292122650528,-0.503099017900326,3.0906048350428,-3.72992738105219,1.23781842361064,1.50837203760726,2.69628774897398,-3.85240849572312,1.4408731227194,2.35755459677329,2.85935884182387,-2.28109342159514,-0.645757926224363,0.266016766681382,2.48927940832759,-3.46829344085926,-1.92312966690039,-1.32190567838105,0.777982511515979,-3.41555721286566,0.245475566129072,0.759475074894605,2.83970038466083,-2907.75478386284
-0.10954989038831,0.266163934614965,0.495326588061427,-0.499665532431352,0.234447196155955,-0.415845473911217,-0.591457533691233,-0.849577538786471,-0.46743981538459,0.400406216474815,-0.0152070276355489,-0.372564823557862,-0.640845162661716,-0.309117152095161,0.650314414803759,0.0282709184411473,-0.237489777723333,-0.874874109735935,0.0170236561078133,0.20430536992039,-0.0518078313094194,0.810922204260651,-0.1038705458676,-0.954810140466033,-0.681273103517159,-0.685667800259727,-0.353103901898371,-0.451414338277976,-0.289672427865737,-0.818249774929284,-0.375358464790856,0.743013570557054,-0.0595152586658852,2.81300442133772,2.50372624579751,2.76507428269536,3.22710285864294,3.1579603129141,3.61625718973626,1.41530012897983,1.05302564974348,2.06044750013934,-4.07779565529419,0.226918350517535,0.316187892526868,3.83143949249298,-3.68141374186344,0.661921782017863,0.83240547368055,3.76768373439007,-3.97386305453657,0.691123062544222,1.36673047286575,4.2100687868098,-4.93295178089803,-1.95664273765975,-0.62522119790513,3.07833860926457,-3.75390218186476,1.22700654608852,1.49354969724762,2.6936889380178,-3.90446494405822,1.46722288332552,2.41332358338861,2.8808214121431,-2.43278014739839,-0.800531599241924,0.103204396903547,2.40840468449391,-3.51102062733999,-1.99039570960233,-1.41955173213372,0.722397268511491,-3.29991622850517,0.23928683711679,0.712902599592343,2.80511561386691,-2895.90812511393
-0.0690598270164546,0.324640143789962,0.467957201072239,-0.42800928362268,0.142374523617617,-0.408401184895247,-0.667434960424225,-0.819586938902364,-0.446997943020729,0.416383632793731,-0.0205092548790878,-0.37686632982462,-0.592241258680597,-0.233303380176975,0.605446025335574,-0.0309682637024351,-0.26287195180588,-0.853432325277103,0.00519892255317905,0.206647641503556,-0.0990716249070351,0.823117102072333,-0.112530681985375,-0.91971843213422,-0.695176120457054,-0.677353102938404,-0.356898451702694,-0.458535400717061,-0.301123046299628,-0.822836373114086,-0.391554782638029,0.745718193362502,-0.0546221068585806,2.85041242127318,2.5044160041427,2.79332720105763,3.22097021661838,3.17299264966735,3.6412437237047,1.40156774050802,1.11034775469494,2.01074386922137,-4.07788834013827,0.182971593952919,0.274839906405296,3.90910868848826,-3.6154775501482,0.6249680707356,0.796676206495266,3.84466559428417,-3.94447590845701,0.695544702337791,1.32406946803077,4.32544160820073,-5.11416070996473,-2.07937703879074,-0.735924240023632,3.06837436661037,-3.76855712985811,1.23754955230526,1.47834320337833,2.68655984152724,-3.9635232591067,1.50152377006602,2.47380196335996,2.89735860544557,-2.60692368735827,-0.884359692347737,-0.130650653935037,2.25721552755199,-3.55496250807744,-2.08836946570727,-1.49150188851116,0.664047181975351,-3.21657188903973,0.170221043563792,0.782599131435943,2.74862860726438,-2886.90613117245
0.00884114283677144,0.398105900723351,0.5181134282994,-0.330390761480117,0.0998755400035317,-0.387231934855705,-0.756042752033303,-0.763078149030763,-0.431182061736627,0.430742241098488,-0.0259900661704213,-0.37350848079296,-0.508154870597368,-0.196645555019773,0.536519466953846,0.0128392776712519,-0.230450770128123,-0.850663579414561,-0.01235330885998,0.210183741767369,-0.0888633308005113,0.832484732299817,-0.0630471846515133,-0.846128700565106,-0.703237370377086,-0.741321185507206,-0.37465411156129,-0.454779638009903,-0.39449058665973,-0.831408107369618,-0.429491179149835,0.732150919714946,-0.0839634523963664,2.86822952001901,2.48310955468214,2.80150955767855,3.24744041165357,3.17833548904938,3.65300293265135,1.41833644386847,1.15899221516194,1.95031007572847,-4.09424343441074,0.143074391978007,0.237401411933057,3.98006906668853,-3.56111552579964,0.591178312783631,0.764597945828087,3.90944560102268,-3.92901989943613,0.65959313760449,1.3147499433289,4.43076493379857,-5.26349810613112,-2.20936221691908,-0.826549399919255,3.05186022260551,-3.77704516092569,1.22254529820219,1.48420323324377,2.67508490051999,-4.0253966381964,1.53329000229354,2.51275880115759,2.93231035933282,-2.77797470493803,-1.04678883709768,-0.284963856120034,2.02933809580555,-3.61527483696367,-2.19669484697444,-1.56650287493091,0.604973954528294,-3.15158008327853,0.212809638432762,0.781932883304154,2.6763870709376,-2876.85195336433
0.0566816788286453,0.43467737983483,0.460818086489159,-0.293395059328673,0.0743863925842982,-0.367787794717477,-0.826800604191304,-0.716017071232725,-0.418801678488892,0.433615020545977,-0.0346716920725608,-0.386927717749191,-0.449165276394947,-0.202022377412291,0.485260538999412,0.116638808955042,-0.219055930537241,-0.864695701546143,-0.0309385123299135,0.157274943882858,-0.0971211742270666,0.806116825527637,-0.101330621870096,-0.834291501367392,-0.704697292757318,-0.745477386327936,-0.355038239851883,-0.445440206904885,-0.421418559752741,-0.833482742944107,-0.420536097322713,0.7211839781338,-0.0922875448699668,2.87107589245122,2.44865472680844,2.78679369845278,3.24442283377106,3.1654103855609,3.67114468271086,1.40962901690396,1.1116137662815,1.91440917778108,-4.12105039796394,0.121627857731708,0.218697883739393,4.02424638187238,-3.54142690224081,0.574526308164149,0.751348905888255,3.94376488378403,-3.93889807432897,0.622573011897428,1.32301865067786,4.49792131741523,-5.35884738354633,-2.25090639637365,-0.901277783399763,3.03894014492015,-3.78552615120678,1.21175267063019,1.47765135003907,2.66586454274358,-4.05670247299463,1.55187872932139,2.49801435854467,2.98856718796632,-2.90025819958315,-1.20291407325545,-0.352236619835142,1.85766874243094,-3.70187298065288,-2.23136514105735,-1.70301886740335,0.561635025418187,-3.11129635353564,0.226243450935032,0.806916390173306,2.62114961849114,-2870.48783965578
