"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_CongAB","b_CongCD","b_CongEF","b_Sem_0","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_0","b_ACC_1","b_ACC_2","b_NO_CAMFD","b_SI_CAMFD","b_NO_PANEL","b_SI_PANEL","b_NO_ZER","b_SI_ZER","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_2","b_HTRB_3","b_HTRB_4","b_EduBasica","b_Exp_1","b_Exp_2","b_Exp_3","b_Exp_4","b_NoInfo_traf","lambda_1","lambda_2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","sigma_FRbr","sigma_EnfCond","sigma_AFrSem","sigma_CulFr","sigma_OmLmVel","sigma_IgPare","sigma_UsoCel","sigma_PasoPeaton","sigma_UsoDirec"
"b_Sem_2",92583.8100737753,92583.7711102483,92583.6966960625,0.0108838523237757,-0.0220319206996355,-1468918.06136701,-1468917.98685748,-1468917.97419642,-225759.808695183,-225759.761914858,-225759.728696259,-225759.792247276,-225759.911400567,6973018.00493087,6973018.06915696,6973017.81752113,2557617.43067855,2557617.54673991,-39738.0561684386,-39738.101629229,-6684.07660475482,-6683.98808209849,0.22238459317805,0.150890724143239,1.57331061850066,0.384299176730863,0.295987904125234,0.237705162112483,0.28747424567891,92582.7357765235,92582.8924084359,92582.765927479,0.164884898364246,0.301007827810447,-0.544298843757694,-0.0184980546523124,0.089781879544056,-0.0633538786798596,-0.0255899200240344,0.212714833349564,0.00214275065044624,0.00140617309906158,0.00164095555364273,0.00152075875035283,0.00125370097888098,0.00105251711767316,0.00143332434890499,0.0293177313347441,-0.0224788453466083,-0.000617995454540798,-3.21240525594742e-05,9.22054891730732e-05,-4.05418257980585e-05,-0.000258164175641805,4.5267334147734e-05,-0.000318409758085602,-0.0235078600674152,0.0252932735624889
"b_Sem_3",92583.8110748948,92583.7673087514,92583.6881102563,0.010593577083497,-0.0241269556078729,-1468918.07248527,-1468917.99827557,-1468917.9898882,-225759.861617221,-225759.812385667,-225759.792247276,-225759.767720549,-225759.920862984,6973018.05439475,6973018.11895528,6973017.8819339,2557617.4145526,2557617.53362965,-39738.0566502621,-39738.1036288664,-6684.07682265262,-6683.99356198626,0.225862497417489,0.147976808840497,1.57477017405631,0.381838865221825,0.294043574350406,0.232290993583678,0.286404624834898,92582.7470497938,92582.9013811543,92582.7695004528,0.164600360786977,0.297294813969198,-0.546844565498407,-0.0142289662900456,0.0839322573707945,-0.0650855688302417,-0.0273117292866728,0.213496175731583,0.00219437723851731,0.00144209517158204,0.00167936594020848,0.00155796642168825,0.00130905632878709,0.00107980190022392,0.00146378408860196,0.02963355690024,-0.0227721770261887,-0.000633142036238189,-3.13843961072327e-05,9.47755600505311e-05,-3.89663474259948e-05,-0.000266260017344449,4.78047273710688e-05,-0.000322865893525826,-0.0237777496256386,0.0255961580422016
"b_Sem_4",92583.8092843895,92583.7684794249,92583.6793644655,0.0106261696778494,-0.0320089150945504,-1468917.86275984,-1468917.79747829,-1468917.78148178,-225759.980112311,-225759.927137312,-225759.911400567,-225759.920862984,-225759.803293293,6973018.06624354,6973018.11498497,6973017.85156184,2557617.09459341,2557617.204661,-39738.0829615772,-39738.1195638656,-6684.05658367199,-6683.98065186557,0.214821646804018,0.144881801606683,1.54437008697535,0.367685269511242,0.278027621432268,0.229012292435695,0.291728156169178,92582.7682667949,92582.911083207,92582.7787351032,0.161275527750063,0.28561166313791,-0.536603918426866,-0.0327548088852789,0.101129180304062,-0.0566894677759968,-0.0239834324759412,0.214052719153197,0.00227061757694515,0.00149953546983071,0.00177770238353817,0.00163565013296504,0.00133353098541884,0.00113140232567361,0.00146792222350903,0.0284821364573683,-0.0220415412907987,-0.00062061616518525,-1.4979846869355e-05,5.45717351893421e-05,-4.10453970179337e-05,-0.000257097199050022,5.42241612632644e-05,-0.000312216028331693,-0.0228733908716708,0.0247544798451547
"b_ACC_0",94797.2354064423,94797.198700559,94797.1073242401,0.00320819209896081,0.0128554852245302,-10590802.9888479,-10590802.9729407,-10590802.8092145,6973017.9563401,6973017.97328364,6973018.00493087,6973018.05439475,6973018.06624354,11559860.4994748,11559860.4623793,11559860.0000238,18597345.0119738,18597345.137173,-40391.3197063469,-40391.3859985408,-605588.755950999,-605589.016471675,-1.1620320046724,-0.144828957129993,1.51229817275216,0.230938369924091,0.298665774496862,0.475021562734377,0.460231706422443,94797.577892382,94797.6372737144,94797.415043321,0.0594858877836585,0.352901617800771,-0.560664648303536,-0.171017160544509,0.0827790158634406,-0.109431455459375,-0.0213632734149148,0.253461258534709,0.00253214836956186,0.00201366628121502,0.00247106522476204,0.00190064707248639,0.00523738336675032,0.00109893738531955,0.00619094263671979,0.0302657850689533,-0.02679601656133,-0.000793084578292256,-0.000403224992885247,0.000354204736516475,-0.000733420910050415,-0.00048485410116797,-0.000142223114471353,-0.000718970772878095,-0.0247250620898302,0.029840055989679
"b_ACC_1",94797.2356037642,94797.204553211,94797.1142993545,0.00223698458958456,0.0122306399731798,-10590803.1048724,-10590803.0833103,-10590802.9239592,6973018.01366211,6973018.03777709,6973018.06915696,6973018.11895528,6973018.11498497,11559860.4623793,11559860.53303,11559860.0226422,18597345.1296316,18597345.2516697,-40391.3099223791,-40391.3809060519,-605588.765398619,-605589.025614426,-1.15521086971981,-0.147465131135985,1.52912726803972,0.245817524517905,0.307817966944957,0.485492195500633,0.463280113531143,94797.5752892217,94797.6287504686,94797.4073966395,0.052305444313698,0.345493580577577,-0.572617187078996,-0.180967254292442,0.0658388155126398,-0.112864456683954,-0.0150089110147297,0.248991752407142,0.00242484560544523,0.00194809213283115,0.00238394654320721,0.00179571628669001,0.00513165927261519,0.00102727773721538,0.00613996509753796,0.0297151094981463,-0.0262910353609778,-0.000768771583362334,-0.00042004988185884,0.000355497029329093,-0.000714101907439396,-0.000471635351138057,-0.000134420049738788,-0.000714631405874614,-0.0242853643248067,0.0292779148847536
"b_ACC_2",94797.2578678023,94797.246197601,94797.1454524125,0.00409955498323008,0.00501811544629853,-10590802.7526683,-10590802.736788,-10590802.6009409,6973017.7840891,6973017.7980109,6973017.81752113,6973017.8819339,6973017.85156184,11559860.0000238,11559860.0226422,11559861.167242,18597344.6996748,18597344.8404106,-40391.3453515183,-40391.3908291321,-605588.741502423,-605588.989515383,-1.16534536865601,-0.128289735021502,1.5146416153108,0.243736898369808,0.294561219257826,0.482515714900687,0.455028252206431,94797.5912226734,94797.6357728731,94797.440123272,0.0640997439952004,0.334155564330188,-0.545505089433638,-0.166981293681695,0.0855194348124233,-0.122560323502051,-0.00469737625396027,0.238525968439994,0.002069459125943,0.00168019661696648,0.00206421087931326,0.00146958583838921,0.00479055590965349,0.000812796079289048,0.00597828886575765,0.0290399966310523,-0.025359440656517,-0.000724508267870191,-0.000435594534153845,0.00038257805919458,-0.00068813617599748,-0.00043467546471293,-0.000148695979096036,-0.00070578449500716,-0.0237144055408864,0.0282913384756497
"b_NO_CAMFD",241843.263866768,241843.139594074,241842.926461268,0.0325273149857163,-0.0338140721771701,-1888042.06443175,-1888041.8779753,-1888041.78833775,2557617.3844744,2557617.39864924,2557617.43067855,2557617.4145526,2557617.09459341,18597345.0119738,18597345.1296316,18597344.6996748,-3654417.87224466,-3654417.66652921,-102366.418091807,-102366.523094764,-69028.4619428038,-69028.3580218524,0.00207369032876325,0.715319012158938,4.16347239159676,0.976886025811357,0.773570678803288,0.74512032303514,0.687392812097887,241840.667089913,241841.012069703,241840.659758876,0.384335266283066,0.832976291369652,-1.37710706872462,0.0570266763517208,0.28629402514888,-0.0827807654335197,-0.0526424606127425,0.578117395839254,0.006095423491591,0.00496149584697636,0.00515857410057224,0.00493817763428252,0.00532497574336168,0.00327966229046536,0.00513137108632284,0.0836931868843898,-0.0643816435438742,-0.00140305611559109,-0.000365109996914485,0.000187022287618785,-6.59254465858376e-05,-0.000575868288384428,0.000318193638107007,-0.000761760213434947,-0.0661375736149253,0.0721204962982187
"b_SI_CAMFD",241843.264426251,241843.147038251,241842.934154504,0.0316996869905668,-0.0363914044902794,-1888042.23021241,-1888042.03526093,-1888041.9499856,2557617.50783357,2557617.5178025,2557617.54673991,2557617.53362965,2557617.204661,18597345.137173,18597345.2516697,18597344.8404106,-3654417.66652921,-3654417.37189937,-102366.401192282,-102366.510101248,-69028.478345319,-69028.3656176055,0.00127399234526405,0.716431477994073,4.18027527034636,0.974380164704153,0.776735407063236,0.743719875515782,0.686504923445591,241840.685851517,241841.024523417,241840.670480528,0.382512095481709,0.823567938848049,-1.39060306241464,0.0595534375976592,0.288679640622309,-0.080371462809255,-0.0540646222752387,0.572651509825478,0.00597985095598614,0.00486593456918974,0.00504283630416274,0.0048302883785747,0.00524831644187738,0.00321931019619489,0.00506808104264723,0.083273035636136,-0.0640268448412316,-0.00139791719490426,-0.000365383277768239,0.000208872082441071,-6.02861101494422e-05,-0.00057516864018294,0.000299464475350641,-0.000755892965499284,-0.065801309364819,0.0717257979247498
"b_NO_PANEL",13380.6764365566,13380.6687698061,13380.6582923958,0.00192596416818045,-0.00262239025193675,56419.6046461937,56419.6198552988,56419.6194169662,-39738.0635538014,-39738.0597474873,-39738.0561684386,-39738.0566502621,-39738.0829615772,-40391.3197063469,-40391.3099223791,-40391.3453515183,-102366.418091807,-102366.401192282,-5648.73359504751,-5648.76433056596,4343.75190716258,4343.75979978527,0.0533015956276994,0.0413057943995788,0.230809163840707,0.0616729047466697,0.045978569415205,0.0313546104424174,0.0400878971358847,13380.4851570262,13380.5057866914,13380.487629945,0.0267402320190207,0.0490313773740052,-0.0745970961662642,0.0147068210589468,0.0168492881123316,-0.00880448426994623,-0.00428080678874857,0.0319595145729268,0.000351185131508943,0.000262261766981626,0.00027480560544667,0.000272874186216637,0.000280607629895874,0.000204461451219309,0.000217309134307612,0.00468183355239271,-0.00350137994867084,-7.22806442195576e-05,-2.70263079754936e-06,1.25050975079943e-05,1.13734929122002e-05,-2.80604634802703e-05,1.01562604135888e-05,-3.86961198294519e-05,-0.00368906799222361,0.00395900738794971
"b_SI_PANEL",13380.6761574647,13380.6696026843,13380.6578881018,0.00215149117969281,-0.00353717375534693,56419.6766334182,56419.6860905912,56419.6854875946,-39738.1009077391,-39738.0999507767,-39738.101629229,-39738.1036288664,-39738.1195638656,-40391.3859985408,-40391.3809060519,-40391.3908291321,-102366.523094764,-102366.510101248,-5648.76433056596,-5648.74341512457,4343.75714251671,4343.76586942856,0.0514917502967378,0.0409662575305438,0.231602884792782,0.057450655912428,0.0414441548576805,0.0315257130338899,0.0361506514207067,13380.481599859,13380.5087054379,13380.4930270117,0.0247456271437698,0.0459199638438881,-0.0770057264755758,0.00694368611697171,0.0186836883223063,-0.00145561859650423,-0.00227733823250786,0.0303497541329623,0.000349426093955661,0.00025898752102389,0.000273719777248816,0.000265619627673003,0.00026942369096237,0.000198574048620862,0.000202083902236689,0.00427839507049258,-0.00319302283365487,-7.62427646257244e-05,-2.88606792553093e-06,7.47689899086928e-06,1.47884043958507e-05,-2.55048187075089e-05,1.35108375342881e-05,-3.3937947002566e-05,-0.00337379258150389,0.00360504092876343
"b_NO_ZER",-10092.9018848617,-10092.8978447087,-10092.8894529848,-0.00102760313199167,0.0040804614615146,353789.175458602,353789.165259511,353789.168184524,-6684.06355188465,-6684.07462262056,-6684.07660475482,-6684.07682265262,-6684.05658367199,-605588.755950999,-605588.765398619,-605588.741502423,-69028.4619428038,-69028.478345319,4343.75190716258,4343.75714251671,-9072.49428158371,-9072.53355132525,-0.0602949979749547,-0.0150249726066157,-0.167617245340862,-0.0389094982438084,-0.0297893941418228,-0.0251702116849802,-0.0428549844364476,-10092.7527030921,-10092.7730836609,-10092.7598793511,-0.0221444346346208,-0.0285193226188714,0.0598722852668055,0.00945604065401699,-0.00949777387870854,0.00951918611304068,0.00438337303274461,-0.0230922798596208,-0.000231250381128563,-0.000138828193965332,-0.000159413481039101,-0.000141091796147987,-0.000145695855364863,-0.000109336409511752,-0.000200636113533511,-0.00321640445976381,0.00243259135816208,6.38487469977979e-05,2.64133472913422e-06,-2.79554236681586e-05,1.39901676772233e-05,2.72706288523079e-05,-4.81922799654587e-06,3.87047578542975e-05,0.00258296013963321,-0.00275909650227374
"b_SI_ZER",-10092.9054131355,-10092.898520307,-10092.8914227574,-0.00176522064990166,0.00271240952721053,353789.082402051,353789.0796003,353789.08405178,-6683.97844831276,-6683.98608739402,-6683.98808209849,-6683.99356198626,-6683.98065186557,-605589.016471675,-605589.025614426,-605588.989515383,-69028.3580218524,-69028.3656176055,4343.75979978527,4343.76586942856,-9072.53355132525,-9072.50047663564,-0.0604182021197855,-0.00982759185710323,-0.162985242955702,-0.045020946739994,-0.0309876742083008,-0.0181150599432005,-0.0390235951821364,-10092.7540806,-10092.7745719248,-10092.7604378199,-0.0179887992784879,-0.0352056356162629,0.0599669814943413,0.00487837972788418,-0.0109166996810339,0.00606956363379909,0.00455742562624849,-0.0238621443541295,-0.00030873969607959,-0.000179997717171728,-0.000231097373332467,-0.000197955650860091,-0.000196202241583109,-0.000150597792421152,-0.000216652055681017,-0.00270352007111639,0.00213524293511657,8.20959382388223e-05,-1.66184774543982e-05,-9.63621997599281e-06,1.03878129733427e-05,2.91485728750469e-05,-1.0208018185721e-05,3.45978315178359e-05,0.00218168401928007,-0.00241267147063246
"b_CSECO",-0.0192026044180186,-0.0209701090049801,-0.0184651197867449,0.000727614055407158,-0.00337661179747345,-0.575013840769646,-0.57747139237876,-0.594247962513442,0.216914165089017,0.223367137676113,0.22238459317805,0.225862497417489,0.214821646804018,-1.1620320046724,-1.15521086971981,-1.16534536865601,0.00207369032876325,0.00127399234526405,0.0533015956276994,0.0514917502967378,-0.0602949979749547,-0.0604182021197855,0.138945754679966,-0.00348837247971508,-0.00750880990480699,0.0134522030306567,-0.00109662901088616,-0.0240196414176411,0.00506672427631749,-0.14177701953512,-0.130347110317071,-0.124552248054154,0.00781614748364283,-0.00575859228397072,-0.00260931825326365,-0.0125263805366454,0.000182568740641541,-0.00241259655745911,-0.00184911326238197,-0.0012189901747553,-6.5677811657986e-05,-7.30890747740792e-05,-7.99113861797188e-05,-5.33776941055063e-05,-8.97519030874588e-05,-5.42186308496476e-05,-5.54237005665668e-05,-0.000525444350575566,0.000452031719102313,-1.55385944298831e-05,1.17501786064752e-05,2.07083237993039e-05,-1.33489159428826e-05,1.21516110319085e-05,2.98567748848755e-06,8.62838067242738e-06,0.000445336499279111,-0.000469675518510013
