"asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_ACC_0_ruta1","b_ACC_0_ruta2","b_ACC_0_ruta3","b_ACC_0_rutaEC","b_ACC_1_ruta1","b_ACC_1_ruta2","b_ACC_1_ruta3","b_ACC_1_rutaEC","logLike"
-0.445772934049567,-1.99221173789827,0.901986852461901,0.119540534186859,-0.284191955313695,1.63428301035411,0.644522105950837,-0.82726224799793,0.00087894135971478,-0.542474834471569,1.23921775714649,2.31302764602204,1.69041608881087,0.542913929173701,-0.263081642717273,-0.348769533677889,-0.524763206061838,0.439226947244198,1.55567869354878,0.923734291947029,-0.293523427798133,0.0497359489283312,1.15267869815808,0.392925955483573,-0.655261280490462,1.34221274030388,0.116285699449404,0.158141728298931,0.371145624331883,2.06349207421377,0.767986539822473,1.89390880474114,1.00782541076931,1.18037687666162,1.3205444779162,-0.851722447828521,0.143476251803533,-297.898190973941
-0.456647768262579,-2.04482290762073,0.959953698575682,0.111949372432321,-0.256832907955555,1.58065822797864,0.625856457430337,-0.847686767644155,0.0499748450478717,-0.573084641369502,1.32460344907563,2.22548473659169,1.75976057708559,0.588767391168496,-0.243680889831816,-0.348376941660374,-0.629933079688009,0.495395083136347,1.55873852824772,0.946038002969898,-0.27849227689848,0.043793107131347,1.19882538865244,0.441819663509653,-0.571659479879781,1.26148346916245,0.203523087429429,0.18763747307859,0.351133881118784,2.13313202342235,0.843215280199387,2.00362387954752,1.05536227219956,1.23773474795424,1.37173713037479,-0.84983964748293,0.143314466651362,-296.305902678462
-0.596558835149884,-2.23605503634101,1.2668127743067,0.10051044179331,-0.271976277974287,1.08432218019238,0.535789019022804,-0.871315780154281,0.206233217601557,-0.717597204886925,1.59921457289812,1.89296013177046,1.4008137425067,0.707505883280345,-0.0820100945850186,-0.305604119637034,-0.787550759348976,0.333855844958615,1.39429590620813,0.962405502295925,-0.243885433470746,0.496929531437261,1.44411538164527,0.713956327016487,-0.684130818736968,0.838932560450945,0.703275032220694,0.38339818936742,0.524512465114248,2.40116529100834,1.16167830103259,2.44406384809367,1.3171322178815,1.61276321899437,1.63109059115669,-0.719080133047067,0.105827016137645,-294.221608781346
-0.789471016449078,-2.41358099008439,1.60768200888734,0.0851329263141767,-0.252835645781124,0.710034642131176,0.392217900336591,-0.823846460505747,0.262457835337872,-0.843085098465451,1.54887299605107,1.60285247840944,0.802456744325261,0.72238160135807,0.122918555982977,-0.227426088528342,-0.692277429500632,0.407627511928598,1.36170926139894,0.894146359817028,-0.662182835893371,0.35733610031932,1.54943418471261,0.929982425557938,-0.433681590324655,0.799005663085339,1.10684662108543,0.596694816299448,0.623936042814879,2.56443210269885,1.44124697533243,2.683962020316,1.4070607616879,2.03468268192202,1.86167164881961,-0.474286301739001,0.244604264218711,-293.606227214144
-1.01120466179084,-2.53468237893304,1.94512738411392,0.0700201396915304,-0.253759319760268,0.598401005650382,0.174695424324626,-0.71433940149441,0.189929531229291,-0.950108725347545,1.27036685641533,0.976827240986602,0.597840562071186,0.675580360212814,0.363728318876139,-0.108562759434044,-0.598761290368965,0.27324894375707,1.41080357450656,0.799848350074493,-0.489838185492726,0.075558932616324,1.61706564861205,1.0450112650202,-0.505663068834389,1.05205502747608,1.37752922626725,0.811585006369862,0.511368045990305,2.72113446853852,1.65405754579362,2.76124197093324,1.41769227124081,2.38073646239675,2.10159211874772,-0.12824101778536,0.449557166523256,-291.824333642072
-1.02503034479199,-2.43231882615867,2.00845731437901,0.0714770345859315,-0.269545441379898,0.800427509389858,0.279802975941276,-0.608646131735407,0.10225185983617,-0.981750006223464,1.1669662954874,0.945180011088671,0.598923496091098,0.606273648202878,0.510700417012892,-0.0101472630708706,-0.690099953903845,0.147683048288677,1.58551689486494,0.894404523937466,-0.436906492998135,0.0617767016599232,1.63948226061212,0.95738837929636,-0.398243477091121,0.927020637047089,1.32462243651032,0.868478214213233,0.435816801286127,2.80516611230028,1.73038475914297,2.74580845954537,1.41642770372627,2.32336716213667,2.24529611664103,0.114795821957251,0.455402997980734,-290.195433492999
-1.08198164601539,-2.20898467204575,2.05357433639719,0.0808207906178199,-0.311526882432163,1.11519324488227,0.449647741708414,-0.422657584000675,0.0923292943076039,-1.03873081488392,1.10196565528007,1.02803980846823,0.824924822919996,0.270934690536273,0.790935556061342,0.176942734981901,-0.711582564736805,0.403733172546245,1.68580067137684,1.10090028196147,-0.369985397098488,-0.106728687807782,1.80121927190369,0.861892806933332,-0.567992532035854,0.613040211406816,1.19925954147945,0.870886618465407,0.44555423666782,2.90213642411337,1.78706468612177,2.7054650956153,1.48791904585863,2.3203207777069,2.47754730340354,0.596884530214262,0.341292963705537,-289.581412676736
-1.16113939380682,-2.15572994994773,2.05794491652531,0.0862909586700943,-0.315455110803442,1.19029758672145,0.422917406858633,-0.337857908278956,0.272730512969882,-1.07988338539135,1.16117040046333,1.20235939534146,1.01694387331636,0.285717814180604,0.949147476660552,0.279218881541518,-0.763761490374139,0.288166081352338,1.71072983657763,1.17752899518061,-0.402808441565607,-0.141385776467503,1.80460877316379,0.901480790038404,-0.591690711964939,0.577784431411572,1.1710624327154,0.787516298905906,0.41202727679534,3.01829945927899,1.8265982049565,2.647401701541,1.40737272955145,2.41524584091998,2.51492615537882,0.893257230812633,0.376899026658134,-288.411100019473
-1.23043644468239,-2.11919536147386,2.06436207779381,0.0902505958934389,-0.328775014174022,1.11886121546417,0.604167934294174,-0.258411313258743,0.232752612402306,-1.14343730099198,1.23364926276427,1.30994104914683,1.1723079546084,0.272878794248287,1.11095431838693,0.396221007900945,-0.79847991252347,0.109940348759021,1.764448988717,1.18847327310023,-0.447846646159415,-0.206257261448432,1.80519964742388,0.965710525623188,-0.574542486996507,0.627600153870383,1.23570271324362,0.798332586237784,0.327284757196989,3.13744629792395,1.95857064927846,2.66131737574216,1.42713999509526,2.60951801745451,2.54574721744376,1.25512541439587,0.287710695064243,-287.791966791134
-1.30323621855068,-2.11834192907535,2.1332835091122,0.0910190050751837,-0.334840808157349,1.133764808211,0.459568425055213,-0.206841844788976,0.125556841066715,-1.22212906681315,1.27433723721087,1.39994600116787,1.18690723772324,0.206871764406271,1.25054672915372,0.515417445208601,-0.851947250843319,0.0081727891614226,1.84497531246563,1.16667155928363,-0.473731159100599,-0.210898287727696,1.84706202173419,1.00210829053659,-0.554754943635924,0.592224087453814,1.33635028875383,0.88401960974392,0.270575206072319,3.35786536100248,2.08641623495217,2.722578194503,1.39961269920625,2.75046274534725,2.63532755943857,1.64069880558442,0.278849770664584,-287.175325917102
