"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_CongAB","b_CongCD","b_CongEF","b_Sem_0","b_Sem_1","b_Sem_2","b_Sem_3","b_Sem_4","b_ACC_0","b_ACC_1","b_ACC_2","b_NO_CAMFD","b_SI_CAMFD","b_NO_PANEL","b_SI_PANEL","b_NO_ZER","b_SI_ZER","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_2","b_HTRB_3","b_HTRB_4","b_EduBasica","b_Exp_1","b_Exp_2","b_Exp_3","b_Exp_4","b_NoInfo_traf","lambda_1","lambda_2","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","sigma_FRbr","sigma_EnfCond","sigma_AFrSem","sigma_CulFr","sigma_OmLmVel","sigma_IgPare","sigma_UsoCel","sigma_PasoPeaton","sigma_UsoDirec"
"b_Sem_2",-0.153418034915375,-0.156924628688463,-0.353712714312525,0.0172991745101412,-0.0805196115322992,-27.3209633072458,-27.2301210548731,-27.1632237938718,18.682857582851,18.6942937660462,18.6924377502198,18.6071470215049,18.6218270503071,16.0623140270899,16.0830871138963,16.0743671134443,47.8530207626271,48.0159642061559,2.70976402025029,2.72229755665457,-2.17731096669163,-2.03197066652347,0.24323648079809,0.115022622766996,1.68424442752496,0.537097319621381,0.411301112190975,0.218098622208717,0.287911785209507,-1.2859412155974,-1.18445019354645,-1.31034628315164,0.190859604505202,0.255565212301769,-0.658549858306118,-0.01512106951,0.0924065177974982,-0.0427625379006153,-0.0593141364794351,0.285323310627547,0.0147679249511033,0.0100395643611659,0.00642011588082744,-0.0031155580470581,0.0516391520609114,0.0157193338097936,0.0228479731824724,0.0994779049008453,-0.0434590941959574,-0.00197407841287048,-0.000996062222419284,0.00136441095746509,0.0119658439313554,0.00544842151167005,0.00482104810953422,0.00882493530915795,-0.0648297970054483,0.0602939777429166
"b_Sem_3",-0.150977666693711,-0.160448798635134,-0.354119743607562,0.015612092768744,-0.0819613696986914,-27.1853717397171,-27.0955229659647,-27.0282970738951,18.5457257306538,18.5580001212487,18.550711123989,18.5336379409876,18.5059461309199,16.0366808212391,16.0718603554752,16.0333036572665,47.6062992180241,47.7749740368145,2.70636995512984,2.71296496915931,-2.16676776402007,-2.02862471040762,0.24268728878962,0.116368033283447,1.6785301774981,0.533820880718503,0.413542207056297,0.217107091184723,0.283564317832588,-1.26665386118505,-1.16355875709124,-1.29587824013393,0.192368709627075,0.2443019211839,-0.658886375964923,-0.0119667889952349,0.0782132718490862,-0.0529443803421456,-0.0576623209681166,0.284342663096069,0.0156241461950963,0.0115460790826951,0.00709482842372905,-0.00304194954333413,0.0539326307080979,0.0160922910509664,0.0245187426260308,0.10056176721256,-0.0447174870064323,-0.000980625946856892,-0.000896922361635664,0.00136758016802678,0.0119677977557179,0.00602714150438915,0.00571933619003836,0.00824147192896124,-0.0654390925063232,0.0617758640798818
"b_Sem_4",-0.154251404553084,-0.157715921001261,-0.367612548139875,0.0159304629316873,-0.0912546381511611,-27.243161085889,-27.1612576858093,-27.0836000720758,18.6157507145285,18.6299782215897,18.61673631421,18.5572912902687,18.7032927614931,16.1913681020554,16.1984626056925,16.1656071794856,47.6743215269448,47.8414584990818,2.69653296209409,2.71633196095732,-2.16993032628396,-2.02459329672736,0.237306743640789,0.109575088213062,1.69500666044251,0.530836184631845,0.414032337706911,0.225101624709463,0.268709596346688,-1.26418489565626,-1.17444436958878,-1.30464793854274,0.194113363725599,0.238284789860915,-0.648307518875102,-0.0390148564168923,0.106120329209959,-0.0522645720752665,-0.0494261316053194,0.27683299705134,0.0135168681966346,0.00887500060006306,0.00563245344495208,-0.00408135495386672,0.0509546641437464,0.0170087223230452,0.0217213027809624,0.0933918881729981,-0.0417260265145587,-0.00227383483976168,-0.00222337904472582,0.0025381282083368,0.0120973154314091,0.00552306509614795,0.00425653430153437,0.0085021358738779,-0.0603449626522643,0.0586808485794681
"b_ACC_0",0.202184691755595,0.094668230347074,-0.0823875948777055,0.0173107213168706,-0.0140289759372721,-21.7340763637519,-21.7500873704883,-21.5650386453103,16.3055074971668,16.2730166281613,16.2056163828931,16.2500032367759,16.2506736393751,33.6238900962081,33.548810866782,33.3821373982699,45.9468623323848,46.1773046773879,2.03372807807537,2.01336581300095,-1.47221052869275,-1.68013126970582,-1.05466725081164,-0.133683966075675,1.5695194701916,0.370488240769917,0.402633438374047,0.349167052321559,0.432191573192381,0.579422406111665,0.465434004127192,0.359797997204865,0.109089256500977,0.246243410657195,-0.782359575924462,-0.169795351248267,0.0309044096109335,-0.221866455599479,-0.126902180045541,0.327204598474802,0.035770746733803,0.0257643805321527,0.0288450147714586,0.0145028488760829,0.0400399695681809,0.0165330422928905,0.00721842848972874,0.0929104186205967,-0.0323052018344269,-0.00701325898865341,0.00384050448569147,0.000381760357663123,0.00163835717384177,0.00368620156779151,0.0152681559286885,0.00874597152733252,-0.0571355592344803,0.0522000619833312
"b_ACC_1",0.187163340135205,0.089373030327913,-0.100944919756839,0.0185140056530317,-0.018443824357187,-21.4815100949167,-21.4859262064868,-21.3048922618629,16.0291612609515,15.9886941821485,15.9245697583929,15.9833630567525,15.9559484441947,32.5368950426625,32.5781856311594,32.3641380551185,45.7208154654412,45.9406864181863,2.04924965062816,2.0155300282836,-1.46688709106245,-1.68163363626252,-1.04608798813143,-0.139353920884089,1.59325084489866,0.407442948808432,0.428495106644918,0.358596021801898,0.428170426653859,0.564031681695452,0.448081853736155,0.341186278897344,0.0942817235690634,0.22974569696422,-0.802631032524216,-0.178056116161399,0.00449532522215782,-0.236565421697419,-0.113860577012969,0.322101159750844,0.0352245419477053,0.0262926644063607,0.0289188303338091,0.0137993433566212,0.0381407396046613,0.0173999381979655,0.00711054741422604,0.0940380636397448,-0.0335131995088753,-0.00744023100145853,0.00307829933798094,-0.000231884575538428,0.00169151518287612,0.00354420976532046,0.0156885461073661,0.00810105277512912,-0.0587701228139241,0.0541819177256175
"b_ACC_2",0.201008592209228,0.119927437111019,-0.0882673514800589,0.0203304596427328,-0.0223615955961508,-21.664388878819,-21.6551010452589,-21.499724377798,16.2271568927808,16.1856009525171,16.1226212163887,16.1515778131729,16.1298644616588,33.2352183020743,33.229134759407,33.7073262335172,45.8667665305944,46.1328492468862,2.03667286358005,2.02076358404222,-1.48600459790743,-1.6812762301671,-1.05412116883123,-0.129326159479582,1.62291227171252,0.424076643196876,0.43501897522554,0.344060649338003,0.420630588721203,0.575975871987628,0.469650941893625,0.372373496554599,0.100335498369465,0.198870821260658,-0.80216758352898,-0.179504713827033,0.0263637078776001,-0.237649586214435,-0.093714246731132,0.321320365048638,0.0285620505568976,0.0237322088244942,0.0236402358749,0.010012352120834,0.0366310706247539,0.0157813621008194,0.0051796920426483,0.0955908026929202,-0.0339821616983399,-0.00698027290303205,0.0022514220757445,0.000289943008609237,0.00403354888478408,0.00210244948508691,0.0137932948535486,0.00996779707867086,-0.0583721883423833,0.0542033354339714
"b_NO_CAMFD",-0.340128274148718,-0.40776702980891,-0.930398343641086,0.0498550427016646,-0.171474933397762,-69.238421031732,-69.025633838139,-68.8074759933944,47.8532517031877,47.8217058130943,47.7508670366719,47.6631439051519,47.6201425196112,46.0570179316384,46.0995411826397,46.091154001284,126.968485415286,127.3498664233,6.9737008859612,7.01057074116383,-5.37283927832703,-5.12608458701196,0.0746766936307821,0.642751582336364,4.38252208650835,1.34383208658075,1.05804128988877,0.70815627753726,0.69497136495616,-3.13389531083174,-2.90623389985522,-3.2276668637274,0.445725929937598,0.686165226497999,-1.64787973725371,0.0818764330411173,0.242461825486738,-0.0507625425735017,-0.146841504672468,0.745357031292791,0.0302557082480223,0.0206612253969989,0.00995864225148616,-0.017262562496192,0.117954147345794,0.0297169215905361,0.0595894870054351,0.272630729900578,-0.119232648881561,-0.00442918316835623,0.00162181691314993,0.0107914232035356,0.0355050710288014,0.0168754826960923,0.0130741664662199,0.0181284700936236,-0.170963094901481,0.169560692731346
"b_SI_CAMFD",-0.330487681438887,-0.386420472248813,-0.899560932003728,0.0474467810451489,-0.17296164419256,-69.7457989705668,-69.5267776506431,-69.3147572487762,48.2228971649437,48.192225163516,48.1231321094315,48.0411403520566,47.996601115626,46.7424374268841,46.7743893049608,46.8122138603315,127.7695277165,128.22308553924,6.99127391948582,7.03200968330445,-5.41181426021837,-5.15749513514494,0.0683291145451686,0.644196780345211,4.3934990450963,1.33395731928331,1.05382135788241,0.702039781020106,0.695163690286778,-3.08918397691305,-2.87103803717652,-3.19200306601207,0.44658265855481,0.68439383781124,-1.6534973257851,0.085282114865112,0.250293216932382,-0.0472952992151964,-0.147702128229176,0.741885749770826,0.029913781946501,0.0207145059314263,0.00930951543618058,-0.0181693449181652,0.120027050876224,0.0311076990330312,0.0599155304233921,0.271236651690409,-0.119853069485546,-0.00457505571312488,0.00104169846687895,0.011031499687879,0.0358708736544015,0.0170972138216263,0.0139459999882676,0.0198367310988512,-0.169497069689453,0.169201391171561
"b_NO_PANEL",-0.0296460491309542,-0.0303830236801783,-0.0598598780669622,0.00285664713055556,-0.0130941082795506,-4.00502588844097,-3.98970723255027,-3.97928281876115,2.70981232336078,2.70910086352503,2.70978177900286,2.70608799336415,2.69726928273355,2.03750871684418,2.04806344093868,2.03992812663314,6.97473483403814,6.99413256305254,0.418949977241704,0.404555883856788,-0.319765606404696,-0.301408807774636,0.0528684909338219,0.0365593669161566,0.238977369240374,0.0821239451494944,0.062679560677539,0.0328238083893656,0.0412199808534451,-0.229694191253794,-0.21485182816329,-0.236242287372626,0.028569781871194,0.0400570659276965,-0.0848387267666716,0.0126769644674937,0.0152448578502389,-0.00520730210408874,-0.00761775631956556,0.041110829213376,0.00212158098336185,0.00188576891756391,0.000768989782938562,-0.000712322120741416,0.00902383168811275,0.00248143275172704,0.00410500728405384,0.0161451236631435,-0.00693822119353045,-0.000113697635846743,-0.00055788325190844,0.000475224642857389,0.00182426136173839,0.00113668480226706,0.000933474696638346,0.0010722979795401,-0.0104872963907891,0.00994048687374543
"b_SI_PANEL",-0.0292167664359232,-0.0288933742821192,-0.0560073828097801,0.00253933707052566,-0.0108954032530392,-4.02142071916389,-4.00731995113512,-4.00291822647032,2.72572166869566,2.72771584506641,2.72249089816725,2.71285858942813,2.71724386461314,2.0182729085608,2.01547026947293,2.02514530489622,7.00987151946017,7.03313515988144,0.404549215863564,0.427752325570867,-0.319052836694891,-0.305241322271441,0.0539748883746109,0.036212563380781,0.253475158703247,0.0782099445298631,0.0547246462216279,0.0288833382374179,0.0401071037350089,-0.240702559851129,-0.214976224437168,-0.230634741666237,0.0308869113694822,0.043067515729333,-0.0936590788929934,0.0105569665154397,0.0209305590910294,0.0049655446824365,-0.0058532047923863,0.0419673342046355,0.00124375523968153,0.000567674085256064,0.000166625686590628,-0.00153445390302825,0.00714935001271344,0.00219210515481179,0.00399769690676678,0.0137495337953185,-0.00683641004640771,-0.000455510678429654,0.000352457184691183,0.000255227544934087,0.0025334676204764,0.00119748701203139,-0.000201342700157984,0.00106476069522892,-0.00881018278388486,0.00969913589150196
