"asc_Op2","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_PANEL1","b_ZER1","lambda1","lambda2","lambda3","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","logLike"
-0.396578999527479,0.502760752009318,-0.0548528847818626,-0.561739890098718,0.0152197299608147,-0.0146345617702407,-0.282131216909753,-0.58410214940297,-0.272005325010727,0.0543094199539508,0.175442090624195,-1.08383436578965,-1.38430812203692,4.63941217523306,2.83396653139201,2.74381040596193,2.88520066194682,1.59585450574654,2.46122243310583,2.45921735576627,0.657740341062039,0.120021906500468,-0.125476414904725,2.51530679696546,-3.56640907527899,0.632636598043943,1.38140505270241,4.01159044945862,-3.27876550751794,0.89804338926222,1.72368153406369,3.82277763839797,-3.54977646391484,0.948156637492978,2.17141347709194,4.17029948283582,-3.44536046261803,-0.798454064086506,0.165892927792817,3.28801899383705,-3.4190947054125,1.19552552954078,2.06443925842441,3.51507015823838,-3.29038205365439,1.63789764082021,2.07012687609989,3.64904994491858,-1.95123024890809,-0.328744267834801,0.319976715521622,2.75272041374897,-0.967057885890592,-0.244602865352144,0.573824917432221,1.63081237128018,-2.4430819599837,-0.431519259718072,-0.130542048141356,1.72376423521501,-3.58168488760527,0.571006052109533,1.2885959214008,3.4768542112285,-3609.46528674828
-0.705941769657009,0.466882211874693,-0.139419571973414,-0.723316317041347,0.0278999251824049,0.0230123391371585,-0.330338592347781,-0.750587901505907,-0.262982222349545,0.0593127714135325,0.112196863096042,-1.21553713104224,-1.79860134579746,5.23719179403882,2.89078020465258,2.77135060495547,2.95774144443897,1.74972975029362,2.61389939622368,2.59924707659152,0.523248200572025,-0.015034062546836,-0.137259654447487,2.53856425638751,-3.59519215129685,0.421426421552866,1.5022912541944,4.37447563595416,-3.2257026698704,0.787165827265733,1.7874363962293,4.20388699948079,-3.51946179923645,1.06639915844899,2.09620641595386,4.64546939341555,-3.40297072462398,-0.781810396353981,-0.00534593724500362,3.30182300770071,-3.33981632099744,1.18495821553565,2.05124203258202,3.92127516698484,-3.17206602220977,1.57465082712126,2.15573618197807,4.08451758579153,-1.88796137014903,-0.189260820695016,0.536955200991491,2.65488665350357,-1.10103984735171,-0.171659591659689,0.531488919363636,2.07261620808962,-2.35310194860464,-0.568298304961791,-0.0951553982862314,1.68226407947009,-3.52745036850872,0.517311875727569,1.17284849177106,3.72843423576089,-3541.98624799875
-0.885966352330495,0.509559158132799,-0.252159682994012,-0.764543414079195,-0.0166014934185468,0.0915084782847085,-0.368541302911693,-0.833419506225322,-0.252166612644806,0.0622644807398068,0.0600053760097064,-1.23296699133575,-1.98726817807689,5.47326972907095,2.96202778563036,2.79171164840929,2.98338067672521,1.69847475942898,2.62460751535023,2.59589061471282,0.405301831292793,-0.0327920770730627,-0.250070723943883,2.54879988501334,-3.54214908212825,0.396089430249263,1.46948740179366,4.55472288909169,-3.14196710612701,0.719881766790291,1.81935336967135,4.38275792234316,-3.44463419149466,1.11177621949054,2.03558462243458,4.88142841921323,-3.37986070158745,-0.992468099448827,0.114165113277851,3.27616147111991,-3.28018132090741,1.13060760904228,2.09079328808826,4.11919608527119,-3.09686380420513,1.52826471012612,2.20155367980381,4.3116691962809,-1.85167834901651,-0.117258076069667,0.584526546092461,2.62151767106321,-1.184592213153,-0.0826242837038671,0.52843724597347,2.05716318983287,-2.30051117304393,-0.551921340647614,-0.273600216716842,1.48386303933491,-3.42732385269899,0.437377651413049,1.14582153255613,3.81932472034753,-3516.94957800102
-1.56896579526037,0.630792935973964,-0.843476417418332,-0.711382279371683,-0.381477470447351,0.503755324297448,-0.557011675533179,-1.11404712867406,-0.178836398637209,0.0810859498371416,-0.193286712176317,-1.02118668034513,-2.45972708846465,5.98081676316973,3.29163762551692,2.89554268331004,3.02751185363603,1.58435476604568,2.44068829632072,2.34553999515323,0.233740249386444,-0.0408571397863616,0.181467799456689,2.54757782090233,-3.24546136281476,0.650165431324336,1.11624966223671,5.16697025121122,-2.75666198017108,0.667215399410464,1.91522220669393,4.9154714176952,-3.06174642927799,0.908531688625593,2.17714759694139,5.66177019079675,-3.31915346349127,-0.803160545701318,-0.16087506269847,3.12779740559781,-3.05913189748408,0.95754725430678,2.4405723798403,4.72470470937902,-2.8381980631894,1.51254148142643,2.38872209886816,5.08272671433675,-1.58639312430135,-0.150072314580201,0.713007888590857,2.65849180495922,-1.12391967904923,-0.257748515234417,0.421162285954894,1.26314727782747,-2.16858200457692,-1.09994474723195,-0.681733988030538,0.693455208856581,-2.94742914480194,0.453423099589514,0.904149780307918,3.98559695472187,-3499.35483963601
-1.59690141107638,0.634925107084505,-0.900522420624219,-0.689941353244482,-0.444660217929601,0.545385133734169,-0.597686616036717,-1.15116889153961,-0.15213640333541,0.0865512026154509,-0.241326433668415,-0.908024162306593,-2.47327521403581,6.05646609898997,3.31207238341776,2.89746926115749,3.02509221749538,1.62650950609008,2.37960169413049,2.27585639009274,0.291437143169652,0.0456179225644847,0.245416130058121,2.51229352946258,-3.21764780940724,0.645963665569485,1.13942461827655,5.26651550668851,-2.7145126742062,0.709773458974457,1.93844967299161,4.98643861230894,-3.00469978353751,0.951429842115913,2.16212233935521,5.78314775426791,-3.28510010483675,-0.798220359669702,-0.110621407222447,3.09465254367399,-3.0268046195235,0.973061051379669,2.53297288453708,4.8072901669607,-2.79767909575227,1.55696411752222,2.42816882573035,5.20239956219867,-1.57722184578708,-0.150059738894424,0.712615876296043,2.70006571107304,-1.10563800525058,-0.358653131323845,0.27873708088912,1.2164772053681,-2.20708648948679,-1.21415840812242,-0.789915582119527,0.621080633710228,-2.88204538014263,0.449760975015658,0.929783221979305,3.98297376586177,-3487.0912886437
-1.55483356304283,0.615113660714595,-1.08013173671316,-0.447556391032257,-0.906387212572653,0.677744759462972,-0.940638284377346,-1.41621691019358,0.0886492635602156,0.139017687861954,-0.63135598132506,0.190421405428503,-2.4934007921604,6.51558392136644,3.23981166232744,2.78852664175542,2.87395439814953,1.83903996787338,2.00834308515575,1.87810889730778,0.494642433704585,0.364074041664045,0.618114972859846,2.07522001819961,-3.09045188605716,0.557725601409933,1.55507547629084,6.02820963728405,-2.45786207397079,1.24721594023312,2.09264747443142,5.47681645630615,-2.58379476863137,1.1642544698565,2.27687990468927,6.68086518808823,-3.03989013825164,-0.507981551100756,0.215223529919486,2.84327513325707,-2.60428265328305,1.45281304493391,3.18665039679954,5.41781389835189,-2.27483566870923,2.14177307351707,2.62704480281276,6.12258259026381,-1.86147268871846,-0.0866945888969628,0.680963077305272,3.06063814379653,-2.20088893962821,-0.677214522571855,0.0254636788648706,0.462134181767247,-2.99317969383384,-2.02645264347984,-1.55229386720064,0.463152785798012,-2.4108144625181,0.554915640122867,1.28019768632581,3.82277320899345,-3479.87928485259
-1.47911551748581,0.596868399205619,-1.08355087034366,-0.361074137613151,-1.02687748579233,0.679602923283292,-1.05143032386952,-1.48573487127277,0.162836193146192,0.156164644907718,-0.744149662414202,0.540687461901289,-2.51681005477173,6.6255677377841,3.21364896003083,2.73304288073388,2.78568426751749,1.69945708944626,1.93212197234092,1.79389083097932,0.459762808105664,0.412081296097952,0.719159546517647,1.95153907167771,-3.03729717853447,0.69272919934173,1.5893872249121,6.25531612007373,-2.36985539910059,1.38566243492126,2.17002617532905,5.61308436322839,-2.45986041447027,1.16590685544658,2.39278722032109,6.93774406173387,-3.03055130087242,-0.460427700650022,0.324677835966684,2.79612273519823,-2.42400415404692,1.63036534539392,3.3872691808518,5.59542581766951,-2.07015764527374,2.30466700058454,2.70567882148991,6.39676414686965,-1.91900030687241,-0.118097278512947,0.602858573429021,3.16598485350584,-2.52405118463676,-0.911460583308609,-0.115514121105071,0.465037371340134,-3.32443359194856,-2.17721816534742,-1.67975291030725,0.360765513763878,-2.24680477013176,0.668849286678023,1.3615994322384,3.7453546850772,-3456.40894107374
-1.44980639546769,0.581856687910639,-1.0839659432718,-0.283597771282927,-1.07320647103827,0.662677648956372,-1.11525526556797,-1.51811054284606,0.192683814877706,0.167759618790922,-0.791324307126457,0.709698832879706,-2.59630863600169,6.60076905577056,3.17488002905537,2.69205027440216,2.73075578331586,1.63986259015847,1.97151018259982,1.82940404545681,0.522685462476765,0.586607283733633,0.676837656970657,1.90513564388467,-2.99603230548358,0.797229569452745,1.64776101547193,6.36638776860689,-2.3159552778724,1.39306426762147,2.2874477432643,5.66453130093233,-2.40947111638952,1.22281479720677,2.47262031277227,7.05644151794554,-2.97699743360862,-0.432176235307156,0.342000662520779,2.81462469598317,-2.26902121963562,1.7693196319913,3.48374895524271,5.66936921718231,-1.91950199883041,2.31714305714569,2.82873354424681,6.52370874978281,-1.90596520621134,-0.140104539673538,0.616465406434587,3.20348366784537,-2.61552842967866,-0.964613767247237,-0.138119028886426,0.432883866269815,-3.51698483641796,-2.25549465779961,-1.7114112145521,0.304635678806598,-2.16034614611313,0.775911159783683,1.40591000922545,3.68000116845028,-3442.90386043861
-1.36663618335958,0.461807385513092,-1.06693805606712,0.0700809484406636,-1.0686052921662,0.485416538220779,-1.34292437184634,-1.59463513281436,0.234499811295686,0.215923295979437,-0.859730389262267,1.27384466026715,-3.19329316342087,6.18557500087347,2.93294823176501,2.48602448690311,2.54389465278731,1.56370844110605,2.07506772142146,1.89027864850462,0.630512503926634,0.4616336946546,1.14664890600352,1.75986766485239,-2.68625635252385,1.29835295469569,1.99676606835132,6.7089541488623,-2.04979634812768,1.45235214672591,2.7030051704373,5.76860990238804,-2.21873095683405,1.81788361272539,2.65044116292474,7.38567961561075,-2.5095371793258,-0.543049381305383,0.476167697849977,3.07048149051646,-1.69994508456895,2.369287901907,3.68806878686654,5.86642707138184,-1.4887965537672,2.45279368053291,3.20855883475364,6.90317590459396,-1.82522253949436,-0.0984113270469791,0.68996031099246,3.18414182569116,-2.57402525764903,-0.946230120317098,-0.328767724919926,0.222629046889418,-4.00047096803689,-2.13397459150724,-1.74326714353821,0.33508104566853,-1.85806595092717,0.97502126317949,1.71490055656482,3.40423002428458,-3424.74596637964
-1.15047630338967,0.306095004106753,-1.05062717627303,0.455118036066658,-0.848568689462421,0.207304519693852,-1.55894854181253,-1.63067794277733,0.182001627455144,0.279146745982842,-0.814140966283041,2.00227765797649,-4.07057651921681,5.44931943617459,2.66077074137319,2.25389739043807,2.44812734515023,1.43498265243938,1.82031038184666,1.63733928008523,0.312718765840781,0.440293183808569,0.93435383175215,1.57930923423256,-2.07741080452697,1.71665543898271,2.6749059176957,7.04495201589817,-1.62238532191312,1.8072895997331,2.98741647028103,5.83234527019032,-1.82300017377895,2.37328553772183,3.04286777241508,7.67594563301728,-2.09134792347515,-0.305602111133551,0.54992572733819,3.49730262262215,-1.30673945999915,2.88979629812146,3.89217244002666,6.04507139074111,-1.28359931230781,2.87084243325685,3.47423539491986,7.27349754910638,-1.82076313727141,0.00817090619371384,0.657234361456115,3.02213958403517,-2.15869474461324,-0.816987809691703,-0.281179470155174,0.302766106317208,-4.24311117542767,-2.24027976919625,-1.74833886406815,0.316751359640913,-1.55628398062147,1.07112724144654,2.0166638430247,3.21013166735836,-3386.40118072722
