"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","sigma_FRbr","sigma_EnfCond","sigma_AFrSem","sigma_CulFr"
"b_EduBasica",0.000193585395112796,0.000144655136334978,-0.00727002300086705,-5.35194446535852e-05,0.000177236905767323,-0.00997963126427194,0.00214779658970017,0.00239286963558289,-0.000385263052123657,-0.00131059019600225,0.0571708174006761,0.000934407714205303,-0.00333660305792051,-0.00502357802292901,-0.000949683588800972,0.0102767761979138,-0.000435680037179266,-0.00235779148496838,1.14386579554978e-05,-3.91845921959088e-05,-2.81451014644152e-05,3.1098599628328e-05,-7.34956152514712e-06,-8.03842761117036e-06,-8.36182743379685e-06,-1.24933642068795e-05,-3.78291316320193e-06,7.37510280977652e-07,3.0430416928538e-07,4.37609178844573e-06
"b_Info_traf",0.00022850303918531,0.000261937657407837,-0.0399667709211316,-0.000116125489050989,-0.000224766762464645,-0.00280196701647021,0.00147911007812713,0.000914174518500599,-5.82548970822883e-06,0.00167648368439952,0.000934407714205303,0.0854698279096788,0.00459822370199595,0.00898496982550927,0.00338603165053115,0.00424636455635463,-0.00750397595123747,-0.00282761884794474,1.03377009489228e-05,-4.14936371066241e-05,-3.1835078593463e-05,3.23751573420269e-05,-9.31583271097125e-06,-9.80065316504295e-06,-9.16645573208558e-06,-1.53114347616749e-05,-3.29425134669859e-06,1.19911208712452e-06,-1.19628311519403e-06,5.62742739013937e-06
"b_Joven30",-0.000597862371595937,-0.000472579023461091,-0.152769758424321,-0.000384847439415282,0.000760395020495602,0.00189282141983076,0.00535272888983081,-0.00266201640154213,0.00245301615811933,0.000400782600404858,-0.00333660305792051,0.00459822370199595,0.332659230963589,0.131956414066606,0.113149975029926,0.00434928183938787,-0.0199414207385598,0.00101010394534465,-2.37237360364424e-06,1.68411206830042e-05,1.03352528323207e-05,-1.42798895931628e-05,3.96762138289083e-06,2.47359783460707e-06,3.61927417056583e-06,6.1215029482742e-06,3.30871969090584e-07,1.10499442654554e-06,1.322933563746e-07,-2.4315966226389e-06
"b_Adulto40",-0.000225800419118427,-0.000522943520381418,-0.101542744869209,-8.73554593801693e-06,0.00104855563371953,-0.00744091843188259,0.00314958360241805,0.00353735336598907,0.00159949889876304,-0.00114463940389649,-0.00502357802292901,0.00898496982550927,0.131956414066606,0.170447492360309,0.110988158502072,-0.00613942362885907,-0.0186972207350614,-0.000427825231912727,1.22299351191813e-06,-6.75969674225421e-06,-6.89951045952001e-06,6.19385485331381e-06,-5.56310725432249e-07,-2.05039231950044e-06,-1.47913535643773e-06,-1.83624863453637e-06,-1.83771052269052e-06,1.10200280160829e-06,3.63354917980681e-07,5.63725138207777e-07
"b_Adulto60",-0.000165252555855518,-0.000385523503365665,-0.0833822289485359,-0.000169235923352959,0.000868223227235063,-0.00405930878374864,0.0022702692242402,0.00307904839076203,0.000749383973491992,-0.00167322279838726,-0.000949683588800972,0.00338603165053115,0.113149975029926,0.110988158502072,0.129386799675984,-0.00858781163981137,-0.00535296355699173,-0.000440522139706946,6.76977140051674e-07,-6.93403982541854e-06,-6.65692648784603e-06,6.98890887245084e-06,-5.48756765653492e-07,-1.77069554209398e-06,-1.3266513299212e-06,-1.57104647544886e-06,-1.55407041735578e-06,8.98115303328251e-07,3.19433200478221e-07,4.34164719173412e-07
"b_USOCINTURON",0.00114820303643462,0.00170827063022629,-0.0753332605766298,-0.00066138066110971,0.000544995463197702,0.0150278978208119,0.00239438052549969,-0.00349784079564892,4.16181653272905e-05,-0.000586474187889942,0.0102767761979138,0.00424636455635463,0.00434928183938787,-0.00613942362885907,-0.00858781163981137,0.0833748257726541,0.00238919902180116,0.00360938074450105,-1.01103488535304e-05,5.87876640877286e-05,4.33415296029986e-05,-5.07030528617058e-05,1.16995181427788e-05,1.20240663397438e-05,1.18984902753354e-05,1.84256976010577e-05,4.27425948657114e-06,-1.07626626594022e-06,8.36013008105748e-07,-6.28857784276249e-06
"b_USODISPMOB",-0.0011633595206496,-0.00162254031413956,-0.0170749739759942,0.00077485807554783,0.000305817067966097,-0.000911917501141428,-0.00301790220191809,0.00163222308039229,3.44951960586996e-05,0.00027066132934207,-0.000435680037179266,-0.00750397595123747,-0.0199414207385598,-0.0186972207350614,-0.00535296355699173,0.00238919902180116,0.0624004489903946,-0.0014003690863975,3.56440861118106e-06,-2.27577325296113e-05,-1.54502240335719e-05,1.97437172603782e-05,-4.35539410189662e-06,-4.44191099338288e-06,-4.51297978380418e-06,-7.12109454956852e-06,-1.72002038188069e-06,2.92201485024889e-07,-2.55942073840748e-07,2.53048766409518e-06
"lambda",-8.00085865595298e-05,-6.03428153386411e-05,-0.0108535845958147,1.69929196844988e-05,-0.000232351253440072,0.00223037647666691,-0.00103262752849975,0.000757949500911702,-5.40915142537178e-06,0.000637235867368071,-0.00235779148496838,-0.00282761884794474,0.00101010394534465,-0.000427825231912727,-0.000440522139706946,0.00360938074450105,-0.0014003690863975,0.0141127886431673,-3.25404410681206e-05,0.000226229616373168,0.000167608629269676,-0.000198586359130082,3.78241428054178e-05,4.16223631394269e-05,4.05558229209092e-05,6.61291449076011e-05,1.81258690396814e-05,-4.79340983782553e-06,2.29065711749202e-06,-2.46788565656254e-05
"gamma_EDUBASICA",1.73799830475871e-07,1.65722965111382e-07,2.29300604777247e-05,-3.98751160584779e-08,5.92503278889807e-07,-4.39776999746508e-06,2.58540994621983e-06,-2.94606417633377e-06,5.56330873840717e-08,-1.56895983911042e-06,1.14386579554978e-05,1.03377009489228e-05,-2.37237360364424e-06,1.22299351191813e-06,6.76977140051674e-07,-1.01103488535304e-05,3.56440861118106e-06,-3.25404410681206e-05,0.0103526420892148,-0.00148125189806512,0.00284466477959649,-0.00559022441507796,-0.000630913308906854,-0.000589054587507379,-0.000526329069788578,-0.000640164091999831,-4.84872912831787e-05,7.45438137107286e-05,-0.000117736736118972,8.62685746173171e-05
"gamma_CSECO",-1.37052345818996e-06,-1.0774086357172e-06,-0.000168775175341575,3.03246685033169e-07,-3.75201703854614e-06,2.87940126635582e-05,-1.70722326411389e-05,1.3240971236288e-05,-3.77547936142626e-08,1.03863286289082e-05,-3.91845921959088e-05,-4.14936371066241e-05,1.68411206830042e-05,-6.75969674225421e-06,-6.93403982541854e-06,5.87876640877286e-05,-2.27577325296113e-05,0.000226229616373168,-0.00148125189806512,0.0097983304520903,-0.00135434736801361,-0.00624734155782503,0.000397069279485263,0.000137892418952356,0.000354110526992098,0.00029135541188185,-0.000114546029546261,0.000175181155373388,-0.000102211132904472,-6.95096519483966e-06
