"","asc_ruta1","asc_ruta2","asc_ruta3","b_time","b_dist","b_cong","b_HTRB_1","b_HTRB_2","b_HTRB_3","b_HTRB_4","b_Exper_1","b_Exper_2","b_Exper_3","b_Exper_4","b_Exper_5","b_CSECO","b_CLLUVIA","b_Hpico","b_Hvalle","b_Joven30","b_Adulto40","b_Adulto60","b_AdultoMayor"
"b_Exper_1",2.59734197688928e-12,5.46614277455674e-13,4.63556667086389e-13,6.8060720639636e-12,2.13377550123404e-12,3.29999014958294e-13,9.50050073261058e-19,4.25918368788717e-13,6.58071348736384e-12,-3.66296682877354e-12,0,0,0,0,0,-7.64872742839207e-13,3.41772837735334e-13,5.38355211873282e-13,1.45124966324838e-12,-6.4855097575069e-14,3.38585674040073e-13,1.62159811348234e-12,-1.14721692673894e-13
"b_Exper_2",2.59734197688928e-12,5.46614277455674e-13,4.63556667086389e-13,6.8060720639636e-12,2.13377550123404e-12,3.29999014958294e-13,9.50050073261058e-19,4.25918368788717e-13,6.58071348736384e-12,-3.66296682877354e-12,0,0,0,0,0,-7.64872742839207e-13,3.41772837735334e-13,5.38355211873282e-13,1.45124966324838e-12,-6.4855097575069e-14,3.38585674040073e-13,1.62159811348234e-12,-1.14721692673894e-13
"b_Exper_3",2.59734197688928e-12,5.46614277455674e-13,4.63556667086389e-13,6.8060720639636e-12,2.13377550123404e-12,3.29999014958294e-13,9.50050073261058e-19,4.25918368788717e-13,6.58071348736384e-12,-3.66296682877354e-12,0,0,0,0,0,-7.64872742839207e-13,3.41772837735334e-13,5.38355211873282e-13,1.45124966324838e-12,-6.4855097575069e-14,3.38585674040073e-13,1.62159811348234e-12,-1.14721692673894e-13
"b_Exper_4",2.59734197688928e-12,5.46614277455674e-13,4.63556667086389e-13,6.8060720639636e-12,2.13377550123404e-12,3.29999014958294e-13,9.50050073261058e-19,4.25918368788717e-13,6.58071348736384e-12,-3.66296682877354e-12,0,0,0,0,0,-7.64872742839207e-13,3.41772837735334e-13,5.38355211873282e-13,1.45124966324838e-12,-6.4855097575069e-14,3.38585674040073e-13,1.62159811348234e-12,-1.14721692673894e-13
"b_Exper_5",2.59734197688928e-12,5.46614277455674e-13,4.63556667086389e-13,6.8060720639636e-12,2.13377550123404e-12,3.29999014958294e-13,9.50050073261058e-19,4.25918368788717e-13,6.58071348736384e-12,-3.66296682877354e-12,0,0,0,0,0,-7.64872742839207e-13,3.41772837735334e-13,5.38355211873282e-13,1.45124966324838e-12,-6.4855097575069e-14,3.38585674040073e-13,1.62159811348234e-12,-1.14721692673894e-13
"b_CSECO",33.9215640368558,13.4211027716919,7.26053591684338,-111.510201337801,16.9154727291381,-16.6794662691812,-3.08249688911557e-06,-4.04587035078549,-29.6233673085438,-20.9339619802773,-7.64872742839207e-13,-7.64872742839207e-13,-7.64872742839207e-13,-7.64872742839207e-13,-7.64872742839207e-13,-54.603202724835,7.98758516924924e-10,-35.1809814796145,-19.4222212412696,-3.83252387949691,-13.3908527596804,-30.2527047034993,-7.12712137135435
"b_CLLUVIA",6.62404533810649,2.85994314686288,1.5777072213049,-21.1665410455743,7.45285640723434,0.871624992034297,4.30964953139876e-11,-0.245147534069389,-6.00688659892597,-4.80966157305929,3.41772837735334e-13,3.41772837735334e-13,3.41772837735334e-13,3.41772837735334e-13,3.41772837735334e-13,7.98758516924924e-10,-11.0616957073606,-7.23370608809281,-3.82798961754048,-0.411095582095083,-4.5616476461029,-4.63184370238137,-1.45710876895468
"b_Hpico",26.2371780248768,10.3851093350627,5.79240021247561,-64.0966387871392,17.5964015915892,-4.8848811613596,-3.08243814235408e-06,-2.87719239759911,-24.19481468639,-15.3426774022749,5.38355211873282e-13,5.38355211873282e-13,5.38355211873282e-13,5.38355211873282e-13,5.38355211873282e-13,-35.1809814796145,-7.23370608809281,-42.4146875721165,9.43753245147623e-10,-2.66064458629356,-12.4174254088282,-22.2635375090439,-5.07308005402812
"b_Hvalle",14.3084313498652,5.89593658433387,3.0458429257486,-68.5801035902808,6.77192754623487,-10.922960113012,4.51108596463845e-11,-1.41382548738116,-11.435439221096,-10.400946151005,1.45124966324838e-12,1.45124966324838e-12,1.45124966324838e-12,1.45124966324838e-12,1.45124966324838e-12,-19.4222212412696,-3.82798961754048,9.43753245147623e-10,-23.2502108597699,-1.5829748751752,-5.53507499760882,-12.6210108941541,-3.51115008838673
"b_Joven30",2.72061073297974,0.975273670029798,0.547735062156147,-3.1997403701546,1.38784497306716,2.14197952821253,-3.08246230833385e-06,-0.476094348429648,-2.96283966267147,-0.804682369346901,-6.4855097575069e-14,-6.4855097575069e-14,-6.4855097575069e-14,-6.4855097575069e-14,-6.4855097575069e-14,-3.83252387949691,-0.411095582095083,-2.66064458629356,-1.5829748751752,-4.24361946448409,4.061924124362e-09,1.13601926349127e-09,1.94507670486767e-09
"b_Adulto40",11.0308336859474,4.47037162239829,2.45129511351373,-17.386587606546,9.25091110648164,-2.58273904623523,1.49335419717068e-10,-1.47377369353191,-9.96729303393683,-6.51143368559929,3.38585674040073e-13,3.38585674040073e-13,3.38585674040073e-13,3.38585674040073e-13,3.38585674040073e-13,-13.3908527596804,-4.5616476461029,-12.4174254088282,-5.53507499760882,4.061924124362e-09,-17.9525004398216,4.66906568293843e-09,7.99521559991929e-09
"b_Adulto60",21.6000261489119,8.66077449967213,4.62374775694312,-85.644292545712,12.0688243770125,-8.56354503771746,8.35841974879554e-11,-1.97201469486084,-17.4890495481857,-15.4234841628571,1.62159811348234e-12,1.62159811348234e-12,1.62159811348234e-12,1.62159811348234e-12,1.62159811348234e-12,-30.2527047034993,-4.63184370238137,-22.2635375090439,-12.6210108941541,1.13601926349127e-09,4.66906568293843e-09,-34.8845484119829,4.4687464033096e-09
"b_AdultoMayor",5.19413881185022,2.17462612646076,1.21546520792819,-26.4461218540963,1.66074869437976,-6.80353672718026,1.55683636663136e-10,-0.369135146851137,-5.21107166191104,-3.00402333450426,-1.14721692673894e-13,-1.14721692673894e-13,-1.14721692673894e-13,-1.14721692673894e-13,-1.14721692673894e-13,-7.12712137135435,-1.45710876895468,-5.07308005402812,-3.51115008838673,1.94507670486767e-09,7.99521559991929e-09,4.4687464033096e-09,-8.58423015488401
