"asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","asc_LV1","asc_LV2","asc_LV3","asc_LV4","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","logLike"
1.70756540566482,0.289319133404755,1.46226763439572,0.419199904490734,-0.81810426292536,-0.0436061389732251,0.392758841576703,0.316721103664939,-0.168864344589748,-0.948359161490366,-0.883175657743384,-0.606526424631826,-0.24487177828154,-0.0456695363427558,-0.0698158554278444,0.243367318162173,0.968936914135437,-0.211240901681839,-1.2471315761064,-2.91203483072491,2.49005194190477,-0.496208486327863,2.64086056002555,2.51986725643173,2.76032361515931,1.48434884357516,0.61863093536729,0.530914341435956,0.934756846404173,0.609660995585903,1.69464900277917,2.18007392271329,-3.7596357214511,0.204816589704385,1.11743275919438,3.53907865704427,-3.82472699745208,0.565421774920911,1.53913829295296,3.14179923366639,-3.75081414534832,0.808455723186961,1.77929206643848,3.59573297218413,-3.52469076579022,-1.39313121403189,-0.302375986538289,3.06092284257871,-2.01982922414683,0.543024123281868,1.25897395714231,2.07785317358224,-2.31487791275559,0.694733427863024,1.24842630059781,2.2953363002488,-2.68783998216034,-0.692441124322163,0.201731841698246,3.1503625745039,-1.3576714678903,-0.230442235495365,0.557464025480605,2.01824457803749,-2.90687415776957,-1.41842342994742,-0.533593772890946,1.61309969455185,-3.89706606885408,0.15750194323589,0.952604592920026,2.75805854230338,-3463.99213157905
1.77053945404374,0.536640981066116,1.56830562985632,0.527268990841662,-0.803098882155669,-0.0141592562312956,0.447299335765503,0.357288736104935,-0.213717249662149,-1.07866048300894,-0.965803553004694,-0.570791336096691,-0.220746502204647,-0.024443594447808,0.00661495122168722,0.0356398902669711,0.819855801600844,-0.0581703562877393,-1.06358499792632,-2.91151566534405,2.52435613534412,-0.310501431263262,2.84081420804359,2.72829501024724,2.95198560194658,1.60734966251149,0.679526692520894,0.570068802607104,0.914831873434243,0.789634935176772,1.73002048327807,2.31466379135375,-4.01064801941153,0.164230216929381,1.16294960625611,3.77725953403563,-4.03405926846786,0.565103047710342,1.59805401118379,3.3634370975865,-3.98459863065655,0.712324164970478,2.02402719736744,3.8793000573433,-3.7608036795832,-1.44659067251674,-0.348695643118517,3.10328190332433,-1.99505708920787,0.59863113454905,1.21477157575493,2.12565459901781,-2.29083636570945,0.640819957561337,1.27259969575104,2.3615373906324,-2.7556028835464,-0.679911892664721,0.249813155355214,3.2250029408168,-1.38971157940666,-0.224328785453334,0.561439914321311,2.20440327008345,-3.06778764342482,-1.55495399922108,-0.533189510795413,1.75160727364538,-4.11019312122986,0.114615101806468,0.94015416504821,2.86979155274276,-3441.22783933298
1.85132261273373,1.24760717794237,1.68930798035919,0.621795516594614,-0.646682587123617,0.170073984464677,0.351018333826434,0.447381310433753,-0.304294505622141,-1.37280512958087,-1.05280128194784,-0.284842751712719,-0.0605793677369378,0.0896524061119981,-0.253897614529849,0.163584587268775,0.425302300984135,-0.0455166000961293,-1.07083783514038,-2.56647234619179,2.53683174450814,-0.407598537509832,3.23219762868784,3.24248627344899,3.42112312874657,1.81893738902295,0.723446378489054,0.56987457089511,0.864365826350634,1.22922664881497,1.88870155506315,2.71589031995564,-4.61821088108857,-0.0198099489962627,1.21334165058472,4.38570814979584,-4.4482196291721,0.432676065469426,1.69741997102401,3.99125522384515,-4.50035457583256,0.963451205128327,1.96254140243871,4.70565334201703,-4.28212176643429,-1.67130151994586,-0.145020094781799,3.05082048823964,-1.77534972485476,0.505782925539387,1.14442743233698,2.23649904559278,-2.00125886601495,0.578591420879912,0.956819417212849,2.55605090586949,-2.75040484845615,-0.743802168495865,0.698997498360056,3.24577224752028,-1.94814795347955,-0.333793933155004,0.897146110300934,2.82928176835629,-3.57241394925799,-1.68985476464518,-0.724755459571678,2.07490242344137,-4.49738579295582,-0.0388782470770157,0.880010135315014,3.13984490256449,-3420.00160775382
1.90772207464295,1.26360953225054,1.70924091222763,0.581726656117309,-0.612024903279786,0.199672987590134,0.293817518078397,0.420965714304268,-0.310735865985978,-1.4073445222379,-1.02249086263939,-0.236636950596833,-0.0302725122662572,0.112650847404848,-0.302213186202564,0.139549177603794,0.350718144803791,-0.0347011287596669,-1.11261338547044,-2.55739428792623,2.50438566379034,-0.338596515142199,3.2852525843339,3.2736412743061,3.457486811512,1.85374107046935,0.717043650250352,0.550327958304431,0.909809828219776,1.24614591811655,1.91088273666928,2.72839377316273,-4.69219258104549,-0.0551826628468837,1.21600121180031,4.46807196604138,-4.51941907567905,0.393460962107697,1.70251470255942,4.08483432478185,-4.5717702972988,1.00289254206329,1.92302057153347,4.82618746320215,-4.31784771980094,-1.67439986700649,-0.142262378253536,3.02387217528037,-1.76977690246399,0.489228135552896,1.15156515472781,2.24232408307543,-1.94757358783663,0.564520604774868,0.922081780942448,2.57385703318591,-2.71056443924623,-0.649398167022288,0.675823813001695,3.22902749172241,-2.03919668206026,-0.308298004745977,0.935605051567726,2.9377693385058,-3.64691855438095,-1.72247197011661,-0.698231820738615,2.08945374454451,-4.55565693975979,-0.0766878324046131,0.875186503821232,3.16888937281688,-3413.89970740118
1.98482330125235,1.23031874034122,1.72371236472743,0.528316655596306,-0.56835649025888,0.214495494509034,0.233226161521864,0.379736396113836,-0.312013754870782,-1.43741215762479,-0.963083310126384,-0.202091459644251,-0.00126902567180829,0.134767329188178,-0.321292182668107,0.118874258551255,0.326414647496753,0.00444833409325903,-1.06528476465673,-2.55010043017059,2.52247197904647,-0.406146606835397,3.32072330368095,3.30130286180369,3.46794382488784,1.84341577205807,0.720871472833883,0.540069367734604,0.870532250798339,1.30378547280017,1.91763130502285,2.75259521967304,-4.76427540182959,-0.0984909607263454,1.21464503977366,4.53887396916995,-4.57545457155407,0.357940439959866,1.70745812251119,4.17556435292605,-4.64255089582676,1.01690068465733,1.88456959348984,4.93456478347467,-4.32902060514311,-1.67936834047478,-0.17305040080808,2.98792080666995,-1.78918394542054,0.483883407473934,1.16743779970686,2.23844576189489,-1.90642289993846,0.551062720001732,0.922317859516063,2.57986366287877,-2.65487651050212,-0.581284807651213,0.623755309331191,3.20132176430718,-2.09776667089431,-0.279607174739869,0.964481293268478,3.00459659660159,-3.7160925279697,-1.7566516202336,-0.656645166526755,2.08248578193879,-4.58829436769861,-0.10480250879429,0.87606105429523,3.19032158965461,-3409.27903178565
2.02571662131629,1.20259370494689,1.73220257143369,0.502247952883299,-0.520607119138523,0.207772804947398,0.187537624531121,0.358660285320463,-0.309636240271308,-1.46374316179674,-0.891704159522895,-0.189230626577279,0.0222192768429347,0.15229770160426,-0.330162136956355,0.113305825923547,0.34022313497787,0.0456209384670215,-1.11340263807375,-2.53618242965175,2.53293567325333,-0.386186244755439,3.36189312815433,3.3135564030395,3.48466462413062,1.82821012267776,0.734437844897991,0.542607096346906,0.766922609005839,1.3488019784586,1.91202566259832,2.75206754321108,-4.82070574422062,-0.128857807329117,1.20997981519399,4.59932925612697,-4.63259075614084,0.330342008887475,1.70429712219192,4.25457580307577,-4.68744300783601,1.00322001760009,1.86753622269978,5.02673417403289,-4.30755799616555,-1.68465543504328,-0.211835096120972,2.95108618012571,-1.82411084863895,0.494219605725058,1.17984412368978,2.22892660822334,-1.8954723991732,0.570998235834066,0.941173942028537,2.57623646570425,-2.58349941878818,-0.597747016057061,0.604423539663864,3.16398623795648,-2.11646027603395,-0.268085939232483,1.00842547935795,3.04528365158943,-3.77519297164409,-1.77107605355023,-0.637227893158322,2.06567478886919,-4.62149981229447,-0.12135108275464,0.870834878664549,3.2012026271245,-3405.91901279256
2.01736637708236,1.19594432721224,1.73830256313605,0.50615769362001,-0.472327119713211,0.181794056164565,0.152198104869379,0.368898012519771,-0.30562302462005,-1.49079639462255,-0.812099342021356,-0.194836690827288,0.0410885959172693,0.166983644121551,-0.338996955815593,0.123483882107692,0.355595095295769,0.0783236307973938,-1.10564847506806,-2.53100795526353,2.52514512122793,-0.386298853931004,3.39209553176063,3.31998924172894,3.50082040993219,1.78996864829015,0.744092897651639,0.546034181122471,0.776446952361425,1.37008067336174,1.89003206006069,2.73388302813086,-4.89033570255488,-0.149548812617557,1.19313009320427,4.65697306348831,-4.6984610007213,0.314761468372801,1.69222762226637,4.3338189292611,-4.73152766726739,0.974793754397907,1.85563670344906,5.11487020796045,-4.2707619655805,-1.68869809908885,-0.258193751976517,2.90906680218381,-1.86616349375605,0.5135606673491,1.18540386414873,2.21643679560634,-1.90315971424044,0.626512339104531,0.972559492855991,2.56609572048623,-2.47838147958142,-0.597615905821349,0.606333359141505,3.11589705428382,-2.10816190419597,-0.257070066256438,1.04485306556268,3.08815586366403,-3.83034488135831,-1.76003483660453,-0.658147594508046,2.04755301861137,-4.66225680362966,-0.120699098491921,0.854684421085796,3.20579548509474,-3402.53581834151
1.80590379777055,1.21387913722812,1.75609141058379,0.583540812277398,-0.350027779609224,-0.00834463942323005,0.0545645065061363,0.509398971836461,-0.296359196408569,-1.61556099407383,-0.501411081577003,-0.298965128148215,0.073860397179735,0.205834547126167,-0.448603580499173,0.12799604639293,0.256348919863672,0.0753247773783539,-1.11926238288542,-2.57798667530918,2.3940307600073,-0.452306342553692,3.47631773491549,3.37638335150753,3.54962229488339,1.72612459111268,0.724383482607764,0.515075961264892,0.550220678270607,1.42320665818105,1.87310473868488,2.69413318810824,-5.26604281857937,-0.252341111781983,1.06964362217169,4.89650481708505,-4.99603197584764,0.254322083535027,1.61769431591511,4.67567323937807,-4.94763862510765,0.779124848717762,1.79713706766775,5.48564902653605,-3.99597008124256,-1.67406808274967,-0.360609762496612,2.68209813759472,-1.95555919889774,0.418379037478488,1.19894506700876,2.16022280501003,-1.87528558405149,0.724554705707465,1.28025788409213,2.5037849802737,-2.37255033590266,-0.330993932613335,0.62047466129175,2.87653763366267,-1.95659644430269,-0.140557407858715,1.0706075429489,3.28388274398911,-4.00440068555416,-1.67367140101524,-0.826320633200027,1.89868023430545,-4.78331929977294,-0.122657698476566,0.767865257069593,3.18278869427219,-3401.94388206394
1.79729376161204,1.19397041906853,1.75638186821132,0.576991125302745,-0.363300907228146,-0.0441940526341714,0.0541179549855556,0.520681883888025,-0.299717496726857,-1.64124497553929,-0.474057667515919,-0.329489792762625,0.0648056634102102,0.20413412641863,-0.443159769904592,0.147145418157622,0.270678993196657,0.0883722802686893,-1.13258844612142,-2.5576108539013,2.41799852852253,-0.439967375305244,3.50791427693555,3.3930932763153,3.5654688632066,1.7140327307596,0.730312674804553,0.519158291147202,0.562502386114051,1.46251794630666,1.87424883229017,2.69229715725138,-5.32833000365823,-0.273932874900289,1.04455965085571,4.93346306489365,-5.05056232630354,0.239961711700862,1.60912513556143,4.72728357582859,-4.98646934004977,0.757393940086126,1.77189430547853,5.54325060790204,-3.95013504996373,-1.66465356587968,-0.356599037275901,2.64467397760686,-1.94844709763131,0.382106470486335,1.18766554732089,2.15183176497821,-1.85186444689554,0.740966970971542,1.32461817849199,2.4974069057178,-2.37543336160429,-0.292454013200649,0.6427527797521,2.84349140738941,-1.91516381802929,-0.124299439227347,1.05822236923559,3.28337129149653,-4.01501366988166,-1.68694294782961,-0.837356273988459,1.86392228651249,-4.79525298269748,-0.137581223359672,0.759564046621727,3.16991388566636,-3399.63867044051
1.7612279065532,0.94760967562529,1.80516274703348,0.470717407036159,-0.57468981207324,-0.206534790829357,0.0194707389178519,0.484838095310991,-0.341088018509161,-1.80417340618533,-0.439520122664538,-0.510207270144473,-0.0351501619646879,0.173797441238814,-0.343650167763066,0.0934680761097381,0.204604018420542,0.156389418199098,-1.14619890183729,-2.54963209983873,2.28870354633042,-0.423410542375875,3.7635712482239,3.61199318330918,3.66781865331305,1.45351812391127,0.693653346804852,0.448837129815202,0.578505242942681,1.4547166111795,1.75754473248747,2.73436764210251,-5.7204415269214,-0.424960514752535,0.854886896861855,5.12734689919075,-5.35870476416694,0.163872324182798,1.54706874150466,5.01131827787748,-5.25637368473906,0.634771286777235,1.57366738634165,5.85924633368101,-3.78205424967115,-1.47640750759028,-0.283371726479181,2.43055850121196,-1.96827729758376,0.293302214136423,0.965814167475186,2.1084757835716,-1.6583447965327,0.970336938406257,1.45430597962778,2.51599373553133,-2.47222347791835,-0.316875350274512,0.834742450232924,2.71379571324546,-1.71445607096108,-0.090014713272629,1.03205483918192,3.30432788621116,-3.98297808633689,-1.86847170769042,-0.82614324612436,1.73950048110975,-4.80826929607153,-0.227855215497133,0.69558106801918,3.04535713542889,-3394.69340013603
