"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","lambda1","lambda2","lambda3","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","gamma_HORAS_TRABAJO","gamma_HPICO","gamma_CONG_CD","gamma_USOCINTURON","gamma_USODISPMOB","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel1","zeta_UsoCel2","zeta_PasoPeaton","zeta_UsoDirec","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4"
"b_EduBasica",-0.0181375260095705,-0.0187161762039727,NA,0.0123152561547907,-0.0395995915049323,-0.941348333957868,0.087727448147832,0.318858555609753,0.435594061135931,NA,1,0.127616820363908,0.710121828306583,-0.42988459436845,-0.336800441226209,0.307719919902332,-0.17949574951471,-0.0509385013888227,-0.0229392023495901,-0.23047073890946,-0.972564973275302,-0.177015692158677,-0.083204173582988,0.0510139383034275,0.0142523233474308,-0.0579093922667952,-0.0130169794718045,-0.249440706274387,-0.0478219749101217,-0.0371202889034266,0.0320401495679954,0.0244661796384251,0.062344571979646,-0.018926811295036,NA,-0.00713632168920292,-0.107828368070243,0.00441621912659651,0.107445500917527,-0.462652541728093,-0.466095804198712,-0.444474216126778,-0.337446023608493,-0.477144876054362,-0.460114547242853,-0.436753238588962,-0.324771358213305,-0.470649513951277,-0.426107229445717,-0.40904189722009,-0.251028328607921,-0.420315199114962,-0.479972546319485,-0.466099314401792,-0.327129967686468,-0.0730003531207588,-0.0563333769200938,-0.0477511794983177,-0.0319299444001637,-0.127102841998967,NA,NA,NA,-0.063852044673738,-0.0984912979255941,-0.0907758224196476,-0.0390599739580679,-0.164651880173282,-0.219465849474561,-0.223636562375682,-0.168671076391955,-0.110940485864815,-0.185630704301202,-0.208295957379328,-0.174697088041653
"b_Info_traf",-0.0158594080905135,-0.0171807020280514,NA,0.015232937212617,-0.0355247131517275,-0.565453646911351,0.0479182770020924,0.253457433914499,0.223370025502762,NA,0.127616820363908,1,0.105424118387596,-0.193924053067579,-0.287104388510272,-0.0124352269780668,-0.212470963648714,-0.0871196654463501,-0.0706707577504257,0.295024364531094,-0.0511839462400246,-0.0605194889933991,-0.00704345961964875,-0.213208000988535,0.0779865578418378,-0.0130085659044329,0.114598399031744,-0.0943492807324493,-0.0386876190359597,-0.0254475094939146,0.00132341523655323,-0.00152733870044089,-0.0165741203010132,0.00364770959288266,NA,-0.00400932453774552,-0.0115766207414739,-0.00269079337528046,0.00592147284960963,-0.14937322413444,-0.154782594937806,-0.147161961502577,-0.0994789218901719,-0.156776827443209,-0.148805165960747,-0.138553974330848,-0.0974958941505269,-0.152899665843494,-0.140419507896412,-0.132112315987916,-0.0695277899995987,-0.12888837924048,-0.153849942507846,-0.15263285201138,-0.111829108063311,0.0176183151533786,0.0164190354575981,0.0143550146227097,0.00997197688278433,0.0116843386442977,NA,NA,NA,0.00368571358237646,0.00155944964908344,0.000679162237358516,-0.000105671340471721,-0.0107927787208721,-0.0136749113761099,-0.0141156348925489,-0.0118821373811486,-0.00848829056747026,-0.0133166677277386,-0.0136517241865189,-0.0109139392601941
"b_Joven30",0.0209590288326392,0.027685236095611,NA,-0.100437301157049,0.0137654187394233,1.01432882106056,0.158286054421713,-0.546249120976674,0.107282570348299,NA,0.710121828306583,0.105424118387596,1,0.418299213126175,0.248484657398029,0.324750383288672,0.667870496152521,0.271140098987462,-0.0889017250092844,-0.0862466980192466,-0.668852439250112,-0.160979493196641,-0.299004021372681,-0.0754416101776646,-0.217110562343091,-0.166585235499586,-0.141550155550052,-0.199459932694775,-0.101391285346208,-0.0184258277941918,0.00449943904953385,0.0157779138690684,0.0475418387783102,-0.0456481995514447,NA,-0.000771990734008074,-0.0331781104009327,0.0407110712116228,0.154955626339683,-0.374775129931502,-0.382292258328512,-0.364357575322089,-0.265792684477714,-0.380728499824666,-0.387543466417062,-0.368755796867358,-0.276033629354494,-0.373438598241437,-0.357995442410801,-0.343897840857623,-0.206621475788755,-0.348978665983513,-0.389698095106064,-0.380453774803119,-0.270565828317266,-0.165131199451988,-0.162323500265307,-0.144622651505712,-0.104978946507656,-0.182679576127919,NA,NA,NA,-0.0840868632212819,-0.115758122712923,-0.104131844427609,-0.0444681863411271,-0.119505961100452,-0.152356984955511,-0.151216239509218,-0.105028821554716,-0.0882099596044443,-0.142405498779775,-0.155103356511039,-0.10152623624764
"b_Adulto40",-0.00898528928064722,-0.00954886914190774,NA,0.0347560707340943,-0.00771223285955069,0.281058245550684,-0.0604267920074718,-0.159255466737373,-0.36341111674959,NA,-0.42988459436845,-0.193924053067579,0.418299213126175,1,0.694329830107636,-0.202786237336325,-0.0354449046902861,0.340508450494795,-0.320272962472867,-0.029885514066276,0.35603980170421,0.0864744219507489,0.120970652804011,-0.0232344796730441,0.0560028466944283,0.0760865846983058,0.0354394014818249,0.15359961415679,0.0644330640491072,0.0184852104361355,-0.00424430214131907,0.00095098617007186,-0.00817168897335552,0.00200684421913334,NA,0.0176958934212344,0.0377483165558659,0.00513249658328013,-0.0309032576645354,0.179319757084009,0.177198737848511,0.169366286614999,0.129569656954336,0.18305846923017,0.175101310370705,0.167048649760107,0.125096463038191,0.179180949888839,0.166054682084462,0.159975360008831,0.102447297857127,0.157475217000613,0.181925609658,0.178014830229874,0.128426889678931,0.0805041216468927,0.0560256637279899,0.0475433433707716,0.0312952002829352,0.0936352664865936,NA,NA,NA,0.0363507251271829,0.0572668303905524,0.0546625931311144,0.0254032738081997,0.0599923465758804,0.0817387362951719,0.0847685255551984,0.0664521791610491,0.0398626258948945,0.0687455093953028,0.0786988697384467,0.070093504743977
"b_Adulto60",0.0280477731860002,0.0370729338867814,NA,-0.0518047669911062,0.0697523222332504,0.593777393497329,-0.049559516753816,-0.386847676862282,-0.416059416121681,NA,-0.336800441226209,-0.287104388510272,0.248484657398029,0.694329830107636,1,-0.329500689508313,0.261663267727722,0.379405403455979,-0.172249566085673,-0.122091755193602,0.238665658605694,0.0394456349893075,-0.148146340002498,-0.00786652542539125,-0.0718309853626366,-0.0650900346660128,0.00369958523158765,0.0981513041006996,0.0117869696903209,0.0181987268696266,0.00272507489312317,0.00631299126751766,-0.000728427831340896,-0.00121101103973303,NA,0.00659036590079745,0.0329221603720816,0.0178265672318065,0.00575243403488962,0.116818159621055,0.115258803133352,0.109767016066932,0.0836486439774291,0.119414488918947,0.113487126267054,0.108293038485318,0.0810414864018295,0.116925260539146,0.107513412630847,0.103820864764805,0.0665115860919676,0.0998575828434635,0.118525108212415,0.115683769457624,0.0824307298018017,-0.0227160677337703,-0.0211797192998032,-0.0190869951856858,-0.0142420172583265,0.0191045256105765,NA,NA,NA,0.00290316907569419,0.00864650795451372,0.00909158804088845,0.00421845739666896,0.0376742083492232,0.0542009622546785,0.0581760252370862,0.0489426158508092,0.0229024904274336,0.0410247114169039,0.0485250545734617,0.0527656658548153
"b_USOCINTURON",-0.00140684026278965,-0.0100917046401355,NA,-0.00569064595375966,-0.0358770381137571,0.292729529635543,0.0825330172080699,-0.204746280350334,-0.204119528008915,NA,0.307719919902332,-0.0124352269780668,0.324750383288672,-0.202786237336325,-0.329500689508313,1,-0.0732386838791576,-0.140763387461429,0.118911399521126,-0.59494396195805,-0.290969331354645,0.000844160986512864,0.202428651864501,0.0544675067333235,0.197932805899281,0.139348876239504,0.0550248823817384,-0.300279195775122,0.0357107897953056,-0.00846229103747669,-0.00478406988153973,0.0108497712595395,0.012383662581821,-0.0173029535110114,NA,0.007227211937211,-0.0281883245767403,-0.0151232436342441,0.0281675015516153,-0.100053311116015,-0.101126222324989,-0.0953557899985016,-0.0736502288954254,-0.100996898727939,-0.103377080723794,-0.0984347219647034,-0.0756501340229311,-0.104118835896111,-0.0873869585575986,-0.083628096455663,-0.049929959497475,-0.0884439826715735,-0.104495564144295,-0.101863214495989,-0.0707280072265592,0.0514140356906628,0.0347361012644698,0.0291628743688731,0.0194836383258814,-0.0591561958005977,NA,NA,NA,-0.00251368564936126,-0.00194934177893193,-7.02360887900288e-05,0.00191426347029172,-0.0537411589398597,-0.0764426878957951,-0.080765401028699,-0.0639848160718757,-0.036200296171339,-0.0615604586712813,-0.0701163635978529,-0.0620095904913664
"b_USODISPMOB",-0.0154985017077602,-0.011416233052517,NA,0.0391296517377735,0.00233861738790454,-0.396921166045333,-0.0620125233552367,-0.0596990710755577,-0.00567622688236186,NA,-0.17949574951471,-0.212470963648714,0.667870496152521,-0.0354449046902861,0.261663267727722,-0.0732386838791576,1,0.215798970132411,-0.0275802982913198,-0.551158827065227,0.0849521832972048,0.000590313307690752,-0.151056998452922,-0.0273561238666998,-0.0983956696766207,-0.111693399385523,-0.265879328637207,-0.0559552681008598,-0.564874805164517,-0.00150592437564175,0.0138654676473655,0.000828793511776409,-0.00472353927688996,-0.0150629475752186,NA,0.00182095059689808,0.0413314089761653,0.0655132185217747,0.0399702878547204,0.0179490553925722,0.0166706956468918,0.0159551732574206,0.0137056881114998,0.0133576044723981,0.0240049364032968,0.0254638021847339,0.0231528302229372,0.0161441387278008,0.0175332044282661,0.0173413819883403,0.0141299193990338,0.0173720437957129,0.0183295885282552,0.0176086902057252,0.0131580596740675,-0.114335712319731,-0.0940227907596078,-0.0910743135055331,-0.073948748488785,-0.195577521283228,NA,NA,NA,-0.0383801826094619,-0.0395713756525677,-0.0337278465297226,-0.0146051496197657,-0.00595454683684573,0.00588031638669872,0.0148716244979629,0.0263588276310647,-0.00511239328720482,-0.00471013718045722,-0.00185010977827519,0.0121324961538397
"lambda1",-0.013763539985738,-0.0239387712835129,NA,0.029568564009571,-0.051332558233092,0.11093797881625,0.0347704474624303,-0.172281693280887,-0.0675005582540217,NA,-0.0509385013888227,-0.0871196654463501,0.271140098987462,0.340508450494795,0.379405403455979,-0.140763387461429,0.215798970132411,1,-0.619701253878848,-0.0259682945386192,0.0348019700660748,0.0108685363447633,-0.00215458407074871,0.00316542484246579,0.0581166735038276,0.00451949967585859,0.110530255939001,0.0294336789655229,0.0193080421507543,0.0163561817520842,0.0085034328943691,0.0127552044694188,0.0109759790678787,-0.00833124263933414,NA,0.00565824609770822,0.0223809469428779,0.0166605067241659,0.0263509548442666,0.0270054135735326,0.0282967347874406,0.0265332187473704,0.0247823049619137,0.0299075980284491,0.0258438128429539,0.024149246383132,0.0187157258221266,0.0271240961485525,0.0260207601559817,0.0245970365089948,0.0213854205408517,0.0216976973400771,0.0287247784174893,0.0281750097799774,0.0198551070889161,0.0505481006192144,0.0217083961321524,0.0172464452182238,0.00988738231766848,0.0549033447413949,NA,NA,NA,0.0179462931104293,0.0249004630277912,0.0226793450592851,0.0100049248667952,0.00800222735123337,0.0147708002256199,0.0175805211314261,0.016990195740556,0.00252257439875886,0.00758951647659247,0.0113985351603406,0.0213989521711783
"lambda2",0.00669910560736364,0.0117710595542588,NA,-0.00472644814807921,0.0316172715232797,0.00853117794860498,-0.038973188906668,-0.0588115041719636,-0.052665800309303,NA,-0.0229392023495901,-0.0706707577504257,-0.0889017250092844,-0.320272962472867,-0.172249566085673,0.118911399521126,-0.0275802982913198,-0.619701253878848,1,-0.410000396716597,-0.0776414792543408,-0.0146062437905008,-0.0575308028735624,0.0532772898200078,-0.0236534158886199,-0.0227085792976172,-0.00829860056322658,0.060706309763441,0.0472673942165338,-0.00479996400922397,-0.000142778212209676,-0.00501589268582851,0.00573546179846674,0.00787297107013609,NA,-0.0134931255749156,-0.0472791299824912,-0.0347728937792698,-0.0384632102708565,-0.0250941415844873,-0.0208768745569245,-0.019160029111107,-0.019831719125963,-0.0250285143379821,-0.020773885744415,-0.0199573593372565,-0.0162524585202198,-0.024034237190972,-0.0199377768586499,-0.0195720340098229,-0.018686017036312,-0.0218991235093491,-0.0249278417804635,-0.0230729043774176,-0.0140177372481477,-0.0153080628747293,-0.000370518974326646,0.00224791419617847,0.00436416980340029,0.00376098613477986,NA,NA,NA,-0.00535890006909434,-0.0163865612873073,-0.0170745943301888,-0.00857231556476493,-0.00707927320532554,-0.0174593834653099,-0.0225870024975839,-0.0251825566315375,-0.0011833622408322,-0.00642546093952736,-0.0107647138553708,-0.0253091874983822
"lambda3",-0.0332045027923426,-0.0324555494888029,NA,0.067512140146642,-0.0440772086845841,-1.26208485333993,-0.0296573145779595,0.866760501178083,0.522848746656139,NA,-0.23047073890946,0.295024364531094,-0.0862466980192466,-0.029885514066276,-0.122091755193602,-0.59494396195805,-0.551158827065227,-0.0259682945386192,-0.410000396716597,1,0.333050877870973,0.014658919584063,0.00701068900022176,-0.0822833302555437,-0.00174331506053269,-0.0164463463236789,-0.0124052063312906,-0.138014384343226,-0.129357008585277,-0.0150709475135951,0.0122754122479333,-0.00646107298948125,-0.0204004782734941,0.0176137473579841,NA,-0.0123526316508003,0.00681306279627642,-0.0211855162337187,-0.0918368815072356,0.112885872294977,0.103392376764859,0.095340970059142,0.0680351640295969,0.102919178308182,0.117620410550421,0.114645311963067,0.0910548657673231,0.104383673434347,0.101953238199224,0.0992639108121958,0.0646176792045671,0.0964493284036462,0.110350421135335,0.108750443450368,0.0780143075004679,-0.030986130198011,-0.00759799201003927,-0.00614636506902747,-0.00366998365625839,-0.0373729885468795,NA,NA,NA,0.00630508517464876,0.00598229840100543,0.00306412004992358,-0.000587552807620296,0.0466789660372796,0.0578310597092413,0.0558909978718332,0.0364148564059945,0.0373062347629021,0.0572187078177241,0.0600649228054612,0.027183079237248
