"asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","lambda","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","logLike"
-0.0167923608137049,-0.947253549506999,0.809206929594923,0.0111460355663756,-0.132467764131341,-0.0454023506056452,0.0842852743537094,-0.151702463772538,-0.0800128522494796,0.124351079736037,0.0833452091286298,-0.15293636753584,0.244597188862793,0.0549347084640485,-0.125777967896896,1,-0.18057707444776,-0.353877789413951,0.183972489637003,-0.666610360729585,2.5536944033371,2.39195867159426,2.60632982420896,1.99004758162692,-2.89789326962799,-0.0371109059604836,0.734981669197758,2.7805494325825,-2.77194008871052,0.19039534810861,1.08488892277334,2.61032920954446,-2.912022064845,0.488089586525255,0.917703742401295,2.81976450810479,-2.93572733990191,-0.878776574143918,0.111058995979355,2.57770632849522,-1888.02337287809
-0.206780303633341,-0.454541816387894,0.298063865733287,0.0448281027966893,-0.0605310698046667,-0.107934814385792,-0.238244138658968,-0.227461802090263,-0.0616398810907398,0.107835058709053,0.139411284309019,-0.275236205941011,0.500138300416197,0.0449298378629348,-0.131805240892218,1,-0.198156384028909,-0.401061107874626,0.0407441063575457,-0.520638915056681,2.82731503767275,2.40489448009763,2.7254279075459,2.22844729806134,-3.37858124235361,0.110156938580989,0.574370924653473,3.45505226484223,-2.83794904395063,0.355495450646539,0.979293527286343,3.30226029185061,-3.06108155253638,0.423443107597236,0.992208959340519,3.64647164987214,-3.80582157117334,-1.57672697618545,0.142424716279787,2.54927763803452,-1882.42130143518
-0.333563573913837,-0.420768746399336,0.318582415889654,0.0342944136895677,-0.117430311886932,-0.123439980396338,-0.119280678429185,-0.244840722158173,-0.0615091136614445,0.108778203535375,0.15404576808237,-0.308439056177042,0.584686840910999,0.0402530034991237,-0.126084265884584,1,-0.197197867760536,-0.423748541989399,0.00768162704474571,-0.512702447198585,2.83814876326219,2.33530193432124,2.67067488031125,2.32367992137069,-3.52119893829011,0.0472162528110987,0.599568011075752,3.65586066773253,-2.85776611289885,0.363240648603735,0.967909471213836,3.50519300011821,-3.12884288697086,0.396902698073513,0.999753903169176,3.89707362544442,-4.00765518044836,-1.78139555928164,0.0982837612467227,2.53554079882117,-1869.53164645762
-0.385143369712095,-0.511950327860083,0.378865253266902,0.024343294001328,-0.0220337056403021,-0.138429557779394,-0.124600893431706,-0.252848851524674,-0.0578707443701027,0.100318119889188,0.159059245817217,-0.336958056673392,0.667244973021777,0.0400337245068889,-0.114789840205761,1,-0.224458683161953,-0.454034539748644,0.0120515424235852,-0.563415515452146,2.84174968692922,2.25231377782174,2.6041101784202,2.3393913776487,-3.62265312337041,-0.0187254294935729,0.587269153076589,3.84558431489714,-2.83883164511872,0.258006818661391,1.03194229331167,3.68899134971724,-3.16534545521296,0.351766613899636,0.999660845999124,4.13765083380024,-4.22927748663261,-1.88776085898202,-0.0474548331742763,2.52782492492363,-1858.68408811643
-0.366640059331298,-0.625838388686244,0.404579654295849,0.0495962516819873,-0.115092602177337,-0.149749437537713,-0.201354032577041,-0.24705744227741,-0.0571056396249738,0.103521122889482,0.153405702696472,-0.347802147500464,0.72114960616808,0.0435106995979781,-0.0960865971709431,1,-0.231960041002789,-0.431407881932229,0.0603597788556446,-0.597498893985349,2.83633060266316,2.21194230046063,2.56530507747577,2.40543898057053,-3.65270537656504,-0.0572572209608026,0.523391217139312,3.95128907526706,-2.80371627315585,0.239295712044998,1.01574798337119,3.78460451479688,-3.15545523343634,0.296985202779007,0.996242433947679,4.27706699113242,-4.30838623465629,-1.93517728148195,-0.145034911421087,2.50950577369546,-1852.85882252105
-0.309105755535867,-0.720893063648034,0.364783866250838,0.0482317616937707,-0.10298831873709,-0.155983161672502,-0.143923939848535,-0.236185127820275,-0.0532255793243402,0.0957321914922583,0.145346091943519,-0.349197659770365,0.768694603804539,0.0569540449551055,-0.0721224114838327,1,-0.232222072354228,-0.405864425071847,0.123734866856845,-0.636621666014121,2.85265525825443,2.21433867517206,2.57082727177518,2.42459516413348,-3.63874122226347,-0.105229808753381,0.455241156946653,4.02485527988592,-2.75879653570189,0.291588710442878,0.953364643593918,3.84205982543831,-3.11711781341146,0.262494509199126,0.986034531523748,4.38080103191114,-4.35071086579739,-1.98226654891041,-0.219152076423841,2.48774923908532,-1847.43466019098
-0.479822897317169,-0.799309111317875,0.309040972976695,0.0611527722577523,-0.116016651870103,-0.174059101309716,-0.166622947065487,-0.172844839715072,-0.0405298306235672,0.0723885727066944,0.105460070087978,-0.321653611067899,0.886241875732222,0.154400438943771,0.0204527742968587,1,-0.14157677124937,-0.394794842539713,0.223392944282568,-0.67559811503279,2.97789102227602,2.23581795053105,2.7042359738579,2.40922332777524,-3.52971320760583,-0.282220847140103,0.397180206296767,4.12806469923222,-2.75681366651707,0.32821907393428,1.04248392137682,3.84967947401034,-3.10518106882835,0.48488383242102,0.895521139838674,4.57035975821313,-4.32114306982329,-2.07619744634701,-0.276429385100986,2.43793616117294,-1835.14600883142
-1.14043916080887,-1.00053729498365,0.142763319467853,0.0511392024587101,-0.0825193831629453,-0.242536776165907,-0.0140326699424207,-0.00267768693888629,0.00173739958684608,-0.0117170832655979,0.00539176087293775,-0.226981180114755,1.23416075305831,0.51231866007927,0.307897709878759,1,-0.0219922860933569,-0.358662701616968,0.301893714838722,-0.603828615899619,3.18915908548025,2.47665469314842,2.97478751574143,2.52665809427826,-3.55231571551131,-0.23966914580077,0.0988162223908738,4.36426092121591,-2.87030454763064,0.481237956076518,1.46548733430704,3.73114285114976,-3.37802671680382,0.554549608659395,1.38614029533915,5.05906614577808,-4.18602046804152,-1.83676458428605,-0.411636988984893,2.37901583214664,-1807.13935745238
-1.26216508080294,-1.13784632592224,0.0472685634320401,0.0586763736735652,-0.0592466614080249,-0.278883285628442,-0.0532897305395351,0.0284036326559962,0.0173547909987281,-0.0394648635442544,-0.0148240184533531,-0.207718177910649,1.34551050052378,0.631457670654526,0.396557148824761,1,-0.0641988912917708,-0.343417235338571,0.264055897583541,-0.562190578291964,3.18382013004897,2.56065539352646,3.07462704795148,2.51974392510318,-3.6752973555555,-0.343334489245703,0.250122217261957,4.43561538012391,-2.95601572917117,0.618584949076193,1.51496456724913,3.69058259147498,-3.5208633454286,0.588030487275579,1.55434080758892,5.21311172758277,-4.1498395065654,-1.71367084452486,-0.425313873790728,2.40123851595755,-1794.04343536716
-1.07466923005415,-1.82020359707488,-0.300468278958013,0.0893584056194291,-0.233833667607449,-0.432635250566892,0.138257763113134,-0.0668075946559619,0.0508737928685655,-0.0837205001354656,0.0291591300690145,-0.25445655951164,1.58772615312368,0.860815511982587,0.554220203927837,1,-0.29289831739421,-0.277254504972826,-0.019246628869171,-0.452414679450292,3.22347936929331,2.53191183071108,3.47106773683742,2.31804720482955,-4.12392977999956,-0.014810272483581,0.581049579639264,4.54037661787225,-3.26525320939765,0.34256775456113,1.68846704246567,3.65043201093025,-3.89930467264288,0.782654383867653,1.67701977446939,5.53285078668929,-4.01608990271339,-1.74459431977074,0.0105975687333348,2.60415421785216,-1783.82009160945
