"asc_ruta1","asc_ruta2","asc_ruta3","b_tt","b_dt","b_CongAB","b_CongCD","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_HTRB_2","b_HTRB_3","b_HTRB_4","b_EduBasica","b_Exp_1","b_Exp_2","b_Exp_3","b_Exp_4","b_NoInfo_traf","lambda_1","lambda_2","gamma_JOVEN30","gamma_USOCINTURON","gamma_EDUBASICA","gamma_EXP_2","gamma_USODISPMOB","gamma_LV1","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","logLike"
0.574158504941772,-0.231557802213936,-0.565599919855935,0.0812739587217318,-0.113180312534825,-0.122316758087007,-0.365600624568523,0.158326575720037,0.0492684324456816,-0.234067732198883,0.127110623782502,-0.0326251308688425,0.304660927266334,0.100027413744682,0.190832511791902,0.151322290612362,-0.074868880707872,-0.0568040102251283,0.193443870422473,0.138366003273393,-0.00242803977829288,0.104785084668418,-0.0855029754076592,-0.0898532885652856,0.474943010344297,-0.270196620703202,-0.63118538080173,0.489853647279241,1.0466323630409,-0.0647751795969352,-0.272305585255021,1.76242657264358,1.62390075891145,1.83263653041454,1.16496295525689,1.66390683563828,1.81877599761865,0.735252193768991,0.685105006649728,-0.119376165314451,-3.14784085869977,-0.445988733550142,0.356783124947271,2.76218205992426,-2.87317651549178,-0.291344484279973,0.758753223862338,2.5909313607611,-3.11316104673308,-0.101695372888825,0.510606827931227,2.89691561172708,-3.03952818881912,-1.18982341982523,-0.156308567813899,2.17796956820199,-2.73527399406072,0.0796952662644972,1.0204077985408,2.33960920898862,-2.8334680177346,0.214583866638419,0.957034796322981,2.55335859086284,-2.31637590263459,-0.608897293077947,0.35851897561997,2.44433687679087,-1.8071752619114,-0.615139658998148,0.197089298316604,1.791089119462,-2.67583592225867,-1.73830092170967,-0.96446359939988,0.446903775756744,-3196.1503187166
0.466234779267957,-0.236607381296298,-0.563376179781497,0.0761364521972793,-0.084512578301835,-0.234329238105424,-0.409803436389236,0.254335119967814,0.101982445199048,-0.353350327943756,0.0919063275188255,0.0277831949869632,0.444700535260375,0.0709152330305145,0.266388360775902,0.197103224902727,-0.0681315877781931,-0.0922081886745712,0.273086729746645,0.182900736677759,-0.00375206510993392,0.138085622591716,-0.0931395911774058,-0.024968491695992,0.0564980567309976,-0.389159879226822,-0.934168594887551,0.533261247571315,1.22960282944321,0.0118064556266776,-0.446504877287866,1.85470924804988,1.67522316457023,1.89047841896496,1.24476735768219,1.66482510447626,1.82447886603583,0.726510073942383,0.203410644312555,-0.391870084470431,-3.45485705979272,-0.578860115998612,0.255039351338529,2.90393315833553,-3.0636736843301,-0.37390666125298,0.724712781479566,2.72445762378363,-3.38795826069443,-0.182380274598254,0.419232907252538,3.11979738200153,-3.28670897194479,-1.47602404549004,-0.236118532804992,2.05844553927052,-2.86637597539729,0.0148399885858836,1.01557513844049,2.45281155080473,-3.01272283254389,0.137292968435968,0.959389565019816,2.73675460503319,-2.30273034979697,-0.712032361933299,0.451989619879347,2.44631484593924,-1.92227438698287,-0.838120078568944,0.0581509874008651,1.51721631095565,-3.05540390502324,-2.00032391897382,-1.29318119955258,0.325459716554935,-3151.23896664046
0.31068105926919,-0.262019068386566,-0.561291651242604,0.0734798757575338,-0.0465587216785641,-0.426482632875195,-0.481932259766621,0.390747291810052,0.176720999638565,-0.566946622906445,0.0239611925455191,0.109511050304228,0.651592209511507,0.000221436220512475,0.397278174952453,0.264347152851102,-0.0550704637781413,-0.135049021744409,0.397616405940835,0.284976631117651,-0.00797173749394163,0.194046289780711,-0.123494284933812,0.0840088339759923,-0.654299406371236,-0.586203066804077,-1.47147180610946,0.63579482464011,1.52243049989197,0.17840198877476,-0.801000666812833,2.02337131722485,1.76609500882938,2.01337528472862,1.37543544816904,1.68319511857115,1.86593578092621,0.692158228842388,-0.854058960769003,-1.02894940766493,-3.99150040589132,-0.845846862808417,0.0783845495121222,3.14348421155467,-3.39965345352752,-0.545149814643573,0.662971244521137,2.95144780388031,-3.86303636178847,-0.359221764540334,0.264110096584444,3.5059184048,-3.72899226167401,-1.94210031990373,-0.423599218549949,1.84570243021581,-3.09402420002519,-0.11133244955489,0.999233721868823,2.64738169690499,-3.32160293960554,-0.00500146293707099,0.950496108121618,3.05796075437841,-2.30005287609206,-0.815254910693244,0.540501623529821,2.45308453335109,-2.14500096104574,-1.1158968550986,-0.246773387629111,1.01569050415102,-3.73561135215171,-2.49051497501077,-1.73741391377767,0.114844298554193,-3143.95480709548
0.315855159746592,-0.297603887619589,-0.579183877186742,0.0749823756914983,-0.0569237431686049,-0.44638554497874,-0.486483618368906,0.40619155498719,0.194138805615282,-0.612525895979555,0.0136831392743799,0.114570662010581,0.669971350625608,-0.0204264213633932,0.423269062599245,0.281826336168945,-0.0415323542028869,-0.101009208384891,0.411649989700607,0.3282726159628,-0.00682875167471447,0.207647279436955,-0.123761814311907,0.0422848607441402,-0.71580333354093,-0.622474458971915,-1.4917912235322,0.639220752038581,1.47881072837936,0.202825820474045,-0.760163950416918,2.08201282988771,1.81765328225897,2.06908358848498,1.34456052421249,1.72832669646494,1.92483611396177,0.666637054500733,-0.921414703622026,-1.05420163084776,-4.07950267958144,-0.93121946710077,0.0508256540866183,3.16867897786713,-3.45016786597062,-0.596652620748444,0.645709374981292,2.97853072171474,-3.94159322919428,-0.433220226298536,0.245389049168221,3.56550799588348,-3.81907800026602,-2.04245671122758,-0.474848801972892,1.79728741029694,-3.12691025965694,-0.141833008387669,0.980087096788814,2.67684964590393,-3.37124813762834,-0.0365681638327642,0.928978377886637,3.11577556083927,-2.31015530767136,-0.805313114265781,0.51351133328262,2.45301039100349,-2.29719638536516,-1.19767177847264,-0.360287210026533,0.9208614142622,-3.92968980007741,-2.56458895409871,-1.75554406560967,0.0918490374984664,-3132.55759017268
0.360631223372497,-0.354595329863606,-0.624646506402724,0.0761224957099555,-0.0829732859822696,-0.496859303445152,-0.500693877845464,0.375652426880953,0.196740859884937,-0.712826367278676,-0.00569294495970835,0.0719679481786985,0.621859693221853,-0.0700352202891986,0.475194336344714,0.299978933306735,-0.0325696899485345,-0.0157506612386723,0.425567745490559,0.432361951574558,-0.00651814928803285,0.22984702118966,-0.164513717457035,-0.0245000511970936,-0.778008390707912,-0.688385028349577,-1.49759162647675,0.698219602802602,1.31156435737438,0.107281927865489,-0.774186501073736,2.20818469197767,1.89568798506353,2.19612302494571,1.57673949202756,1.78806147220601,2.01396006583302,0.717545264471832,-0.994431023313614,-1.14564323692088,-4.26517725819502,-1.11313774862268,-0.0136260380054139,3.21290439173102,-3.57300049773256,-0.708616801825348,0.606631745535702,3.02704204093398,-4.10974702795377,-0.593458944374701,0.20598920290113,3.68605881815452,-3.96332634671175,-2.13727473275454,-0.605767444875014,1.70135919419235,-3.22305548933545,-0.205625653897824,0.941621306169097,2.73144075086806,-3.50253122290168,-0.107811861761425,0.885203471352044,3.23465275044434,-2.3216976245594,-0.732897385509876,0.439785521598488,2.45450188501059,-2.60911531968352,-1.46307259366334,-0.521367045383054,0.828281848350973,-4.3211003996295,-2.69846015884877,-1.81543551910082,0.0994235003932391,-3113.19508710583
0.363021377371896,-0.340998201049021,-0.659950010223593,0.0813437136754872,-0.105238258274677,-0.516104645513875,-0.526877438664009,0.320120442345392,0.186208111415477,-0.779998251038657,-0.00837416334968255,0.0137589349246896,0.52367918555524,-0.0932055236180174,0.506851756528066,0.312116951394715,-0.0403662312654947,0.0620177893769575,0.42877651545674,0.500393237418352,-0.00438422018219687,0.242933864135128,-0.204140874848209,-0.0659977083952267,-0.735206256296958,-0.708175081309771,-1.4599701983658,0.746524288777985,1.1507615236891,-0.00178332547312007,-0.79091120514076,2.32241702368494,1.9666754454213,2.29167713580688,1.55846327003463,1.82792739464943,2.05315734403059,0.69518694345865,-1.08859543344593,-1.2144992900023,-4.36908668079059,-1.19476994552791,-0.0769308822410193,3.23261452974824,-3.63832890162562,-0.763208903062665,0.573669336249087,3.04804470011754,-4.20959252042681,-0.665985980046008,0.160379625818256,3.75733020931605,-4.11787808799605,-2.19167430882545,-0.700834084077605,1.64960776038466,-3.27689463969866,-0.247073113962322,0.925178086544584,2.75431900180128,-3.58384245951789,-0.165113152995562,0.865969048179307,3.30265324352126,-2.3028547306113,-0.801813567103086,0.461010401932818,2.44431160952167,-2.73151574490189,-1.62727773121697,-0.511456840323846,0.894552047748378,-4.49606797539081,-2.80233641969077,-1.87739398720633,0.128383602147891,-3101.9097234336
0.237920856180446,-0.185611903509534,-0.803195417629453,0.0746166540617589,0.0580825487522107,-0.453624837573968,-0.611517113823072,0.145695521143378,0.176045743261914,-1.00229573362971,-0.0223070293389623,-0.130983251089767,0.104901006276804,-0.157751315153011,0.601445479718389,0.385209014677291,-0.0328168364664904,0.391384361534794,0.452762605924893,0.653863898083001,0.0298661604834237,0.2907866021146,-0.24667525613686,-0.22671967585865,-0.579303533616694,-0.57325815130178,-1.62405009956925,0.948148692002808,0.549892807883198,0.0857532474222364,-0.855089307863936,2.39822675123931,2.08441046829748,2.35068254941544,1.69776455654724,1.94257142885963,2.23421535063303,0.804189367444375,-1.22976884421984,-1.0687707109448,-4.75419850813426,-1.38725611032384,-0.292111894496047,3.2109332178435,-3.83717876539786,-0.869261190033454,0.44747208306911,3.02835162980344,-4.57133691901836,-0.855972855902248,0.0195451891273489,3.89954194764106,-4.4128635228669,-2.48769737672083,-0.756337782239002,1.51325435202893,-3.39069159123109,-0.360202267021098,0.89869492921876,2.74298489531605,-3.73009026882992,-0.36371235278153,0.840452529158764,3.43797851368628,-2.36160736440689,-0.881107703991089,0.587162297069504,2.38964456396651,-3.01741901390641,-1.45674394910785,-0.471185293181198,1.22493955023981,-4.74901867541661,-2.96141948970828,-2.13126056532878,-0.0171845704748892,-3092.72706782306
0.215127765936838,-0.187274308872129,-0.834788675048645,0.0781440842496838,0.0482348059005155,-0.42926092945527,-0.611877769030648,0.121282812374227,0.183026556565083,-1.0657791789868,-0.0386886124778799,-0.138907970383472,0.00257091257110503,-0.17052412236506,0.627238194790671,0.40801849106388,-0.00765105248762427,0.481615721111359,0.469515242314724,0.680442508035742,0.0455579561872023,0.303731198744372,-0.228133607770283,-0.229431112427925,-0.588028922274168,-0.497473372214073,-1.67376135821657,0.978505722013811,0.407214031999123,0.127510661884827,-0.855137805486786,2.44314615355591,2.08020360500849,2.40348053751171,1.73385864917507,1.93706698662978,2.23598522604235,0.735093169589754,-1.19295766823473,-1.08652534848857,-4.83618158763533,-1.41887657689652,-0.352140493983433,3.18695268306377,-3.89885581846249,-0.888795909656898,0.408721333117792,3.00518501633288,-4.6458291537223,-0.878027727273452,-0.0285351311840332,3.92014410617777,-4.46436321442371,-2.56620740220287,-0.770041539448156,1.48990729375867,-3.4405953898565,-0.374813637335793,0.884934953245392,2.72549022692325,-3.79585412802605,-0.39725257594145,0.825749060130856,3.45992151913833,-2.42138645774945,-0.877553856412013,0.57010127135509,2.38479444358474,-3.02832554550234,-1.44093178039469,-0.389683589893141,1.25648311901568,-4.77014940170258,-2.95825038651479,-2.13664184542797,-0.0482954621720881,-3085.5132384242
0.185679929695267,-0.24280809227594,-0.884265434934335,0.0842197723255932,-0.00633651785241413,-0.382853550749398,-0.591239388889807,0.0939866532107442,0.199518543474718,-1.19950217998377,-0.0869267803535289,-0.129168513897455,-0.191476329362847,-0.189999813001169,0.683379455386228,0.453818959873721,0.0620449012869615,0.646640495911427,0.517484831612695,0.718265576839559,0.0831355831954135,0.328594755167603,-0.169784915154136,-0.214412116964399,-0.661155118090785,-0.306514808763975,-1.74216803204952,1.02209063335833,0.160153358338738,0.129607237757869,-0.856894708348086,2.51154603728474,2.09270662715294,2.47683489810625,1.68976798152153,1.93666822691576,2.23972949157001,0.849651940212064,-1.07328687802425,-1.1431805443118,-5.00288748770529,-1.49688764005689,-0.461366416813916,3.12457865297732,-4.00386422186738,-0.929608456985169,0.333654084892578,2.94305857438976,-4.80798738794004,-0.927722707456639,-0.121214638381303,3.95010944839383,-4.60499670349273,-2.69739978281388,-0.834628285481544,1.45854072636045,-3.5351210797992,-0.393636987614265,0.853348292414218,2.67797986062186,-3.93380528968358,-0.446197134071428,0.792154799161451,3.49317954013717,-2.44847007849933,-0.833163031624992,0.510549682094665,2.38422901619492,-2.96257823697638,-1.37996209596979,-0.267003968663283,1.2891907808283,-4.77602030826216,-2.92579246883095,-2.13072717332013,-0.052790019884936,-3073.16838943774
0.0864123794457346,-0.766888577645211,-1.09636803248303,0.0959154490166027,-0.207837031760631,-0.163638856908702,-0.40322056886354,0.0370024292614698,0.25851545961984,-1.98953239858016,-0.439314877672191,-0.00260556155476041,-1.2292024516594,-0.274278516315772,1.04362252738581,0.707414945742375,0.505007590612601,1.3970404278973,0.875344652136462,0.835972307862243,0.32176896511574,0.461147111326225,0.19982403322842,-0.255008371054904,-1.1857234792274,0.946748368438503,-1.77168630865633,1.16827012676982,-0.917331930754347,-0.371144891107548,-0.766111657211891,2.68019247123105,2.39069789583329,2.57897727192434,1.98225265284304,2.18795200982517,2.56443377019552,0.686230542329115,-0.529556382715089,-1.01745376279941,-6.01615304222504,-2.12176448111092,-0.986639338087681,2.7188833412879,-4.44503988283777,-1.23110806880481,-0.0478614768344152,2.52470290217552,-5.86944741362989,-1.33496344709345,-0.600768056117763,4.08868166676679,-5.31934661985317,-3.11547422815013,-1.35273736052542,1.33253317332496,-3.93847099906888,-0.474941291176283,0.653569036200654,2.35560253686622,-4.61068988406718,-0.602494447707304,0.565274370746749,3.63883860202585,-2.41204436768246,-1.20152372522459,0.178228816089454,2.38267743948938,-2.01186253038033,-0.712443549877846,-0.0955295428037684,1.41111596443485,-4.68906769542717,-2.86926181432314,-2.0127219472874,0.286598921552988,-3055.81691578897
