"CODVIAJE"	"CLIMA"	"CONGESTION"	"PAVIMENTO"	"INCIDENTE"	"MERIDIANO"	"HPICOHVALLE"	"GENERO"	"TIEMPO_PROFESION"	"HORASTRABAJO"	"NIVELEDUCATIVO"	"INFOTRAFICO"	"EDAD"	"DISTAlt1"	"TIEMPOAlt1"	"VELAlt1"	"DISTAlt2"	"TIEMPOAlt2"	"VELAlt2"	"DISTAlt3"	"TIEMPOAlt3"	"VELAlt3"	"DISTEC"	"TIEMPOEC"	"VELPROMEC"	"VELTOTALEC"	"COSTO"	"CHOICE"
"120"	120	"2"	"3"	"1"	"1"	"2"	"1"	1	10	14	2	1	2	8.7	26	20.0769230769231	12	27	26.6666666666667	12.7	31	24.5806451612903	7.08040364818672	22.0212166666985	28.1594929750898	19.2915870780947	15600	1
"121"	121	"1"	"3"	"1"	"1"	"2"	"1"	1	5	12	1	1	2	4.7	12	23.5	5.3	13	24.4615384615385	6.4	17	22.5882352941176	4.23554152460858	17.95643333594	19.9359521567229	14.1527265867362	9300	4
"122"	122	"1"	"5"	"1"	"1"	"2"	"2"	1	18	12	1	1	3	6.6	19	20.8421052631579	7.4	18	24.6666666666667	6.4	23	16.695652173913	6.11685873581715	25.225933333238	19.4066951261119	14.5489770111083	11000	4
"123"	123	"1"	"4"	"1"	"1"	"1"	"1"	1	-1	12	1	1	3	6.3	16	23.625	6.8	17	24	6	19	18.9473684210526	5.63147195454446	21.8766166687012	22.3165118063176	15.4451816014166	11000	4
"124"	124	"2"	"2"	"1"	"1"	"2"	"1"	2	1	12	2	1	3	11.6	24	29	8.2	27	18.2222222222222	9.8	26	22.6153846153846	7.70884999009309	30.1344000021617	161.835159033123	15.3489367424739	15300	2
"125"	125	"1"	"3"	"2"	"1"	"2"	"1"	1	8	16	1	1	3	5.1	16	19.125	4.9	15	19.6	5.4	16	20.25	4.26042704409423	17.7356666644414	46.9360339983353	14.4130822642355	9000	2
"126"	126	"2"	"2"	"2"	"1"	"2"	"1"	1	3	12	0	2	2	7	20	21	6.2	20	18.6	0	0	0	6.14257868389767	28.3620500008265	19.5082416055005	12.9946432300599	11400	2
"127"	127	"1"	"1"	"1"	"1"	"2"	"1"	1	20	-1	4	1	3	2.3	7	19.7142857142857	0	0	0	0	0	0	2.26533439650018	8.337433330218	22.2405684967646	16.3023868865476	6000	4
"128"	128	"1"	"3"	"1"	"1"	"1"	"1"	1	24	14	1	1	3	3.9	10	23.4	3.6	13	16.6153846153846	4	15	16	4.31924092731231	15.9431166688601	22.3712034000852	16.2549431846607	8500	4
"129"	129	"1"	"1"	"1"	"1"	"1"	"1"	1	4	13	2	1	2	2.4	8	18	2.6	10	15.6	3.4	10	20.4	2.79338084021125	9.60693333148956	22.0139376053016	17.4460303438671	7000	4
"130"	130	"1"	"2"	"1"	"1"	"2"	"1"	1	10	12	4	1	3	6.3	17	22.2352941176471	6.8	21	19.4285714285714	6	23	15.6521739130435	6.37604840132392	19.4450500011444	29.5575798320459	19.6740509310555	11000	1
"131"	131	"1"	"1"	"1"	"1"	"2"	"1"	1	40	10	1	2	4	5.7	15	22.8	6.6	18	22	0	0	0	4.83113454065247	15.5004499991735	26.8072659134203	18.700623043499	9300	4
"132"	132	"1"	"6"	"2"	"2"	"2"	"1"	1	8	12	1	1	2	7.5	28	16.0714285714286	5.6	30	11.2	5.5	32	10.3125	5.19121817331661	25.8201666673024	36.7955970569529	12.063171179814	11600	4
"133"	133	"1"	"2"	"2"	"1"	"2"	"1"	1	15	13	1	1	4	6.2	15	24.8	6.7	15	26.8	5.7	14	24.4285714285714	6.14088830075302	15.4635999997457	34.9064464658193	23.8271358578365	11500	3
"134"	134	"1"	"6"	"1"	"1"	"2"	"1"	1	1	14	1	1	2	4.8	16	18	6	17	21.1764705882353	6.4	22	17.4545454545455	4.7980092515459	37.5235500017802	30.5694218561838	7.6719967881263	12700	4
"135"	135	"2"	"2"	"1"	"1"	"2"	"2"	1	9	16	1	2	3	5.6	18	18.6666666666667	4.7	19	14.8421052631579	4.9	20	14.7	4.60026668614235	18.2788333336512	28.3172728622505	15.1003073407534	10000	2
"136"	136	"1"	"3"	"1"	"1"	"1"	"2"	1	10	8	3	1	4	5.3	13	24.4615384615385	5.4	14	23.1428571428571	0	0	0	4.98484594165401	17.2079499999682	21.5958745230842	17.3809638277536	10000	4
"137"	137	"2"	"2"	"1"	"1"	"2"	"1"	1	18	15	1	1	3	7.6	16	28.5	5.4	14	23.1428571428571	4.8	15	19.2	4.35203180773807	16.711333334446	51.5780259606253	15.625438332084	9400	4
"138"	138	"1"	"1"	"1"	"1"	"2"	"1"	1	9	14	1	1	2	3.9	13	18	4.3	15	17.2	4.4	17	15.5294117647059	4.11416604935264	17.2242166678111	113.653341650356	14.3315639672878	8600	1
"139"	139	"1"	"1"	"1"	"1"	"1"	"1"	1	7	10	1	1	3	3.7	9	24.6666666666667	0	0	0	0	0	0	3.68057878393072	10.0606666684151	48.6220437815016	21.9503075009077	8900	1
"140"	140	"2"	"2"	"1"	"1"	"2"	"2"	1	5	12	1	2	2	5.2	11	28.3636363636364	5.9	17	20.8235294117647	4.8	15	19.2	4.59708356378862	14.566833337148	580.637706726828	18.9351389861731	9500	4
"141"	141	"1"	"4"	"1"	"1"	"2"	"2"	1	1	12	0	1	1	3.5	9	23.3333333333333	3.6	10	21.6	4.4	11	24	3.52759194362303	8.06611666679382	36.2022891659244	26.2400762796693	8200	1
"142"	142	"1"	"2"	"1"	"1"	"2"	"1"	1	10	14	1	2	4	7.4	20	22.2	8	24	20	7.6	24	19	7.2025288904649	23.7803333322207	28.6066119304791	18.1726524767572	14100	4
"143"	143	"1"	"2"	"2"	"1"	"1"	"1"	1	14	16	1	1	2	7.3	23	19.0434782608696	7.2	25	17.28	7	26	16.1538461538462	7.07709063672131	24.5275666673978	33.9418629817328	17.3121714013194	11600	1
"144"	144	"1"	"3"	"1"	"2"	"1"	"1"	1	26	10	0	1	3	4.5	13	20.7692307692308	5.7	16	21.375	5.3	16	19.875	4.67262702305341	13.2115500013034	28.925536124225	21.2206456740917	9100	1
"145"	145	"1"	"1"	"1"	"1"	"1"	"1"	1	10	12	4	1	3	5.6	14	24	6.7	14	28.7142857142857	6.7	18	22.3333333333333	5.00912791242916	13.5151166677475	27.233517032001	22.2378897744166	10000	4
"146"	146	"1"	"1"	"1"	"1"	"1"	"1"	1	3	15	1	1	1	3	8	22.5	3	8	22.5	4.6	11	25.0909090909091	3.53675806518506	6.94266666968664	45.5377765833376	30.5654144159973	6800	1
"147"	147	"1"	"1"	"1"	"1"	"1"	"2"	1	6	14	4	1	3	5.5	13	25.3846153846154	7.3	16	27.375	6.9	17	24.3529411764706	4.8920643213181	14.8771666646004	28.5885780977953	19.7298226131669	9800	1
"148"	148	"1"	"3"	"1"	"1"	"2"	"2"	1	18	12	1	1	4	4	11	21.8181818181818	3.9	10	23.4	4.6	11	25.0909090909091	4.84453258346274	17.967616669337	19.0762483898451	16.1775465470508	9600	4
"149"	149	"2"	"3"	"2"	"1"	"2"	"1"	1	15	10	2	1	3	6.4	26	14.7692307692308	6.1	35	10.4571428571429	6.2	38	9.78947368421053	6.66345204344113	44.2217166662216	24.5467216983203	9.04096793944359	17200	4
"150"	150	"1"	"6"	"1"	"1"	"2"	"2"	1	40	12	0	1	4	6.2	19	19.5789473684211	6.6	20	19.8	7.3	18	24.3333333333333	5.80897486184733	25.8637166659037	19.7038515122492	13.4759631113002	11500	4
"151"	151	"1"	"3"	"1"	"1"	"2"	"2"	1	15	10	0	1	3	2.9	11	15.8181818181818	0	0	0	0	0	0	3.28306196253265	14.6360499978065	21.0935409062328	13.4588032824075	7800	4
"152"	152	"2"	"5"	"1"	"1"	"2"	"2"	1	9	15	1	2	2	7.4	28	15.8571428571429	7.2	30	14.4	9.2	30	18.4	8.24730037842145	53.3516166647275	103.854604567398	9.27503332869836	17500	4
"153"	153	"2"	"2"	"1"	"2"	"1"	"2"	1	1	12	4	1	3	5.9	20	17.7	7.1	19	22.4210526315789	5.9	20	17.7	6.86103242350522	20.5562333345413	24.7946102820322	20.0261370218338	10800	4
"154"	154	"1"	"3"	"1"	"1"	"2"	"1"	1	5	15	2	1	3	5.6	12	28	6.7	13	30.9230769230769	7.4	15	29.6	2.37249644553301	17.2556666652362	14.8483863944453	8.24945158559207	8000	4
"155"	155	"1"	"2"	"1"	"1"	"1"	"2"	1	7	16	1	1	3	4.8	14	20.5714285714286	6.1	16	22.875	4.7	17	16.5882352941176	5.05083410754439	22.3853833357493	23.8339378494219	13.5378537819674	11200	4
"156"	156	"1"	"1"	"1"	"1"	"1"	"1"	1	2	13	2	1	2	3.9	10	23.4	3.8	11	20.7272727272727	5.9	12	29.5	2.23754823863894	6.72121666669846	37.4662535942649	19.9744928598297	6000	4
"157"	157	"1"	"3"	"1"	"1"	"2"	"1"	1	3	14	1	1	3	3.9	16	14.625	7.3	16	27.375	0	0	0	3.58393955660375	14.3624499996503	24.5054488282668	14.9721233773806	9200	1
"158"	158	"1"	"2"	"1"	"1"	"1"	"2"	1	1	15	4	2	3	4.3	15	17.2	5.1	14	21.8571428571429	4.4	16	16.5	4.28122646266636	21.9643833319346	20.5479748575464	11.6950056770547	9000	4
"159"	159	"1"	"5"	"1"	"2"	"2"	"1"	1	25	14	2	2	3	6.8	18	22.6666666666667	6.5	20	19.5	0	0	0	6.25185501552877	23.61571666797	21.6980414118052	15.8839685538948	10500	2
"160"	160	"1"	"4"	"1"	"1"	"1"	"1"	1	20	12	4	2	4	5	14	21.4285714285714	6.4	17	22.5882352941176	6.1	17	21.5294117647059	5.10842429399663	14.3307333310445	32.923158166282	21.3879813795584	9200	4
"161"	161	"1"	"3"	"1"	"1"	"1"	"1"	1	-1	16	0	1	1	7.4	18	24.6666666666667	7.3	17	25.7647058823529	8	20	24	6.53910558443523	26.0719999988874	37.1414931755784	15.0485706920396	12400	2
"162"	162	"1"	"4"	"1"	"1"	"1"	"2"	1	8	-1	1	1	4	6.7	19	21.1578947368421	6.8	21	19.4285714285714	7.6	22	20.7272727272727	7.24185732268916	27.6068833351135	23.6682429423236	15.7392427854646	12500	4
"163"	163	"2"	"2"	"1"	"1"	"2"	"1"	1	5	14	1	1	2	7.5	25	18	8.2	30	16.4	7.8	40	11.7	6.86253726818582	22.2493833343188	29.6895930540229	18.5062313819744	12500	4
"164"	164	"1"	"1"	"1"	"1"	"1"	"1"	1	20	12	2	1	3	3.8	13	17.5384615384615	5.6	13	25.8461538461538	5.4	15	21.6	8.49798763347679	15.5828333338102	23.4618103304687	32.7205744350945	9800	4
"165"	165	"1"	"1"	"1"	"1"	"1"	"2"	1	15	9	1	2	3	5.6	16	21	5.2	18	17.3333333333333	6.5	20	19.5	4.56945294731574	16.1549333333969	25.3026748196437	16.9711116214984	9000	2
"166"	166	"1"	"6"	"1"	"1"	"1"	"2"	1	10	12	4	1	3	6.9	17	24.3529411764706	6.8	17	24	6.8	18	22.6666666666667	7.11844985127695	18.8272833347321	35.2033507883151	22.6855347892227	12800	3
"167"	167	"1"	"6"	"1"	"1"	"2"	"1"	1	10	12	1	2	3	10.9	33	19.8181818181818	11.5	32	21.5625	11	36	18.3333333333333	9.56291023682288	34.8162333329519	21.7758288248405	16.4800887196009	16500	3
"168"	168	"1"	"2"	"2"	"1"	"1"	"2"	1	4	12	1	1	3	6.6	17	23.2941176470588	6.2	18	20.6666666666667	8.2	21	23.4285714285714	5.76471081136373	16.1790666659673	27.2872072832597	21.3784055547153	15400	4
"169"	169	"2"	"2"	"1"	"1"	"2"	"1"	1	4	6	1	1	2	4.2	14	18	4	15	16	4.8	21	13.7142857142857	3.70190928827676	12.9816666682561	24.9931270843679	17.1098644706183	8000	2
"170"	170	"2"	"1"	"1"	"1"	"2"	"1"	1	20	9	1	1	3	5.7	17	20.1176470588235	5.7	20	17.1	6.1	22	16.6363636363636	4.07697656860609	16.886333334446	22.3611127824963	14.4861876922312	8500	2
"171"	171	"1"	"1"	"1"	"1"	"2"	"1"	1	20	12	1	1	3	11	19	34.7368421052632	11.9	22	32.4545454545455	10.9	24	27.25	9.22150184260891	16.4587166666985	46.0347706542798	33.6168439958644	14200	1
"172"	172	"1"	"2"	"1"	"1"	"2"	"2"	1	33	14	4	1	3	5	19	15.7894736842105	6.1	21	17.4285714285714	6.4	22	17.4545454545455	4.12724916373471	21.3054500023524	19.5449261230796	11.6230800005041	10000	1
"173"	173	"2"	"3"	"1"	"2"	"2"	"1"	1	12	15	1	1	3	7.4	21	21.1428571428571	8.4	24	21	7.9	26	18.2307692307692	6.73501144267623	20.4967166662216	25.3985308886628	19.7153862806977	12400	1
"174"	174	"1"	"1"	"1"	"1"	"1"	"1"	1	15	12	0	1	3	7.4	18	24.6666666666667	6.4	19	20.2105263157895	5.8	20	17.4	5.36682062574749	17.7477166652679	25.6312741428614	18.1436994751566	10500	4
"175"	175	"1"	"1"	"1"	"1"	"1"	"1"	1	-1	12	0	1	2	5.7	15	22.8	5.2	16	19.5	4.3	19	13.5789473684211	4.10715184084871	16.8716666658719	133.677692458611	14.6060916998438	8500	4
"176"	176	"1"	"6"	"1"	"2"	"2"	"2"	1	30	14	0	1	3	7.1	24	17.75	6.2	29	12.8275862068966	7.1	32	13.3125	5.65713060662664	33.6253333330154	21.1133384998459	10.0944080772674	12500	4
"177"	177	"1"	"6"	"1"	"1"	"2"	"1"	1	4	15	0	1	2	5.7	11	31.0909090909091	5.6	13	25.8461538461538	6.3	16	23.625	5.727772685286	24.1589000026385	22.4371498736014	14.2252487108116	11600	4
"178"	178	"1"	"4"	"2"	"1"	"2"	"1"	1	18	14	1	1	3	4.3	15	17.2	5.2	16	19.5	6.4	18	21.3333333333333	2.60029197865595	13.3929000020027	17.8557799090398	11.6492707849702	7400	1
"179"	179	"1"	"6"	"1"	"1"	"2"	"1"	1	32	14	1	1	3	8.4	25	20.16	9.4	32	17.625	8.1	33	14.7272727272727	7.46425890192473	31.9118333339691	21.8632026550246	14.0341524546243	13800	2
"180"	180	"1"	"4"	"1"	"1"	"1"	"2"	1	5	12	4	1	4	5.2	15	20.8	5.9	16	22.125	5.3	15	21.2	4.63080525204337	16.5272833307584	28.1968216249111	16.8114934295044	9800	1
"181"	181	"1"	"1"	"1"	"1"	"1"	"2"	1	17	12	1	1	2	6.2	17	21.8823529411765	7.2	19	22.7368421052632	7.1	19	22.4210526315789	5.80596658606115	16.2860500017802	29.7583755024986	21.3899622760332	12800	1
"182"	182	"1"	"1"	"1"	"1"	"1"	"1"	1	20	17	1	1	4	7	16	26.25	6.5	17	22.9411764705882	6.6	20	19.8	6.53960649587997	22.1755499998728	31.2471641162628	17.6940995716024	14000	4
"183"	183	"1"	"1"	"1"	"1"	"1"	"1"	1	-1	12	3	1	3	6.3	25	15.12	5.8	28	12.4285714285714	5.7	28	12.2142857142857	6.3981833403785	22.5513333320618	33.4280751101118	17.0229846178063	12300	1
"184"	184	"1"	"4"	"1"	"1"	"1"	"1"	1	0	12	2	0	1	4	19	12.6315789473684	5.4	19	17.0526315789474	4.8	24	12	4.59410471068975	19.1248333334923	19.7857807971889	14.4130031271258	9400	1
"185"	185	"1"	"2"	"1"	"1"	"1"	"1"	1	2	10	1	1	3	5.8	16	21.75	5.4	18	18	6	20	18	5.8934678265633	17.8085666656494	27.8920951017408	19.8560656920169	12200	4
"186"	186	"2"	"5"	"2"	"1"	"2"	"1"	1	18	12	1	1	3	6.9	19	21.7894736842105	6	20	18	5.3	22	14.4545454545455	4.80135417056955	19.633266667525	23.1954658298044	14.6731185957293	12500	4
"187"	187	"1"	"4"	"2"	"1"	"1"	"1"	1	15	11	1	2	3	9.4	20	28.2	9.7	21	27.7142857142857	8.2	22	22.3636363636364	9.45729067027372	23.7859500010808	30.0392138750831	23.855992305989	15500	1
"188"	188	"1"	"1"	"2"	"1"	"1"	"1"	1	15	13	1	2	3	5.8	15	23.2	5.4	18	18	6	19	18.9473684210526	5.24397028246497	17.1452666680018	28.7426759802869	18.3513166076972	10200	2
"189"	189	"1"	"1"	"1"	"1"	"1"	"1"	1	5	8	1	1	1	5.8	16	21.75	7.4	17	26.1176470588235	6.7	19	21.1578947368421	4.61750955657129	13.1595666646957	26.8283561261561	21.0531684251841	9800	4
"190"	190	"1"	"3"	"2"	"1"	"2"	"1"	1	24	12	1	1	3	5.7	14	24.4285714285714	5.9	16	22.125	6.8	14	29.1428571428571	6.18920565045936	16.8668333331744	35.5448023025298	22.016719540186	10500	1
"191"	191	"2"	"2"	"2"	"1"	"2"	"2"	1	30	15	1	1	3	4.8	22	13.0909090909091	5	22	13.6363636363636	5.1	23	13.304347826087	4.76028282418445	31.7712166666985	20.3894995712882	8.98980270247066	10200	4
"192"	192	"1"	"6"	"1"	"1"	"1"	"1"	1	22	13	1	1	3	6.3	15	25.2	0	0	0	0	0	0	5.80651329126991	26.4419000029564	36.87786089268	13.1757096667502	12000	4
"193"	193	"1"	"3"	"1"	"1"	"1"	"2"	1	12	14	2	0	3	5.9	14	25.2857142857143	4.8	16	18	7.1	18	23.6666666666667	4.80826888443178	15.9587166666985	25.5275227626979	18.07765242602	9600	2
"194"	194	"1"	"4"	"1"	"1"	"1"	"2"	1	8	12	4	1	2	5.9	14	25.2857142857143	5.8	14	24.8571428571429	5.5	13	25.3846153846154	4.66913890251942	12.368833331267	25.5604669071534	22.6495358655194	9300	4
"195"	195	"2"	"2"	"1"	"2"	"2"	"2"	1	6	12	1	1	2	6.7	14	28.7142857142857	5	19	15.7894736842105	0	0	0	5.00140286421423	22.4842666665713	20.2727060472927	13.3464069032328	10600	4
"196"	196	"1"	"2"	"1"	"1"	"1"	"2"	1	2	14	3	1	3	5.6	15	22.4	6.7	14	28.7142857142857	6.2	16	23.25	4.42455194303919	21.7278333346049	20.3929033456172	12.2181127079774	10500	4
"197"	197	"2"	"2"	"1"	"1"	"2"	"1"	1	18	13	3	1	3	6	17	21.1764705882353	5.1	19	16.1052631578947	5.4	21	15.4285714285714	3.83578199020174	19.3004999995232	32.607504244274	11.924401928333	10500	3
"198"	198	"1"	"1"	"1"	"1"	"1"	"1"	1	8	12	1	2	1	3.6	11	19.6363636363636	4	12	20	4.6	13	21.2307692307692	3.69848809924649	12.3528833349546	26.6252742221545	17.9641691690603	8300	1
"199"	199	"1"	"1"	"1"	"1"	"2"	"2"	1	8	16	1	1	2	3.8	12	19	4	15	16	5	16	18.75	3.36504727107181	11.9347166697184	38.2469324107901	16.9172710045635	6900	1
"200"	200	"1"	"2"	"1"	"1"	"2"	"1"	1	15	12	1	1	2	6.5	17	22.9411764705882	6.1	18	20.3333333333333	6.3	22	17.1818181818182	6.42238236534916	16.1440000017484	31.3422043920513	23.8691118607047	12300	1
"201"	201	"1"	"2"	"2"	"1"	"2"	"2"	1	10	13	1	2	2	7.2	23	18.7826086956522	8.4	32	15.75	9	33	16.3636363636364	6.67491892426702	19.2669499993324	29.2574359638764	20.786639061704	13000	1
"202"	202	"2"	"4"	"2"	"1"	"2"	"1"	1	15	-1	1	1	2	4.5	17	15.8823529411765	6	20	18	5.7	19	18	4.50470298744854	18.6548333366712	20.0977872916443	14.4885871864424	8000	1
"203"	203	"1"	"3"	"1"	"1"	"2"	"1"	1	22	11	1	1	3	7.1	21	20.2857142857143	6.9	28	14.7857142857143	6.4	30	12.8	6.09304543237046	34.8774500012398	23.7585745928557	10.4819224435626	12500	4
"204"	204	"1"	"2"	"1"	"1"	"1"	"2"	1	6	14	1	1	3	3.6	14	15.4285714285714	3.7	14	15.8571428571429	4.1	14	17.5714285714286	3.6732394649253	18.6679499983788	20.4945532557211	11.806029473759	8500	4
"205"	205	"1"	"5"	"2"	"2"	"2"	"1"	1	17	12	3	0	4	5	21	14.2857142857143	5.2	23	13.5652173913043	6.1	26	14.0769230769231	6.00974863439719	38.7713333328565	21.3705435130602	9.30029707691936	13000	4
"206"	206	"2"	"3"	"1"	"1"	"2"	"1"	1	3	14	1	1	2	6.4	17	22.5882352941176	5.7	19	18	5.8	22	15.8181818181818	5.28911234443097	19.1113833347956	42.982633670359	16.6051161816252	10500	2
"207"	207	"1"	"2"	"1"	"1"	"2"	"2"	1	20	12	1	1	4	3.3	11	18	4.5	15	18	4.4	14	18.8571428571429	3.99237313908985	19.442733335495	17.7377637393791	12.3204070236399	9000	4
"208"	208	"1"	"6"	"2"	"1"	"1"	"2"	1	1	15	4	1	3	5.8	21	16.5714285714286	5.4	22	14.7272727272727	6.8	23	17.7391304347826	6.79742402157602	33.6543333331744	19.1499856177478	12.1186605379145	12500	4
"209"	209	"1"	"1"	"1"	"1"	"2"	"2"	1	10	12	1	1	2	4.5	12	22.5	5.5	15	22	5.4	15	21.6	4.06307001669738	9.34950000047684	31.7908482353268	26.0745709384897	9000	1
"210"	210	"1"	"6"	"3"	"1"	"1"	"1"	1	12	15	1	1	4	4.3	14	18.4285714285714	4.2	17	14.8235294117647	4.4	18	14.6666666666667	4.00718270429793	21.2267833312353	25.4610966931062	11.3267732800608	10300	4
"211"	211	"1"	"1"	"1"	"1"	"1"	"1"	1	25	14	1	1	3	2.4	6	24	0	0	0	0	0	0	2.16895666048879	6.55371666749318	24.6317965235705	19.8570378049476	6200	1
"212"	212	"1"	"1"	"1"	"1"	"2"	"1"	1	5	14	1	1	2	3.6	10	21.6	3.8	11	20.7272727272727	4.5	13	20.7692307692308	3.19499242386506	7.93195000092189	35.1520249637356	24.1680224168865	7600	4
"213"	213	"1"	"3"	"1"	"1"	"1"	"2"	1	35	14	0	1	3	4.9	18	16.3333333333333	5.9	20	17.7	6.1	21	17.4285714285714	4.97931249089494	22.1961666663488	22.0612551124169	13.4599254882439	10300	1
"214"	214	"1"	"1"	"1"	"1"	"2"	"1"	1	5	12	1	1	3	5.1	12	25.5	5	13	23.0769230769231	5	12	25	3.37446259714762	8.39699999888738	33.4133173645778	24.1119156669864	7700	3
"215"	215	"1"	"3"	"1"	"1"	"1"	"1"	1	20	14	4	1	2	9	18	30	9.1	20	27.3	9.2	20	27.6	9.12147634141476	23.7089499990145	29.40035858961	23.0836279340769	15400	4
"216"	216	"1"	"1"	"1"	"1"	"1"	"1"	1	1	12	0	1	3	6.7	13	30.9230769230769	6	16	22.5	6.6	17	23.2941176470588	7.2458261014139	15.1032666643461	31.1191030907506	28.7851347491028	10000	4
"217"	217	"1"	"4"	"1"	"1"	"1"	"2"	1	18	15	0	1	2	6.9	15	27.6	7	19	22.1052631578947	7.1	19	22.4210526315789	6.64791897101758	16.3150000015895	29.514449766749	24.4483688766286	12300	4
"218"	218	"1"	"3"	"1"	"1"	"1"	"1"	1	5	10	0	2	3	6.6	20	19.8	7.9	19	24.9473684210526	7.4	22	20.1818181818182	5.03966567506179	18.5812333345413	35.644874304817	16.273405271845	12500	1
"219"	219	"1"	"2"	"1"	"1"	"2"	"1"	1	6	12	1	1	3	8	17	28.2352941176471	7.1	19	22.4210526315789	7.2	19	22.7368421052632	7.15134886919758	22.9356166680654	36.580565872076	18.708061717359	13200	2
"220"	220	"1"	"3"	"1"	"1"	"1"	"2"	1	-1	-1	0	1	2	5.6	16	21	5.2	18	17.3333333333333	6.5	20	19.5	4.64859856691527	15.8179499983788	29.5341227873216	17.6328736684275	10000	2
"221"	221	"1"	"1"	"1"	"1"	"1"	"2"	1	12	15	1	1	4	4.8	14	20.5714285714286	5	15	20	5.1	15	20.4	5.16868189168454	14.0617833336194	26.8409159426125	22.0541666830852	9200	4
"222"	222	"1"	"4"	"1"	"1"	"2"	"2"	1	-1	-1	4	1	3	2.5	10	15	2.8	9	18.6666666666667	2.6	12	13	2.33435576704025	12.0550666650136	17.0860011230313	11.6184630010303	7000	1
"223"	223	"1"	"6"	"1"	"1"	"2"	"2"	1	30	15	1	1	3	7.1	24	17.75	8.4	30	16.8	8.6	31	16.6451612903226	6.6794156449047	41.5757833321889	15.099297836638	9.63938395320626	16000	4
"224"	224	"1"	"4"	"1"	"1"	"1"	"1"	1	4	12	3	1	4	6.2	15	24.8	6.7	14	28.7142857142857	5.7	14	24.4285714285714	5.76195302000087	15.9128833333651	28.1907819662726	21.7256152739569	11000	4
"225"	225	"2"	"2"	"1"	"1"	"2"	"1"	1	9	10	1	1	2	6.6	20	19.8	8	22	21.8181818181818	8.4	24	21	6.88453578225444	20.3467333316803	28.4859843990277	20.3016445048751	13000	4
"226"	226	"1"	"3"	"1"	"1"	"1"	"2"	1	3	12	1	2	2	6	15	24	5.2	20	15.6	7.2	18	24	4.64474790632234	20.2732166647911	21.5505034390631	13.7464556802837	9800	4
"227"	227	"1"	"1"	"1"	"1"	"2"	"1"	1	-1	10	2	1	1	5.7	17	20.1176470588235	5.4	18	18	5.7	22	15.5454545454545	5.43340364495583	16.4090666651726	23.3170114378524	19.8673224595569	10300	4
"228"	228	"1"	"1"	"1"	"1"	"2"	"1"	1	10	12	0	1	1	4.8	15	19.2	9.5	18	31.6666666666667	7.2	18	24	8.74976371847086	22.2066666642825	36.9172483356904	23.6409106798836	14900	2
"229"	229	"1"	"1"	"1"	"1"	"1"	"2"	1	14	6	0	2	1	4.3	11	23.4545454545455	5.7	14	24.4285714285714	5.5	14	23.5714285714286	4.2199342477059	10.6985500017802	29.3992814011363	23.6663898210714	9500	1
"230"	230	"2"	"2"	"1"	"1"	"2"	"2"	1	10	14	1	1	3	8.3	23	21.6521739130435	7.8	38	12.3157894736842	0	0	0	7.67473188046829	30.5377166668574	24.6505670962318	15.0791861045676	14200	4
"231"	231	"1"	"1"	"1"	"1"	"1"	"1"	1	6	12	4	2	3	3.9	9	26	3.6	11	19.6363636363636	4	12	20	4.08511889521957	10.3033833305041	28.1575096010156	23.7889949204853	8800	4
"232"	232	"1"	"1"	"1"	"1"	"1"	"2"	1	22	18	1	1	3	2.5	6	25	3.3	8	24.75	3.3	8	24.75	2.5283322683014	7.56323333183924	26.6498941067898	20.0575507117395	6500	1
"233"	233	"1"	"2"	"1"	"1"	"2"	"1"	1	20	12	2	1	3	5.8	16	21.75	5.7	16	21.375	6.4	17	22.5882352941176	5.3670167120749	17.2035666664441	27.769320067186	18.7182698197462	10000	4
"234"	234	"1"	"1"	"1"	"1"	"1"	"2"	1	25	12	1	1	3	2.4	6	24	0	0	0	0	0	0	2.55816780271752	7.74599999984105	30.8380915392345	19.815397387839	6800	1
"235"	235	"1"	"4"	"1"	"1"	"2"	"1"	1	30	15	1	1	3	6.6	21	18.8571428571429	0	0	0	0	0	0	6.38488127300545	33.0428333322207	23.274183931064	11.5938264896541	11800	4
"236"	236	"2"	"2"	"1"	"1"	"2"	"2"	1	3	12	1	1	1	6.4	27	14.2222222222222	7.7	25	18.48	7.7	29	15.9310344827586	6.17447176835677	23.6732166647911	18.6282307387785	15.6492593020702	11400	1
"237"	237	"2"	"1"	"1"	"1"	"2"	"1"	1	7	15	1	2	3	3.4	10	20.4	3.5	12	17.5	3.8	14	16.2857142857143	2.98159884508092	8.72038333415985	24.6626136346279	20.5146865510002	7000	4
"238"	238	"2"	"3"	"2"	"1"	"2"	"1"	1	20	13	1	1	3	7	22	19.0909090909091	7.2	24	18	7.6	24	19	5.11087051002903	19.6557166655858	23.2410645406836	15.6011727182985	12200	3
"239"	239	"1"	"1"	"1"	"1"	"2"	"2"	1	3	15	1	1	1	5.9	17	20.8235294117647	5.3	18	17.6666666666667	6.2	19	19.5789473684211	5.08489743239253	21.2827333331108	22.6862273108931	14.3352755103546	10400	2
"240"	240	"1"	"2"	"1"	"1"	"2"	"1"	1	14	13	2	1	2	9.6	30	19.2	10.5	31	20.3225806451613	10	33	18.1818181818182	8.74849321652554	24.104266667366	29.019028466188	21.7766257001376	16300	1
