"asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_Joven30","b_Adulto40","b_Adulto60","lambda","gamma_CSECO","gamma_CONG_CD","gamma_CONG_EF","gamma_USOCINTURON","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_IgPare","zeta_UsoPito","zeta_UsoCel","zeta_UsoDirec","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","logLike"
-0.117813419645817,-0.79627443165883,0.750103335597472,0.0356145219461549,-0.227787911348406,-0.0826482398511052,0.0832897432823026,-0.165127255233238,-0.0570872200356529,0.0972563005547268,0.110614695450046,-0.177290735004794,0.278019757139008,0.0459188447710635,-0.142459498132124,1,-0.0229834107357876,0.333820598664523,0.481950628212709,-0.64196696801691,2.28178547077425,1.65905457223129,2.26466118938533,2.21129524896587,1.35875392237493,1.67633606475832,0.739808123718794,0.714078206305872,-3.86984092110716,-1.12495725777561,0.736733997315983,3.19636750184754,-2.23879088663929,0.150791656963217,1.50640632973706,3.29273800735696,-3.85324220209223,-1.13916239436434,0.702710247321263,3.26455234499531,-3.37440517909149,-0.979045817012537,0.708010903176601,3.2352471936342,-1.97335392198998,0.348740966789364,1.3253261947585,2.7114042330911,-3.68827044790592,-1.4220605606302,0.438024778548071,2.72948656629158,-1.93140511494744,-0.193686594886693,0.756747901748507,2.81211630131896,-2.48886993883576,-1.50684535419581,-1.16039551239492,0.667586956574136,-3618.49626292963
-0.0668338036048678,-0.65482856414143,0.491306588349932,0.0390140588668471,-0.257046428876485,-0.112465860159067,0.0881657551015677,-0.204426437724158,-0.0483931828827369,0.0900097481092681,0.137883280973568,-0.2270894124476,0.372608383785548,0.0440162664172212,-0.156008243998784,1,0.010362871602495,0.299003814502911,0.484963766166274,-0.548203971189367,2.6144691366462,1.68780407284984,2.58967939184613,2.5150253202647,1.24134162525732,1.824794852035,0.687151917457913,0.580694970781542,-4.22889864035485,-1.31500571878782,0.788721141894247,3.42400376023429,-2.16480052726096,0.13590936476637,1.5974435910227,3.62050593812475,-4.21801443998753,-1.32273463307241,0.758129366769507,3.49263040975971,-3.64173798290515,-1.1121832117958,0.789289880260752,3.44572149733754,-1.83758598720431,0.413989702413926,1.29699876870308,2.92482749604205,-4.01383725842979,-1.59712355276732,0.45451398145456,2.77302472605058,-1.83399051061903,-0.0542044395811268,0.793164942140036,2.86536911854812,-2.77444530616434,-2.11690247455796,-1.06330956084264,0.869783527873132,-3583.8782295155
-0.113826960503581,-0.557490943771396,0.394383789349415,0.0469300760703987,-0.347766493525554,-0.128183875177893,0.118193983382828,-0.21797441394396,-0.0464139090653413,0.091838890836849,0.146807444733805,-0.251374506673386,0.429523416176765,0.0365967706402773,-0.148992937225744,1,-0.00325965830774621,0.277655708585114,0.481424265218473,-0.502029265275524,2.71682266738684,1.70008664439682,2.68815555385483,2.61955770305532,1.23307685720343,1.83000845867635,0.618839750529563,0.583258184259143,-4.40213143861581,-1.41334477554166,0.831584251723575,3.5367491836688,-2.1026841679253,0.134373706773772,1.56065567576831,3.76422175092819,-4.39389710062621,-1.4172027090095,0.803816575220663,3.59935878254174,-3.7740706904393,-1.16864097192393,0.836749947150527,3.53832395534272,-1.70489971971517,0.421705068909149,1.21422187737868,2.99879377884493,-4.14666771060666,-1.65071233973498,0.460165234640026,2.77743547464953,-1.79704451340153,-0.0378618789156274,0.838965345098017,2.83916132234861,-3.14411674941666,-2.0293203826951,-0.9747864000684,0.931847910264574,-3564.29498467153
-0.156803334170665,-0.558947197342481,0.407317840503947,0.0381175907652025,-0.278952883731937,-0.134123729600872,0.0987317155165862,-0.217971498279034,-0.0440784791288201,0.0861147464850465,0.143995026383038,-0.260915009690548,0.459501982991108,0.032739697820076,-0.137913875004179,1,-0.0152319157718709,0.286074370856917,0.478136437703508,-0.492787750078204,2.73233574351207,1.65388437530992,2.7042604793833,2.62172144366541,1.18509417112398,1.83651486040753,0.644751235881787,0.589424057751606,-4.46730795304441,-1.43262589032892,0.844068671800483,3.58461090845932,-2.10830901528463,0.146204307776401,1.50683130266638,3.79733503333441,-4.45798241875424,-1.43485319100708,0.815543688680633,3.64081396232774,-3.83080967743317,-1.17983164923785,0.848404267850787,3.57263617543997,-1.69717058656487,0.399833910197113,1.18865725459826,2.98458082222185,-4.15472836843841,-1.62186841934092,0.4418494540165,2.76671587236895,-1.78530424464449,-0.000652398474413056,0.807636524373246,2.79708123256323,-3.18559924061321,-2.01609102497413,-0.955548713116556,0.938479330721773,-3559.00234946577
-0.651797310227532,-0.757427213721122,0.702136844740793,0.032087907646687,-0.361088605617013,-0.199237478655918,0.135572232100325,-0.202249725034821,-0.0379671321530366,0.0775142395052318,0.108290979473871,-0.35517733559075,0.819055126047707,-0.00550941108258284,0.0117914158066984,1,-0.148507087913423,0.380177955865567,0.46373001055331,-0.485738072938054,2.9118794535575,1.30601615296597,2.8733014566154,2.68162694566585,0.869604893162616,1.65484414413434,0.568000216105407,0.416360282262333,-5.10095943630063,-1.62515527870728,0.972607158393807,4.08144004141479,-2.04064083284026,0.134771958037535,1.01831075199168,4.00951870634766,-5.07735746080933,-1.61801822193246,0.92986591877352,4.06883484882935,-4.34087563436726,-1.31666059259623,0.951953238468987,3.91065391561333,-1.67106957376107,0.220213191804409,0.961736076418557,2.67072896181543,-4.10742777500557,-1.4479017891663,0.341557035378822,2.63985028625859,-1.69450437568044,-0.345777556523002,0.918153159905098,2.2846003059523,-3.12800913422514,-2.15109485802594,-1.02031677199946,0.99563901523348,-3558.75791287401
-0.926363140657063,-0.986206401872995,0.555650784479784,0.0496339012559261,-0.448158146561399,-0.289443437234586,0.15730903020723,-0.176262123662832,-0.0177751413496809,0.0480343699498794,0.0616469081894665,-0.483184546536284,1.36242657770938,-0.00659369431438385,0.227326193031103,1,-0.236956981107379,0.445941219276567,0.517697479087183,-0.574165370193447,3.18207267515622,1.24573353894214,3.10260858602381,2.91293806788032,1.05567920112459,1.17959228026404,0.33124949044861,0.531241894970364,-5.9492533338029,-1.94416937660634,1.12977803948441,4.74496869998619,-1.73885121442716,-0.189466145904155,0.753161816785924,4.11795789020283,-5.90072017396338,-1.93301632993158,1.06050485560582,4.64718305702858,-4.91845703890524,-1.57229279275204,1.06135450236815,4.33903610272367,-1.61158682613519,0.179248493348664,0.703529562328778,2.08077403236072,-3.87427291411213,-1.45710972534019,0.371571703146846,2.45489588662753,-2.04402206322675,-0.172507421541802,0.562294252746303,1.79723286229472,-2.82752715383051,-2.18638456594936,-1.21025724046644,0.99404861559958,-3547.04188407972
-0.871992958753504,-1.25586735226024,-0.258810844935761,0.101634439585511,-0.622805216445774,-0.410141374165645,0.174591872748177,-0.144191384852088,0.0253044784953325,-0.0137695645229123,0.0142926522593491,-0.648201060273886,2.14241589265547,0.102989660869901,0.510132002203372,1,-0.131998465528343,0.423821563488389,0.675836221476547,-0.691330726552911,3.69931242058202,1.40574056515708,3.57212881254012,3.43041929392051,1.22329713729783,1.30426381936485,0.619923923517303,0.403902739851858,-7.09817465238227,-2.30066113370182,1.21145984690932,5.60384314065072,-1.86824920406421,-0.0175504902186308,0.765580092137895,4.04195021089558,-6.99034918040162,-2.28374407100617,1.09113454204991,5.41078159172411,-5.60195651597186,-1.85660203865488,1.05987392015828,4.89435290587587,-1.94879078771536,0.386707644181143,0.544616843543071,1.31653922278377,-3.2795130962391,-1.2419586040045,0.334490444799058,2.23744115850844,-2.28647185805702,-0.475910540857923,0.319989776582119,1.56089658677108,-2.68226520708893,-1.96122541800269,-1.14857639346664,0.73328653945714,-3512.84051656223
-0.870286122191475,-1.30206456356929,-0.352205791997724,0.107960783405,-0.635100615953074,-0.425145846000971,0.174922941241661,-0.141012089617073,0.0308726732493456,-0.022244969897238,0.00914287700776756,-0.668400925656259,2.2415097699463,0.124014310029753,0.544248803881075,1,-0.123420792196311,0.413350320139354,0.690347176928879,-0.706438991152465,3.77844461209608,1.44062854242462,3.64534782509122,3.50291742827543,1.25033785232583,1.28363896093948,0.634326527009434,0.352777441269053,-7.24462711645918,-2.33407636959839,1.21160136500512,5.71147488926475,-1.89362883673157,0.0194338588401652,0.779869462907852,4.02413727802353,-7.12789222364259,-2.31626332067123,1.08464221285179,5.50738859870362,-5.6879570747815,-1.87930266102875,1.04678112372522,4.96554273168472,-1.98381665600277,0.315151497784521,0.606129136664601,1.25250819037831,-3.21872784348939,-1.21630475828866,0.325253222361711,2.22427033283459,-2.32669345489215,-0.504977902698221,0.285270995617912,1.55542564014716,-2.68055132999371,-1.92664579199284,-1.13135039835465,0.705145185257796,-3504.16295791026
-0.918822731737254,-1.49881295908868,-0.463290305862013,0.111978094431349,-0.581386070208504,-0.457584614116765,0.154149260857473,-0.139814545643992,0.0455002250464062,-0.048419052861982,0.00274170844389347,-0.709211151538468,2.46474073468984,0.217189011692576,0.608518625551832,1,-0.0912729836146543,0.370758026945341,0.687852104225041,-0.719473013167516,4.03932096137759,1.50620358947532,3.89771444400961,3.66523676412272,1.25723873122263,1.12947511062597,0.63113767272486,0.32854653813962,-7.55690668411041,-2.40791711167096,1.18039325587415,5.92643607182103,-2.02663161338779,0.0662092939548098,0.966297013947308,3.92812280081624,-7.41058780441742,-2.38576363515887,1.03982799673392,5.70275887517433,-5.87369677857786,-1.93523942958769,0.990947050504877,5.1123280505154,-2.06218564047681,0.206031671811095,0.494682508362701,1.39519911528786,-3.13036888882005,-1.19077770340718,0.311465927535922,2.24945350791068,-2.39554663663946,-0.595954752313296,0.247731003142411,1.66819064204275,-2.6596047714272,-1.82733540369486,-1.06730019722983,0.682161268758811,-3472.3587605702
-1.68747646162581,-2.19411698373637,-0.152327347460782,0.106590117012126,-0.445930569922986,-0.551435202914782,0.151185510611705,-0.183267959882891,0.0772961853591715,-0.113685713204513,0.0330635451457548,-0.78061028195569,2.96236723817723,0.723286055087106,0.717580081953413,1,-0.0610776877223778,0.275395390307912,0.414944504593242,-0.529231334275025,4.64119203168522,2.06723738288016,4.411561435769,3.9821736161691,1.79033263795115,1.76053090061555,0.710734810227448,0.131047921135748,-8.40686381450117,-2.86589635514353,1.08918589529895,6.3303526954335,-2.09763174936516,0.202196521138881,1.40501122398661,3.49131501445306,-8.15871912763843,-2.83859899719366,0.951741341500123,6.09943394657809,-6.30651872675493,-2.17617512086486,0.805257467734436,5.38350256182607,-1.78665793156788,0.308835952535972,0.644670113826971,1.92330634340864,-3.10978678413682,-1.04268072547725,0.503451804219755,2.40753989661607,-2.42033439979409,-0.231257537472092,0.599831307170984,2.24463398647113,-2.66476792726857,-1.68872295893847,-0.889767921355626,1.00214202000656,-3450.04191264133
