"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","lambda4","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","zeta_PasoPeaton","zeta_UsoDirec","zeta_UsoPito","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4","tau_PasoPeaton_1","tau_PasoPeaton_2","tau_PasoPeaton_3","tau_PasoPeaton_4","tau_UsoDirec_1","tau_UsoDirec_2","tau_UsoDirec_3","tau_UsoDirec_4","tau_UsoPito_1","tau_UsoPito_2","tau_UsoPito_3","tau_UsoPito_4"
"tau_FRbr_1",0.00615028985561775,0.0271465847770106,0.214600747019146,-0.0997675912909789,-0.105125160712161,0.0735846387773757,0.0165428960870108,0.0333049766093927,0.0888003530157078,-0.0241766438795055,-0.0840844108798731,0.0287255282750731,-0.0134458909443654,-0.126867963049942,0.0244865427169727,0.0157590578602117,0.36927263565977,-0.0676692889146533,-0.840526630198819,0.189320097510724,-0.365096021177671,-0.560812352418825,0.0946156709403305,0.0534180882075738,-0.277261469923775,-0.607833412694555,0.421347605237818,-0.473584031007415,1,-0.606348002297726,-0.628322274251363,-0.700602754621959,0.130612050660985,0.422857364791746,0.416785538564915,0.473166199448866,0.747203394150575,0.363173633093298,0.376934323888686,0.173091898801823,0.670896066942146,0.457178390290864,0.46522323010818,0.262184732318575,0.142098665758773,-0.00501437013581378,0.142993380800848,-0.018878994393018,0.203652973493195,0.112114797322287,0.128558633286571,0.00575456055181797,0.404832843916096,0.249719427089481,0.345008518647725,0.107718293938058,0.608979985477471,0.60135420478468,0.605664352024597,0.630112987030735,-0.431378744236612,-0.429658093907333,-0.417845126294127,-0.346905340782614,0.667529850888821,0.0752871411212829,0.0575164735343566,0.0448392958031145
"tau_FRbr_2",-0.0821331772520429,-0.107780553358399,-0.254133857352744,0.0221824102234182,0.126884724014046,-0.0350082381685696,-0.0231044178197641,0.0295126079880767,0.026368319526784,0.0222056017219086,-0.0288314016200701,-0.00155219086038778,-0.00769637342323366,0.138253744450552,-0.0665685106234109,-0.0118218844928696,-0.358728295674646,0.0893527040292857,0.857746635854499,-0.255459998354388,0.225037246369548,0.32882740263422,-0.135786902416164,-0.108910534395939,0.174961329099299,0.330240123258679,-0.125034513928198,0.373866044121957,-0.60634800229773,1,0.972336240309187,0.905735950923869,0.196227198430732,-0.349614753988772,-0.362928563948252,-0.437047191105637,-0.213687581684316,-0.109526613078144,-0.160861251564775,-0.18517901969083,-0.189801518785225,-0.0423167350768137,-0.0921493230419066,-0.141700247134486,0.144306598209738,0.155585322516388,0.0582582425614035,0.122244144213737,0.0914538110301459,0.107186669399671,0.102408785047539,0.0863984689722567,-0.194207425438922,-0.161815402464664,-0.105721908515173,-0.00350241237119639,-0.328267673413671,-0.32337460226447,-0.328443306478464,-0.339626472241675,0.133557077876825,0.135359593466002,0.111628709181928,0.131760626607257,-0.341421974503616,0.0727103720681681,0.0506576547274604,0.0639392474743008
"tau_FRbr_3",-0.0736805346313268,-0.107157979169435,-0.255447459578907,0.0208869869496449,0.125486467228635,-0.032016085414964,-0.015916930274992,0.0293589526504206,0.0381080319237614,0.0226982101564351,-0.0373492824144566,0.00914148176200098,-0.0339544804078531,0.140805433319633,-0.0435963854844059,-0.0229277412378764,-0.354552760893514,0.0614120844605273,0.869540537004832,-0.290057037073136,0.17665954874898,0.320628860026477,-0.129226379598051,-0.101180808763963,0.177452284480133,0.332054560441598,-0.154432937436147,0.365595715030737,-0.628322274251366,0.972336240309188,1,0.915334595570725,0.220414804489236,-0.400562721739139,-0.389135682318661,-0.467906200346001,-0.200555027041034,-0.195014646475518,-0.211988151269851,-0.246676546184634,-0.202656911960561,-0.0600610274067673,-0.0627075976492094,-0.178074201275399,0.126631894523191,0.104137672186198,0.0293267494673182,0.0770609107659443,0.0678701794439459,0.0672421918338381,0.0852669168138506,0.0420918909968923,-0.206598372786355,-0.171782583911238,-0.102018581095364,-0.00763539336684783,-0.331086900384285,-0.325092126325911,-0.325719079672656,-0.341012439407755,0.15755728918569,0.154766201224218,0.142787215139032,0.156699521507001,-0.350359091868305,0.0407235650626695,0.0521514652957159,0.0477579458113925
"tau_FRbr_4",-0.0306757418853827,-0.100137408212075,-0.252011258893727,0.0561161495430378,0.156765595923899,-0.0357615677317264,-0.0261881761674966,0.0570884303476894,0.00259061999399691,0.0299691603578256,-0.00582309480743179,-0.00689820656885902,-0.0304195790927552,0.11545943486137,-0.00367315252242091,-0.00132899822849777,-0.395844094838632,0.0345059220508218,0.903721923803948,-0.311637999895354,0.236941968168944,0.397424415449953,-0.143588795455148,-0.125144939518246,0.179665635458542,0.411658519148581,-0.224296044208176,0.372745942452864,-0.700602754621962,0.905735950923867,0.915334595570722,1,0.199572498143843,-0.463717691851201,-0.458920630635415,-0.515138100446728,-0.304381197059943,-0.247472974378755,-0.273170102887717,-0.131135004058047,-0.302162626276141,-0.159226067684257,-0.180034685788559,-0.0603768990067197,0.109764236531331,0.122047909568583,0.0226092914087745,0.0587909358021257,0.0629425543243366,0.0290503395978005,0.0437073910968727,0.0345731906283367,-0.219435172338077,-0.181078855838169,-0.152529117162167,-0.0212040650061183,-0.409117059117015,-0.405909948909852,-0.408703533973072,-0.414374054189231,0.199934204204818,0.220928945309641,0.205075581992844,0.220094056104446,-0.40318887858456,-0.0302985998282208,-0.0197109149365331,-0.00424371136001511
"tau_EnfCond_1",0.0212154314469993,-0.00569604055989579,-0.0938103487624985,-0.00568513769663942,-0.0023005911768907,0.0258059873401848,-0.0570065494681994,0.0579446659211611,-0.0141471620571441,-0.0269332370843026,-0.0896216388119581,-0.0564329609861127,0.0157293194301619,-0.00960397009812574,-0.204657138215701,0.0453660312556974,-0.174512927595622,0.169226410666627,0.0480447831994717,-0.767594437317327,-0.208694578777401,-0.151638530463873,0.00579395352282014,0.0811539696187911,-0.129016012839408,-0.266479868501635,0.279839927901737,-0.132517615442482,0.130612050660982,0.196227198430733,0.220414804489238,0.199572498143845,1,-0.554981011105063,-0.602245800058743,-0.588173712235588,0.335922295615564,-0.0437640071983923,-0.0224829972731747,-0.0976120043312943,0.303615119012721,0.241244563773864,0.222495795697275,0.0937408861496427,0.155163690874932,-0.00616443350890999,0.0696201353081699,-0.000211459116888116,0.0780862741252271,-0.0595822008374969,0.0568154450985369,0.00039106599899382,0.178181893616994,0.0453438096660691,0.164399223769103,0.0470808572039606,0.271621528758473,0.267000626575574,0.270347501671746,0.286056884484903,-0.274220239034975,-0.283760130697519,-0.277396421653741,-0.226942938070141,0.26240462325416,-0.0249510403778388,-0.0439988560861626,0.0506130601735757
"tau_EnfCond_2",0.0137182925866257,0.038152173440653,0.167640187231432,-0.014656120991164,-0.0526472376616911,0.0432030272135254,0.0669828656722294,-0.044517641059643,0.0552757554123547,0.0071860270870442,0.0539212685058704,-0.0260269790664466,-0.0074418633329519,-0.0573670593377692,0.0441022433209599,-0.0278370861398085,0.258193943344324,-0.0602860904438256,-0.42589962522964,0.872320591845085,-0.0363877601670347,-0.166173720508022,0.0869163126899737,0.0183333085022202,-0.0631170895623402,-0.0583426558523873,0.00466855536922981,-0.207371598712598,0.422857364791744,-0.349614753988765,-0.400562721739133,-0.463717691851195,-0.554981011105056,1,0.955783851333286,0.905010002366866,0.246438006240568,0.264690591782793,0.228996220071956,0.13451532842358,0.185680339941033,0.219396809588548,0.190947428628353,0.0887269977840007,0.0261080882301346,0.0258750783994815,0.0862584788407475,0.0571257351252595,0.100049281041588,0.0982753153169487,0.0625730692145586,0.0575861056561859,0.235791928080733,0.210652893641162,0.149914023172667,0.0577971951150017,0.057606801834048,0.0585714630861147,0.0501245072929377,0.0681363712982822,0.0179754699658127,0.0294872181197093,0.00488906566559971,0.0283421193608933,0.429944589790375,0.251013088150977,0.149708059687659,0.0148834608572463
"tau_EnfCond_3",0.0227597088402619,0.0463882761889642,0.190384328584428,-0.0162850076779995,-0.0567385006345853,0.0578993884093984,0.113078636983203,-0.0331262164984643,0.0883344392123382,0.0135461873853611,0.0297490428713601,-0.0215092923046267,-0.0238244023982423,-0.0596671621316293,0.0514865595378636,-0.0368923674911851,0.271277244415306,-0.0719454009515029,-0.414249098638474,0.901275824373198,-0.0523722483781459,-0.171499310680317,0.068510191967401,-0.00515173511241954,-0.0532097333599185,-0.0177054830026092,-0.0692117793075554,-0.215229661154195,0.416785538564918,-0.362928563948253,-0.389135682318663,-0.458920630635418,-0.602245800058745,0.955783851333295,1,0.931442014070639,0.249524529176032,0.197791434476912,0.194696852992517,0.0961041485348371,0.193704210039373,0.192921645891281,0.205256126814022,0.049611165024613,0.0526509971941168,0.0155960742809918,0.0851352517299312,0.0103318288836067,0.131587594309446,0.0873103520218775,0.0743300921590391,0.0147121383780704,0.216897954170728,0.20138737489478,0.174223575166632,0.0517061601470343,0.015853585051792,0.0172164782127948,0.0159119934946289,0.0309842127917007,0.0836637115990072,0.0917228744771671,0.0761583800916028,0.0977640957670527,0.419711455401767,0.176632279649878,0.161826793528712,0.0132004937807932
"tau_EnfCond_4",0.0148868425312316,0.0518160542841619,0.240593091481962,-0.0113032239361545,-0.121185063997052,0.111657182633928,0.132759775104199,-0.0677952557309747,0.0827860173826629,0.0265274830836618,0.0491220554193685,0.00457578614243893,-0.0198199110192642,-0.109500180027893,0.0419535962029722,-0.0384053492565405,0.334537521870804,-0.0579204301504543,-0.482443424429984,0.868629464213016,-0.0298402009925413,-0.20077879835726,0.0985576526295269,0.0239222568191782,-0.146788192027855,-0.114389078371927,-0.0337129502062764,-0.296850505549513,0.473166199448869,-0.437047191105637,-0.467906200346003,-0.515138100446731,-0.588173712235583,0.905010002366867,0.931442014070631,1,0.267592319346726,0.254600486004842,0.242188633378818,0.131172842174363,0.218974403809129,0.186345247413543,0.212961328011171,0.119326685418964,0.0307988348729692,-0.000425770833264639,0.0555703512014159,-0.0110515925773506,0.105968055873315,0.081149187589647,0.0534904600083095,-0.0100996012656757,0.275008778502203,0.240885486285003,0.206987933278888,0.0229623843401718,0.114430375722178,0.110762532678108,0.109054327305221,0.131611028678916,0.0435189561453427,0.0562700817714022,0.0440032384449227,0.0628309910976436,0.465521744925247,0.130483173229858,0.10554932945075,0.0673577643731682
"tau_AFrSem_1",-0.0187102777568509,0.0047615022498723,0.0996664761663292,-0.065835897363366,-0.0484824699292744,0.0675262217781162,0.0378784569272833,0.0131880404653358,0.0905375065803684,-0.0246436171150367,-0.124244472295106,0.0751184132549881,-0.0438651143311609,-0.0772758180599643,0.00718409517486059,-0.0152502773155404,0.172582417647062,-0.0351412456601271,-0.460098751588232,0.072014906362032,-0.614583726178651,-0.351092070172065,0.102088455261366,0.0704657091847337,-0.184783691190263,-0.402077032785016,0.33168346526557,-0.354670885621099,0.747203394150574,-0.213687581684315,-0.200555027041034,-0.304381197059943,0.335922295615564,0.246438006240568,0.249524529176032,0.267592319346727,1,-0.0336501902384717,-0.0482852008891932,-0.249852910263143,0.603491121813216,0.498998201764431,0.561954963060868,0.289165964432743,0.218261767745064,0.0189603339957381,0.183570629750733,0.0396313190991965,0.258435107793955,0.116262833778312,0.193414082736854,0.0534608314481615,0.338212879266306,0.174485172084584,0.356780112841488,0.137038852038173,0.40428183802936,0.40211110797206,0.404956442928364,0.435217769012106,-0.333487799662115,-0.329128744141838,-0.316048800044731,-0.232141761261124,0.611082928669903,0.00159795126106292,0.0106819174068516,0.0355757162527502
"tau_AFrSem_2",-0.0159950950642268,0.00280907059307886,0.176448305822106,-0.108574068472931,-0.065700190902549,0.0975725282287034,0.0485566690309725,-0.0287998182471403,-0.00123625886501853,0.0235662690050619,0.00386871576936576,0.0934593528827858,0.0526470823115387,-0.0440372747511839,-0.00330660612181619,0.0424008688620479,0.285236807114397,-0.062004281731979,-0.32841845665722,0.12641557570811,0.539976207678511,-0.27918614835266,-0.00996371856812611,-0.0654807569706949,-0.182646782860421,-0.446296453608816,0.294910271664343,-0.109889146788833,0.3631736330933,-0.109526613078146,-0.195014646475517,-0.247472974378755,-0.0437640071983923,0.264690591782796,0.197791434476913,0.254600486004842,-0.0336501902384719,1,0.968190105485961,0.746815801185079,0.300708020994488,0.231303262008482,0.160267746283291,0.0707082494977112,0.128199216839494,0.147888835650654,0.0971589953786855,0.0269664830427082,0.152923571733428,0.154362181591711,0.0779863734618385,0.0348339610598515,0.194341153903902,0.109336088105378,0.110468117077935,-0.0263679404386125,0.432866822575714,0.43496157281508,0.435808581393187,0.440891528732777,-0.268208874563082,-0.294789091856407,-0.319789622603813,-0.271677518870709,0.234350057732292,0.198384330369168,0.146376236411581,0.0896310721436026
