"","asc_Op1","asc_Op3","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","lambda4","lambda5","gamma_USOCINTURON","gamma_USODISPMOB","gamma_EXP_2","gamma_LV4","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"b_SI_CAMFD",-0.086978844490746,0.232589215482688,-0.30524185421065,0.186962212492705,-0.0332655701351878,0.0750199936558407,-0.0744662493614156,-0.0745552425490666,0.150557697681259,0.0282141449442963,1,-0.0420732922003389,0.174225591955193,0.022480874347093,-0.0553249276994502,0.0961147338881907,0.082562500211068,-0.126197429020053,-0.0335263162109587,0.0180475918400949,-0.0546699728415974,-0.0185251955747703,-0.0188168343211605,-0.00123520997847146,-0.0386958340197555,-0.0132948218740108,-0.0138650553318166,0.0547051915010493,0.0596051990288533,0.0110881754979717,-0.0159721284192691,0.0390276123221716,0.0601060472101612,0.0131897925425841,-0.0284974916976607,-0.00650899898381246,-0.0127599033539054,0.0454380105308018,0.0277056573580341,-0.0339811107600837,0.0231618434703415,0.00172947922184429,-0.000624964225494425,-0.0809402180548447,-0.0780485705970784,-0.053178544753345,-0.0215494402571082,0.04914866974226,0.0452821285981263,0.0312680316570901,-0.0333066016176856,-0.0136731219608519,-0.00356686620722343,-0.022173366810775,0.0263567500779652
"b_SI_PANEL",0.264647753559112,0.27068367885377,0.0309561765372232,0.0801272729167263,-0.00336888563097301,-0.0292733111341717,0.0929056888215022,0.0163562710998296,-0.00234057787571653,-0.0831061131590615,-0.0420732922003389,1,-0.075619192001273,-0.123004296281123,-0.00361397289097764,-0.0389889686938446,-0.0691842710400511,-0.0753010906384717,0.0817168089177294,-0.121638886072791,0.0442977131869146,0.0916835248339428,-0.0773729237939082,-0.0331866248202898,0.0152423186439651,-0.0538196014333818,-0.0486678622744446,-0.0687385032272336,-0.0704501763464689,-0.0750433405343143,-0.0412327371954571,-0.0708447205948106,-0.0767713660990228,-0.0729015831749749,-0.0223628307079997,0.0436918410875488,-0.014164460566855,-0.0398575562186108,0.000673963383271407,-0.102216950572045,-0.0765108784172282,-0.0259221481913236,-0.041510671103577,-0.0694596194366738,-0.0044943846646171,-0.0236460446778444,0.00161453144970971,-0.0284117241950719,-0.0157025862186107,-0.0324591230247791,0.059378951621729,-0.0466918457717088,-0.0759248830864457,0.0157020583504364,0.0263537619494226
"b_SI_ZER",0.0911218269356285,0.283666166395712,-0.105305760499491,0.0318017720098689,-0.205980563026371,-0.12350465781774,0.0552699229177753,0.0354303613026514,0.102237303801521,-0.0404143310578961,0.174225591955193,-0.0756191920012729,1,-0.173354562039181,0.0142661588565237,0.0509403335560479,0.0216027869523398,0.0489711564084216,0.0516980321478717,-0.0934387187939021,0.00843212337219251,0.0657980894956903,0.040893723070352,-0.132226184945835,-0.0856486630252987,-0.0423651192642943,-0.0168480989197467,0.0488070346700788,0.0471418923426454,0.0065676254288691,-0.0123753198999105,-0.011455143349361,-0.00660893645216659,0.0616886384162094,0.0549335123372215,-0.0595817961059481,0.0280523287977742,0.0339151500427083,0.0544128275467531,0.078841273471635,0.0116161900011401,-0.0224321895533029,-0.102342650458819,0.0537251145099345,0.039649095369486,0.0320791272542238,0.0383253556675157,0.103878330890231,0.100396454168561,0.108363580076167,0.101751379097342,0.0624273988429381,0.134587165909555,0.105355318937918,0.128088310530771
"b_SI_MTRP",0.0239503211403768,-0.0847550335695524,-0.0561804178893607,-0.130404077445862,0.0930543516868803,0.0330381494768452,0.127126993643202,0.0895521277188352,0.165616573877714,0.20433117141146,0.0224808743470931,-0.123004296281123,-0.173354562039181,1,-0.043744759541188,0.0965408351733363,0.0195283253915874,0.0162273242484135,-0.121145402900896,0.060819400190786,-0.0678567783266667,-0.00658608985146428,0.0594362901551225,0.0710995242870443,-0.00457337790529246,0.158411625918041,0.0597141897983921,0.053477573388382,0.0608398586381794,-0.016282723888615,-0.0274249828843806,0.0240293955016456,0.0711746785735039,0.0672863870967372,0.082961354934543,-0.085721939198841,-0.0673705221918313,-0.0455709255552706,-0.00658033174906175,-0.00802074823889105,0.0445452619369628,0.0189358145620817,0.0627785963518619,-0.0269347468967655,-0.00816224260444409,-0.0303350320957851,0.0112916363637104,0.00358436015302034,0.0328871165057075,0.0408469031451921,0.0683117376281546,0.0357951919293384,0.0589693028655538,0.0516042822811273,0.051023399709705
"lambda4",0.0331883273740205,0.027581785261899,0.038238487585609,0.00780756951945429,0.0336870063137672,0.116024764053597,-0.0210604679186727,-0.0384200425202234,-0.0370582766200282,0.0501286763469795,-0.0553249276994501,-0.0036139728909776,0.0142661588565237,-0.043744759541188,1,-0.775045682082397,-0.0299311496498942,0.0379082163559787,0.000114854362976035,-0.172271056520366,0.0337227985648907,0.100865172655119,-0.133145213132062,-0.0726851821000572,-0.0376166934577049,-0.0938970246700232,-0.0182237308225791,-0.0262100934887579,-0.0234671603858575,-0.0142271152255241,0.00243130285445325,-0.0322299309684452,-0.0296557779641766,0.0165037654015717,0.0609918916448872,0.0837426442083792,0.0567834558427234,0.105923948404309,0.126314401545364,0.015923355486055,0.0349333399457324,-0.036501873323482,-0.0140903064401925,0.00894720220259301,0.0259804156334048,0.119486886908796,0.104055993906458,0.0535065087755139,-0.0238963887221834,-0.0900463875309641,-0.0821252413012029,-0.0269768279286979,-0.0758409753248847,-0.0414435908053664,0.0530901902193448
"lambda5",-0.0305255502251894,0.136350902881719,-0.0642062046640976,0.05551715926767,0.0136084838259358,-0.0613495531365613,-0.0520809171534921,-0.00702435381522091,0.149464070670785,0.0415226925001073,0.0961147338881907,-0.0389889686938447,0.0509403335560478,0.0965408351733363,-0.775045682082398,1,0.0744800885193802,-0.00678686608252298,0.0370457110999275,0.0860013897756985,-0.0191064112380752,-0.0741532367118012,0.0609415229277053,-0.0643408359383082,-0.0439552305233749,0.0308726773051995,0.00241689695875072,0.0698964823514145,0.0988315031195155,0.100304283930495,0.0116433649587449,0.0821915523927814,0.0983303014488423,0.0538601296995496,-0.0149497647266792,-0.117481401186656,-0.0747790252225886,-0.107420571195678,-0.113195428693,0.0689433918307155,-0.00466745829862064,0.0166768110495437,-0.0330113541583301,0.0269547708744575,0.00723400029991196,-0.0333637960616215,-0.0430140696107854,0.0235054332040903,0.110182242266216,0.15237365785909,0.082987835892493,0.0782987776926713,0.125883922636721,0.0816820614484269,0.0133573437235974
"gamma_USOCINTURON",-0.018215725691114,0.161314838619843,0.0431135472245108,0.0054130927686733,0.00787568115558555,0.00956819045774311,-0.0237724011063211,-0.0542138950230988,0.038702877795351,-0.0459021668610231,0.0825625002110677,-0.0691842710400512,0.0216027869523397,0.0195283253915873,-0.0299311496498945,0.0744800885193801,1,0.03303585339448,0.17364142181591,0.185491039773098,-0.117076270646214,-0.162459202311393,0.00757448278881704,-0.0692798576999399,0.004013976505541,0.149759993432866,0.165268935424463,0.669836325637935,0.876840921941197,0.60720258378255,0.371387420365601,0.823901426343318,0.86233407270361,0.790228173680007,0.664626035820338,-0.252543811021301,-0.307474077791728,-0.332895091049592,-0.376990622458171,0.754444306374608,0.555024047135739,0.397686504773769,0.248076612983598,0.727144419585267,0.603676416156741,0.496469767887607,0.397793956944562,0.586183327196757,0.637479902699541,0.635870451950292,0.436969138432109,0.623706420715873,0.636707474623666,0.52168278937105,0.477161678706775
"gamma_USODISPMOB",-0.108441871443326,-0.0177836057390663,0.0290453240047574,-0.0815796898537987,-0.0236044199401295,-0.0790302935468268,-0.0202190885930053,-0.0109695177863773,-0.0908768895957594,-0.0736858570446197,-0.126197429020053,-0.0753010906384717,0.0489711564084217,0.0162273242484135,0.0379082163559786,-0.00678686608252298,0.0330358533944793,1,0.22220974670541,-0.116594034029884,0.071195404721637,0.0556398144520004,-0.0582062562251778,0.0711469825289869,-0.23177390441471,0.0158442144746249,-0.21559420116938,0.106846062207868,0.206243882433415,0.145030795365975,0.132148855204951,0.176142785357852,0.159740094424721,0.145722306294644,0.18191554989078,-0.0977655701123317,-0.0633472358761103,-0.0307375790503284,-0.0435087783101165,0.357386916418967,0.381130453235148,0.35699189136832,0.382963898045699,0.360676805964636,0.252453278640564,0.198496011492561,0.0704603897146037,0.1960153952345,0.188397443006995,0.170458707629646,0.178754504294542,0.411851858858315,0.417403723177323,0.319395969109124,0.191586107788619
"gamma_EXP_2",-0.0514386026293089,0.0400136549626547,-0.00320334050740646,0.0502637169719933,-0.0545997482208316,-0.107355776687734,0.0354821040225318,-0.0110739043816931,-0.0100860973117967,-0.048766332596119,-0.0335263162109587,0.0817168089177295,0.0516980321478717,-0.121145402900896,0.000114854362976102,0.0370457110999274,0.173641421815909,0.22220974670541,1,-0.436726261953338,0.307514545291859,0.314364977755599,-0.366223664618908,0.130150150815161,-0.0807300382254814,0.0120941900091666,-0.0959246582727187,0.0286871601233916,0.23282359448026,0.239786634419421,0.246847349223455,0.148700371660883,0.177144745072999,0.189783526979811,0.17869546029512,-0.101425045425752,-0.0932445229783794,-0.0623367383587856,-0.00865192268304433,0.264830482771169,0.328627412454193,0.325853063843152,0.27676440825337,0.294764532734763,0.244438733929975,0.167698742583146,0.115194832574185,0.271175154908026,0.268713429835134,0.235981793751903,0.0915718206772261,0.290311051719259,0.268670200294068,0.179279069759805,0.182060240663184
"gamma_LV4",0.052885842071257,-0.000370792247839629,-0.0491743771450289,-0.0470912845726453,0.0486481603381407,-0.0447527313976333,0.0331842588823916,0.0159269951988983,0.0329467660657075,0.0203211776184506,0.0180475918400949,-0.121638886072791,-0.0934387187939022,0.0608194001907859,-0.172271056520366,0.0860013897756984,0.185491039773098,-0.116594034029884,-0.436726261953338,1,-0.633029193445122,-0.686541326564458,0.533247198972001,-0.31800217306961,0.139793282725587,0.310109595202099,0.499920513461937,0.38160410441315,0.103075971638975,-0.123209583826775,-0.270169983612383,0.231842182851779,0.189025356070098,0.0814404280164687,-0.0483020075323152,-0.154572005395259,-0.217692785884299,-0.24573544423535,-0.335446720892105,0.171930188810945,-0.150879668645099,-0.275213885244577,-0.292263526699313,0.103289158503851,0.081483854820951,0.0756376391520845,0.0349989798620828,-0.222091245924273,-0.0772709166043084,0.00599826150363547,0.166025447703106,-0.0729566558306973,0.0711910498732626,0.221741214192974,0.208649788109033
