"asc_Op1","asc_Op3","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","lambda4","lambda5","gamma_USOCINTURON","gamma_USODISPMOB","gamma_EXP_2","gamma_LV4","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4","logLike"
0.728178133879657,0.836348407805578,0.232126814813521,0.0379706367803871,0.0658776691584447,-0.748521258712705,0.0354281707481908,-0.379904129435395,0.748525679286493,-0.308123231860432,-0.644673008895138,-0.697481611733217,0.159642412033342,0.152902129238206,0.311367021750692,0.813170026222917,-0.799861896592893,0.390474365811115,-0.57115946710685,3.03863038556734,0.422855994059119,0.413576805353602,0.142984927463567,2.06248065828629,4.33574753921245,0.537703592388532,1.69388481364382,-2.20927477336193,-0.0419201455857338,1.55326528069722,2.71407057612378,-1.15614454908356,-0.0756856076252288,1.00610064851927,2.19673196542631,-1.98712997262482,-0.997883257839662,-0.114347104359061,0.578319566167769,-1.16306321654275,0.875581288819584,1.85605168804339,2.50676188316351,-0.874770151497072,1.22280994427223,2.01189742287807,3.47540298549117,-0.924002494944545,-0.225788615294597,0.549333391256734,2.27470073283761,-1.32230135872181,-0.282395813985655,1.56067767630557,2.1167061652807,-2799.3897382559
0.988511215832432,0.621817068709531,0.0694601799415727,0.533254103624484,-0.302146122133303,-0.767560656480925,0.0275517166034698,-0.438463035231733,0.949407789173728,-0.358001634748698,-0.819330444024337,-0.611985919787343,0.363950809539515,0.27179084322879,0.831186270858257,0.0166905612020959,-0.367745997111288,0.194062877510036,-0.73979954365439,3.69041105816518,0.361142619276167,0.453734884448348,0.542076744154216,2.16383196427434,4.08000072833265,0.30845701119527,1.91628001608016,-2.05816942626093,0.0225450974520565,1.64371723901857,3.0826211077123,-0.961541911917252,0.332638055357606,1.20349280419898,2.26533551673215,-2.00126455990412,-1.09543666675762,-0.293398974146341,0.39138842300633,-0.724415189817138,1.28067576156032,2.14359307792959,2.95463066366417,-0.151668180646495,1.92293568994597,2.41801243930859,3.28303258885235,-0.891613267352783,-0.0970981149956188,0.861596230178285,2.29010428951165,-1.0255527246429,-0.0299226785027985,1.72261850932394,2.33861266132255,-2729.74211901582
1.04239071398377,0.55824766744251,0.0477275848507726,0.585417099912871,-0.385231715142509,-0.772442792980718,0.0236861374331583,-0.445050620080893,0.979936396953797,-0.360506735734216,-0.846089910955076,-0.589637346049336,0.403851245331048,0.289505951041461,0.962912660050145,-0.153329542536062,-0.310550061055555,0.179447073904021,-0.775392561268487,3.79838383196306,0.345906735222912,0.399539850676613,0.592692852521715,2.16656877670459,4.02745086120884,0.327605605078713,1.9250759283102,-2.05273192598215,0.0369248628209376,1.67060755112195,3.15105982012118,-0.922230323328032,0.352766125491502,1.2600767865976,2.28730918379141,-2.0146748497904,-1.1196155153505,-0.282574506117125,0.330929920218152,-0.673986315400278,1.36075236258258,2.20964793681304,3.03658923793779,-0.0328517584258872,2.04452984428758,2.52254821077373,3.25380577980164,-0.884926433967854,-0.0362987922622812,0.858270478765903,2.30651265072436,-1.0136658007122,0.0231336544952823,1.76730018433207,2.37726982234477,-2714.05962684487
1.1162481465188,0.490672379442842,0.0534290675824182,0.454255665374636,-0.518162456614796,-0.814766697272732,0.000397483411473491,-0.43759332358064,1.01713314951711,-0.342995605534594,-0.892617966776176,-0.54357821496775,0.46929549219865,0.308909058972035,1.27290399961952,-0.37520292974028,-0.251717592576125,0.166464964472208,-0.865468572793632,3.98551706500057,0.29095083663093,0.304168168471545,0.51073370241118,2.13925668373634,3.88647059676912,0.182879705832997,1.8891077491937,-2.04891805562376,0.009045534598435,1.7414137776866,3.29120663244672,-0.856952629961172,0.378545861023002,1.34838488551725,2.34764450330789,-2.07138172003234,-1.12660173620175,-0.438580343668176,0.379179934620585,-0.643434502040512,1.46519396997947,2.38152813360739,3.21954536771452,0.114923782209625,2.24117973632502,2.79380311225689,3.24010992952679,-0.871302168312627,-0.0650584007751926,0.894636579737001,2.34814435821084,-1.0451296114213,0.083424867418506,1.87215784726394,2.47173721621912,-2704.87918165578
1.17129229269416,0.497309810468837,0.0688323219506458,0.188435033644378,-0.625466307971215,-0.901592536262607,-0.034113067898779,-0.421984200589136,1.06427280081165,-0.31704500912947,-0.957898006681346,-0.505301612736801,0.534145486983568,0.327304594752788,1.62732690840133,-0.457543701740968,-0.0940630646254776,0.135691824449894,-0.987042316711794,4.02680871169014,0.376564578418274,0.421147494459128,0.437514538225762,2.12477359508399,3.7214884404809,0.252879351232238,1.84560123008205,-2.0177956481065,-0.0128777121903999,1.82821436029699,3.46684373583608,-0.756879092978691,0.473988091072072,1.40973426555006,2.42645412761295,-2.15282748768346,-1.15574846564557,-0.49967710292279,0.416176299234923,-0.599439270541958,1.61943891293033,2.5737258098831,3.47176430774367,0.285470140139941,2.53816578974048,3.0937745170722,3.27512034962311,-0.8013017040346,-0.155492203789139,0.897944585139899,2.40229361334381,-1.05936171308558,0.136567357639399,2.00293685233988,2.60038948617753,-2693.43809795231
1.14097350371114,0.596971439242398,0.0651923749401072,-0.0488356868348487,-0.671308953182337,-0.99311365771592,-0.0716704017818327,-0.400072797156088,1.10297461568754,-0.28076678562539,-1.01848423522051,-0.46533922774191,0.588190016657069,0.348858534230714,1.91789477636663,-0.498028065013705,-0.0525926199722406,0.0690381146586421,-1.10429994679347,4.00529307851874,0.363571420912062,0.380471593186588,0.336258191894016,2.1210499529682,3.51269473574773,0.254326845919433,1.83871375169372,-1.9551248486179,-0.0275901380548634,1.91533725773253,3.65033087026474,-0.705493917016138,0.592506293619502,1.48201483414166,2.51466707261664,-2.2116813414124,-1.29544323771432,-0.396855761995242,0.426875834349626,-0.522358168954255,1.71884744588776,2.77622410393406,3.7435416261782,0.440535773264966,2.80572294575801,3.19969745647466,3.52719537054541,-0.835550540567013,-0.182703298880055,0.962026475240573,2.44160252242304,-1.0014358921649,0.153610138846931,2.11416020203163,2.75133632208757,-2677.6235823506
1.05848904670067,0.75106491327074,0.0348115007917332,-0.098437595891543,-0.654319995515459,-1.05771222904795,-0.0907608314190651,-0.391448318311688,1.13216296864117,-0.242728721106698,-1.05439345059105,-0.444993528585424,0.613779743125843,0.369855218261337,2.02138413460334,-0.478370155884151,-0.0669042197914698,0.0723952033977775,-1.18112750246742,3.93514315447144,0.344049876637993,0.347229892122965,0.295047028267052,2.12755731176992,3.36807612905101,0.290903289002964,1.83165142519511,-1.86113249766439,0.00359090140594173,2.00215235496149,3.79773515238511,-0.63435432235441,0.631855816203502,1.56598562744138,2.58893015923169,-2.26172946455031,-1.21678143688738,-0.387480190022156,0.441349290965266,-0.460295537485348,1.77351851996733,2.9524306243338,3.97057091621802,0.519412230976938,2.90663757799325,3.44083279632053,3.73938258875173,-0.926414549473799,-0.112258314031832,0.99617669408584,2.4707295304936,-0.933231352481338,0.164380667966918,2.19387678173949,2.88016111608616,-2664.10912574524
1.04248065046576,0.807717352444741,0.0114715143384528,0.00138477962223023,-0.684857939500473,-1.0513252265584,-0.0896683021885916,-0.395514285398048,1.13683910645027,-0.18799046502514,-1.04492220146507,-0.417885168765354,0.623366475900677,0.384074921627283,2.0471961409385,-0.518404987574324,-0.113669569484501,0.115284273651861,-1.22692147835289,3.85015293852588,0.345728210638558,0.364136731692469,0.200940682783077,2.13540714580203,3.29329526581371,0.297612452435593,1.78584457117911,-1.78154516368976,0.0872520329752035,2.06782119626596,3.91522024478683,-0.609554078057617,0.646891588697701,1.61336191272286,2.66159439410719,-2.25517019360442,-1.13460392583203,-0.344038991151192,0.481128484011528,-0.469391085175103,1.82672375355498,3.07792969985602,4.17536899119347,0.520566616893472,3.01208434245386,3.57620363950575,4.00017125237888,-0.895209402035614,-0.184006843511576,1.00531719803362,2.51411689684924,-0.94751899173108,0.203295198306582,2.26193278448698,2.98787022855099,-2652.09109120172
1.09017104999044,0.835789268606134,0.0143947195604981,0.0360878301357659,-0.730409103217494,-0.997869934364349,-0.0848349340899022,-0.408830449894513,1.11830490234087,-0.120923391349205,-1.00742658852018,-0.407155532243237,0.616238148676986,0.390284400401854,1.99684621704503,-0.522894727969499,-0.144457982023537,0.126640749291201,-1.23377078084772,3.7991162516593,0.325409284659135,0.361477296379582,0.120934282116773,2.16763809943569,3.28796801455349,0.294858518211579,1.75533122372394,-1.70786075787063,0.157013680421437,2.10531264518603,4.00865126095663,-0.663127754799952,0.708105311722178,1.62093804298976,2.72224569361279,-2.16110473899248,-1.15893381249449,-0.218310567569692,0.573765339679862,-0.495055934557057,1.85933943082527,3.14969055865105,4.37005566417512,0.482712722683731,3.08397916084518,3.80283383243757,4.12328126937478,-0.916483232415149,-0.204899336711596,1.0283850933317,2.54542547257019,-0.942208792285939,0.216851082727562,2.311092847105,3.07424648232146,-2643.51871241598
1.16020629894215,0.812518964003963,0.0313238758285519,-0.00551787231604962,-0.786781934847132,-0.91761721769004,-0.0841647103840175,-0.413127173994313,1.0806706914869,-0.0524332165451501,-0.947954397014755,-0.39421825440655,0.604677094385875,0.390165802633681,1.95173230230835,-0.535981104041202,-0.143694837560918,0.0997634630596324,-1.20565778574203,3.77676555316207,0.317402271334627,0.383763006997157,0.0801788390444145,2.20877626300998,3.29313556676187,0.326329130677875,1.74760782706943,-1.67170998090689,0.194102108689109,2.0979031259495,4.06843309211173,-0.70562124115661,0.696343658603075,1.66094807699098,2.75572705103582,-2.06589592376363,-1.08305098472608,-0.185914570845187,0.680503631591826,-0.518899664440183,1.87725884840206,3.16756103936272,4.53241828426994,0.457736898722342,3.17288913623212,3.85641830283644,4.24688198201425,-0.991749632690181,-0.148625116695772,1.03762438150969,2.56672762045742,-0.920048564519148,0.216486911714882,2.34055380500761,3.1282171868783,-2637.21289819729
