"","asc_Op1","asc_Op3","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_SI_MTRP","lambda4","lambda5","gamma_USOCINTURON","gamma_USODISPMOB","gamma_EXP_2","gamma_LV4","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"b_SI_CAMFD",-0.00505133075343422,0.017842820654303,-0.00240942189044508,0.00502815432721499,-0.00254769481489481,0.00452102030531768,-0.00724597451338628,-0.00537772176037886,0.0219722576940666,0.0042283190734378,0.0762532831753139,-0.0024195547561252,0.0118452965759631,0.00227206241224613,-0.00376266688870498,0.00431498303680663,0.00324547567039044,-0.00565130985423192,-0.00310009092488874,0.00117379369215431,-0.0152193743097584,-0.00164688541873066,-0.000831673702672015,-0.000184291206112893,-0.00573337565368767,-0.000371794855895087,-0.00101119558412244,0.0174449470421097,0.0138378682896096,0.00348402887272138,-0.00843638656823387,0.00520852965220219,0.00727851563416373,0.00170578052602918,-0.00480000902735846,-0.000377299208666565,-0.000556972526855765,0.00184220939821347,0.00119584740128327,-0.00431506553564098,0.00360834337166919,0.000348295542250288,-0.000170075552795993,-0.010101856284904,-0.0114544977705688,-0.00983910571872438,-0.00475454161127786,0.0028314064684192,0.0025385215470699,0.00183340303175794,-0.00272538880887209,-0.00103095875181933,-0.000268350193833914,-0.00203886956358916,0.00281026656242047
"b_SI_PANEL",0.011591263947741,0.0156605286236246,0.000184283517958578,0.0016251952075702,-0.000194584888777564,-0.00133045960790133,0.00681789079024738,0.000889764044961865,-0.000257611487534345,-0.00939299824073636,-0.0024195547561252,0.0433709933657758,-0.0038773627485024,-0.00937557150508675,-0.00018536605959037,-0.001320083137572,-0.00205103608871984,-0.00254314012354388,0.00569862927368761,-0.00596644107827428,0.00930035782368018,0.00614698701006825,-0.00257908602210116,-0.00373419778884465,0.00170320778569568,-0.00113509377462354,-0.00267686357771577,-0.0165314746252931,-0.0123349543227743,-0.0177829670393296,-0.0164250331632022,-0.00713051768531358,-0.00701123188051348,-0.00711037585199295,-0.0028407473181968,0.00191003993218266,-0.00046629079201574,-0.0012187110923162,2.1938858035409e-05,-0.00978910882743008,-0.00898935093634466,-0.00393707753177263,-0.00851955476263497,-0.00653792036045354,-0.000497452650579143,-0.00329949971478548,0.000268651691145709,-0.00123440721995486,-0.000663889221721375,-0.00143537241286464,0.00366438487816328,-0.0026551255098341,-0.0043079399092882,0.00108889197977937,0.00211918410142095
"b_SI_ZER",0.00471834870285237,0.0194024654345875,-0.000741133322306228,0.000762573172030621,-0.0140654656839223,-0.00663618086324402,0.00479514366393666,0.00227861611551025,0.013303213139531,-0.00540022302674502,0.0118452965759631,-0.00387736274850239,0.0606190928007566,-0.0156213217115154,0.000865082277302361,0.00203904284705014,0.000757147943216998,0.00195530456712753,0.00426224146486591,-0.00541844698184994,0.00209295714030724,0.00521542025126455,0.00161153040037608,-0.0175896310948162,-0.01131467846636,-0.00105634244260943,-0.00109556942516541,0.0138771083011961,0.00975815033139455,0.00183994767502448,-0.00582808067661169,-0.00136307304461777,-0.000713561926883413,0.00711321301562823,0.00824989134514126,-0.00307936184364905,0.00109176898306338,0.00122599548563706,0.00209403551096445,0.00892645249965189,0.0016135182642375,-0.00402790923905103,-0.0248324080436146,0.00597846385657615,0.00518823720679452,0.00529196746313072,0.00753935677235839,0.00533569329399204,0.00501819851322297,0.00566521230025938,0.00742358853837844,0.00419685808774829,0.00902805475872873,0.0086375328073221,0.0121770081720956
"b_SI_MTRP",0.00184353770730552,-0.0086176320703996,-0.000587763002457995,-0.0046483031345743,0.00944577575429886,0.00263890441417808,0.0163954601472771,0.00856139552273941,0.032034948221059,0.0405867237189261,0.00227206241224613,-0.00937557150508675,-0.0156213217115153,0.133953964077359,-0.00394320595986358,0.00574445309674452,0.00101744053494979,0.000963150241806321,-0.0148471824323724,0.00524279835991492,-0.0250374265398007,-0.000776026845728375,0.00348182239126558,0.0140597962549662,-0.000898114663113817,0.00587159938794797,0.00577217663895044,0.0226027518183564,0.0187206859486456,-0.00678105433204984,-0.0191994396971761,0.00425044612227213,0.0114234866087756,0.0115334943796246,0.018520801027777,-0.00658585536883473,-0.0038976677325049,-0.00244881539183856,-0.000376446796526124,-0.00134993613025941,0.00919781699978027,0.00505434718641004,0.0226436715004413,-0.00445551823908869,-0.00158770242732053,-0.00743895871633896,0.00330200748755199,0.000273684753418537,0.00244358993986554,0.00317442484176377,0.00740869966512177,0.00357722954336245,0.00588016616695989,0.00628915147281778,0.00721063581424744
"lambda4",0.00171907136842965,0.00188717718915552,0.000269206687668834,0.000187278097602763,0.00230107735799582,0.00623629279998421,-0.00182777068275899,-0.00247169199608967,-0.00482362243926331,0.00670044220289089,-0.00376266688870497,-0.000185366059590368,0.000865082277302361,-0.00394320595986358,0.0606584468015961,-0.0310336455175621,-0.00104938605622352,0.00151407829007186,9.47223494272519e-06,-0.0099931221762738,0.00837313161260343,0.00799757254393584,-0.00524865871807832,-0.00967221792107802,-0.00497099325076755,-0.00234201166424638,-0.00118540626548053,-0.0074546292988399,-0.00485916851746611,-0.00398707928871763,0.00114537871263019,-0.00383635601547621,-0.00320295134589867,0.00190363901892476,0.00916270892813282,0.00432946994872779,0.00221067336168634,0.00383027729349502,0.00486268954379628,0.00180343620897266,0.00485390436683662,-0.00655637959588463,-0.00341997979876931,0.000995956653027371,0.0034007410368835,0.0197176790761872,0.0204765190456031,0.0027492449506411,-0.00119482049560784,-0.00470912334370695,-0.00599364716923578,-0.00181418199744379,-0.00508903423637021,-0.00339884646953554,0.0050487783872991
"lambda5",-0.00104372539598914,0.00615832396789511,-0.000298384558783106,0.000879047965744062,0.000613610455228403,-0.00217671422604309,-0.00298364070075267,-0.000298302640138285,0.0128421903388425,0.00366367502254768,0.00431498303680663,-0.001320083137572,0.00203904284705013,0.00574445309674451,-0.0310336455175621,0.0264313717086254,0.00172371826386529,-0.000178936306960161,0.00201677341518981,0.00329312759150869,-0.00313153765823558,-0.0038811575481696,0.00158580684753185,-0.00565172598299005,-0.00383431091466846,0.000508306571720422,0.00010377727672123,0.013122815106304,0.0135086213388403,0.0185554595020839,0.00362078523938018,0.0064580428055368,0.00701039677722707,0.00410093758541326,-0.00148251929260003,-0.00400932614123334,-0.00192174945171113,-0.0025641163058056,-0.00287651584850929,0.00515433982735222,-0.00042810052463238,0.00197731632933241,-0.00528908626657301,0.00198062856186654,0.000625057827559122,-0.00363433715211964,-0.00558745154281958,0.00079724038316167,0.00363660560677998,0.00526014690025789,0.00399800343276441,0.00347583507906035,0.00557591235666348,0.00442196263290588,0.000838506313046373
"gamma_USOCINTURON",-0.000545350385543822,0.00637947924233675,0.000175436316182023,7.50476684506672e-05,0.000310940671288781,0.000297252982105947,-0.00119246968027954,-0.00201589415524179,0.00291173570389764,-0.00354626365190323,0.00324547567039043,-0.00205103608871984,0.000757147943216995,0.00101744053494979,-0.00104938605622353,0.00172371826386529,0.0202643415138791,0.000762642698868519,0.00827711334667685,0.00621916989102166,-0.0168017219903938,-0.00744529437093011,0.000172582344981697,-0.00532853450209306,0.000306590000948732,0.00215900496103409,0.00621357809579741,0.110115076002029,0.104940428793933,0.0983540480908437,0.101124838652565,0.0566833341232599,0.0538315855506254,0.0526835062453205,0.0577098230624586,-0.00754649684401931,-0.00691881742712421,-0.00695767359659909,-0.00838831685407942,0.0493871522638114,0.0445741951756865,0.0412867212712037,0.0348024270101068,0.0467836891572272,0.045672236849855,0.0473531593890174,0.0452447105586743,0.0174084814103141,0.0184228786840802,0.019220426517913,0.0184325697276144,0.0242432472773103,0.0246940325666844,0.0247286999370787,0.0262275781395932
"gamma_USODISPMOB",-0.00369853081508907,-0.000801186869228151,0.000134643396692136,-0.00128847760643669,-0.00106166091596355,-0.00279700404602582,-0.00115541755577674,-0.000464673325554037,-0.00778870469645723,-0.00648522522555945,-0.00565130985423192,-0.00254314012354388,0.00195530456712754,0.00096315024180632,0.00151407829007185,-0.000178936306960161,0.000762642698868504,0.0262989662385651,0.0120667902659382,-0.00445337128539543,0.0116396512587721,0.00290486745432577,-0.00151083187953776,0.00623390775463378,-0.0201674406829141,0.000260214582734998,-0.00923401759640837,0.0200096595141573,0.0281194091281227,0.0267622083857431,0.0409918150389586,0.0138053710341282,0.0113600084104331,0.0110675447927157,0.0179947288486385,-0.00332811015883501,-0.00162388071136891,-0.000731862355992902,-0.00110286983684941,0.0266519223699464,0.0348697193996686,0.0422212400134745,0.0612046802368096,0.0264359605868157,0.0217586616394828,0.0215680572718451,0.00912972644022736,0.00663163629530045,0.00620253308409101,0.00586971018517039,0.00859004037082049,0.0182370545689558,0.0184421469249229,0.0172475454131209,0.0119966430525123
"gamma_EXP_2",-0.00362252492345805,0.00372230715185595,-3.06621018375392e-05,0.00163922816989836,-0.00507076074363843,-0.00784539655150207,0.00418674715668579,-0.000968614481174925,-0.00178494533583061,-0.00886239296047169,-0.00310009092488874,0.00569862927368761,0.00426224146486591,-0.0148471824323724,9.47223494273071e-06,0.0020167734151898,0.0082771133466768,0.0120667902659382,0.112129179018489,-0.0344438640724397,0.103811065871933,0.033889470795658,-0.0196283078079901,0.0235471605037154,-0.0145047882113868,0.000410135808342266,-0.00848347658455115,0.0110932478859841,0.0655453802751121,0.0913643300158627,0.158107398757172,0.0240649664241021,0.0260125526470322,0.0297627974032484,0.036498833555069,-0.00712930096469451,-0.004935597865774,-0.00306474121005823,-0.000452845422785211,0.0407800585400354,0.0620824104754937,0.0795764248525654,0.0913328521520203,0.0446110134392151,0.0435021950622131,0.0376252186242369,0.0308202178422855,0.0189439437949929,0.0182672612555531,0.0167789951151219,0.0090863621528213,0.0265440519495977,0.0245112037774596,0.0199902137861392,0.0235396942410584
"gamma_LV4",0.0026196638053224,-2.4261550126499e-05,-0.000331071350031917,-0.00108021265487987,0.0031778457796402,-0.00230034483751883,0.00275412348127783,0.000979868853922049,0.00410108220340601,0.00259754867368173,0.00117379369215431,-0.00596644107827429,-0.00541844698184995,0.00524279835991491,-0.00999312217627379,0.00329312759150868,0.00621916989102166,-0.00445337128539542,-0.0344438640724397,0.0554736157737013,-0.150309227357724,-0.0520572510551472,0.0201024483330658,-0.0404676394559525,0.0176663346570148,0.00739690466089116,0.0310977149483148,0.103793011568549,0.0204106319195759,-0.0330202310859773,-0.121715177841354,0.0263906191370848,0.0195235450641025,0.00898336815123532,-0.00693928241846731,-0.00764216649857971,-0.00810483894732814,-0.00849770110937283,-0.012349370473066,0.0186215543382505,-0.0200483862667247,-0.0472734036226808,-0.0678383563893029,0.0109952603751116,0.0101999167704428,0.0119363379587161,0.00658630757346827,-0.010912791458326,-0.00369474140587976,0.000299983080888475,0.0115874205440446,-0.00469194037106394,0.00456829830350225,0.0173907449487863,0.0189752527267642
