"asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_CongAB","b_CongCD","b_Sem_1","b_Sem_2","b_ACC_0","b_ACC_1","b_SI_CAMFD","b_SI_PANEL","b_NO_ZER","b_Si_MTRP","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_EdBasica","b_Htrab_1","b_Htrab_2","b_Htrab_3","b_Exp_1","b_Exp_2","b_Exp_3","b_Exp_5","logLike"
-0.663095101836358,-1.20941196057338,0.565164701744257,0.051694691985307,-0.388679090845388,-0.304198975689923,-0.598983445935039,-0.796848095585737,-0.875982231637805,2.42321878637035,1.63832489252532,-0.324462485274877,-1.01696783912135,-1.62639399811368,0.540439980050531,-0.0904432722376521,-0.051476968637768,-3.77833429731509,-0.566899388696044,-0.79575164335829,0.224565106139062,-0.206813296383331,0.395537169320684,-0.459990054107164,1.3862951722952,0.563246504020429,0.157579038186773,1.9350021842718,-0.509675871575976,-0.451554115252926,-297.199913573004
-0.671748762593963,-1.28794255839409,0.597562888830647,0.0519689280054206,-0.403928696622863,-0.190572202994408,-0.467278327361178,-0.71044930841844,-0.78670434055165,2.46155376552421,1.80103901239985,-0.296469992736416,-1.04452806326722,-1.71008374396729,0.489408071390924,-0.0651723467617128,-0.145462008076614,-3.88997444604866,-0.762281694805717,-0.773719647364946,0.249242472032216,-0.154077862081185,0.316466863671611,-0.484827906971772,1.39974743583725,0.539336437798481,0.191658900648951,1.94918106139653,-0.460572214937989,-0.404843860138959,-294.159440533575
-0.692002892159056,-1.25918834485637,0.596985014875726,0.0544949382587477,-0.417980961068379,-0.0711433793497635,-0.51491167539921,-0.594958019853757,-0.75871110011545,2.44222277358148,1.87663800146606,-0.369760711238256,-1.04850054694046,-1.73045514482627,0.528413158646859,-0.0512812112853882,-0.131836461866069,-3.82641905337534,-0.863593369373833,-0.826961519247422,0.19411990175726,-0.123295932612235,0.298390068782857,-0.49429762930494,1.32949197079547,0.51892442761373,0.213375989113489,1.91014644312185,-0.396210646974937,-0.391215482636099,-292.47895636809
-0.693802461837922,-1.25782252419246,0.612762363978128,0.0555695065904003,-0.417790778393381,-0.0846520100385803,-0.43028206711442,-0.491799362893713,-0.669344526080014,2.47253056203063,1.85819523611237,-0.479465292848368,-1.04204684899791,-1.72954420353625,0.610948147579057,-0.00150236801841048,-0.0569683503752895,-3.66832741685689,-0.930987357553416,-0.909267165678022,0.15017297018665,-0.105235927772945,0.294503004594361,-0.501483757638509,1.19740954994774,0.486586104494321,0.263506551521668,1.81813853949112,-0.31415773079416,-0.353162496322914,-290.658745319295
-0.731397322804377,-1.48173815455759,0.619902788739877,0.055673136026435,-0.3965965721584,-0.185944028361422,-0.633931585266701,-0.405832678818698,-0.438163534654728,2.36472326976424,1.77574223290809,-0.306789667610368,-0.98323901897784,-1.60630327078765,0.739739076891984,0.122250437932283,-0.0379730097118681,-2.91818740438767,-1.03261523224331,-0.928602078236808,0.263417157213838,-0.357585117925351,0.235003021878031,-0.51762638879855,0.5675832843431,0.232858378270189,0.44075064282167,1.33034446767757,-0.045323224229024,-0.269717457993476,-287.700437858546
-0.814664582912519,-1.50809199726197,0.630882100359477,0.0557157590292344,-0.377490339691102,-0.213797332937944,-0.593877069944458,-0.36878179602632,-0.499047621399407,2.29602817228543,1.78763721503528,-0.306634051507315,-0.969549271441297,-1.57082291922039,0.720130826049867,0.0910635847626906,-0.056853375645096,-2.75464610473184,-1.00423435810952,-0.894341626255577,0.258245782984546,-0.345445185439904,0.247449808850345,-0.523114511128951,0.468685791237107,0.229198709351909,0.446735695380483,1.25962161477204,-0.0103449610230205,-0.263864010325421,-286.810387364517
-0.826867079983774,-1.72589192644843,0.620458186258048,0.0669587605140306,-0.318935184133686,-0.0588786968583206,-0.514370633097888,-0.522858283332277,-0.356021097065139,2.10147842977901,1.72923533037707,-0.660519883337128,-0.889180880568255,-1.42987619497144,0.511456999022857,-0.225552615426777,-0.157820850398896,-2.07083982254213,-0.762223785164653,-0.595270822655104,0.0474961335108133,-0.158590413580415,0.203745950534933,-0.564833644426237,0.25625111922526,0.357815910709903,0.300749513281637,1.0715142801664,0.0368472049998133,-0.252378508384899,-286.755491834179
-0.9109347640247,-1.65343140936289,0.586653658059916,0.0721576831812063,-0.325142688067092,0.0528653058838967,-0.459368288139436,-0.436734042994826,-0.419494921161709,2.15050477408948,1.58291844253303,-0.84917890897537,-0.85429461365069,-1.37641951064076,0.487468575892014,-0.149011602045454,-0.12105868485899,-1.81595569069458,-0.711143922218885,-0.332532308780199,0.0192157445943828,-0.200987794338748,-0.0689018244737069,-0.601979089666167,0.420887169247749,0.2281933762607,0.216860067296144,1.05976525231281,-0.0453587444395093,-0.280060744476356,-286.528172178906
-0.927708924791145,-1.66782642490496,0.528001900446752,0.0764847970430445,-0.328543593450725,0.0914610357219423,-0.371835376388378,-0.273433663036296,-0.337234064240167,2.0635144518953,1.68628386880698,-0.766041141536765,-0.864779163382833,-1.37475187823035,0.559231151639623,0.0218237398825954,-0.0451505632891853,-1.80713952904203,-0.615971583538273,-0.424085015290837,-0.0520380879296497,-0.289003299602728,-0.0441504154788087,-0.640654898447141,0.6583402287495,0.176227427805918,0.151430588771328,1.12368921888091,-0.138493358143112,-0.356068598925038,-285.7328530314
-0.939604131305166,-1.64148780525807,0.412291183216237,0.075272219572762,-0.349518440328262,0.0151130681175578,-0.401737146407448,-0.0543386568318711,-0.318664909826983,2.16627184388596,1.68260953281774,-0.644546245594111,-0.892533244581719,-1.42577602286983,0.667804839389859,0.127653185681112,-0.124810691936882,-2.02211066953099,-0.726202298289878,-0.474797115157778,-0.0943077337724447,-0.295130346231946,0.176964868346515,-0.689765750922474,0.800247829904019,0.305055024795075,0.109853612210132,1.03767353059806,-0.19370973540331,-0.255786465024536,-285.299247056303
