"asc_ruta2","asc_ruta3","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","b_ACC_0_ruta1","b_ACC_0_ruta2","b_ACC_0_ruta3","b_ACC_0_rutaEC","b_ACC_1_ruta1","b_ACC_1_ruta2","b_ACC_1_ruta3","b_ACC_1_rutaEC","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","b_CSECO","b_Hpico","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","b_EdBasica","b_Htrab_2","b_Htrab_3","b_Htrab_4","b_Exp_2","b_Exp_3","b_Exp_4","b_Exp_5","logLike"
-0.864150660767937,-2.06727575527797,2.04308540931436,0.0816665037847402,-0.305991390424901,0.487451609753041,-0.4637244254859,-1.86477546606604,-0.667979281560195,-1.02659740255153,0.124247921025063,0.445234085782355,-0.284539355819856,-0.31918856561661,0.467117865465504,0.146109821419362,-1.59280288846105,-0.569164766605623,0.846751618026763,0.45133993590214,-1.42873350983109,-0.737683053178883,1.03123251093385,0.201229568084875,-1.72410397662011,-0.0803160586713058,0.195960952422704,0.168573928914762,-0.574756448753927,2.01613998728079,0.662651647109982,1.43779625860653,1.17494011732473,1.29283371321245,0.971170884988798,0.597811055989732,0.0819978395993902,-0.714245699368788,-0.403983970547884,-0.182892912141612,0.657854148525067,-0.0713847678854616,-0.0102489364836315,-2.48921347803457,-1.37480883663175,-0.942593437712884,-0.0075918686019274,-0.220991660185346,0.254290516495342,1.09772036100604,0.932619997490602,0.623146211446714,0.865593295441401,-0.395350273449317,-0.211939424089107,-0.798262101636682,-275.565022627069
-0.85673974723449,-2.08177266773132,2.00754068897649,0.0808581005413719,-0.307770305114822,0.458170516567524,-0.580972738122078,-1.60289200298484,-0.946051070811115,-1.11944940854627,0.18093992133034,0.295800854542731,-0.174668353593088,-0.403049902203136,0.59410351103907,0.0702084246322126,-1.59277563927586,-0.632773752321201,0.95473197508446,0.437249458580736,-1.46274032675391,-0.992556882650031,1.01023979298945,0.291932140698346,-1.59036163495961,0.0277717649970701,0.184770169430999,0.15702503770764,-0.632391951956137,2.13903521888647,0.669393301084908,1.40082205307688,1.03245821881632,1.36172515623263,1.11843177731583,0.770728348789208,0.0594364739334385,-0.728478306262471,-0.360107908828216,-0.297207021584482,0.575599068806314,-0.0851042526498701,-0.0137675700302261,-2.21094627785388,-0.919738293647108,-0.663803290712348,-0.0441531457812476,-0.247969122541953,0.187757592562737,1.20654348380532,0.87091334879018,0.546960705583226,0.766627688360352,-0.433155607978714,-0.330671559574516,-0.662580413442321,-274.406600533499
-0.843309836825321,-2.10345418712846,1.94470953129329,0.0857624528170633,-0.32175178540037,0.277466636901386,-0.654397206622411,-1.37632103937405,-1.07777310371952,-1.22854172710663,0.262609896874327,0.389165116438992,-0.180562111759085,-0.471694943331428,0.688312903789774,-0.00384667047100469,-1.54938687036073,-0.811004534705382,1.0360821242443,0.439243050839077,-1.3657395117498,-0.91178067590192,1.02022052104525,0.364242252500765,-1.73183528185587,-0.131429572874668,0.253933908328759,0.143821709371707,-0.669892318260072,2.27283004455994,0.665183831879703,1.43384365193286,0.945143350394905,1.496330816315,1.31471646476496,0.923225201976183,-0.0527020678595789,-0.747902156526337,-0.354033214931073,-0.108578955147236,0.555463625114799,-0.0366909969209997,-0.148172577468127,-2.07127463047774,-0.442875410069574,-0.436053862295368,0.0855829871182179,-0.361090747734143,0.0555670131543901,1.33351267728532,0.722287927628596,0.525209420455616,0.767758230431511,-0.512578568994115,-0.413642410152773,-0.577591853420136,-274.330867995075
-0.87220824948769,-2.14137786165074,1.92075957878215,0.0907093720202472,-0.334692635393153,0.137493172127687,-0.63474540937314,-1.31544197003829,-0.9820957837317,-1.30694034706512,0.294727965380365,0.447828293122628,-0.149163788365319,-0.391782248324031,0.707866890075725,-0.0299749561608703,-1.56371946203964,-0.798209084301465,1.10635878788584,0.453256625172296,-1.51557739029946,-0.920315506887142,1.02761543443475,0.381784994411236,-1.67276197286236,-0.392047927107312,0.325175092008555,0.12947716419535,-0.672112766310739,2.34313601747365,0.672739944762786,1.51868244713062,0.935492585756745,1.67345030165535,1.41885022218151,0.994844545919616,-0.154578813567072,-0.652652440306067,-0.33452513565632,-0.0442612682607429,0.565190447950115,-0.0173412334292353,-0.171865336901853,-2.04260266195055,-0.404683677654876,-0.337786001860932,0.0983842977453987,-0.394831431302265,0.135894506101443,1.38761295638849,0.763090015213392,0.431804053721624,0.9144945783132,-0.586981992641346,-0.408861655992566,-0.630159758243687,-273.72957956801
-0.97154274045696,-2.20904350268769,1.93800400933674,0.0887031215351898,-0.343298551881796,0.0311440077692326,-0.610650167549371,-1.3360397777041,-0.794496231359314,-1.40447370413776,0.297036612196474,0.34539559501423,0.0109446979672894,-0.275829633158961,0.698403044692821,-0.0298104609565672,-1.6183535149653,-0.83316489644026,1.13874887884633,0.486198271567826,-1.44021973545866,-0.990866251065608,1.11918062395663,0.361670227786898,-1.80305485048101,-0.563118752511243,0.393240700314284,0.116686562252813,-0.729467925336653,2.43950021529442,0.707361031076093,1.67361521688158,0.964321403657199,1.92675273255248,1.48210198950494,1.0633722915241,-0.262627238301589,-0.59001269956027,-0.356229395540224,-0.104665091584129,0.608085780029712,-0.0115698666617482,-0.118109503402953,-2.10485371319704,-0.563433726753157,-0.345113299885517,0.0406424296654599,-0.263225324209605,0.226899810104059,1.37930871147868,0.761771168233432,0.49825201700482,1.07134548834643,-0.643734737302893,-0.414563350579172,-0.619950992575221,-273.386422965977
-1.08652937955936,-2.28337616609984,2.02081375216603,0.08841448127365,-0.347899428335233,0.0578666599705142,-0.601518761574268,-1.40808876610392,-0.668321371200205,-1.4829011381071,0.271023851717114,0.383949117783872,-0.0281325117122133,-0.310744927612833,0.682000106654952,-0.0029548064817852,-1.64711504768294,-0.871865653837858,1.20786647740849,0.521557286817185,-1.47333368772911,-1.08657802660694,1.19172621934904,0.294532969490321,-1.76485981746204,-0.503639337462065,0.408494386218299,0.116599571518028,-0.831747935739213,2.53428445603837,0.787167254562178,1.81020923414397,0.942033566607131,2.10328123889767,1.46493806960818,1.11641797782174,-0.245311019217066,-0.578175757626912,-0.325636227175831,-0.102662892960598,0.672557437476431,-6.44650242453814e-05,-0.105676443899986,-2.23524017923459,-0.706064742799928,-0.508105694673583,0.0817269909916844,-0.201107103648796,0.153813613669856,1.33920051352567,0.833324777922011,0.590419203658307,1.11503279279318,-0.6041402076176,-0.369239892681135,-0.623431154810789,-272.742831770788
-1.19435963322318,-2.34671053624066,2.17385524539989,0.082754592435694,-0.346864319635557,0.188817515451373,-0.608666375201164,-1.49337938182894,-0.647871410296734,-1.58784769098248,0.252796473945864,0.339814307233588,0.000948544445240913,-0.514956945239183,0.684370380181088,0.0440087674259521,-1.64830544502462,-0.90430945610261,1.30330855589762,0.539510397182495,-1.58345705643141,-1.08739254348488,1.28692195559412,0.238948188038581,-1.77071467047161,-0.51730387458101,0.464342992181369,0.125969728723869,-0.860556696321337,2.67122127682544,0.941714990083037,2.00902706074581,0.924243650573647,2.21039312610852,1.45258441264197,1.21322066838465,-0.200584240774792,-0.638450665976095,-0.39474489340113,-0.0661242058379015,0.693562466166052,0.0269637333743851,-0.100222048391115,-2.45448192680197,-0.920357661031348,-0.615220589613152,0.0542869856254006,-0.23617809778331,0.165364001709954,1.3343718081532,0.992750268129777,0.647411077392511,1.00664620260441,-0.494927385753308,-0.272951606916684,-0.546673932428397,-272.415644857846
-1.26701627375189,-2.39818698856332,2.36274174485437,0.0787352598386801,-0.344875333398854,0.333811942701184,-0.553225995529606,-1.54818763449032,-0.723627448798036,-1.70273371486769,0.233870821140415,0.347376273915747,-0.0143093078650202,-0.731709227268945,0.719084328711148,0.094839684317806,-1.7057702413058,-0.930355422368962,1.35836418639308,0.501293969266287,-1.66468133340905,-1.12660518179901,1.4007766583869,0.240071354086091,-1.80480302126027,-0.599255560904612,0.5805849610471,0.136503965821656,-0.797450326685642,2.84056395776408,1.11085636305706,2.2116610106321,0.924572740472858,2.22596533785929,1.48904709752786,1.35245801214593,-0.145869972314885,-0.642765201407938,-0.32356201043168,-0.0868405005903999,0.620071476901814,0.0210513961199447,-0.0727164160921177,-2.58658075886185,-0.960233983087753,-0.829652691027568,0.0167549878610794,-0.146356308602187,0.225488272676371,1.40765948935132,1.06491684471777,0.752761786564357,0.970266609064474,-0.36284680207028,-0.179462525817429,-0.600446990870011,-272.344561235143
-1.30355029933815,-2.42547946646444,2.48836866293708,0.0756857755686097,-0.349605842505094,0.409506555619122,-0.483521821211023,-1.54635726050113,-0.77654554869058,-1.793539895793,0.233525865023569,0.382525256857731,-0.0697038394216743,-0.823530355570038,0.779245327306041,0.120420939262666,-1.80912691625478,-1.00073277174632,1.37078613735427,0.442375984641749,-1.64518699023166,-1.23609239251869,1.45598035266502,0.261795330250453,-1.79084303759173,-0.661949128598212,0.708229013751076,0.144353483236501,-0.769007397271153,2.96645236066007,1.2011426085544,2.33629215885219,0.92384868832491,2.23131068787258,1.57011950263752,1.49333034335244,-0.132805623006273,-0.646615979809969,-0.340846505461542,-0.101839862888552,0.529541659925791,0.00393714889612461,-0.0766380302716807,-2.57661645036882,-1.07178051093135,-0.832619205164638,0.0337213491631744,-0.161059416470255,0.119157399620329,1.49408214624279,1.11012330444106,0.791563744388022,1.00236622876266,-0.326614405076356,-0.21740517699292,-0.606898631524476,-272.05565900431
-1.35261074726238,-2.46432163295016,2.55223043141634,0.0760132175482809,-0.351319891261341,0.387686382451486,-0.506030046245328,-1.50119749226814,-0.746040076049014,-1.86791741053743,0.247484375970073,0.379467785590701,-0.0713235371225329,-0.899500343920949,0.851220719532773,0.113858443474014,-1.84182153088364,-1.09094424493715,1.40267110623025,0.401544977422003,-1.63864750400866,-1.27159746403921,1.43877684344139,0.262532462063593,-1.77679520110126,-0.667264845911868,0.78870299519952,0.135395020053004,-0.783730454207671,3.03930206669348,1.21897938232892,2.37970069292623,0.88486224351876,2.33107103045311,1.65559473142337,1.62705234321367,-0.124011961409883,-0.653745648249483,-0.345460747996322,-0.105039538829141,0.589962300918635,-0.0386711129601249,-0.0816158831917252,-2.50440873161209,-1.04349093999321,-0.812551746418069,0.0242352222347926,-0.207027728832689,0.119004983438391,1.5502999813205,1.11824537354181,0.823077441459312,1.03987040249024,-0.380865074989589,-0.253619753378184,-0.613782860524809,-271.737393437238
