"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"b_SI_CAMFD",-0.003389855535197,0.00085316181300436,0.00438766509723959,-0.0752526942772962,0.0336146585096662,-0.00225720798381375,-0.00141367147070257,0.00212193330037552,-0.0132454885254232,-0.000612303059168807,0.0718637615379229,-0.00313908078658314,0.00719690081696802,0.0107519789333631,0.0108008612129373,-0.00155209200252494,0.00651970590838828,0.00496848684275361,-0.00761371637396242,0.00118468732861162,-0.0184843902565045,0.00692980189275442,0.0109196030909734,-0.0109354678945083,0.00824794760078161,0.00523844527119756,0.00809177146218469,0.0109427967196556,0.00226064931321566,0.00901817655278911,0.00729512808229762,0.00666989348846423,-0.000765488610928162,-0.00165091909766496,0.0010153977693368,9.47012504740835e-05,0.00557859233902125,-0.00240847967896459,-0.015406047695067,-0.0280009235148233,0.0024272352838689,0.0143130651697397,0.0265316534812823,0.0247940316544571,0.000648536238923292,-0.00696672939266456,-0.0115336646304036,-0.0201042941036351,0.00364642222118676,0.00728155364858147,0.0136396804620615,0.0196305779226915
"b_SI_PANEL",-0.00375668727124514,-0.00704151742539804,-0.00175241155787787,0.0147483879453001,0.00290690831826239,-0.00166388568499486,-0.00312901945525218,-0.00326402602117645,-0.00524898000005971,-0.0102913634504021,-0.00313908078658314,0.033451824118694,-0.00566926894200066,-0.00499542647574603,-0.00269597571466092,0.000528776808164571,-0.00329417233217465,0.00100803575988909,-0.00175379893788509,-0.00136415829441707,0.00377873498308853,0.00225760016580719,0.00795448047785685,0.00467795967935814,-0.000280091773327502,0.00153456515574408,-0.00575188187597558,-0.00364123687501384,-0.000574507882569049,-0.00047035519032095,4.00901288628528e-05,0.00308791219557951,-0.000784598442041843,-0.00205848552909534,-0.00239447067191595,-0.000921376238858115,-0.00237662270961791,0.000344510961577037,0.00565814828665903,0.00959357032242646,-0.000957446086663873,0.0013324709886634,-0.000281702376132811,0.00873635234654085,-0.00426021635762045,-0.00607237827661789,-0.00841347790058964,-0.00306676291809007,-0.00370349510511412,-0.00750183795142697,-0.00342155704834582,-0.00132926909849317
"b_SI_ZER",0.00364177513363465,-0.000160296863107415,0.0125016539989567,-0.00627060218413495,-0.00648013542609988,0.00647189988241716,0.00640910348181053,6.81603780541294e-05,-0.0065759190164443,0.00878402258363568,0.00719690081696801,-0.00566926894200066,0.0566706920105958,-0.00686960418435784,3.61143878027365e-05,-0.00337741405655193,8.2562947572889e-05,0.000799486908910079,-0.00517222445599936,0.00371315107668831,-0.0241415528647889,0.000816845908310483,0.0183657681133347,-0.00144739359589291,0.00484615002488585,0.00526332448258223,0.0103254357910003,0.00651661175250333,-0.00402963659850617,0.000791444010490831,0.0128892164759111,0.0191307947779923,0.000415832187654247,0.00246831205046827,0.00148323298866203,-0.000241628618085524,0.00411343512172592,-0.0142654707078097,-0.0250580558364168,-0.0468779750485335,0.000405398976622095,0.00442811449401662,0.00909773018584222,0.0105191992828177,-0.00379750921669666,-0.00918864727973029,-0.014057973160776,-0.0230260349100624,0.00314331738923472,0.00820439775926859,0.00865891166453105,0.0106046389479784
"b_Si_MTRP",0.0099920440063314,0.0253453018823495,0.00664302253173336,-0.0723603751645184,-0.0186038432874117,-0.0104693490899765,0.00569050737003384,-0.00153582595151572,0.00789788073140458,-0.00868575016841639,0.0107519789333631,-0.00499542647574604,-0.00686960418435784,0.109967900055971,0.000556218590828692,-0.00300244263186476,0.00327999514766992,-0.00564952197157016,-0.00555533014302247,-0.0035099175636005,0.00123532989026562,0.00990704032894406,-0.00233104288899917,0.00452430788411186,-0.0106177887778984,0.000629860543582172,-0.00455998899906047,0.00607737300363122,-0.00905041502271685,-0.00114752515317519,-0.000371121414902604,0.00798476394799366,-0.00341863535545097,0.00138087247048522,0.000537205663917368,0.00258903577721145,-0.00134471574322856,0.000350050829866932,-0.00284168346994451,0.00714669286106972,-0.00106706322704191,0.0160459455116819,0.0282649920361817,0.0290258154357709,0.00696622289178671,0.00605490489852686,0.00557319004958426,0.0134217785544425,0.00088319020437872,-0.00246877351654867,-0.00991209685919493,-0.0101704976906328
"lambda1",-0.00185392459043174,-0.000876479332684848,0.0385443834293895,-0.0302029971947359,0.0584812470325225,-0.0110261755073636,-0.00687351791689941,0.00244802568259629,0.000903343775891116,0.0252130655029468,0.0108008612129373,-0.00269597571466092,3.61143878027369e-05,0.000556218590828685,0.0805473946441969,0.00142357837298115,0.054086524702205,-0.00406374468657392,-0.00469696763311387,0.00505200424149574,-0.0400348401533862,0.00695981840021704,-0.0286885053762988,0.0248475497460836,0.00233812188802139,0.00580112096715893,0.0288650272424789,0.0342660346117853,0.00301126161429236,0.00242124697480823,0.00971114157741834,0.0188839901604667,-0.000804665482958976,-0.00221596177583808,-0.000700937217304623,-0.00148526177322484,0.00868557261606976,-0.0130532710474302,-0.0333149016145018,-0.0610991975214098,0.0146858399938635,0.0227404757211578,0.0393812359640507,0.0397727521625603,0.0207381125349149,0.0271792758027474,0.0338645926007111,0.054309535669177,0.00120988777965931,-0.00719387858242348,-0.0336753663071376,-0.0481306758503335
"lambda2",0.00060357829504366,0.00198485573581351,-0.00497481728108748,-0.00191564679262788,-0.00303467404241695,-0.00107856624413777,0.00200703874327302,-0.00323808469872734,0.00536268785662046,0.00424900487499565,-0.00155209200252493,0.000528776808164569,-0.00337741405655193,-0.00300244263186476,0.00142357837298115,0.0345275922182456,0.0283534732921068,0.00918100524442522,-0.00572196352502487,0.000188103165141183,-3.04791192290778e-05,0.00378439555704748,-0.00256852657087845,-0.0171351540621564,0.00807296099830884,8.60212509491836e-05,-0.00847521723712647,0.000111513067170426,-0.000116315949915155,0.000764439562940565,0.00363765847588228,0.0134858865479562,0.00110695666222825,-0.000309674782518366,0.00172172939326785,0.00162586117917209,0.00454347517777652,0.00604053455189908,0.00376516018719138,0.0118794270241855,0.00721296308669179,0.00810944855963677,0.0114675570181165,0.0147681325920635,0.00554748874191715,0.000694858969869279,-0.000749165132485838,0.00233300585077124,0.00777341121794422,0.0119935287711334,0.0226241288850692,0.0294412143284902
"lambda3",0.00312750081804521,0.00603850740351361,0.0288452327151047,-0.0272718212505516,0.0579347286705903,-0.00923775827955844,-0.00519664475836013,-0.00154803537374915,0.00613666450479448,0.0284363390552112,0.00651970590838827,-0.00329417233217465,8.25629475728898e-05,0.00327999514766991,0.0540865247022051,0.0283534732921068,0.0760942225506273,0.00534387913270339,-0.00417272613130339,0.0024626588020688,-0.0478050668864479,0.00691956975172878,-0.0201372781692545,0.00347689197741128,0.00976365569340515,0.00891802775231868,0.0251613084882615,0.0361300201992486,0.00541657486078882,0.00571866437624648,0.0145732539418236,0.0293288707291877,-0.000533693116809599,-0.00211924035627878,0.000566659582936126,0.00024897015179292,0.0161131615573291,-0.00937858549678875,-0.0355425610193588,-0.056033214776557,0.0192070680459491,0.0300285098811475,0.0546555178948358,0.0578657991896259,0.0186682967379311,0.0191202857411798,0.0219201533821507,0.0364860059388814,0.00682940032635143,0.00442243717915112,-0.00408470126199656,-0.00363301830079722
"zeta_PrPer",-0.00093622444766049,-0.00173574274218284,-0.00397708732099347,-0.0120355511836777,-0.00441320649622536,0.00364879292968446,0.00414522367357414,-0.00472426315820532,-0.000738002922023696,0.00336747132535597,0.0049684868427536,0.00100803575988909,0.000799486908910071,-0.00564952197157016,-0.0040637446865739,0.00918100524442521,0.00534387913270338,0.171467209255061,0.0435926879748351,0.0184824726425246,-0.096505149704816,0.0193336839404428,0.100026443989518,-0.0285939556941723,0.136226957890421,0.0103225464489818,-0.0595193039800383,-0.116585049628873,0.0434560064636746,0.0317965423701683,0.0220436213348181,0.0143263745872886,-0.00146844118880741,-0.0088194134429266,-0.0138199474881415,-0.0172435293246987,0.0289193611059746,-0.0310424227403598,-0.0595813861436325,-0.115467119552385,0.0427656920643328,0.06175781756153,0.0731015273155247,0.0782060945375122,-0.0170369496284887,-0.0421214936773182,-0.0710238438861094,-0.127594903878519,0.0238122175522689,0.0468072900485115,0.0789724569660577,0.0922661293462266
"zeta_AmbTr",-0.0148617673219098,-0.0121174882030686,-0.0164337491896089,0.00796538923305757,-0.0257170149323989,-0.00396267570375864,-0.00441881270457292,0.00119682503506991,-0.00304669499098529,-0.0130521553056695,-0.00761371637396242,-0.00175379893788509,-0.00517222445599936,-0.00555533014302247,-0.00469696763311388,-0.00572196352502487,-0.00417272613130338,0.0435926879748351,0.120309291720713,0.00258491461764147,-0.0033508983550243,0.00715417461224587,-0.00402313906130725,-0.00137014334737965,0.0233467232150225,0.0102289215302996,0.0141335633461141,0.0070998234670356,0.0611468029881918,-0.00304339345402327,-0.0569544032217039,-0.116882204640299,0.000845691642814011,-0.0041780210004915,-0.00966919786771571,-0.0124190853402589,-0.000199580066203397,0.000892987743142365,-0.0169560152898776,-0.0264008946016698,0.00729832110600128,0.0119733248768572,0.00757615065845789,0.000179820843775341,-0.00214854643610538,0.00592620448822652,0.00246399809894627,0.00778007693165802,-0.000931438026856396,0.00220537038368643,0.0100001369813482,0.0173028019472625
"zeta_ComVrb",0.00219768646983825,0.0023882293773591,0.00302280756045248,0.00649047864862228,-0.00480114344896849,0.000966182278927164,-0.00445850435775075,-0.00125297821967496,0.00458191453714157,0.0102814665194444,0.00118468732861162,-0.00136415829441707,0.00371315107668831,-0.0035099175636005,0.00505200424149575,0.00018810316514118,0.0024626588020688,0.0184824726425246,0.00258491461764147,0.0217527257717334,-0.0508408717097262,0.00986388836664506,0.0216566079446352,-0.000244825648519629,0.0265322165568383,0.0143898956207688,0.0121966144794628,0.0255357477819721,0.0118815577258375,0.0130497769342161,0.0158673805411233,0.0162421717927848,-0.00587911469993318,-0.00728350358455405,-0.00862054787302731,-0.0100152564442974,0.0203550391029517,-0.0160995303910749,-0.0398093269432372,-0.0627159205392684,0.0216968580439838,0.0289094700003563,0.0315836781440369,0.0314812319483684,0.00613285460406179,0.000874803126786872,-0.00352786631228633,-0.0140085814745738,0.0130742322909533,0.0154305962301596,0.019201394202935,0.0211972896586975
