"","asc_ruta1","asc_ruta2","asc_ruta4","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"b_SI_CAMFD",-0.0682116054621315,-0.00531396667758479,0.033563156378978,-0.0819183651543107,-0.0928815512859427,0.0650956698811814,0.0365577148961815,-0.0698127436644995,-0.0293377386064298,-0.0150804267860613,1,-0.0744904684548521,0.116312634953372,0.0849475074101162,0.0266865523253872,-0.0460588416686733,-0.0400899102607038,-0.00317169726852894,0.000286185540850709,-0.0015651642452628,0.00854020895398508,-0.0019525944691961,-0.00441206747580969,0.00385661226585938,-0.00370946640748331,-0.00114767405321094,0.000529181692709727,0.00070826735287091,-0.00156381163485442,-0.00208942103120687,-0.00192881953023845,-0.00165341732192715,0.00041906536938362,0.000807196734985011,0.000962092201877932,0.00096096811914332,-0.00284557673496011,0.00483538084157921,0.00602945191028912,0.00665940992975397,-0.00311808066429294,-0.00464698422238176,-0.00426119121961546,-0.00362686383307617,0.00199456841329228,0.0030377784852184,0.00361523979820758,0.00395166375699927,-0.00256384012029968,-0.00373000775809317,-0.00445799798908977,-0.00435114115190006
"b_SI_PANEL",0.0143288971628727,0.00731507301655773,0.0475955600770855,0.0136739654062014,0.0375349422689222,-0.000776195515843612,-0.0126601749517652,-0.0410180460921525,-0.0470990542753764,0.0436376580407821,-0.0744904684548521,1,0.0176552053952089,-0.0714326749646046,-0.0507620195311796,0.0444078679863654,-0.0308207657263507,0.00531313094045434,-0.00346180705055873,0.00368423437363113,0.00592719729753856,-0.0014907375241882,0.00651855424497583,-0.00689021648287771,0.00347406603607805,-0.00360862903835144,-0.00544150589847951,-0.00438210905409321,-0.00304703739820796,-0.00126636731256502,0.000908597663234759,0.00158372393586312,0.000678800800130924,0.000334945397953806,-0.000441208120887271,-0.000887021613786631,-0.00199063825292825,0.00400102573527124,0.00493894651846838,0.00486361605553465,-0.00150216119718554,-0.00291016156156538,-0.00254878166489122,-0.00177481254759705,-0.0038694731074635,-0.00539305950440191,-0.00616908562586249,-0.00633790102716908,0.00370547984146692,0.00574985262423963,0.00701154938848773,0.00690747478091962
"b_SI_ZER",-0.0544401144037331,-0.0162648308042911,0.0502448268211763,-0.113583022476101,-0.0943121442903047,0.0728421637172991,0.0983605792462067,-0.0629582804186072,-0.0156539478882889,-0.0141456584076026,0.116312634953372,0.0176552053952089,1,-0.035027817771952,0.00900649187516615,-0.0166174698931549,0.00491278716170239,-0.0012865472861211,-0.000150253870384118,-0.00310030509306114,-0.000221262216886107,-0.000644317158678063,0.00249950031358538,-0.00346974280119643,-0.000638504084138163,0.000802779563873981,0.000986955494475713,0.000716819033264823,0.000348029303103394,0.00045089865048266,0.000153330151390048,1.0729460283003e-05,-0.000179459390481695,0.000321392884029411,0.000983606410139706,0.00122996836597343,-0.000723980526040666,-0.00102055673018077,-0.000657538742262747,-0.000404223972680911,-0.00140149014645347,-0.00116051749431217,-0.000922101226081973,-0.000851959917261479,-0.00113679375898063,-0.00183838059009937,-0.00237386279131263,-0.00285649617096306,0.0021827303702322,0.00297149545167311,0.00293360345166554,0.00292922789800538
"b_Si_MTRP",0.00113713304820268,0.0764482717635857,0.02527871262294,-0.0685015741607516,-0.109428772343733,-0.0664046639071667,0.0197373190273076,-0.119851292590096,0.0445289752468351,-0.0310520901085804,0.0849475074101162,-0.0714326749646046,-0.035027817771952,1,0.0376194578128473,-0.0725510463958026,0.0113458211547843,-0.00472964276034807,0.00283658190222156,0.00153367118073729,-0.00823495043029016,0.00588003733448603,-0.00265245687597622,0.00343043773288323,-0.00230875639533123,0.00511628833528277,0.00619146778355321,0.00424138026038075,0.00364571519082849,0.00274700886296003,0.000478478943184619,-0.000522562415130447,-0.000481782164815233,-0.00104803485952608,-0.0013860293117493,-0.00137533943100241,0.00451586051211803,-0.00494533376819788,-0.00625436658324083,-0.00636473978119547,0.00502636824270157,0.0067563475140694,0.00660802758193935,0.00595091508894827,0.00171958803515396,0.00235848296672949,0.00280862030299497,0.00260818964295908,-0.00157498414064865,-0.00254471567705516,-0.00352840757935553,-0.00350851323427997
"lambda1",0.020526337934584,0.00441156649571482,0.293627547585171,0.0230784178207329,0.00613483193407965,-0.14227661856035,-0.114420990208194,0.00891103907673741,0.0710218329085883,-0.0449349190070195,0.0266865523253872,-0.0507620195311796,0.00900649187516615,0.0376194578128473,1,0.0925104306701712,0.677701321889029,-0.00702811039412288,-0.00787784879483843,-0.00890842950048888,-0.111798490679562,0.0606630201487126,-0.0912064895442263,0.0561855976801772,0.0231419497383143,0.0497076389691753,0.039257626412121,0.0307395929873017,0.0295749813419048,0.0429521103233385,0.0400512916863196,0.0352177433755771,-0.0104960232200233,-0.0131571173572468,-0.0108369489046581,-0.00835797755372472,0.054570432434044,-0.0654502642535336,-0.0809685400811968,-0.0852397528005666,0.0605069779985,0.0862405523439486,0.0816095456479517,0.0700034073616501,0.0789928424537075,0.0876997791569299,0.0894582362689225,0.0805799461106442,-0.00535922904346071,-0.0370824525160004,-0.0685029755886929,-0.0682607287209218
"lambda2",0.00387331562311253,0.0044645366946092,-0.089985351360602,0.00892336310546553,-0.0363887552810741,0.0061748386301414,0.0073206161311427,-0.0769565532092035,0.096451835492861,0.0436718176525123,-0.0460588416686733,0.0444078679863654,-0.0166174698931549,-0.0725510463958026,0.0925104306701712,1,0.599076647308495,0.0631216059258772,-0.0385373125587989,-0.0105606776571909,-0.0726069129972396,0.0384102424772562,-0.00136878813141267,-0.0140886030737908,0.067292627036061,-0.00184073726081497,-0.0319078339639464,-0.0207188196558209,-0.00290913836876516,0.0224904028938404,0.0427212419994823,0.0475047348928415,-0.0081681244249315,-0.00885279055520968,-0.00551160277620489,-0.00298699944264378,0.0354524575775866,-0.0378848090020644,-0.0501942910842036,-0.0566380689002886,0.0455602956550517,0.0606894338011682,0.0554564661675635,0.0477533850804252,0.0223930508073075,0.0159918375668317,0.00970064569036106,0.003454625085225,0.0272629223923322,0.024345382819894,0.0166687387907352,0.0153347775889034
"lambda3",0.0248937811716674,0.0146702774743461,0.148128173858886,0.0335472734152666,-0.0214139219154654,-0.114968048901898,-0.122477640515952,-0.055813757817255,0.110471155636091,-0.0124616004616366,-0.0400899102607038,-0.0308207657263507,0.00491278716170239,0.0113458211547843,0.677701321889029,0.599076647308495,1,0.0339693766801441,-0.0199476173498181,-0.00538782169157974,-0.172813128647305,0.0821761303318116,-0.0461091840919021,0.0221241362770646,0.0599106916987332,0.0440905293402929,0.0177525602006993,0.0142530167088516,0.0286577895387427,0.0508212469845703,0.0560382597091341,0.0536240682250425,-0.0137639673690374,-0.0173249399054012,-0.0137468754776562,-0.0102454600417713,0.0757034915392355,-0.101145558688501,-0.125165089255998,-0.13293020761419,0.0883319314541116,0.124796474245247,0.116659876607236,0.100540646701356,0.0576495502650981,0.0571631453822212,0.0536261766971604,0.044363153336402,0.0169367938886393,-0.00128525231923247,-0.0245169256927048,-0.0251128364554026
"zeta_PrPer",0.00129398823057452,0.000834108470780519,-0.00746917407125567,0.00406146186717257,-0.00243069385134899,0.00136426881811837,3.22646277028512e-05,-0.00969507208454047,0.00393528008427298,0.00236680326733701,-0.00317169726852894,0.00531313094045434,-0.0012865472861211,-0.00472964276034807,-0.00702811039412288,0.0631216059258772,0.0339693766801441,1,-0.114573988484936,0.0957158222064962,-0.191326167867956,0.0633848935284811,0.145585290612784,-0.094716864606389,0.740740679796516,-0.115429898865866,-0.573291384100189,-0.648575593834513,-0.0516927105271824,0.130219962219195,0.214819813164683,0.220066197903074,-0.0038953710766924,-0.0216058375544737,-0.039907059381718,-0.0441585089604677,0.0777108997579712,-0.0894694512684375,-0.10176434207472,-0.125548661174961,0.08382645977233,0.104263872990301,0.112178496554675,0.123254424746638,-0.0740386369563131,-0.100349165291545,-0.11162216202482,-0.118086415637369,0.0675101282650838,0.106373377403318,0.120884510487832,0.120976545762844
"zeta_AmbTr",-0.00134784208590828,-0.000626131771844402,0.00183288019748154,-0.00284879207780282,0.00228619783080724,0.000458580949521177,-0.00136499821853064,0.00437511138027257,-0.00290356732878456,-0.00136078742693758,0.000286185540850709,-0.00346180705055873,-0.000150253870384118,0.00283658190222156,-0.00787784879483843,-0.0385373125587989,-0.0199476173498181,-0.114573988484936,1,-0.0158416254220707,0.0297677586392864,0.0206367867769304,-0.0614031474138123,0.0394381552826924,-0.153768086290363,0.0793964398790915,0.183223562835108,0.145319879236597,0.550869787594311,-0.0564569304516998,-0.523759764203589,-0.613130428818147,0.00161378761341205,0.00638732123130312,0.0114299280776683,0.0131095209437175,-0.0262902788264535,0.0250443694008073,0.0273627943958629,0.0229623466717311,-0.00232141642306393,0.0110673863426054,0.0168667257100028,0.0135728703980781,0.0643505266419968,0.0736161341738881,0.0745015934963787,0.0762811925406798,0.00174017898225526,-0.0136078351194275,-0.0220517893328419,-0.0204918514846123
"zeta_ComVrb",-0.000563687368582357,-0.00036242493527657,-0.00140823722332127,-1.0008626497225e-05,-0.00155190338879857,-0.00525893320729331,-0.0065125578017293,-0.00109092819582579,0.000434117245730858,-0.00170200995133838,-0.0015651642452628,0.00368423437363113,-0.00310030509306114,0.00153367118073729,-0.00890842950048888,-0.0105606776571909,-0.00538782169157974,0.0957158222064962,-0.0158416254220707,1,-0.255209345649488,0.0546637850550457,0.0773322757714392,-0.0217690335320317,0.111487944287903,0.0910287666114364,0.0320597142735367,0.000912475704028149,0.049115947485026,0.102802800655813,0.0998683980513571,0.0887098365752364,0.0603794515186423,-0.0737655377476464,-0.237119609681263,-0.300015724016062,0.145494771126616,-0.125674387696617,-0.158430585609392,-0.174736168835414,0.123183483498135,0.120918591547335,0.115774523639119,0.119946268531473,-0.0138383644960969,-0.0315146726549364,-0.0432110725300995,-0.0534656214153147,0.0446646592851525,0.0550254602141595,0.0488460092812147,0.0456382928719039
"zeta_ComAfec",-0.0063847454558416,-0.00414474209508145,-0.038024283155456,-0.00783661430827055,0.00168357014197111,0.0249604202270778,0.0242735014489288,0.0155575043102689,-0.0172264386557356,0.00751123151549086,0.00854020895398508,0.00592719729753856,-0.000221262216886107,-0.00823495043029016,-0.111798490679562,-0.0726069129972396,-0.172813128647305,-0.191326167867956,0.0297677586392864,-0.255209345649488,1,-0.191671068340804,-0.194793573933644,0.105215760307805,-0.201989442254768,-0.145833139838483,-0.0575843341001259,-0.00827245088364795,-0.0716712348327305,-0.16959728646578,-0.185564099870894,-0.174762754617315,0.0105886073327336,0.0632299984878548,0.112010120562663,0.122634139262537,-0.281714255374513,0.69792985908821,0.773865267350008,0.782325897668257,-0.245019079870071,-0.316659205769149,-0.313227102617846,-0.307225068949321,0.0395227980397922,0.0974038792174583,0.126026682261444,0.145525945208071,-0.138720354482268,-0.164789647097617,-0.155974725202252,-0.150534808648981
"zeta_ConCl",0.0021504710681974,0.00158906202036254,0.0211587945935074,0.000595979498897894,0.00226298555033578,-0.0111331732215927,-0.0104839393190173,-0.00562983091199348,0.00648305833224586,-0.00373914053557511,-0.0019525944691961,-0.0014907375241882,-0.000644317158678063,0.00588003733448603,0.0606630201487126,0.0384102424772562,0.0821761303318116,0.0633848935284811,0.0206367867769304,0.0546637850550457,-0.191671068340804,1,0.0622587739424685,-0.0627408560244723,0.116312394634142,0.098842244412079,0.0364634424036226,0.00351719853640273,0.100797269997807,0.10460993360438,0.0632550761764657,0.0399902548922492,-0.0112353031426033,-0.03145858281962,-0.0481697504446475,-0.0508453121628522,0.156443747778121,-0.130702573738365,-0.171406735887124,-0.176178726893474,0.527165764473575,0.729439862355252,0.773050382350383,0.75373997943916,0.0165260063666164,-0.018052290237789,-0.0360743996234152,-0.0487422353176484,0.0922892055096064,0.0929542641718362,0.0793489288384489,0.0763364294972421
"zeta_Ans",0.000545568510963237,0.00111458582365268,-0.0271764738205799,0.00430534987181738,-0.00165310978131654,0.00752499123978481,0.000221308704694752,-0.0124846694446126,-0.00829624319303847,0.00389243073481603,-0.00441206747580969,0.00651855424497583,0.00249950031358538,-0.00265245687597622,-0.0912064895442263,-0.00136878813141267,-0.0461091840919021,0.145585290612784,-0.0614031474138123,0.0773322757714392,-0.194793573933644,0.0622587739424685,1,-0.377155549675331,0.147770432892573,0.057149661373038,-0.0227940001822334,-0.0507684034382054,0.0153052035487127,0.093549688074082,0.113735847692021,0.106141592014178,-0.00771081977520979,-0.0246335758396137,-0.0397786806613767,-0.0426055910400376,0.0946386872846766,-0.106109131868053,-0.109092870420497,-0.115565755071902,0.0852960226282279,0.102419669088361,0.107776364184865,0.11506687887821,-0.65986895450402,-0.847722002999474,-0.907373290623366,-0.920929713798913,0.19433617638944,0.344601130029859,0.420851550266479,0.416697332534772
"zeta_StrC",-0.000568254303900217,-0.00111904247559895,0.0189731201698038,-0.00342547991962076,0.000664962303547551,-0.00113009750051356,0.00298358183593276,0.0126421530991278,0.00346296236388902,-0.00205420879143945,0.00385661226585938,-0.00689021648287771,-0.00346974280119643,0.00343043773288323,0.0561855976801772,-0.0140886030737908,0.0221241362770646,-0.094716864606389,0.0394381552826924,-0.0217690335320317,0.105215760307805,-0.0627408560244723,-0.377155549675331,1,-0.0582532526465367,0.0346902817114365,0.0798623708903453,0.0760710386953009,0.0375953028876391,0.00365560174850595,-0.0123757054549942,-0.0164113898472403,0.00184113088590744,0.00769915865230043,0.0136005488353836,0.0144577447715802,-0.0393477402776804,0.0843154850286829,0.0830083178236064,0.0804236640719635,-0.0386955583689927,-0.0606659881652734,-0.064471506396151,-0.0645492214217707,0.174478289746045,0.306478083595488,0.374433788516431,0.410857757706925,-0.639536587767834,-0.851740094151049,-0.912569433411889,-0.903545214777664
"tau_PrPer_1",0.00191619952369567,0.00120804990867364,0.00522066681580228,0.00436018408447698,-0.00299714214588106,-0.00321110561601952,-0.00425735175247391,-0.00980375590575229,0.00687608447744366,0.000620819647694817,-0.00370946640748331,0.00347406603607805,-0.000638504084138163,-0.00230875639533123,0.0231419497383143,0.067292627036061,0.0599106916987332,0.740740679796516,-0.153768086290363,0.111487944287903,-0.201989442254768,0.116312394634142,0.147770432892573,-0.0582532526465367,1,0.258607794339562,-0.257359227512633,-0.402644064357569,0.194666600655943,0.390634477953004,0.377902763385913,0.314820435935683,-0.0320660829083383,-0.0664551015530976,-0.093674177491834,-0.0969986787800453,0.238615842108701,-0.0160335123025779,-0.0604967235383004,-0.103398981654373,0.22719092919563,0.21685834074463,0.205339658552533,0.20404063830152,-0.0252081533032161,-0.0697858029467242,-0.091396869741842,-0.107650528621427,0.0980257649612463,0.106924089906852,0.100408705106644,0.0977601216023275
"tau_PrPer_2",0.00142106953644461,0.000862027647098154,0.0216578050626205,0.00159630748629328,-0.000613309825601433,-0.00890901980220677,-0.00993570333877757,-0.0012076955207919,0.00460797607083069,-0.00413602963504805,-0.00114767405321094,-0.00360862903835144,0.000802779563873981,0.00511628833528277,0.0497076389691753,-0.00184073726081497,0.0440905293402929,-0.115429898865866,0.0793964398790915,0.0910287666114364,-0.145833139838483,0.098842244412079,0.057149661373038,0.0346902817114365,0.258607794339562,1,0.515192655924757,0.2757296119326,0.418910755206292,0.458871586705624,0.284126181120729,0.152154962579439,-0.0384417506940495,-0.0732500287208008,-0.0986357915324006,-0.100931677386894,0.269434152273701,0.028255670250895,-0.026128675991425,-0.0622122553598045,0.242903918954093,0.211090457812022,0.18566403195741,0.171507910774211,0.0520571508456629,0.0147121582813585,-0.00520155845615853,-0.0226881239321701,0.0685526283958278,0.0342168263705005,0.0049314453532589,0.000966016156470598
