"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongCD","b_CongEF","b_Sem","b_ACC_1","b_ACC_2","b_SI_CAMFD","b_SI_PANEL","b_SI_ZER","b_Si_MTRP","lambda1","lambda2","lambda3","zeta_PrPer","zeta_AmbTr","zeta_ComVrb","zeta_ComAfec","zeta_ConCl","zeta_Ans","zeta_StrC","tau_PrPer_1","tau_PrPer_2","tau_PrPer_3","tau_PrPer_4","tau_AmbTr_1","tau_AmbTr_2","tau_AmbTr_3","tau_AmbTr_4","tau_ComVrb_1","tau_ComVrb_2","tau_ComVrb_3","tau_ComVrb_4","tau_ComAfec_1","tau_ComAfec_2","tau_ComAfec_3","tau_ComAfec_4","tau_ConCl_1","tau_ConCl_2","tau_ConCl_3","tau_ConCl_4","tau_Ans_1","tau_Ans_2","tau_Ans_3","tau_Ans_4","tau_StrC_1","tau_StrC_2","tau_StrC_3","tau_StrC_4"
"zeta_ComAfec",-0.0509826806541569,-0.0308844067439556,-0.193355605957942,0.0478085604095194,-0.112798540862468,-0.0142375315302686,-0.0203997335309844,0.094800370309672,-0.0106301573167506,-0.347846060354142,-0.119512780481172,0.0358097035765823,-0.17577217961361,0.00645675307456958,-0.244498694325599,-0.000284304320761534,-0.300373961413806,-0.403946773108383,-0.0167446418701425,-0.597475828257465,1,-0.198099688110615,-0.425082040940762,-0.0314402477879169,-0.47194839204578,-0.355261976616172,-0.289353150213992,-0.291200046378299,-0.264070654159252,-0.415000639902339,-0.41726475956131,-0.392013213514158,0.0898449707319141,0.189355647978493,0.324029916658941,0.378912104842096,-0.559869808931038,0.68415508138276,0.802257637969966,0.832873384923257,-0.543927025474807,-0.54475745830232,-0.552211452201333,-0.485754398011514,-0.0570991566436407,0.110537981353563,0.196794100717929,0.25204213375924,-0.282974899649456,-0.225493415362981,-0.188935237403722,-0.176618500733322
"zeta_ConCl",0.0263836360164621,-0.0124426606526847,-0.0256234493161603,0.0233604207123055,-0.0647982165380314,-0.119461289624438,-0.151464744809603,-0.141412536035784,0.00548499030817908,0.0746296422010736,0.0800742131943345,0.0382352522260885,0.0106288851296971,0.0925417692918506,0.0759624550985726,0.0630870486286787,0.0777016216821266,0.144627509737936,0.0638905731691926,0.207165837285656,-0.198099688110615,1,0.106221043477199,-0.1016123854447,0.156356953735235,0.132194948616756,0.0842910034528555,0.0449717456101909,0.120032134726367,0.089034013691295,0.0867556338185769,0.0240863811675702,-0.117357400572961,-0.147984832330966,-0.104696503727578,-0.0951762213376475,0.268643485589164,-0.0576907022577368,-0.183732528077515,-0.187120806826233,0.59231494505302,0.730916799452105,0.727051652534412,0.783005109274613,0.0790860758022331,0.00686544725647444,-0.0132048973909513,-0.00747243134342358,0.161745976894976,0.160000158387159,0.17004557448908,0.166542863499521
"zeta_Ans",0.0590750352238589,0.0679360464797091,-0.0280348554300545,0.01733189005555,0.0265447723219824,0.000405212941980346,0.00153517346235737,-0.0408643567739647,-0.0457663588802721,0.0362670525416695,0.0724839719780321,0.0773912785923151,0.137284005649185,-0.0125085624766515,-0.179875609229459,-0.0245975028537776,-0.129901758725016,0.429847488566052,-0.020639803730847,0.261290545645559,-0.425082040940761,0.106221043477198,1,-0.224369594701545,0.33478714227432,0.13495059513097,-0.0660722722899221,-0.0895448773525577,0.0160970113306183,0.191006350518583,0.223511874183749,0.220993167561556,-0.076576047479563,-0.0955211046803837,-0.18045660137824,-0.189868410553237,0.238041499462749,-0.321382741415301,-0.286043876098664,-0.323107268694471,0.210580392194522,0.249041850224622,0.20500317609346,0.236655128091932,-0.477950169150015,-0.780253292696459,-0.864178444597633,-0.903277669226948,0.177192713635133,0.286977243125378,0.336875241966183,0.378398989181226
"zeta_StrC",0.0137755762218604,-0.00679485309033052,0.0490242238446104,-0.0144246085273036,0.0389180305039961,0.0110277867574935,-0.0339721992001874,0.0433528709294727,-0.0149088806900104,-0.0443522781505254,-0.0744601066802178,0.0466861250368088,-0.0110981003084951,0.0249035031164255,0.159808206324733,-0.168324031225407,0.0230068209605397,-0.126044806878622,-0.00721037211280562,-0.00302999092768627,-0.0314402477879173,-0.101612385444699,-0.224369594701543,1,-0.127077292543888,0.00498648132643373,0.06207353418553,0.10390823106746,0.0156781424904886,-0.0423545763723308,-0.0352982435207546,0.00151765169354438,0.028106464849575,0.0132041830186643,-0.0458951526230901,-0.00774070365897799,-0.0638009608216986,-0.0604377759982758,-0.0931364801126296,-0.013574752924737,-0.052131247235671,-0.0804400462382557,-0.0451951654079972,-0.0532225795738919,-0.0112045526105385,0.152229241861306,0.199281001157475,0.251538710122336,-0.611475277376431,-0.833211349033279,-0.907836131835766,-0.897450552493748
"tau_PrPer_1",0.037561096432295,0.0284658264986975,0.0496964570724883,-0.00873674855881357,0.0258666493204108,0.0141817351252921,0.0307891714358243,-0.0889081918495837,0.0175991785807431,0.0123414657137118,0.069434184463468,-0.00345599312049434,0.0459409546131689,-0.0722576002498422,0.0185919018174411,0.0980465069409241,0.079876501009852,0.742429016462639,0.151900347725681,0.405974830701825,-0.471948392045781,0.156356953735235,0.334787142274321,-0.127077292543889,1,0.478013311029215,0.0583185345878044,-0.101869649695975,0.600800209578792,0.579987032895547,0.401568524908441,0.257848739667376,-0.00907304439088528,-0.113853242456774,-0.158605149921107,-0.228264292925795,0.457204994438078,-0.146874944095731,-0.224373955643495,-0.278434803246264,0.430880645261892,0.40916439467088,0.366111729999193,0.311985365198083,0.110950051530897,-0.0566393783047658,-0.147748201108802,-0.226097859635636,0.36948810808704,0.321428947291564,0.262022063833995,0.2449236311248
"tau_PrPer_2",-0.0360573859383887,0.010772719433667,0.0355091197698947,0.0013036905425919,0.0267106044951889,-0.0370778878989281,-0.019054229585434,-0.0350535895470885,0.00803786158017983,-0.0149087684458806,0.0605848302042341,0.0260130866330282,0.0685484034144323,0.00588881477829124,0.0633727611582129,0.00143528803305561,0.100232701162891,0.0772881234744795,0.0914316840276695,0.302494343643119,-0.355261976616172,0.132194948616756,0.13495059513097,0.00498648132643365,0.478013311029215,1,0.629570682956918,0.387246259466167,0.519861141810416,0.699546946270178,0.435066931997103,0.254794006595318,-0.103006253306999,-0.181277310267235,-0.188527136376644,-0.277956600360366,0.387263953928915,-0.127062010302867,-0.202859450911325,-0.17436911270327,0.363183402394604,0.35095566606965,0.341847415198986,0.314635642983409,0.0643021195904441,0.0192782803817921,-0.00619941535861413,-0.0368686273735008,0.214682926578612,0.161095174998423,0.0875095964902304,0.0903234677216235
"tau_PrPer_3",-0.0620980809206322,-0.0357071108844555,0.0792773658641307,-0.0418808807299573,0.129570500618055,-0.0280482571243371,-0.0824342878983154,0.0326246079817731,0.0446166241103102,0.0488444605862778,0.0671049714331382,-0.069914316526585,0.0964262311690898,-0.0305701021004803,0.226106102131387,-0.101399018714693,0.202779216410312,-0.319545984454952,0.0905874730098876,0.183843599383884,-0.289353150213991,0.084291003452855,-0.066072272289922,0.0620735341855302,0.0583185345878042,0.629570682956918,1,0.656168509129409,0.363072204538846,0.439108026740474,0.423123491645476,0.222629407757473,-0.0780486950017098,-0.0805341985460638,-0.0906465905889621,-0.144499032640725,0.349502661515492,-0.111533564661344,-0.209678843498685,-0.226186834275007,0.250075598043028,0.253140912821524,0.271301634772578,0.256137126898128,0.192436769399561,0.166522220515246,0.139718293017998,0.131837489810323,0.146490490393689,0.0787349651255841,0.00544757526222287,0.0219931615354658
"tau_PrPer_4",-0.00475373465371572,0.0193879174468458,0.0805008752313225,-0.0446926258985317,0.10904903464226,-0.0282379834337993,-0.0367289964036313,0.0522492345772892,0.0170600222688641,0.0452935851154023,0.056726702626913,-0.0276664356309938,0.0380414244419133,0.0254681329040138,0.167784671372938,0.000833982226944298,0.182014733185231,-0.391260948405265,0.0284454066334073,0.240605703971735,-0.291200046378299,0.0449717456101909,-0.089544877352558,0.10390823106746,-0.101869649695975,0.387246259466167,0.656168509129408,1,0.185833016581067,0.221789148057246,0.270370662735706,0.311996364832084,-0.0440370011476295,-0.05771795722301,-0.126922559667737,-0.118787877196784,0.275492038779335,-0.152564463508497,-0.244917499819134,-0.18310118126096,0.180059481944204,0.187217392138355,0.186238983690513,0.145151352759015,0.218084496412176,0.17796689052429,0.156779376288581,0.144154181669725,0.100851604362955,0.00712977148472676,-0.0194660636428232,-0.000589903967373995
"tau_AmbTr_1",-0.0332958353195901,-0.0362499154405843,0.0301139182149379,0.0546117758479084,-0.00670117955489739,-0.0261810441886734,-0.0197923538586172,-0.0575597134865035,-0.00684092736928381,-0.0343971645385852,0.026671073039018,-0.00993455352586935,-0.0535363660673926,-0.0863172893541232,0.0335571449525514,-0.00197978664077302,0.0621027986771484,0.331910917377694,0.557553356649793,0.254787903017736,-0.264070654159252,0.120032134726367,0.0160970113306181,0.0156781424904884,0.600800209578792,0.519861141810417,0.363072204538846,0.185833016581067,1,0.584274146031284,0.160810900388878,-0.0801941995668237,0.0540835218440732,-0.0658421041134655,-0.0977437320910072,-0.179580854990891,0.334983725070156,-0.0797771923538595,-0.174078925303911,-0.182973168438686,0.316028037443556,0.290183529826667,0.248374450740952,0.202189988646332,0.222527065268386,0.162280067477817,0.099196035886149,0.0610684550509738,0.220915248989991,0.13087381400042,0.0875948859797102,0.0949409600215259
"tau_AmbTr_2",0.0230376695050723,0.0270069149027917,0.0952643187515851,0.033088949801634,0.0183784751180921,0.0174567392685561,0.0293706396396638,-0.0992331057452713,0.0523719486466678,-0.00763186020869986,0.120850913468756,-0.00923851599851126,0.0119433762943788,-0.0124312678678977,0.0306478151219271,0.0147790386661225,0.0744740451247665,0.275851616586967,-0.0315206158347252,0.317857470150185,-0.415000639902339,0.0890340136912946,0.191006350518583,-0.0423545763723311,0.579987032895546,0.699546946270178,0.439108026740474,0.221789148057245,0.584274146031283,1,0.661625659833041,0.428714385435605,-0.0289727375628172,-0.129684533352883,-0.130782896019552,-0.21840366825685,0.399187954529275,-0.163348825189189,-0.246696871616387,-0.248725777517061,0.348958032268305,0.331006896935356,0.319122180346651,0.271377392085519,0.0935046224701918,0.00933300111715496,-0.0557346250394647,-0.130115873936105,0.257413110402486,0.211048909574647,0.144202608453926,0.150630229220364
"tau_AmbTr_3",0.0658205142897049,0.0460129351516462,0.126836454701932,-0.0240511655967259,0.103624035684887,0.0888179969585007,0.0283742340851909,-0.0474996584475948,0.0570412500451993,0.0889467025966925,0.0713620563986648,0.000574800262377612,0.141983104423265,-0.00293475909482762,0.0897292308008123,0.0513367278220293,0.138538377910834,0.139598840221955,-0.430593161661835,0.282122551397727,-0.41726475956131,0.086755633818577,0.22351187418375,-0.0352982435207552,0.40156852490844,0.435066931997103,0.423123491645476,0.270370662735706,0.160810900388878,0.661625659833042,1,0.750965785061256,0.0174576339724351,-0.0472941655793371,-0.0407308420015259,-0.0903475928327305,0.359447507951507,-0.227324303572474,-0.272260797374032,-0.300702300565637,0.29074725173947,0.289129646655278,0.287609402592626,0.263666021911298,0.102817767878409,-0.0372553943917467,-0.0941055482382587,-0.169653199152414,0.226033265021958,0.175752178354889,0.119770529587864,0.128679335826505
"tau_AmbTr_4",0.137706881351858,0.117378743975483,0.170262516804554,-0.00933237778244387,0.103465226219724,0.0435577522545657,0.0425903720952811,-0.0379075817091158,0.0136359695689848,0.0814721330383176,0.045331711181754,0.0307604884607857,0.146417147666084,0.0438699665190746,0.121228911004511,0.132231383552526,0.193712518004599,0.0630353182441698,-0.613955645042923,0.200643661438255,-0.392013213514158,0.0240863811675703,0.220993167561557,0.00151765169354421,0.257848739667376,0.254794006595318,0.222629407757473,0.311996364832085,-0.0801941995668237,0.428714385435605,0.750965785061257,1,0.0241891618158188,0.0325875666478094,0.0372126359845669,-0.0107706127091058,0.318495701544186,-0.188436148571614,-0.254826801035821,-0.255186410982951,0.245862433563268,0.252209192128325,0.266383578547258,0.230797681046639,0.0589060641487705,-0.0931375023863537,-0.140359189686926,-0.171157034391388,0.177889571210923,0.137515624147979,0.079925837767348,0.0731199534835486
"tau_ComVrb_1",0.0860388966456026,0.0483098006691698,0.0925381357737474,-0.00839089573114528,0.00308566101757105,0.008616443385787,0.111389958737432,0.0828031226766533,-0.0121604548051658,0.200057971669473,-0.0143632495282271,-0.0215777662289242,0.00878633564638278,-0.0518547755117352,-0.0142612820142188,0.029965147244272,-0.00973161018191304,-0.0178375401044938,0.0122639790081212,-0.200504459050425,0.0898449707319142,-0.117357400572961,-0.076576047479563,0.0281064648495748,-0.00907304439088524,-0.103006253306999,-0.0780486950017098,-0.0440370011476295,0.0540835218440732,-0.0289727375628171,0.017457633972435,0.0241891618158188,1,0.563187655243279,0.379505761064236,0.30953440901121,-0.231022450709098,-0.144892963853929,-0.0972786936741064,-0.0950543803318419,-0.177135382233065,-0.227969477558524,-0.179324188094218,-0.178977954952266,0.014921160122632,-0.0274468554099322,-0.0646922380958309,-0.0429583275756612,-0.0206602580045942,-0.088095834017661,-0.076239122169968,-0.0626488122805664
"tau_ComVrb_2",0.0613285571691026,-0.00425555169601789,0.0123197376153289,-0.071547594071093,0.0958589838663865,-0.0375005889300285,0.0620360718139159,0.15986851292319,-0.0326193272271149,0.0610605618814661,-0.041632466123093,-0.0760850332315844,0.0700942065866344,0.0281502284859269,-0.0527834575140982,-0.0112663700822381,-0.0519356644365813,-0.143982755664384,-0.0814296095273062,-0.333844952609894,0.189355647978493,-0.147984832330966,-0.0955211046803838,0.0132041830186643,-0.113853242456774,-0.181277310267235,-0.0805341985460638,-0.0577179572230101,-0.0658421041134655,-0.129684533352883,-0.0472941655793371,0.0325875666478094,0.56318765524328,1,0.661425622325847,0.533082029758987,-0.336992905538941,-0.158574840224119,0.0280880973177887,0.0457457202942062,-0.295843394566247,-0.295601973530009,-0.227389887026224,-0.183142288981503,-0.00311725506975673,-0.0444210688911564,-0.0577013803486502,0.0114038884805448,-0.0804291100412538,-0.0839901176824216,-0.0784818437378338,-0.0869055358533332
"tau_ComVrb_3",0.0223406816243955,-0.0659980968698409,0.00404264653949583,-0.0766160758590549,0.122026927526116,-0.0610427568388675,0.0625072315715237,0.165044645835912,-0.103573730798186,-0.0299930148097276,0.0270813519636695,-0.0936027760291165,0.0445470785195472,0.0115823511158688,-0.0176580393672534,0.0662477078130491,0.0146870815010824,-0.238618967638031,-0.199310405126224,-0.417894961427574,0.324029916658941,-0.104696503727579,-0.180456601378241,-0.0458951526230898,-0.158605149921107,-0.188527136376644,-0.0906465905889622,-0.126922559667737,-0.0977437320910072,-0.130782896019552,-0.040730842001526,0.0372126359845669,0.379505761064236,0.661425622325848,1,0.781074718377908,-0.307581394628972,0.035688180275934,0.186622665079508,0.174783259273806,-0.29784218109961,-0.263853151341688,-0.199429589289662,-0.164338215421026,0.0833069813653196,0.0505935020153096,0.037746220645626,0.077546971587637,-0.0357883199507,-0.0276369075289517,-0.0545229575625054,-0.0520912342424827
"tau_ComVrb_4",0.0162732733299984,-0.0423727908025957,-0.00559662600633886,-0.0462031893024117,0.0896265685260036,-0.0664227596441415,0.064598996224061,0.124178855943542,-0.124514372238866,-0.0412432303125211,0.00239378032427033,-0.0341358450033488,-0.00687784943415887,0.0529040156367716,-0.0354618025195029,0.0592903298778139,0.00611582421407709,-0.282175414919384,-0.24261831294705,-0.460138723871667,0.378912104842097,-0.0951762213376476,-0.189868410553238,-0.00774070365897782,-0.228264292925795,-0.277956600360366,-0.144499032640725,-0.118787877196784,-0.179580854990891,-0.21840366825685,-0.0903475928327305,-0.0107706127091058,0.309534409011209,0.533082029758987,0.781074718377907,1,-0.355561711507145,0.0964263991169354,0.258640115206738,0.24776699474378,-0.337091484466955,-0.27506573133504,-0.227306101099204,-0.163402615904434,0.0724098085529025,0.0334150083679372,0.0549317217411667,0.100913809760713,-0.0618187382173079,-0.0862515287779364,-0.0897655735542728,-0.0889894169451365
"tau_ComAfec_1",0.0620287571034667,0.115430638565722,0.124932132049449,0.0239951828651337,-0.0328192145682578,-0.0244371498117397,-0.0963183546789915,-0.16775190316565,-0.00411272595525515,0.082172857043253,0.0690071745024373,-0.0430898450731265,0.0572993883731761,-0.0134468981600429,0.101483935155599,0.0810829619595238,0.19369995138082,0.231591569914862,-0.00190806062567825,0.457656558932892,-0.559869808931039,0.268643485589164,0.238041499462748,-0.0638009608216986,0.457204994438077,0.387263953928915,0.349502661515492,0.275492038779335,0.334983725070156,0.399187954529275,0.359447507951507,0.318495701544186,-0.231022450709098,-0.336992905538941,-0.307581394628972,-0.355561711507145,1,-0.0619429009231305,-0.259903992624813,-0.344163687124774,0.675959444405602,0.605365594850994,0.569392547866729,0.493531593082216,0.353412239700867,0.150370777860656,0.0549059744640621,-0.0824482501652456,0.42919137587737,0.323908234520958,0.25429492192959,0.227017334790879
