"","Estimate","Std.err.","t-ratio(0)","p-val(0)","Rob.std.err.","Rob.t-ratio(0)","Rob.p-val(0)"
"b_SI_PANEL",-0.287765620961004,0.208749578457568,-1.37852072845981,0.168042572508219,0.182898398349176,-1.57336326374834,0.115634728218853
"b_NO_ZER",0,NA,NA,NA,NA,NA,NA
"b_SI_ZER",-0.0100165951362402,0.252461982647612,-0.0396756574245136,0.968351708953023,0.23805606904802,-0.0420766215971568,0.966437616924883
"b_No_MTRP",0,NA,NA,NA,NA,NA,NA
"b_Si_MTRP",0.0851796230270548,0.346281967807997,0.24598342087014,0.805695066494636,0.331614083018154,0.256863708114567,0.797283987502437
"lambda1",0.0862581470232625,0.256505169142039,0.336282295252683,0.736657999649415,0.283808728978157,0.303930563847814,0.761180791977763
"lambda2",-0.0797970712694716,0.186244254583984,-0.428453868001004,0.668320713167917,0.185816017119746,-0.429441296322953,0.667602106244764
"lambda3",-0.231962494219912,0.257006839229512,-0.902553779951221,0.366762766436719,0.275851812665111,-0.840895305268553,0.400406588720029
"gamma_EDUBASICA_LV_P1",0.287,NA,NA,NA,NA,NA,NA
"gamma_JOVEN30_LV_P1",-0.432,NA,NA,NA,NA,NA,NA
"gamma_ADULTO40_LV_P1",-0.504,NA,NA,NA,NA,NA,NA
"gamma_ADULTO60_LV_P1",-0.503,NA,NA,NA,NA,NA,NA
"gamma_EXP_2_LV_P1",-0.51,NA,NA,NA,NA,NA,NA
"gamma_EXP_3_LV_P1",-0.585,NA,NA,NA,NA,NA,NA
"gamma_HPICO_LV_P1",0.192,NA,NA,NA,NA,NA,NA
"gamma_SININFOTRF_LV_P1",-0.382,NA,NA,NA,NA,NA,NA
"gamma_USODISPMOB_LV_P1",0.332,NA,NA,NA,NA,NA,NA
"gamma_EDUBASICA_LV_P2",0.24,NA,NA,NA,NA,NA,NA
"gamma_ADULTO60_LV_P2",-0.154,NA,NA,NA,NA,NA,NA
