"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_semaf","b_CamFD","b_ZER","b_MtrP","b_Acc","b_Panel","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_usodisp","b_Joven30","b_Adulto40","b_Adulto60","b_USOCINTURON","b_USODISPMOB","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","gamma_EDUBASICA","gamma_CSECO","gamma_CONG_EF","gamma_SININFO","gamma_HORAS_TRABAJO","gamma_HPICO","gamma_CONG_CD","gamma_USOCINTURON","gamma_USODISPMOB","zeta_FRbr","zeta_EnfCond","zeta_AFrSem","zeta_CulFr","zeta_OmLmVel","zeta_IgPare","zeta_UsoCel","lambda1","lambda2","tau_FRbr_1","tau_FRbr_2","tau_FRbr_3","tau_FRbr_4","tau_EnfCond_1","tau_EnfCond_2","tau_EnfCond_3","tau_EnfCond_4","tau_AFrSem_1","tau_AFrSem_2","tau_AFrSem_3","tau_AFrSem_4","tau_CulFr_1","tau_CulFr_2","tau_CulFr_3","tau_CulFr_4","tau_OmLmVel_1","tau_OmLmVel_2","tau_OmLmVel_3","tau_OmLmVel_4","tau_IgPare_1","tau_IgPare_2","tau_IgPare_3","tau_IgPare_4","tau_UsoCel_1","tau_UsoCel_2","tau_UsoCel_3","tau_UsoCel_4"
"b_Panel",-3.18323145620525,-1.81898940354586,10.9139364212751,20.9183781407773,-9.54969436861575,-16.8256519827992,-5.00222085975111,2.27373675443232,-3.63797880709171,0.454747350886464,-44.110493035987,13.6424205265939,0.909494701772928,3.63797880709171,179.625203600153,140.971678774804,6.3664629124105,0,0,0.454747350886464,2.27373675443232,5.91171556152403,8.64019966684282,3.18323145620525,0,0,0,0,0,0.454747350886464,0,0,3.18323145620525,0,-0.454747350886464,0,-0.454747350886464,0,0,-0.454747350886464,0,0,0,0,4.54747350886464,-8.18545231595635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_clima",23.6468622460961,11.8234311230481,-93.6779542826116,-180.07995095104,43.2009983342141,85.4925019666553,10.0044417195022,10.0044417195022,6.3664629124105,0.909494701772928,13.6424205265939,-123.236532090232,-10.9139364212751,-35.4702933691442,-1238.73178381473,-1179.1598808486,-57.2981662116945,-17.7351466845721,0,-5.91171556152403,-26.8300937023014,-49.1127138957381,-71.3953340891749,-31.8323145620525,0,0,0,0,0,0,0.909494701772928,0,24.5563569478691,1.81898940354586,0.909494701772928,0.909494701772928,2.27373675443232,0.454747350886464,0.454747350886464,0,0.454747350886464,0.909494701772928,0.454747350886464,0.909494701772928,-45.9294824395329,64.1193764749914,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464
"b_cong",2.72848410531878,-2.27373675443232,-11.8234311230481,-305.590219795704,-6.82121026329696,-63.2098817732185,-19.554136088118,-13.1876731757075,-0.454747350886464,2.72848410531878,0.909494701772928,-10.9139364212751,-215.550244320184,-11.8234311230481,-260.115484707057,-153.704604599625,0.454747350886464,-0.454747350886464,0,1.81898940354586,0.909494701772928,-6.82121026329696,-6.82121026329696,-7.73070496506989,0,0,0,0,-0.454747350886464,-0.909494701772928,0.454747350886464,-0.909494701772928,3.18323145620525,1.36424205265939,0,-0.909494701772928,0,0,0,-0.454747350886464,0,0,0,-0.454747350886464,-23.1921148952097,-1.81898940354586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.454747350886464,0,0,0,0,0,0,0,0,0,0,0,0
"b_Hvalle",8.18545231595635,3.63797880709171,-29.5585778076202,-89.130480773747,9.54969436861575,-4.09272615797818,7.27595761418343,0,3.63797880709171,0.909494701772928,3.63797880709171,-35.4702933691442,-11.8234311230481,-29.1038304567337,-393.811205867678,-380.62353269197,-16.3709046319127,-4.54747350886464,0,-1.81898940354586,-7.27595761418343,-15.4614099301398,-24.1016095969826,-9.09494701772928,0,0,0,0,0,0,0.454747350886464,0,2.27373675443232,0.454747350886464,0,0,0.454747350886464,0.454747350886464,0.454747350886464,0,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,-13.6424205265939,25.0111042987555,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464
"b_T_prof",251.475285040215,124.600774142891,-1039.55244412646,-2140.49578062259,462.93280320242,38.6535248253495,358.79565984942,92.7684595808387,78.2165443524718,5.00222085975111,179.625203600153,-1238.73178381473,-260.115484707057,-393.811205867678,-21230.3348234855,-13181.7614601459,-651.652953820303,-197.360350284725,0,-19.0993887372315,-203.272065846249,-618.456397205591,-811.269273981452,-318.323145620525,0,0,0,0,-4.54747350886464,-2.27373675443232,5.91171556152403,0,267.391442321241,20.0088834390044,7.73070496506989,6.82121026329696,19.554136088118,1.36424205265939,0.454747350886464,0.454747350886464,0.454747350886464,4.09272615797818,0.454747350886464,6.82121026329696,-557.974999537691,722.593540558591,-0.454747350886464,0,0.454747350886464,0.454747350886464,-0.454747350886464,0,0.454747350886464,0.454747350886464,0.454747350886464,0,0.454747350886464,0.454747350886464,-0.454747350886464,0,0.454747350886464,0,4.54747350886464,2.27373675443232,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,3.18323145620525,2.27373675443232,1.36424205265939,0.454747350886464
"b_Hor_trab",240.106601268053,119.143805932254,-990.439730230719,-1970.42027139105,433.828972745687,265.117705566809,67.7573552820832,111.413100967184,39.1082721762359,-0.454747350886464,140.971678774804,-1179.1598808486,-153.704604599625,-380.62353269197,-13181.7614601459,-12754.2989503127,-587.533577345312,-179.625203600153,0,-63.664629124105,-269.665179075673,-531.599653186277,-783.074938226491,-331.965566147119,0,0,0,0,-2.72848410531878,-4.54747350886464,3.63797880709171,-3.63797880709171,238.287611864507,18.644641386345,2.72848410531878,8.64019966684282,18.1898940354586,0.909494701772928,0,0,0.454747350886464,3.63797880709171,0,6.3664629124105,-494.310370413586,693.944457452744,-0.454747350886464,-0.454747350886464,0,0,-0.909494701772928,-0.454747350886464,0,0,0,0,0,0,-0.909494701772928,-0.454747350886464,0,-0.454747350886464,4.09272615797818,1.36424205265939,0,0,0,0,0,0,2.72848410531878,1.81898940354586,0.909494701772928,0
"b_EduBasica",11.3686837721616,5.45696821063757,-46.3842297904193,-75.0333128962666,23.1921148952097,-28.6490831058472,-7.27595761418343,9.54969436861575,1.81898940354586,-0.454747350886464,6.3664629124105,-57.2981662116945,0.454747350886464,-16.3709046319127,-651.652953820303,-587.533577345312,-45.9294824395329,-8.64019966684282,0,-2.72848410531878,-13.6424205265939,-23.6468622460961,-33.6513039655983,-15.9161572810262,0,0,0,0,0,0,0.454747350886464,0,13.6424205265939,1.36424205265939,0.454747350886464,0.454747350886464,1.36424205265939,0.454747350886464,0,0,0.454747350886464,0.454747350886464,0,0.454747350886464,-25.0111042987555,31.377567211166,0,0,0,0.454747350886464,0,0,0.454747350886464,0,0,0,0,0,0,0,0.454747350886464,0,0.454747350886464,0.454747350886464,0,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0,0.454747350886464
"b_Info_traf",4.09272615797818,2.27373675443232,-15.0066625792533,-28.1943357549608,5.00222085975111,-3.18323145620525,0.909494701772928,4.09272615797818,2.27373675443232,0.454747350886464,0,-17.7351466845721,-0.454747350886464,-4.54747350886464,-197.360350284725,-179.625203600153,-8.64019966684282,-14.5519152283669,0,-0.909494701772928,-3.18323145620525,-7.73070496506989,-10.9139364212751,-6.3664629124105,0,0,0,0,0,0.454747350886464,0.454747350886464,0,10.4591890703887,0.909494701772928,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0,0,0.454747350886464,0.454747350886464,0,0.454747350886464,-9.09494701772928,9.54969436861575,0.454747350886464,0,0,0.454747350886464,0,0,0.454747350886464,0,0.454747350886464,0,0,0,0.454747350886464,0,0.454747350886464,0,0,0.454747350886464,0,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0.454747350886464,0,0.454747350886464
"b_usodisp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b_Joven30",1.36424205265939,0.454747350886464,-5.45696821063757,-4.09272615797818,2.72848410531878,3.18323145620525,2.72848410531878,1.36424205265939,-1.36424205265939,0.454747350886464,0.454747350886464,-5.91171556152403,1.81898940354586,-1.81898940354586,-19.0993887372315,-63.664629124105,-2.72848410531878,-0.909494701772928,0,-5.45696821063757,0,0,-3.63797880709171,-2.72848410531878,0,0,0,0,0,0.454747350886464,0,0,-3.63797880709171,0,0,-0.454747350886464,0,0.454747350886464,0,0,0.454747350886464,0,0,0,-2.72848410531878,3.63797880709171,0,0,0,0.454747350886464,0,0,0.454747350886464,0,0,0,0,0,0,0,0.454747350886464,0,0,0.454747350886464,0,0.454747350886464,0.454747350886464,0,0.454747350886464,0.454747350886464,0,0,0,0.454747350886464
