"","asc_ruta2","asc_ruta3","asc_rutaEC","b_time","b_dist","b_semaf","b_CamFD","b_ZER","b_MtrP","b_Acc","b_Panel","b_clima","b_cong","b_Hvalle","b_T_prof","b_Hor_trab","b_EduBasica","b_Info_traf","b_usodisp","b_Joven30","b_Adulto40","b_Adulto60"
"b_Panel",-0.00831388208442694,-0.00765065628256489,0.0205450265097576,0.0172119900013983,-0.0575840501153154,0.00516375522357215,-0.00473415054327251,0.0325734017706455,-0.0661498669040341,0.00729050820877152,1,0.0098310288437021,0.00412514313285489,-0.0276244356177409,0.0403726802950215,0.011673868945278,-0.0103130058330296,-0.094082872160529,0.0210534243059037,-0.0186659186265356,-0.0361757088147615,-0.0316089536353242
"b_clima",0.0199328493258406,0.00922493036069178,-0.353368873430137,-0.0365818621549492,0.0610004775444688,0.0519630112995548,-0.0155233042189363,-0.0225154941329538,0.0654187697873818,0.0205347350948417,0.0098310288437021,1,-0.0303861705459344,-0.0409099898535023,0.00286505377932771,-0.01424941776711,-0.172611142791296,-0.0336480959634129,-0.000560077370291865,-0.0116022579801005,-0.0615086621744083,-0.032934464822162
"b_cong",0.132380021976609,0.170913130938918,-0.0848543421308804,-0.533975712869654,0.103347581116913,-0.063326670026272,0.0314236806864986,0.0343045767182302,0.0448159600253421,0.133825318951483,0.00412514313285489,-0.0303861705459344,1,-0.033961557604144,-0.0505866064695251,0.0115591377132658,0.123321217481183,-0.0130880653295843,-0.204154978476279,0.0915775445163686,0.131222451233708,0.0808979263225417
"b_Hvalle",0.0521362114699446,0.0266501318972601,-0.00789023688318591,-0.0821162670978922,-0.0550805554501122,-0.0179572547330085,0.0148504863154704,-0.0331960839992032,0.0784621604947312,0.0192610780079203,-0.0276244356177409,-0.0409099898535023,-0.033961557604144,1,-0.00347042888365376,-0.110107208710923,0.0395941747480074,0.0421648822233321,0.00690243160477859,-0.0318286496813649,0.0269474030756906,0.0251526700276733
"b_T_prof",-0.0244986936138496,-0.0331635871431741,-0.217132610508671,0.0296679153185033,0.0511910635066345,-0.0381392360974436,0.0464308659379689,-0.0365451702760799,0.0565215316217771,0.0356605165775575,0.0403726802950215,0.00286505377932771,-0.0505866064695251,-0.00347042888365376,1,-0.0723967367078889,-0.13034444176823,0.0120689240873322,-0.0374825875656133,0.345526593385484,0.325263680984119,0.168954343660211
"b_Hor_trab",0.0211929276737565,0.0377002047254708,-0.758025713994332,-0.125991804495742,0.0602460072712057,-0.00921817818529231,0.00253375781411095,0.0074497897660937,-0.0280102427875418,-0.0155291046101276,0.011673868945278,-0.01424941776711,0.0115591377132658,-0.110107208710923,-0.0723967367078889,1,-0.0885313329525576,0.125533754842186,0.0260996977143888,0.00668704303957448,-0.0606281983930563,-0.0907877888565066
"b_EduBasica",-0.00677851134326665,0.00262957085137417,0.00266691883689209,-0.0337100620314081,0.0476686199761578,-0.0378185970933071,-0.00485810281318964,0.0573838391130417,-0.0124244038898714,-0.0404843717875588,-0.0103130058330296,-0.172611142791296,0.123321217481183,0.0395941747480074,-0.13034444176823,-0.0885313329525576,1,-0.0321134544311229,-0.0377771954663186,-0.0213188820809261,-0.0352149726028852,0.00288818850514786
"b_Info_traf",0.0393662459509232,0.0369234798208933,-0.153546630378571,-0.0527223497154083,-0.0534412760363844,-0.0156161255390579,0.00867028764662825,0.0244761436696505,0.0788463080488505,0.040225087706742,-0.094082872160529,-0.0336480959634129,-0.0130880653295843,0.0421648822233321,0.0120689240873322,0.125533754842186,-0.0321134544311229,1,-0.160252111383037,0.0155045687704919,0.0627743785781112,0.0232151344404781
"b_usodisp",-0.0354022308891925,-0.034459211918802,-0.0375610795920986,0.139387571854163,0.00774101139448058,-0.000530430420278374,-0.00990652551630486,0.0363271366296534,-0.0289443344423186,0.0104073517557161,0.0210534243059037,-0.000560077370291865,-0.204154978476279,0.00690243160477859,-0.0374825875656133,0.0260996977143888,-0.0377771954663186,-0.160252111383037,1,-0.119778797710716,-0.17747702985848,-0.0572022443165005
"b_Joven30",-0.0252861997992323,-0.0236285622313592,-0.314800481331459,0.000514492066494573,0.0802840463843132,-0.0255212127939351,0.0263248597255305,-0.0135115090445416,-0.0382037762057129,0.0526533376812899,-0.0186659186265356,-0.0116022579801005,0.0915775445163686,-0.0318286496813649,0.345526593385484,0.00668704303957448,-0.0213188820809261,0.0155045687704919,-0.119778797710716,1,0.554570875890208,0.547711595978831
"b_Adulto40",-0.0217274488446539,-0.030745167190002,-0.322845185152443,-0.00387341345535457,0.109428086208341,-0.0490081962700764,0.0317278795633108,-0.0418995327059599,0.0674454765112023,0.0985780119837666,-0.0361757088147615,-0.0615086621744083,0.131222451233708,0.0269474030756906,0.325263680984119,-0.0606281983930563,-0.0352149726028852,0.0627743785781112,-0.17747702985848,0.554570875890208,1,0.742158887018287
"b_Adulto60",-0.0135176878321553,-0.0137253963684765,-0.310746720315017,-0.0153407618495671,0.070577151353028,-0.0186585162534019,0.0088452839233898,-0.00424339827403363,0.00881109564481187,0.0620809316512798,-0.0316089536353242,-0.032934464822162,0.0808979263225417,0.0251526700276733,0.168954343660211,-0.0907877888565066,0.00288818850514786,0.0232151344404781,-0.0572022443165005,0.547711595978831,0.742158887018287,1
