"","asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC"
"b_CongCD_ruta3",0.528472467204586,0.549564542439134,0.498998351960515,0.181487761409201,-0.243386675899947,0.0983964962562547,0.0585105173949411,0.0524901602476488,0.0370037068721214,0.441453271919229,1,0.144796200877783,0.10053654335775,-0.0858489226565853,0.365538396510318,0.439323088232668,-0.0583627010609527,-0.105835459773953,0.572528442462793,0.386040315050548,-0.0488382093115509,-0.119239380132389,0.556727207994812,0.501509786815753,-0.12426118522122,-0.124375280885532,0.442194197524807,0.388351110237463,-0.0950814111856239
"b_CongAB_rutaEC",-0.13325180499279,-0.122185125808061,-0.266345201706399,0.354473669373844,-0.0164601370530749,0.0953184737463422,0.0249962222118139,0.0329927518564366,-0.083955303651922,0.100247009975695,0.144796200877782,1,0.726131209163627,0.147146949503455,-0.0395939380317296,-0.131066085341868,-0.0164790740366312,0.15104210471284,-0.0502018518150602,-0.139837408479314,-0.0313352494545071,0.0982173103929865,-0.107965552653264,-0.137812960863414,-0.0386577585391248,0.0630593750660764,-0.0249264500441858,-0.128147345507862,-0.00644804718477284
"b_CongCD_rutaEC",-0.113601535882943,-0.0931575999969848,-0.226359717030694,0.200203150467411,0.0184900329164105,0.0732370431760995,0.0313430396217701,0.0638024328371849,0.00961168036288632,0.096123127992711,0.100536543357749,0.726131209163628,1,0.131560353761016,-0.0418371818384978,-0.0829537542848007,-0.00729209105289852,0.133782209087195,-0.0344983717623213,-0.0827942468683761,0.0107101161090474,0.120176981435211,-0.0858084208586421,-0.0954574717985766,0.00820067017015758,0.101908898039998,-0.00967583307330327,-0.0783845014624768,0.0475069154391321
"b_Sem_0_ruta1",-0.613620327455605,-0.339696935288303,-0.372471053502616,0.200337965605366,0.140351514728865,-0.137476113636695,-0.150097066883387,0.0344818130583811,-0.0381490585811095,-0.0165660369593524,-0.0858489226565853,0.147146949503454,0.131560353761015,1,-0.163525402276577,-0.295816739994794,0.292923771879089,0.86740773876145,-0.282882397262979,-0.302305332591906,0.208863694878505,0.855701305468759,-0.344213618935894,-0.340304528257632,0.172094410696749,0.770469336072284,-0.29752934529494,-0.344292745609775,-0.00654658519679635
"b_Sem_0_ruta2",0.533617192491713,0.549315078774807,0.531941673243246,-0.108521772991727,-0.269360943988613,0.0735247834407915,0.00168161846738848,-0.291670516941507,-0.103561820374288,0.155514696973605,0.365538396477093,-0.0395939380232778,-0.0418371818481269,-0.163525402284814,1,0.454640330345293,-0.0982736885342027,-0.146132644490387,0.569694345527675,0.520693281315886,-0.0852105614533437,-0.160778463698487,0.57195991898118,0.546132932669717,-0.121688635777743,-0.126885546947427,0.510331156181598,0.522006477571385,-0.0190692634008607
"b_Sem_0_ruta3",0.772930757902152,0.828543811821767,0.796613538289508,-0.283603097861695,-0.464202976471198,0.0220581939470594,0.154058476369131,0.075078333387672,0.111430765950857,0.0101497387844033,0.439323088232669,-0.131066085341867,-0.0829537542848011,-0.295816739994795,0.454640330397229,1,-0.198212534021758,-0.214372665875681,0.767781559354209,0.797976244166394,-0.167975977543463,-0.222798085235142,0.824108704758606,0.811885697106804,-0.181221264351966,-0.188263134211326,0.690057568308757,0.794115887772583,-0.0252907105505157
"b_Sem_0_rutaEC",-0.266676488481166,-0.265810001228351,-0.438050675274533,0.360430840187595,-0.0502280032177378,0.0268114423585857,-0.0282348804716511,0.104391347665634,-0.0444751977172688,0.111371608897696,-0.0583627010609549,-0.0164790740366291,-0.00729209105289953,0.292923771879093,-0.0982736885722397,-0.198212534021759,1,0.149139997839127,-0.193208280129325,-0.252162863343884,0.727680702733051,0.118509697974117,-0.273471679842673,-0.287977169854733,0.675705834547832,0.0622743128283312,-0.271157395492493,-0.25913677891767,0.52862466639411
"b_Sem_1_ruta1",-0.596346698014899,-0.28504330348479,-0.314078206751287,0.114225117186276,0.176090465227177,-0.0953933741858369,-0.112673032666667,0.00261344174808165,-0.042395519572623,-0.0811272882313815,-0.105835459773956,0.151042104712841,0.133782209087194,0.867407738761453,-0.146132644489541,-0.214372665875686,0.149139997839127,1,-0.233610261038862,-0.227887273334963,0.151703078439524,0.906414284378906,-0.295244468541917,-0.273952815467217,0.146925186516961,0.822901734877841,-0.25647737249566,-0.278809396744507,-0.0282346638148654
"b_Sem_1_ruta2",0.845908085429092,0.884316386209204,0.851487023399986,-0.210230338802143,-0.448832339297112,0.112529387145643,0.13228946356275,0.0598219828786286,0.0153122825596705,0.232674323735435,0.572528442439243,-0.0502018518243044,-0.0344983717952155,-0.282882397282951,0.569694439554157,0.767781559327364,-0.193208280131677,-0.233610261041723,1,0.843981606128786,-0.158624680463616,-0.246595739186677,0.876184023108563,0.88073024540196,-0.200059175513771,-0.210047549037769,0.785873595327716,0.837449298519649,-0.0403421692666686
"b_Sem_1_ruta3",0.850310664082131,0.92366625072716,0.889563287529431,-0.356265539719785,-0.459176432814473,0.10315364242829,0.159371874162582,0.0541470249515715,0.113767257111117,-0.0142566057984445,0.386040315050552,-0.139837408479314,-0.0827942468683767,-0.302305332591912,0.520693281344594,0.797976244166399,-0.252162863343889,-0.227887273334962,0.843981606109609,1,-0.199794700202811,-0.216824555860267,0.921485626169889,0.917292491344931,-0.193166668617512,-0.179699948038955,0.776909432607338,0.901396997357462,-0.0150565689094784
"b_Sem_1_rutaEC",-0.232941813865456,-0.211244871716572,-0.438061707811653,0.263287074103243,0.0230641315603327,-0.0534501203466596,0.059909114967064,-0.00178006086124303,-0.0597330955466969,0.0426924917208676,-0.0488382093115577,-0.0313352494544989,0.0107101161090507,0.208863694878513,-0.0852105614961685,-0.167975977543474,0.727680702733062,0.151703078439527,-0.158624680458989,-0.199794700202817,1,0.126517259157167,-0.221893889811305,-0.222835120039593,0.841222628874381,0.0473605795296994,-0.235669661101435,-0.19021575105627,0.685256394229875
"b_Sem_2_ruta1",-0.585774282591423,-0.267226933631367,-0.293683309945159,0.112671363629439,0.168740185434599,-0.132953766906439,-0.105948645582269,-0.0111615297254197,-0.00250936415087792,-0.124378895323854,-0.11923938013239,0.0982173103929854,0.120176981435208,0.855701305468758,-0.160778463694075,-0.222798085235143,0.118509697974112,0.906414284378904,-0.246595739178438,-0.216824555860264,0.126517259157159,1,-0.277249117030204,-0.270136664450681,0.161160423031898,0.838198509122099,-0.251596942299,-0.261225289839894,0.00227895854434607
"b_Sem_2_ruta2",0.920663132410239,0.994401734152252,0.936267454045378,-0.277286146827852,-0.47299400882048,0.09169092366128,0.12879126153236,0.0110278294543822,0.030566264911117,0.185260237737383,0.556727208012015,-0.107965552670031,-0.0858084208991083,-0.344213618988381,0.571961243904046,0.824108704812805,-0.273471679865167,-0.295244468571283,0.876185857534976,0.921485626288896,-0.221893889840365,-0.277249117066825,1,0.950438827997008,-0.231297884330413,-0.236346911966146,0.818513383502238,0.916181154042244,-0.0398804038238475
"b_Sem_2_ruta3",0.893800792281907,0.951668874702987,0.930982555997942,-0.421515715409333,-0.380632947174423,0.116236858664715,0.167717998639754,0.0428612388328321,0.125644710939176,0.105259768034134,0.501509786815757,-0.137812960863416,-0.0954574717985799,-0.340304528257638,0.546132932682663,0.811885697106809,-0.287977169854735,-0.273952815467215,0.88073024535949,0.917292491344932,-0.222835120039584,-0.270136664450683,0.950438827853274,1,-0.237213355921433,-0.229522508248504,0.802832415362772,0.917124998945941,-0.0317940480377337
"b_Sem_2_rutaEC",-0.247351281077398,-0.228374128297395,-0.442937825743088,0.236725663801665,0.076297495666608,-0.075842013230827,0.0596085641785146,0.0052526899910677,-0.0104316548654118,-0.0565950013144905,-0.124261185221225,-0.038657758539117,0.0082006701701602,0.172094410696755,-0.121688635770929,-0.181221264351972,0.675705834547837,0.146925186516962,-0.200059175426644,-0.193166668617511,0.841222628874374,0.161160423031905,-0.231297884224072,-0.237213355921436,1,0.106946786481451,-0.199112296790171,-0.168464394588583,0.694041865936495
"b_Sem_3_ruta1",-0.517527602648395,-0.23504203011117,-0.230485525644464,0.0706023954797716,0.137992296067761,-0.0634647904831311,-0.133394015758144,-0.000127950989953066,-0.00238962058592772,-0.098186195148665,-0.124375280885533,0.0630593750660777,0.101908898039999,0.770469336072286,-0.126885546933397,-0.188263134211327,0.0622743128283298,0.82290173487784,-0.21004754901644,-0.179699948038952,0.0473605795296957,0.838198509122101,-0.236346911919979,-0.229522508248502,0.106946786481448,1,-0.164466250271799,-0.205103958966029,-0.0656378735010606
"b_Sem_3_ruta2",0.776237715734359,0.768497762788277,0.78565612455162,-0.268020642825661,-0.374153123469704,0.0675120522712783,0.0949934369892197,0.0246678238330905,0.0745733767226165,0.136716951526082,0.442194197515794,-0.0249264500500597,-0.00967583309918353,-0.297529345315386,0.510333595235025,0.690057568308046,-0.271157395498561,-0.256477372501736,0.785877127550204,0.776909432649024,-0.235669661110992,-0.25159694230626,0.818515571174904,0.802832415424643,-0.199112296857276,-0.164466250293115,1,0.780991071779966,-0.143080034840372
"b_Sem_3_ruta3",0.863260901842756,0.916816544374691,0.88087980916234,-0.386023963314945,-0.42993715019252,0.104221734741819,0.15909555087713,0.028366044796253,0.128867047970404,0.10404544836786,0.388351110237465,-0.128147345507862,-0.0783845014624781,-0.34429274560978,0.522006477594514,0.794115887772586,-0.259136778917671,-0.278809396744506,0.837449298493731,0.90139699735746,-0.19021575105626,-0.261225289839897,0.916181153918247,0.917124998945937,-0.168464394588578,-0.205103958966031,0.780991071732111,1,0.00245208376240972
"b_Sem_3_rutaEC",-0.0256777432937153,-0.024429330768199,-0.23710241707528,0.097591504173237,0.023670820941798,0.0172720904869735,0.0699648862852399,0.00150994450329534,-0.0387232277858108,-0.0422188903722837,-0.0950814111856289,-0.00644804718476956,0.047506915439132,-0.00654658519679355,-0.0190692634435827,-0.0252907105505208,0.528624666394116,-0.028234663814866,-0.040342169262542,-0.0150565689094787,0.68525639422987,0.0022789585443502,-0.0398804038059676,-0.0317940480377375,0.694041865936496,-0.0656378735010606,-0.143080034837494,0.00245208376240465,1
