"asc_ruta1","asc_ruta2","asc_rutaEC","b_tt","b_dt","b_CongAB_ruta1","b_CongCD_ruta1","b_CongAB_ruta2","b_CongCD_ruta2","b_CongAB_ruta3","b_CongCD_ruta3","b_CongAB_rutaEC","b_CongCD_rutaEC","b_Sem_0_ruta1","b_Sem_0_ruta2","b_Sem_0_ruta3","b_Sem_0_rutaEC","b_Sem_1_ruta1","b_Sem_1_ruta2","b_Sem_1_ruta3","b_Sem_1_rutaEC","b_Sem_2_ruta1","b_Sem_2_ruta2","b_Sem_2_ruta3","b_Sem_2_rutaEC","b_Sem_3_ruta1","b_Sem_3_ruta2","b_Sem_3_ruta3","b_Sem_3_rutaEC","logLike"
1.73637651314961,0.329529533587714,1.89676658955023,0.0957695401453076,-0.174014875084539,-0.223994100737419,-0.512808375854081,-1.2337520716848,-1.0897747325896,-0.700512919672266,0.377318416799665,0.278445046357531,0.591293026882477,0.271701823768715,-0.177412702918273,-0.716190260915407,-0.700673440470963,0.0252197981848227,0.952695109238738,-0.246580431466412,-0.39897947343734,-0.432615991437414,0.84142087490249,-0.25957029455054,-0.521823979253508,0.473782860787767,0.190300159187378,-0.532526533681815,0.161877322892985,-300.350174206411
2.16559504425303,0.304132009392862,2.15511427964738,0.0950412371730225,-0.162862955067441,-0.0949210275682816,-0.667823289050846,-1.73218764327521,-0.820840591890026,-0.982152987502656,0.437955928411857,0.533012419120397,0.0988999636674455,0.18983125608862,-0.0987567484471207,-0.896716551201254,-1.32981360286503,0.141998528540876,0.887908185697158,-0.060204316897808,-0.375605225689932,-0.366070105935283,0.994663961303822,0.0202647153604138,-0.897412072974591,0.0753289908907008,0.585038610975843,-0.345442069735429,-0.0861391119202068,-299.27954306922
2.21321755924193,0.24885788880115,2.3603234699087,0.0890956159026604,-0.158153861818397,0.110077129384428,-0.609888643954885,-1.82373911199599,-0.644256659999095,-1.08363400017678,0.20582253212368,0.482346705014914,0.0114576290085759,0.209098785330476,-0.0117044253868668,-0.901736116610147,-1.42137327482276,-0.0716349107108867,0.879587216521366,0.153036151641249,-0.852575447473273,-0.266887937546577,1.02989835161463,0.0571847972555218,-0.769744536016368,-0.112098281626105,0.636715718030443,-0.225689910840919,0.0317207377716756,-298.704689328768
2.17413335615063,0.14082609888691,2.54716064716953,0.0830005494593643,-0.18702051629045,0.259289903431991,-0.449251907566066,-1.78663783197668,-0.622409569183126,-1.15945278539082,-0.115694700442887,0.274495469742291,0.0925004922835813,0.084723527608675,0.103429813934135,-0.83014253988975,-1.30534857056786,-0.409348607433858,0.797526080926447,0.410671172379534,-0.914635318249854,-0.252643092595012,1.12566903961798,0.0685127945472961,-1.08698494728927,-0.0432715577428409,0.59204411900687,-0.0658222798191997,0.159708067531967,-297.904093547258
2.16776437209917,0.0744592978347271,2.6134402710765,0.0796131652171281,-0.207016352807875,0.311020720265545,-0.370155465576788,-1.6401873162565,-0.758190283814746,-1.22536954397435,-0.371038386688838,0.251224464364919,-0.00571486158117818,-0.148758281719429,0.235425937672454,-0.688408430350897,-1.13089893185888,-0.366196679271547,0.833028242168572,0.612319132532398,-1.03729596573398,-0.704790341102562,1.17448671056848,0.0707302958426394,-1.16811864002383,0.205303509510888,0.505117931603039,0.107350786370335,0.136714524215071,-297.18735460599
2.29190832681595,0.139092738347712,2.58922227519585,0.084557317700535,-0.224863782994352,0.28718945018777,-0.522568819553069,-1.47874878252352,-0.921343161824458,-1.27438389034368,-0.36248894707416,0.264514955212514,-0.00842683684231572,-0.234746778883269,0.325791306514036,-0.545955654136243,-1.14328708161409,-0.500267928922584,1.06934976573514,0.582486139088936,-0.928539813384516,-0.712447523907383,1.09429082499885,0.0495090808100921,-1.05696146315813,0.246602323205248,0.477657092315929,0.156424427370988,-0.0544973413063247,-296.108616183495
2.37592902531727,0.206262293559031,2.62535103453661,0.0878703922687325,-0.230492695337922,0.116957121873039,-0.519896317963046,-1.36200413231831,-1.05992906643655,-1.33453545292153,-0.113230763393394,0.317427839603703,0.0616645314372534,-0.215968368973901,0.383967663101516,-0.411785871099588,-1.17137972921818,-0.473250729959329,1.12094873448986,0.490023960827901,-0.903029574441908,-0.706079735716686,1.20938451597851,0.114462503295954,-1.04452039776572,-0.0123780600304413,0.507430729042455,0.132261897049146,-0.050543520709047,-295.273013266596
2.50360114648248,0.195661882206154,2.69506765720462,0.0892118812595233,-0.228917480802147,0.0565793222304487,-0.516989351677541,-1.35509209136951,-0.925273392450375,-1.39761069652797,0.02819893745151,0.340239901299558,0.081267300998472,-0.200849692532568,0.415313321517819,-0.348970029785585,-1.18580717431093,-0.529851455062909,1.15251132705674,0.469870382831325,-0.905066059210583,-0.755054717424843,1.23681622188368,0.187673177342561,-1.05237828535138,-0.0303581415000986,0.579124173860328,0.109251480142429,-0.0700033238093573,-294.989981547804
2.63812544110493,0.199319259618623,2.79242418044723,0.0894289615845527,-0.226903074772932,0.087812777390581,-0.556820609737157,-1.36779565462855,-0.87916146350298,-1.49009995875313,0.113513923656174,0.347145686539448,0.10096575862176,-0.308332930913294,0.464222884391088,-0.27830424655848,-1.19485749575615,-0.541791818777927,1.19528804938311,0.506223061831821,-0.938206103538109,-0.753435496375426,1.30796019681538,0.25438435601978,-1.07593686491685,-0.0991869203387162,0.689975658869163,0.141355151600665,-0.112342351290678,-294.803549329265
2.88540601632051,0.222991138886645,2.97964842612231,0.0878558836577727,-0.227099087256346,0.15747136336869,-0.505525739574936,-1.39055060876695,-0.879056189713237,-1.69053783384954,0.211393147688998,0.354601311820415,0.0837793405742892,-0.391109137723325,0.578791976434385,-0.129858970260238,-1.34540004732122,-0.65970396998189,1.32076419062885,0.616624870163749,-0.952859047990603,-0.847765690089801,1.46908464427626,0.40253211657717,-1.09499898518956,-0.249218637915441,0.918240839318582,0.266766935037238,-0.194044316907842,-294.505001659089
